tcount,eprew,best_eplen,eplen,total_secs,eprew_recent,recent_best_eplen,best_ext_ret,recent_worst_eplen,recent_best_ext_ret,eplen_std,rew_mean,epcount,eprew_std,n_updates,,,,
160000,-233.24,1250,1250,447.7323563,-233.265625,1250,-220,1250,-220,0,-0.17704582,128,3.307929866,1,,,,
480000,-233.5,1250,1250,881.4662576,-233.625,1250,-220,1250,-220,0,-0.17994556,384,3.303028913,2,,,,
640000,-230.16,1250,1250,1321.257242,-229.953125,1250,-220,1250,-220,0,-0.18132396,512,4.451336878,3,,,,
960000,-225.38,1250,1250,1753.894254,-226.5234375,1250,-212,1250,-212,0,-0.17031653,768,5.379182094,4,,,,
1120000,-223.16,1250,1250,2194.808863,-223.03125,1250,-212,1250,-212,0,-0.17467372,896,4.965319728,5,,,,
1440000,-220.8,1250,1250,2629.040752,-221.3046875,1250,-212,1250,-212,0,-0.16485487,1152,3.919183588,6,,,,
1760000,-220.6,1250,1250,3061.327981,-220.53125,1250,-212,1250,-212,0,-0.16763458,1408,3.810511777,7,,,,
1920000,-219.16,1250,1250,3494.056222,-219.3125,1250,-212,1250,-212,0,-0.17301838,1536,3.40799061,8,,,,
2240000,-218.2,1250,1250,3932.412503,-218.84375,1250,-212,1250,-212,0,-0.16472955,1792,2.84956137,9,,,,
2400000,-218.44,1250,1250,4367.145595,-218.75,1250,-208,1250,-208,0,-0.17567456,1920,3.482298092,10,,,,
2720000,-219.04,1250,1250,4803.268603,-218.828125,1250,-208,1250,-208,0,-0.1632332,2176,3.583071308,11,,,,
3040000,-220.34,1250,1250,5243.314653,-219.6796875,1250,-208,1250,-212,0,-0.16801515,2432,4.604823558,12,,,,
3200000,-219.96,1250,1250,5673.501246,-219.625,1250,-204,1250,-204,0,-0.17323676,2560,4.214071665,13,,,,
3520000,-218.6,1250,1250,6110.53934,-218.8984375,1250,-204,1250,-208,0,-0.16355295,2816,3.54964787,14,,,,
3680000,-218.12,1250,1250,6549.932495,-218,1250,-204,1250,-204,0,-0.17637241,2944,4.25036469,15,,,,
4000000,-217.92,1250,1250,6988.148399,-218.515625,1250,-200,1250,-200,0,-0.16185045,3200,4.399272667,16,,,,
4320000,-217.72,1250,1250,7435.502736,-217.90625,1250,-200,1250,-204,0,-0.1660348,3456,3.888650151,17,,,,
4480000,-218.12,1250,1250,7879.642341,-218.0625,1250,-200,1250,-200,0,-0.17265844,3584,3.85559334,18,,,,
4800000,-218.2,1250,1250,8320.877135,-218.2890625,1250,-200,1250,-200,0,-0.1622835,3840,3.974921383,19,,,,
4960000,-218.56,1250,1250,8761.384435,-218.6875,1250,-200,1250,-204,0,-0.17625898,3968,5.115310352,20,,,,
5280000,-217,1250,1250,9199.705722,-217.5546875,1250,-200,1250,-204,0,-0.16043974,4224,3.594440151,21,,,,
5600000,-216.98,1250,1250,9632.689607,-217.0625,1250,-200,1250,-200,0,-0.16530427,4480,4.422623656,22,,,,
5760000,-216.74,1250,1250,10068.0865,-216.8125,1250,-200,1250,-200,0,-0.17264453,4608,5.849136688,23,,,,
6080000,-216.76,1250,1250,10503.80479,-216.859375,1250,-200,1250,-200,0,-0.1612295,4864,4.145165859,24,,,,
6240000,-216.64,1250,1250,10947.0698,-216.78125,1250,-200,1250,-208,0,-0.17573224,4992,4.297720326,25,,,,
6560000,-216.36,1250,1250,11389.89099,-216.3125,1250,-200,1250,-200,0,-0.1600905,5248,4.736074324,26,,,,
6880000,-216.2,1250,1250,11838.32758,-216.03125,1250,-192,1250,-192,0,-0.16317172,5504,3.934463115,27,,,,
7040000,-216.24,1250,1250,12275.51121,-216.53125,1250,-192,1250,-200,0,-0.1731515,5632,4.226393261,28,,,,
7360000,-217.08,1250,1250,12715.62522,-216.5,1250,-192,1250,-200,0,-0.16121083,5888,4.302743311,29,,,,
7520000,-216.84,1250,1250,13151.14271,-216.9375,1250,-192,1250,-200,0,-0.1765265,6016,4.168261028,30,,,,
7840000,-217.74,1250,1250,13590.86097,-217.5546875,1250,-192,1250,-204,0,-0.16062368,6272,4.871591116,31,,,,
8160000,-216.96,1250,1250,14026.51802,-217.359375,1250,-192,1250,-200,0,-0.16369756,6528,3.883091552,32,,,,
8320000,-217.96,1250,1250,14457.95384,-217.8125,1250,-192,1250,-208,0,-0.1746446,6656,3.643953897,33,,,,
8640000,-216.74,1250,1250,14893.85911,-217.2890625,1250,-192,1250,-208,0,-0.16063929,6912,4.075831204,34,,,,
8800000,-216.92,1250,1250,15332.67623,-216.71875,1250,-192,1250,-200,0,-0.17686756,7040,3.192741768,35,,,,
9120000,-215.96,1250,1250,15773.28999,-216.15625,1250,-192,1250,-200,0,-0.1594036,7296,4.436034265,36,,,,
9440000,-216.46,1250,1250,16214.72888,-216.4296875,1250,-192,1250,-204,0,-0.16323006,7552,3.897229785,37,,,,
9600000,-216.32,1250,1250,16647.77564,-216.15625,1250,-192,1250,-200,0,-0.17313856,7680,3.864919145,38,,,,
9920000,-216.12,1250,1250,17077.31815,-215.96875,1250,-192,1250,-200,0,-0.15994513,7936,3.771683974,39,,,,
10080000,-215.6,1250,1250,17509.97506,-215.78125,1250,-192,1250,-200,0,-0.17664008,8064,4.059556626,40,,,,
10400000,-215.72,1250,1250,17947.48275,-215.890625,1250,-192,1250,-192,0,-0.15924184,8320,4.049888887,41,,,,
10720000,-215.68,1250,1250,18386.74915,-215.484375,1250,-192,1250,-200,0,-0.16203903,8576,3.906097797,42,,,,
10880000,-215.36,1250,1250,18828.01649,-215.34375,1250,-192,1250,-200,0,-0.17349486,8704,3.988784276,43,,,,
11200000,-216.24,1250,1250,19266.58097,-215.65625,1250,-192,1250,-200,0,-0.1599405,8960,3.289741631,44,,,,
11360000,-215.84,1250,1250,19706.54866,-215.84375,1250,-192,1250,-208,0,-0.176298,9088,3.294601645,45,,,,
11680000,-215.6,1250,1250,20138.73637,-215.453125,1250,-192,1250,-200,0,-0.15854207,9344,3.224903099,46,,,,
12000000,-216.18,1250,1250,20572.17385,-215.7734375,1250,-192,1250,-200,0,-0.16263293,9600,4.099707307,47,,,,
12160000,-215.2,1250,1250,21007.26191,-215.0625,1250,-192,1250,-200,0,-0.17365147,9728,3.622154055,48,,,,
12480000,-215.76,1250,1250,21442.31046,-215.734375,1250,-192,1250,-208,0,-0.15976861,9984,3.140445828,49,,,,
12640000,-215.96,1250,1250,21873.79601,-216.03125,1250,-192,1250,-192,0,-0.17692062,10112,4.638792946,50,,,,
12960000,-215.92,1250,1250,22309.10303,-215.90625,1250,-192,1250,-200,0,-0.15936936,10368,3.83583107,51,,,,
13280000,-216.06,1250,1250,22745.76719,-216.0703125,1250,-192,1250,-200,0,-0.16235568,10624,3.714350549,52,,,,
13440000,-215.72,1250,1250,23179.2804,-215.78125,1250,-192,1250,-200,0,-0.17461643,10752,4.089205302,53,,,,
13760000,-215.72,1250,1250,23617.14384,-215.875,1250,-192,1250,-200,0,-0.15999284,11008,3.262146533,54,,,,
13920000,-216.72,1250,1250,24052.18515,-216.625,1250,-192,1250,-208,0,-0.17741479,11136,2.553742352,55,,,,
14240000,-215.4,1250,1250,24486.57183,-215.46875,1250,-192,1250,-192,0,-0.15909119,11392,4.395452195,56,,,,
14560000,-215.66,1250,1250,24914.84917,-215.3515625,1250,-192,1250,-200,0,-0.16272439,11648,3.086162666,57,,,,
14720000,-215.4,1250,1250,25345.62305,-215.328125,1250,-192,1250,-200,0,-0.17359763,11776,3.218695388,58,,,,
15040000,-215.4,1250,1250,25775.84527,-215.171875,1250,-192,1250,-200,0,-0.15959483,12032,2.553429067,59,,,,
15200000,-215.2,1250,1250,26202.96304,-215.375,1250,-192,1250,-200,0,-0.17681795,12160,3.622154055,60,,,,
15520000,-214.48,1250,1250,26632.28718,-214.796875,1250,-192,1250,-192,0,-0.1587954,12416,4.622726468,61,,,,
15840000,-214.8,1250,1250,27065.19064,-214.984375,1250,-192,1250,-200,0,-0.16205281,12672,4.098780306,62,,,,
