recent_best_eplen,eprew_recent,rew_mean,recent_worst_eplen,eplen_std,n_updates,epcount,tcount,recent_best_ext_ret,eplen,eprew,best_eplen,total_secs,best_ext_ret,eprew_std
1000,-162.25,-0.15405254,1000,0.0,1,128.0,128000.0,-154.0,1000.0,-162.08,1000,418.86638712882996,-154.0,2.5910615585122634
1000,-162.1875,-0.15415242,1000,0.0,2,384.0,384000.0,-158.0,1000.0,-162.08,1000,838.2975249290466,-154.0,2.5910615585122634
1000,-162.09375,-0.15383852,1000,0.0,3,640.0,640000.0,-142.0,1000.0,-161.96,1000,1253.5309278964996,-142.0,3.4173674078155547
1000,-162.0625,-0.15306807,1000,0.0,4,896.0,896000.0,-150.0,1000.0,-161.88,1000,1670.550360918045,-142.0,2.6805969484426413
1000,-161.328125,-0.15175357,1000,0.0,5,1152.0,1152000.0,-150.0,1000.0,-160.88,1000,2095.661288499832,-142.0,3.2039975031201258
1000,-160.578125,-0.15111475,1000,0.0,6,1408.0,1408000.0,-150.0,1000.0,-160.84,1000,2519.9254302978516,-142.0,3.0090530071768424
1000,-160.34375,-0.15057673,1000,0.0,7,1664.0,1664000.0,-142.0,1000.0,-160.56,1000,2938.1142103672028,-142.0,3.225895224584952
1000,-159.8125,-0.15028879,1000,0.0,8,1920.0,1920000.0,-126.0,1000.0,-159.76,1000,3356.3318059444427,-126.0,3.4091641204260035
1000,-160.109375,-0.15038839,1000,0.0,9,2176.0,2176000.0,-142.0,1000.0,-159.96,1000,3772.699226617813,-126.0,4.019751236084143
1000,-159.8125,-0.14954439,1000,0.0,10,2432.0,2432000.0,-150.0,1000.0,-159.36,1000,4195.454332351685,-126.0,3.887209796242029
1000,-159.8125,-0.15022278,1000,0.0,11,2688.0,2688000.0,-142.0,1000.0,-159.64,1000,4625.5391681194305,-126.0,3.7987366320923064
1000,-159.109375,-0.14953236,1000,0.0,12,2944.0,2944000.0,-142.0,1000.0,-159.2,1000,5045.967477321625,-126.0,4.363484845854286
1000,-159.375,-0.14933546,1000,0.0,13,3200.0,3200000.0,-150.0,1000.0,-159.0,1000,5471.387341976166,-126.0,4.878524367060187
1000,-159.09375,-0.148971,1000,0.0,14,3456.0,3456000.0,-142.0,1000.0,-159.12,1000,5905.497187137604,-126.0,3.922448215082004
1000,-158.71875,-0.14923589,1000,0.0,15,3712.0,3712000.0,-142.0,1000.0,-159.16,1000,6334.984751939774,-126.0,4.428814739859865
1000,-158.734375,-0.14809358,1000,0.0,16,3968.0,3968000.0,-86.0,1000.0,-157.84,1000,6756.414035797119,-86.0,8.331530471648051
1000,-157.53125,-0.1472723,1000,0.0,17,4224.0,4224000.0,-134.0,1000.0,-157.96,1000,7181.84378862381,-86.0,5.698982365299966
1000,-157.359375,-0.14716703,1000,0.0,18,4480.0,4480000.0,-134.0,1000.0,-156.52,1000,7607.476021766663,-86.0,5.70347262639175
1000,-156.65625,-0.14635928,1000,0.0,19,4736.0,4736000.0,-142.0,1000.0,-156.2,1000,8033.1012897491455,-86.0,5.639148871948674
1000,-156.796875,-0.14605726,1000,0.0,20,4992.0,4992000.0,-134.0,1000.0,-156.36,1000,8460.397684574127,-86.0,6.147389689941577
1000,-155.265625,-0.14509891,1000,0.0,21,5248.0,5248000.0,-134.0,1000.0,-155.2,1000,8885.858730316162,-86.0,6.6332495807108
1000,-155.328125,-0.14528812,1000,0.0,22,5504.0,5504000.0,-134.0,1000.0,-155.36,1000,9317.285489797592,-86.0,6.279363025020929
1000,-155.171875,-0.14406106,1000,0.0,23,5760.0,5760000.0,-134.0,1000.0,-155.04,1000,9748.852610588074,-86.0,6.289546883520306
1000,-152.609375,-0.14346544,1000,0.0,24,6016.0,6016000.0,-126.0,1000.0,-153.24,1000,10181.517560958862,-86.0,7.5830336937138805
1000,-153.140625,-0.14293268,1000,0.0,25,6272.0,6272000.0,-94.0,1000.0,-152.36,1000,10616.189859390259,-86.0,6.647586028025511
1000,-152.34375,-0.14214493,1000,0.0,26,6528.0,6528000.0,-134.0,1000.0,-151.72,1000,11049.512490034103,-86.0,6.4808641399122076
1000,-151.859375,-0.1422259,1000,0.0,27,6784.0,6784000.0,-134.0,1000.0,-152.44,1000,11488.091312170029,-86.0,6.925777934643876
1000,-152.1875,-0.14188635,1000,0.0,28,7040.0,7040000.0,-110.0,1000.0,-152.32,1000,11925.971650362015,-86.0,6.862769120406135
1000,-151.296875,-0.14196426,1000,0.0,29,7296.0,7296000.0,-126.0,1000.0,-150.84,1000,12358.093648910522,-86.0,7.228720495357391
1000,-151.578125,-0.14077829,1000,0.0,30,7552.0,7552000.0,-126.0,1000.0,-150.96,1000,12789.63661646843,-86.0,8.101752896750183
1000,-150.09375,-0.14010163,1000,0.0,31,7808.0,7808000.0,-126.0,1000.0,-150.56,1000,13221.719601392746,-86.0,6.997599588430308
1000,-149.125,-0.13956776,1000,0.0,32,8064.0,8064000.0,-94.0,1000.0,-148.64,1000,13656.029519557953,-86.0,8.143119795262749
1000,-148.40625,-0.13886514,1000,0.0,33,8320.0,8320000.0,-126.0,1000.0,-148.56,1000,14087.706281423569,-86.0,7.277801865948261
1000,-148.25,-0.13910669,1000,0.0,34,8576.0,8576000.0,-126.0,1000.0,-148.6,1000,14524.610031366348,-86.0,8.204876598706406
1000,-147.96875,-0.13819815,1000,0.0,35,8832.0,8832000.0,-126.0,1000.0,-148.0,1000,14953.134802818298,-86.0,7.1442284397967
1000,-146.875,-0.13817477,1000,0.0,36,9088.0,9088000.0,-110.0,1000.0,-146.8,1000,15383.067844867706,-86.0,7.418894796396563
1000,-146.703125,-0.1368743,1000,0.0,37,9344.0,9344000.0,-94.0,1000.0,-145.92,1000,15810.435842037201,-86.0,12.052949846406895
1000,-145.65625,-0.1375973,1000,0.0,38,9600.0,9600000.0,-94.0,1000.0,-146.24,1000,16241.814465999603,-86.0,8.174496926416941
1000,-146.0,-0.13696739,1000,0.0,39,9856.0,9856000.0,-94.0,1000.0,-144.96,1000,16672.63223671913,-86.0,9.626962137663156
1000,-145.34375,-0.1351555,1000,0.0,40,10112.0,10112000.0,-94.0,1000.0,-146.24,1000,17099.644607543945,-86.0,8.115565291463065
1000,-143.453125,-0.13381308,1000,0.0,41,10368.0,10368000.0,-94.0,1000.0,-141.92,1000,17534.98077559471,-86.0,13.145097945622165
1000,-142.125,-0.13280112,1000,0.0,42,10624.0,10624000.0,-94.0,1000.0,-142.64,1000,17969.738894701004,-86.0,10.639097706102714
1000,-139.65625,-0.13266632,1000,0.0,43,10880.0,10880000.0,-86.0,1000.0,-139.76,1000,18400.286376476288,-86.0,14.247189196469597
1000,-141.734375,-0.13077,1000,0.0,44,11136.0,11136000.0,-94.0,1000.0,-141.04,1000,18828.34724521637,-86.0,11.82701991204885
1000,-137.46875,-0.13007963,1000,0.0,45,11392.0,11392000.0,-38.0,1000.0,-138.64,1000,19260.546437740326,-38.0,14.396888552739442
1000,-136.78125,-0.12768613,1000,0.0,46,11648.0,11648000.0,-30.0,1000.0,-135.72,1000,19690.620631456375,-30.0,19.768702537091304
1000,-136.40625,-0.12936537,1000,0.0,47,11904.0,11904000.0,-78.0,1000.0,-136.68,1000,20129.920865774155,-30.0,16.522033773116434
1000,-135.34375,-0.12650588,1000,0.0,48,12160.0,12160000.0,-70.0,1000.0,-132.04,1000,20563.64802289009,-30.0,16.766585818227874
1000,-132.140625,-0.121825956,1000,0.0,49,12416.0,12416000.0,2.0,1000.0,-130.76,1000,20998.366569280624,2.0,24.603707037761605
1000,-132.171875,-0.12198801,1000,0.0,50,12672.0,12672000.0,-70.0,1000.0,-132.96,1000,21427.91868185997,2.0,15.621728457504311
1000,-128.359375,-0.12041262,1000,0.0,51,12928.0,12928000.0,-30.0,1000.0,-129.6,1000,21856.526484012604,2.0,20.03596765818911
1000,-128.359375,-0.12141983,1000,0.0,52,13184.0,13184000.0,-38.0,1000.0,-129.68,1000,22287.97395992279,2.0,21.840732588445835
1000,-128.546875,-0.11823766,1000,0.0,53,13440.0,13440000.0,-38.0,1000.0,-127.48,1000,22723.803941249847,2.0,24.276111715017297
1000,-123.890625,-0.11488528,1000,0.0,54,13696.0,13696000.0,-30.0,1000.0,-125.76,1000,23147.171733140945,2.0,24.824632927799758
795,-114.54057692307693,-0.10585715,1000,25.485289874749316,55,13956.0,13955504.0,307.15,996.0,-106.31750000000002,795,23574.736356019974,307.15,74.51317647738553
843,-116.15096899224807,-0.10799678,1000,6.666415828614354,56,14214.0,14213280.0,289.55,999.33,-114.025,795,23998.702943325043,307.15,47.747061427903596
838,-117.64108527131783,-0.107091755,1000,17.90484850536301,57,14472.0,14471038.0,298.45,997.58,-114.434,795,24426.766673326492,307.15,62.29791243693483
1000,-116.734375,-0.10964564,1000,0.0,58,14728.0,14727038.0,10.0,1000.0,-117.04,795,24849.50984597206,307.15,31.379585720656035
964,-114.5784046692607,-0.10707855,1000,0.0,59,14985.0,14984002.0,273.35,1000.0,-113.6,795,25282.49765610695,307.15,31.42228508558854
892,-110.1156976744186,-0.10085661,1000,10.745864320751496,60,15243.0,15241852.0,287.7,998.92,-107.823,795,25710.557644605637,307.15,52.356791068590134
779,-107.7953846153846,-0.100404456,1000,12.75825615043059,61,15503.0,15501447.0,310.2,998.63,-106.204,779,26139.31371998787,310.2,64.3599816190154
646,-105.96288461538461,-0.095742,1000,18.60626507389379,62,15763.0,15760560.0,336.85,998.13,-108.266,646,26578.155304193497,336.85,54.17369143781879
805,-100.5511583011583,-0.09507373,1000,19.402255023579087,63,16022.0,16019046.0,305.15,998.05,-102.4085,646,27016.945188760757,336.85,54.17549586990413
709,-100.76187739463602,-0.09048883,1000,44.85051950646726,64,16283.0,16278752.0,324.35,989.97,-89.432,646,27452.278532743454,336.85,96.88457656407444
629,-95.0114503816794,-0.087031774,1000,30.289991746449843,65,16545.0,16539839.0,340.3,994.58,-83.79299999999999,629,27886.833270072937,340.3,99.02405137642067
456,-81.60684410646387,-0.075287245,1000,87.3443209373111,66,16808.0,16799868.0,374.8,978.36,-63.9045,456,28314.399490833282,374.8,118.73054811104849
516,-91.89770992366411,-0.080588594,1000,32.33820650561808,67,17070.0,17060437.0,362.85,993.98,-77.5905,456,28743.613987207413,374.8,92.18439664471421
686,-79.19809885931558,-0.075512305,1000,63.39077535414754,68,17333.0,17320858.0,328.85,983.36,-74.74549999999999,456,29174.718781232834,374.8,112.24122439972756
547,-75.49090909090908,-0.06773734,1000,77.80482247264625,69,17597.0,17581752.0,356.7,977.64,-49.20000000000001,456,29604.87243103981,374.8,129.84830380101235
648,-70.54735849056604,-0.055408172,1000,33.1991731824755,70,17862.0,17844323.0,336.4,993.43,-79.8045,456,30038.161788463593,374.8,93.54789283971071
572,-60.55576208178438,-0.054199584,1000,65.5895601448889,71,18131.0,18110549.0,351.65,980.36,-41.903,456,30464.388130426407,374.8,140.30837676703413
518,-38.91033834586466,-0.02832718,1000,88.69503424656872,72,18397.0,18370671.0,362.4,965.97,-8.702000000000002,456,30892.708055734634,374.8,155.12252333558786
512,-18.290151515151518,-0.012585409,1000,96.72723453092205,73,18661.0,18625030.0,363.6,962.39,-1.9060000000000008,456,31321.83278298378,374.8,165.3236500443902
581,-15.56703703703704,-0.0067240247,1000,80.51892696751491,74,18931.0,18885243.0,349.9,972.32,-26.935,456,31752.478793621063,374.8,144.4866586401665
468,-17.492613636363632,-0.014146763,1000,77.9884119597264,75,19195.0,19138511.0,372.55,976.26,-41.88450000000001,456,32185.772742509842,374.8,143.97851119090654
400,-5.169669117647057,0.0051047825,1000,132.75643072936242,76,19467.0,19395326.0,386.05,936.01,15.698000000000002,400,32625.902559518814,386.05,182.45303531594098
473,6.088447653429603,0.014933206,1000,109.9860804829411,77,19744.0,19656405.0,371.45,950.11,-7.689500000000001,400,33058.92143917084,386.05,169.80302754883377
