advstd,advmean,rew_mean,eprew,eprew_recent,recent_best_eplen,eplen,recent_best_ext_ret,tcount,best_ext_ret,best_eplen,ups,n_updates,total_secs,tps,epcount
1.2511925,-5.7392173,-0.35480794,-93.76,-93.29464285714286,250,250.0,-80.0,224000.0,-80.0,250,0.004040140006346355,1,247.51617288589478,1034.275841624667,896.0
1.8742114,-4.583584,-0.3658931,-92.82,-93.193359375,250,250.0,-86.0,480000.0,-80.0,250,0.004017487939839427,2,496.42793440818787,1028.4769125988933,1920.0
2.3392916,-3.5582967,-0.36624065,-93.02,-93.01171875,250,250.0,-86.0,736000.0,-80.0,250,0.00394859342392692,3,749.6826741695404,1010.8399165252914,2944.0
2.7531044,-2.65792,-0.36553505,-92.56,-92.94140625,250,250.0,-86.0,992000.0,-80.0,250,0.003940640876122002,4,1003.4485034942627,1008.8040642872324,3968.0
2.9987478,-2.037319,-0.36366576,-92.42,-92.544921875,250,250.0,-84.0,1248000.0,-80.0,250,0.003946117813317485,5,1256.8621234893799,1010.2061602092763,4992.0
3.1495755,-1.4403629,-0.3598289,-91.72,-91.681640625,250,250.0,-82.0,1504000.0,-80.0,250,0.004049448528352949,6,1503.809329509735,1036.658823258355,6016.0
3.1816497,-1.117416,-0.35709566,-90.66,-90.919921875,250,250.0,-80.0,1760000.0,-80.0,250,0.004000667008026451,7,1753.7676484584808,1024.1707540547716,7040.0
3.2387192,-0.8612805,-0.35439172,-90.2,-90.26868292682926,204,250.0,44.6,2016204.0,44.6,204,0.004018688313323765,8,2002.6050605773926,1028.784208210884,8065.0
3.3452933,-0.7046792,-0.3505651,-89.26,-89.04849074975658,174,250.0,56.7,2272857.0,56.7,174,0.004001488293111124,9,2252.512076854706,1024.3810030364477,9092.0
3.836138,-0.5602119,-0.3442103,-85.899,-87.30522749273959,190,249.11,50.0,2530757.0,56.7,174,0.004013143276159662,10,2501.69331240654,1027.3646786968734,10125.0
4.511734,-0.3371259,-0.33610877,-86.40699999999998,-85.1860153256705,119,249.93,76.5,2791065.0,76.5,119,0.003964241515177086,11,2753.9483771324158,1014.8458278853341,11169.0
5.6965985,-0.1541297,-0.32160872,-76.843,-81.17660984848484,138,248.19,69.0,3053341.0,76.5,119,0.004022240341236944,12,3002.5660417079926,1029.6935273566576,12225.0
6.967205,0.12834606,-0.3011566,-69.54400000000001,-75.6713747645951,139,245.01,70.4,3315255.0,76.5,119,0.0040229677969211555,13,3251.1387498378754,1029.8797560118157,13287.0
6.9389877,0.046839472,-0.3002147,-81.384,-74.91631477927064,140,248.48,70.1,3571742.0,76.5,119,0.0040048804477105845,14,3500.8340935707092,1025.2493946139098,14329.0
7.3873105,0.17076236,-0.29196802,-71.94699999999999,-72.08404966571156,105,243.41,84.0,3826807.0,84.0,105,0.0039836246371544514,15,3751.861760854721,1019.8079071115395,15376.0
8.034642,0.39113832,-0.27213064,-57.00299999999999,-66.52881516587678,120,235.48,78.1,4081193.0,84.0,105,0.004016129364532899,16,4000.8577241897583,1028.129117320422,16431.0
8.161812,0.38941142,-0.26255983,-59.1,-63.65172413793104,109,235.88,82.5,4337036.0,84.0,105,0.004048662785622846,17,4247.852856397629,1036.4576731194486,17504.0
9.65131,1.1566191,-0.20835702,-49.179000000000016,-49.01590296495957,110,229.19,82.2,4593989.0,84.0,105,0.003975147842557121,18,4499.415827035904,1017.6378476946231,18617.0
10.209098,1.447829,-0.16103983,-36.534000000000006,-36.93705318221448,99,220.98,86.6,4849957.0,86.6,99,0.0040056735097183495,19,4749.06173491478,1025.4524184878976,19764.0
11.406135,2.296025,-0.054456655,-15.931,-11.79902755267423,93,206.41,88.8,5105186.0,88.8,93,0.004006783812973754,20,4998.638464450836,1025.7366561212812,20998.0
12.019923,3.1422896,0.049071465,12.665,8.203786191536748,91,186.98,89.7,5362918.0,89.7,91,0.004062587199997804,21,5244.78702712059,1040.0223231994378,22345.0
11.867704,3.3432949,0.12541403,22.976,21.954577714691272,87,183.47,91.5,5619031.0,91.5,87,0.004001566779383192,22,5494.689141750336,1024.4010955220972,23754.0
11.521,4.4780264,0.23724875,30.475,38.15313915857605,88,169.54,90.9,5876934.0,91.5,87,0.004030443436299734,23,5742.800798892975,1031.793519692732,25299.0
10.839703,5.045011,0.3300528,45.243,50.221424260712126,91,154.19,89.7,6132324.0,91.5,87,0.004060088682133603,24,5989.1008377075195,1039.3827026262024,26956.0
10.212104,4.6316333,0.40141582,52.121,57.17454853273137,86,148.29,91.8,6390155.0,91.8,86,0.004020550822280031,25,6237.822976589203,1029.2610105036879,28728.0
9.592531,4.635987,0.46379387,61.167,62.64206859592712,84,137.14,92.5,6647603.0,92.5,84,0.004051684682953305,26,6484.633890628815,1037.2312788360462,30594.0
9.539558,3.2486105,0.45693544,61.236999999999995,62.66416621694549,85,139.57,92.1,6902245.0,92.5,84,0.003972180007767842,27,6736.384817838669,1016.8780819885677,32447.0
8.552195,3.3189225,0.5383705,73.17300000000002,68.98217721518986,84,123.87,92.5,7159205.0,92.5,84,0.00400359761986401,28,6986.160168647766,1024.9209906851866,34422.0
8.079313,2.9448633,0.58709854,70.42800000000001,72.581884765625,80,128.04,94.1,7416345.0,94.1,80,0.00406795364455682,29,7231.984012126923,1041.396133006546,36470.0
7.533609,2.4596863,0.62614375,71.59,75.38227488151658,75,125.2,96.1,7671604.0,96.1,75,0.0040200741357014425,30,7480.735643625259,1029.1389787395692,38580.0
7.3064485,1.6391302,0.6588922,77.91799999999999,77.02203780544029,75,114.84,96.1,7928112.0,96.1,75,0.004075036725695462,31,7726.13220500946,1043.2094017780382,40749.0
6.3237906,1.7943064,0.7284664,79.577,80.76666666666668,75,113.57,96.1,8184992.0,96.1,75,0.0040024203211775165,32,7975.9810264110565,1024.6196022214442,43038.0
5.931977,1.2576467,0.74171394,80.62,81.51330453563715,76,110.81,95.9,8440393.0,96.1,75,0.004035830558915361,33,8223.761498212814,1033.1726230823324,45353.0
5.5247135,1.1566616,0.7811917,83.42199999999998,82.77466555183946,75,106.67,96.1,8697212.0,96.1,75,0.0040112777823722,34,8473.058618545532,1026.8871122872831,47745.0
5.103308,0.76026326,0.8046212,83.71600000000002,84.02167487684729,76,105.96,95.7,8953133.0,96.1,75,0.004007946526394042,35,8722.562945365906,1026.034310756875,50181.0
4.8806744,1.0226098,0.81729406,84.905,84.23193993506493,75,102.93,96.1,9209046.0,96.1,75,0.004015613626842934,36,8971.590888023376,1027.997088471791,52645.0
4.6782,0.7692297,0.8484004,84.93700000000001,85.46092820309401,72,102.88,97.2,9464575.0,97.2,72,0.004039287430160242,37,9219.159306287766,1034.057582121022,55166.0
4.4221745,0.64967114,0.8699168,86.23,86.13439688715953,74,99.7,96.4,9721044.0,97.2,72,0.004063858864834393,38,9465.230844020844,1040.3478693976047,57736.0
4.4146137,0.8928401,0.886627,86.92900000000002,86.65922217943782,69,97.97,98.5,9977094.0,98.5,69,0.004010983706400014,39,9714.546242237091,1026.8118288384035,60333.0
4.3525834,0.84186405,0.90670615,87.33400000000002,87.01156462585034,71,96.88,97.7,10233964.0,98.5,69,0.004012089030752434,40,9963.792954444885,1027.0947918726233,62979.0
4.176465,1.0512923,0.93195826,88.10099999999998,88.07191679049035,69,95.04,98.5,10489554.0,98.5,69,0.00403944914004772,41,10211.35146188736,1034.0989798522162,65671.0
4.2563305,0.6540256,0.9402527,88.72900000000001,88.1109265411591,70,93.5,98.2,10745946.0,98.5,69,0.003999935139754123,42,10461.35551571846,1023.9833957770553,68380.0
3.9686773,0.62048656,0.95958704,88.91699999999999,88.80614769006912,65,92.86,100.1,11002209.0,100.1,65,0.003992504801153071,43,10711.824845075607,1022.0812290951861,71129.0
4.140152,0.26955,0.96464723,89.79900000000002,88.94949201741655,69,90.77,98.5,11257863.0,100.1,65,0.003998496617040858,44,10961.918841838837,1023.6151339624597,73885.0
3.9016883,0.07043373,0.98481345,88.402,89.40282142857143,67,91.57,99.4,11514128.0,100.1,65,0.003992695336435865,45,11212.376218557358,1022.1300061275816,76685.0
3.8966465,0.109435804,0.9951834,90.15199999999997,89.73252926569705,69,89.87,98.4,11769817.0,100.1,65,0.004041010840030385,46,11459.839053869247,1034.4987750477785,79504.0
3.71006,0.40255162,1.0138172,90.435,90.15397548161121,68,89.19,99.1,12026311.0,100.1,65,0.003981296669566168,47,11711.013503551483,1019.211947408939,82359.0
3.6647313,0.63472885,1.0212535,90.23200000000001,90.43754789272032,66,89.71,99.4,12282188.0,100.1,65,0.004046064218250455,48,11958.16726732254,1035.7924398721166,85230.0
3.7205832,0.410584,1.0251095,88.959,90.57128472222222,66,89.93,99.7,12537384.0,100.1,65,0.004103788168384439,49,12201.844562292099,1050.5697711064163,88110.0
3.6391819,0.65190136,1.049452,91.165,91.03397063844315,65,87.37,100.1,12794107.0,100.1,65,0.003970139310439776,50,12453.724892377853,1016.3556634725826,91039.0
3.5396228,0.71089995,1.0587841,91.08800000000001,91.28313539192399,65,87.51,100.1,13050518.0,100.1,65,0.004073747710091321,51,12699.199102163315,1042.8794137833781,93986.0
