eplenmean,time_elapsed,value_loss,curbestrew,curbestlen,nupdates,epbestlen,epbestrew,eprewmean,serial_timesteps,fps,clipfrac,explained_variance,policy_loss,policy_entropy,total_timesteps,approxkl
1000.0,145.1720380783081,17.475792,-80.0,1000,1,1000,-80.0,-86.14,2048,1806,0.05653763,-0.00924527645111084,-0.0043409406,2.0660665,262144,0.013408289
1000.0,275.0287251472473,17.03903,-82.0,1000,2,1000,-80.0,-86.16,4096,2020,0.004719734,0.021891474723815918,-0.0007400329,2.0602005,524288,0.0033725742
1000.0,404.21519112586975,16.119638,-80.0,1000,3,1000,-80.0,-85.92,6144,2029,0.0025758743,0.014717578887939453,-0.00057466276,2.0483084,786432,0.0025925708
1000.0,536.0997407436371,15.806406,-82.0,1000,4,1000,-80.0,-85.96,8192,1987,0.0023078918,0.022800326347351074,-0.0006538737,2.0323172,1048576,0.002268931
1000.0,663.864634513855,15.676086,-82.0,1000,5,1000,-80.0,-85.94,10240,2051,0.018092155,0.01746058464050293,-0.00086768536,2.0423043,1310720,0.005659423
1000.0,792.5639975070953,15.201238,-82.0,1000,6,1000,-80.0,-86.02,12288,2036,0.010831833,0.011938631534576416,-0.0010900772,2.0278525,1572864,0.004875866
1000.0,923.5160202980042,15.1376915,-84.0,1000,7,1000,-80.0,-86.04,14336,2001,0.0142765045,0.019559204578399658,-0.0012090376,2.046917,1835008,0.003541898
1000.0,1054.314260005951,14.918735,-84.0,1000,8,1000,-80.0,-86.06,16384,2004,0.0019168854,0.02275240421295166,-0.00093942287,2.0486207,2097152,0.0023696509
1000.0,1185.470232963562,14.394866,-80.0,1000,9,1000,-80.0,-85.84,18432,1998,0.0051050186,0.055115461349487305,-0.0007810084,2.0418987,2359296,0.0029049355
1000.0,1314.7791812419891,14.312323,-84.0,1000,10,1000,-80.0,-86.04,20480,2027,0.011220932,0.07941555976867676,-0.00041265468,2.0271554,2621440,0.0027620138
1000.0,1443.181799173355,13.953845,-82.0,1000,11,1000,-80.0,-86.14,22528,2042,0.02781105,0.06808942556381226,-0.0001578532,2.0039315,2883584,0.0037956827
1000.0,1571.5180461406708,13.625419,-78.0,1000,12,1000,-78.0,-86.0,24576,2042,0.013208389,0.10053539276123047,-0.00067096885,2.0000682,3145728,0.0036000214
1000.0,1701.8853335380554,13.407514,-82.0,1000,13,1000,-78.0,-86.14,26624,2010,0.011111259,0.13699376583099365,-0.0005042098,1.9640654,3407872,0.0029297513
1000.0,1833.7832686901093,13.502752,-86.0,1000,14,1000,-78.0,-86.38,28672,1987,0.009414673,0.1395450234413147,-6.289404e-05,1.937682,3670016,0.0021551703
1000.0,1961.7621493339539,12.941472,-86.0,1000,15,1000,-78.0,-86.68,30720,2048,0.01888752,0.11223804950714111,-2.3516759e-05,1.9215592,3932160,0.0025137563
1000.0,2091.0315651893616,12.926356,-86.0,1000,16,1000,-78.0,-86.6,32768,2027,0.035593987,0.11976391077041626,0.00010571038,1.9278556,4194304,0.0035497388
1000.0,2223.105753660202,12.616647,-84.0,1000,17,1000,-78.0,-86.5,34816,1984,0.0067272186,0.16889530420303345,-0.0005950419,1.9374096,4456448,0.0030176213
1000.0,2352.4014542102814,12.446614,-86.0,1000,18,1000,-78.0,-86.28,36864,2027,0.021701813,0.20476287603378296,-0.00017620652,1.9186738,4718592,0.0035491015
