total_secs,best_ext_ret,eplen,rew_mean,epcount,ups,advmean,advstd,best_eplen,eprew,tps,recent_best_ext_ret,recent_best_eplen,tcount,n_updates,eprew_recent
244.09388256072998,-76.0,250.0,-0.33515722,896.0,0.004096784322157098,-5.608687,1.3122685,250,-88.8,1048.776786472217,-76.0,250,224000.0,1,-88.32589285714286
490.84489393234253,-76.0,250.0,-0.34379876,1920.0,0.004052668292791626,-4.451858,1.9276352,250,-88.62,1037.483082954656,-76.0,250,480000.0,2,-88.435546875
733.6408569812775,-72.0,250.0,-0.34368014,2944.0,0.0041186846249105565,-3.4852748,2.3914292,250,-88.7,1054.3832639771026,-72.0,250,736000.0,3,-88.306640625
975.0508360862732,44.0,250.0,-0.34159282,3969.0,0.004142330833660662,-2.6412632,2.7899742,220,-87.46,1060.4366934171296,44.0,220,992220.0,4,-87.84780487804878
1218.697783946991,44.0,250.0,-0.3440576,4993.0,0.004104299310047815,-2.0403569,2.9521987,220,-88.22,1050.7006233722407,-76.0,250,1248220.0,5,-88.314453125
1460.459567785263,44.0,250.0,-0.3432761,6017.0,0.004136303034018626,-1.52153,3.0763245,220,-88.0,1058.8935767087683,-76.0,250,1504220.0,6,-88.337890625
1703.76899766922,44.0,250.0,-0.34255195,7041.0,0.004109992779469896,-1.1770365,3.1475132,220,-88.02,1052.1581515442936,-72.0,250,1760220.0,7,-88.0546875
1948.2354249954224,44.0,250.0,-0.34292915,8065.0,0.004090541228655728,-0.98721844,3.1476958,220,-87.98,1047.1785545358662,-72.0,250,2016220.0,8,-88.12109375
2191.1816606521606,44.0,250.0,-0.34317076,9089.0,0.004116137042818446,-0.8928698,3.1017911,220,-87.74,1053.7310829615221,-72.0,250,2272220.0,9,-88.0
2436.6409232616425,44.0,250.0,-0.34546807,10113.0,0.0040739957798658,-0.90610904,3.0520353,220,-88.94,1042.9429196456447,-68.0,250,2528220.0,10,-88.28515625
2679.6887922286987,44.0,250.0,-0.34527087,11137.0,0.004114415831950965,-0.8671309,3.0371954,220,-88.0,1053.290452979447,-68.0,250,2784220.0,11,-88.185546875
2922.421770811081,44.0,250.0,-0.34549987,12161.0,0.004119753343118993,-0.75486493,3.0826907,220,-87.68,1054.6568558384622,-72.0,250,3040220.0,12,-88.060546875
3163.1421222686768,44.0,250.0,-0.34657887,13185.0,0.004154197989263718,-0.77306557,3.0550516,220,-87.82,1063.4746852515118,-72.0,250,3296220.0,13,-88.16015625
3402.0119767189026,44.0,250.0,-0.34664315,14209.0,0.004186380078396931,-0.7496111,3.0982473,220,-87.94,1071.7133000696144,-72.0,250,3552220.0,14,-88.078125
3645.3237500190735,44.0,250.0,-0.3482739,15233.0,0.004109953194769213,-0.6731805,3.1204386,220,-88.38,1052.1480178609186,-68.0,250,3808220.0,15,-88.3125
3887.1913225650787,44.0,250.0,-0.3490062,16257.0,0.004134493886359204,-0.64589924,3.114539,220,-88.84,1058.4304349079562,-76.0,250,4064220.0,16,-88.466796875
4130.358938217163,44.0,250.0,-0.35009816,17281.0,0.0041123897083021315,-0.63077486,3.1591234,220,-88.76,1052.7717653253458,-72.0,250,4320220.0,17,-88.740234375
4374.547047138214,44.0,250.0,-0.35010543,18305.0,0.004095203506913238,-0.52685803,3.2173188,220,-88.52,1048.372097769789,-76.0,250,4576220.0,18,-88.697265625
4617.969088315964,44.0,250.0,-0.34959725,19329.0,0.00410809142492478,-0.47523978,3.250248,220,-88.38,1051.6714047807436,-76.0,250,4832220.0,19,-88.482421875
4862.827850818634,44.0,250.0,-0.34978,20353.0,0.004083986988168718,-0.40757984,3.297558,220,-88.54,1045.500668971192,-76.0,250,5088220.0,20,-88.51171875
5105.234355211258,44.0,250.0,-0.3480633,21377.0,0.004125301845780128,-0.33712235,3.3535779,220,-88.44,1056.0772725197128,-72.0,250,5344220.0,21,-88.1171875
5344.879440784454,44.0,250.0,-0.34763792,22401.0,0.004172837500957487,-0.29271394,3.350693,220,-88.04,1068.2464002451165,-76.0,250,5600220.0,22,-88.029296875
5589.1394302845,44.0,250.0,-0.34752065,23425.0,0.004093998374628656,-0.26258373,3.4082093,220,-87.88,1048.063583904936,-72.0,250,5856220.0,23,-87.7421875
5834.75089931488,44.0,250.0,-0.34692454,24449.0,0.004071471108201009,-0.21989568,3.4180224,220,-87.9,1042.2966036994583,-76.0,250,6112220.0,24,-87.763671875
6081.519535303116,44.0,250.0,-0.34814826,25473.0,0.004052378844642454,-0.2127812,3.4495466,220,-87.94,1037.4089842284682,-80.0,250,6368220.0,25,-88.015625
6324.345288991928,44.0,250.0,-0.3482649,26497.0,0.004118179331511628,-0.23696138,3.4800344,220,-88.08,1054.2539088669766,-68.0,250,6624220.0,26,-88.01953125
6568.703490018845,44.0,250.0,-0.348482,27521.0,0.004092352930237231,-0.1991003,3.5005121,220,-88.38,1047.642350140731,-76.0,250,6880220.0,27,-88.09765625
6813.238775730133,44.0,250.0,-0.3478937,28545.0,0.004089389378270153,-0.12262315,3.5406334,220,-88.36,1046.883680837159,-76.0,250,7136220.0,28,-87.962890625
7055.901828050613,44.0,250.0,-0.34804493,29569.0,0.004120940499336172,-0.081744514,3.5547202,220,-88.02,1054.9607678300601,-80.0,250,7392220.0,29,-88.07421875
7299.22479224205,44.0,250.0,-0.34767264,30593.0,0.004109764170114417,-0.09193991,3.57834,220,-88.12,1052.0996275492905,-76.0,250,7648220.0,30,-87.89453125
7544.1502685546875,44.0,250.0,-0.34952754,31617.0,0.004082874574972924,-0.08192884,3.621023,220,-88.42,1045.2158911930685,-76.0,250,7904220.0,31,-88.361328125
7787.572931289673,44.0,250.0,-0.34783927,32641.0,0.004108080935293612,-0.0779028,3.6419482,220,-87.7,1051.6687194351646,-72.0,250,8160220.0,32,-87.921875
8031.129667043686,44.0,250.0,-0.3489203,33665.0,0.004105819520466796,-0.12530987,3.678541,220,-87.94,1051.0897972394996,-72.0,250,8416220.0,33,-88.09765625
