epbestrew,policy_loss,serial_timesteps,time_elapsed,fps,value_loss,curbestlen,explained_variance,policy_entropy,eplenmean,epbestlen,curbestrew,eprewmean,approxkl,nupdates,total_timesteps,clipfrac
-134.0,-0.0020565824,2048,136.60877776145935,1919,20.355066,1500,-0.022899150848388672,2.0757763,1500.0,1500,-134.0,-140.04,0.0039265896,1,262144,0.063054085
-130.0,-0.0017507393,4096,263.24117064476013,2071,19.398544,1500,-0.008244872093200684,2.0664403,1500.0,1500,-130.0,-138.18,0.0026581113,2,524288,0.08189678
-126.0,-0.002178837,6144,391.9503924846649,2036,18.287565,1500,-0.006936550140380859,2.0472364,1500.0,1500,-126.0,-134.78,0.0029957015,3,786432,0.06935978
-122.0,-0.0022638189,8192,521.1208720207214,2029,17.155695,1500,0.007129669189453125,2.0246584,1500.0,1500,-122.0,-132.86,0.002916144,4,1048576,0.10037041
-122.0,-0.00018595098,10240,648.7610831260681,2053,16.157427,1500,0.015587210655212402,2.0131338,1500.0,1500,-122.0,-131.0,0.0013544301,5,1310720,0.07519913
-122.0,-0.00081837416,12288,774.7342262268066,2081,15.930216,1500,0.023265182971954346,1.9931824,1500.0,1500,-122.0,-131.24,0.0021669646,6,1572864,0.097717285
-122.0,-0.0010938789,14336,899.8138701915741,2095,15.523039,1500,0.026684939861297607,1.996202,1500.0,1500,-126.0,-130.56,0.001983605,7,1835008,0.045096397
-122.0,-0.0012876575,16384,1026.0118386745453,2077,15.4199095,1500,0.0313146710395813,1.9618725,1500.0,1500,-122.0,-129.98,0.0021659397,8,2097152,0.04575634
-122.0,-0.0006036087,18432,1153.2635190486908,2060,15.047066,1500,0.02717411518096924,1.9420975,1500.0,1500,-122.0,-130.02,0.0014049682,9,2359296,0.024739265
-122.0,-0.00088061515,20480,1279.0124263763428,2084,15.146188,1500,0.035680294036865234,1.9266113,1500.0,1500,-122.0,-130.0,0.0018570729,10,2621440,0.04020405
-122.0,-0.00036038092,22528,1404.9285509586334,2082,14.718582,1500,0.03039795160293579,1.9148277,1500.0,1500,-122.0,-130.26,0.001513615,11,2883584,0.012311935
-122.0,-0.00066612294,24576,1531.612798690796,2069,14.6328335,1500,0.05246549844741821,1.8954614,1500.0,1500,-122.0,-130.44,0.0017321092,12,3145728,0.032201767
-122.0,-0.00037126106,26624,1657.2175695896149,2087,14.440615,1500,0.052426934242248535,1.9077965,1500.0,1500,-122.0,-129.38,0.0010771941,13,3407872,0.0281744
-110.0,-0.0002709518,28672,1785.5526187419891,2042,14.128349,1500,0.06161308288574219,1.8935139,1500.0,1500,-110.0,-129.32,0.0013254959,14,3670016,0.012412071
-110.0,-0.00035601333,30720,1913.6001658439636,2047,14.16461,1500,0.06982827186584473,1.8900199,1500.0,1500,-114.0,-129.68,0.0011535069,15,3932160,0.027941704
-110.0,4.2513933e-05,32768,2041.4645113945007,2050,14.047407,1500,0.08590048551559448,1.9018381,1500.0,1500,-122.0,-129.84,0.00115641,16,4194304,0.023150444
-110.0,-0.00025637282,34816,2166.913283586502,2089,13.971587,1500,0.09438818693161011,1.8970486,1500.0,1500,-122.0,-129.84,0.0013495188,17,4456448,0.019444466
-110.0,-0.00026302677,36864,2294.0210740566254,2062,13.777151,1500,0.11104846000671387,1.8705529,1500.0,1500,-122.0,-130.04,0.0012109503,18,4718592,0.015782356
-110.0,-0.00024240243,38912,2421.5565934181213,2055,13.7151165,1500,0.11928457021713257,1.8609163,1500.0,1500,-122.0,-129.96,0.0011216507,19,4980736,0.028411865
-110.0,-9.828653e-05,40960,2549.198860168457,2053,14.132548,1500,0.08988392353057861,1.8637928,1500.0,1500,-122.0,-130.18,0.0018022825,20,5242880,0.049798965
-110.0,-0.0001311773,43008,2678.6383080482483,2025,13.925711,1500,0.10717052221298218,1.8696326,1500.0,1500,-118.0,-129.8,0.00053457916,21,5505024,0.006465912
-110.0,-0.00024579957,45056,2808.144262075424,2024,12.9394245,1500,0.14952129125595093,1.8799139,1500.0,1500,-118.0,-129.04,0.0013711901,22,5767168,0.013776779
-110.0,-0.00033493713,47104,2934.778252840042,2070,12.767087,1500,0.19418835639953613,1.8591293,1500.0,1500,-114.0,-129.1,0.0016519927,23,6029312,0.028430939
-110.0,-0.00020473069,49152,3062.051859140396,2059,12.804616,1500,0.17870306968688965,1.8962877,1500.0,1500,-110.0,-128.52,0.0007306785,24,6291456,0.017442703
-110.0,-0.00012327408,51200,3189.7969341278076,2052,12.859982,1500,0.2313264012336731,1.8920934,1500.0,1500,-114.0,-129.52,0.0009710648,25,6553600,0.012787819
-110.0,-0.00020015122,53248,3315.525993347168,2085,13.6439,1500,0.1771700382232666,1.8885368,1500.0,1500,-118.0,-130.02,0.0013488883,26,6815744,0.026592255
-110.0,-0.00011791473,55296,3442.1277120113373,2070,13.1101,1500,0.21087348461151123,1.8954009,1500.0,1500,-118.0,-130.72,0.001113933,27,7077888,0.012275696
-98.0,-0.00020093899,57344,3568.2620050907135,2078,14.087498,1500,0.17351597547531128,1.9023372,1500.0,1500,-98.0,-130.68,0.0011347361,28,7340032,0.009151459
-98.0,-8.977294e-05,59392,3696.0132625102997,2052,12.975772,1500,0.24513405561447144,1.9183578,1500.0,1500,-122.0,-131.68,0.001217007,29,7602176,0.009379387
-98.0,-0.00023320683,61440,3823.5950322151184,2054,12.012335,1500,0.33935296535491943,1.9112394,1500.0,1500,-102.0,-128.84,0.0010088112,30,7864320,0.014708519
-98.0,-0.00016645897,63488,3951.5598559379578,2048,11.20246,1500,0.37340009212493896,1.9091289,1500.0,1500,-106.0,-129.12,0.00087351695,31,8126464,0.023519516
-98.0,-0.00011788653,65536,4077.7940258979797,2076,13.250544,1500,0.23608654737472534,1.9157561,1500.0,1500,-102.0,-129.68,0.00082834763,32,8388608,0.0068979263
-98.0,-7.947982e-05,67584,4202.542064905167,2101,11.912479,1500,0.385174036026001,1.9194334,1500.0,1500,-122.0,-133.02,0.00088326295,33,8650752,0.00779438
-98.0,-0.00013187356,69632,4328.848572015762,2075,12.225,1500,0.39600932598114014,1.9216877,1500.0,1500,-110.0,-133.2,0.0005974608,34,8912896,0.006014824
-98.0,-0.00026190773,71680,4456.2623546123505,2057,12.133261,1500,0.3927103877067566,1.9292474,1500.0,1500,-122.0,-134.04,0.0013187858,35,9175040,0.015625
-98.0,-0.00032385788,73728,4584.315247058868,2047,12.74349,1500,0.4038277268409729,1.9226975,1500.0,1500,-122.0,-136.04,0.0011611994,36,9437184,0.0126514435
-98.0,-0.0002776116,75776,4713.778205633163,2024,13.113973,1500,0.3465413451194763,1.919469,1500.0,1500,-122.0,-137.26,0.0014479883,37,9699328,0.026569366
-98.0,-0.00053409545,77824,4841.153179645538,2058,13.149363,1500,0.3834744095802307,1.9123988,1500.0,1500,-130.0,-138.78,0.0013600184,38,9961472,0.02218151
-98.0,-0.00047816389,79872,4965.846566915512,2102,13.390164,1500,0.37021827697753906,1.9238094,1500.0,1500,-130.0,-139.2,0.0015302547,39,10223616,0.046237946
-98.0,-0.0008696384,81920,5091.184761047363,2091,13.045076,1500,0.3446139097213745,1.9229202,1500.0,1500,-130.0,-139.54,0.001811493,40,10485760,0.045788765
-98.0,-0.0008876437,83968,5217.967873096466,2068,13.399908,1500,0.30699384212493896,1.9151028,1500.0,1500,-136.0,-139.94,0.0019706443,41,10747904,0.04660511
-98.0,-0.0007874446,86016,5344.1385316848755,2077,13.045934,1500,0.2889408469200134,1.9001194,1500.0,1500,-138.0,-140.26,0.0016382212,42,11010048,0.036445618
-98.0,8.708856e-06,88064,5470.830027341843,2069,13.691601,1500,0.2880105972290039,1.9043833,1500.0,1500,-140.0,-140.44,0.0012061136,43,11272192,0.019534111
-98.0,-0.00045986037,90112,5596.739288330078,2082,13.110456,1500,0.2847566604614258,1.8943878,1500.0,1500,-140.0,-140.5,0.0014856737,44,11534336,0.030456543
-98.0,-0.0005610858,92160,5722.527210235596,2084,13.427292,1500,0.31793028116226196,1.891784,1500.0,1500,-140.0,-140.44,0.001361701,45,11796480,0.026369095
-98.0,-0.0002369857,94208,5849.645683526993,2062,13.091756,1500,0.29629993438720703,1.8889676,1500.0,1500,-140.0,-140.74,0.00078674016,46,12058624,0.008835793
-98.0,-0.00054208527,96256,5973.271240234375,2120,13.466978,1500,0.30412381887435913,1.880227,1500.0,1500,-140.0,-140.74,0.0013850536,47,12320768,0.022266388
-98.0,-0.00023022585,98304,6098.871383428574,2087,12.979536,1500,0.2882855534553528,1.8735298,1500.0,1500,-140.0,-140.74,0.0010244779,48,12582912,0.009522438
-98.0,-0.00012110111,100352,6224.35321855545,2089,13.368228,1500,0.3158103823661804,1.8725518,1500.0,1500,-140.0,-140.86,0.0007612181,49,12845056,0.019117355
