nupdates,serial_timesteps,time_elapsed,value_loss,epbestrew,policy_entropy,explained_variance,eprewmean,total_timesteps,approxkl,fps,curbestrew,clipfrac,eplenmean,curbestlen,epbestlen,policy_loss
1,2048,133.29576587677002,20.127615,-180.0,2.0765867,-0.011189579963684082,-189.46,262144,0.002713837,1967,-180.0,0.02538395,2000.0,2000,2000,-0.00085155276
2,4096,266.73538041114807,19.400425,-176.0,2.0783594,0.002913832664489746,-189.58,524288,0.0026592116,1965,-176.0,0.04225254,2000.0,2000,2000,-0.0015477785
3,6144,400.40700364112854,19.184242,-176.0,2.078909,0.009107708930969238,-190.36,786432,0.00018552814,1961,-176.0,0.0,2000.0,2000,2000,-9.857933e-05
4,8192,528.9954476356506,18.889061,-176.0,2.0783973,0.009459078311920166,-189.08,1048576,0.00020659268,2038,-180.0,4.4822693e-05,2000.0,2000,2000,-8.969038e-05
5,10240,660.2394866943359,18.578894,-176.0,2.0785136,0.004237771034240723,-189.68,1310720,0.000690303,1997,-180.0,0.0020523071,2000.0,2000,2000,-0.00027674224
6,12288,794.028163433075,18.421003,-172.0,2.078159,-0.0036063194274902344,-189.48,1572864,0.0008403669,1959,-172.0,0.007426262,2000.0,2000,2000,-0.0003876364
7,14336,929.1585869789124,17.899502,-172.0,2.0775566,-0.0051888227462768555,-189.28,1835008,0.0008891775,1939,-180.0,0.008396149,2000.0,2000,2000,-0.00042243316
8,16384,1061.2240900993347,17.680128,-172.0,2.0761907,-0.026322364807128906,-190.06,2097152,0.0011493961,1985,-184.0,0.008403778,2000.0,2000,2000,-0.00045110652
9,18432,1193.4085426330566,17.423449,-172.0,2.0761688,-0.0254666805267334,-189.74,2359296,0.0017225513,1983,-180.0,0.018381119,2000.0,2000,2000,-0.00069133623
10,20480,1328.765193939209,17.202171,-172.0,2.0764349,-0.03589904308319092,-189.88,2621440,0.0012633723,1936,-180.0,0.012813568,2000.0,2000,2000,-0.0005576884
11,22528,1458.662365436554,16.794909,-168.0,2.0752115,-0.06411242485046387,-189.08,2883584,0.0012603765,2018,-168.0,0.00937748,2000.0,2000,2000,-0.00042575173
12,24576,1586.3774251937866,16.729345,-168.0,2.0724373,-0.03695058822631836,-190.22,3145728,0.0019209353,2052,-184.0,0.03901577,2000.0,2000,2000,-0.0011158452
13,26624,1718.2462246418,16.498278,-168.0,2.0691845,-0.022139310836791992,-189.54,3407872,0.0009442195,1988,-180.0,0.0019712448,2000.0,2000,2000,-0.000224458
14,28672,1853.1997039318085,16.29208,-168.0,2.0609176,-0.017934679985046387,-189.32,3670016,0.0013416265,1942,-180.0,0.009939194,2000.0,2000,2000,-0.00034349304
