serial_timesteps,nupdates,clipfrac,policy_loss,eprewmean,eplenmean,policy_entropy,value_loss,curbestlen,time_elapsed,approxkl,explained_variance,curbestrew,total_timesteps,epbestrew,epbestlen,fps
2048,1,0.088609695,-0.004048911,-77.01799999999997,995.14,1.3745545,21.463964,648,58.30424475669861,0.011445525,0.0011590123176574707,55.4,131072,55.4,648,2248
4096,2,0.0,-0.00018936947,-80.10099999999997,1000.0,1.3742576,25.69102,1000,112.6115357875824,0.00079628156,0.0018170475959777832,-79.9,262144,55.4,648,2414
6144,3,0.0,-0.0005892721,-79.58999999999997,998.87,1.3777573,23.10527,887,167.3759593963623,0.0022406413,0.003292560577392578,31.5,393216,55.4,648,2393
8192,4,0.01937294,-0.0010757834,-73.04199999999997,987.46,1.3701904,26.050964,591,223.25018501281738,0.0040081036,0.0033056139945983887,61.1,524288,61.1,591,2345
10240,5,0.0,-0.00022925188,-77.70899999999997,998.11,1.3703941,20.932583,855,278.6279294490814,0.0026675742,0.008915364742279053,34.7,655360,61.1,591,2367
12288,6,0.0068206787,-0.0006741739,-68.71499999999997,978.24,1.365841,26.587551,465,334.69944286346436,0.0035004532,0.005781710147857666,73.7,786432,73.7,465,2337
14336,7,0.044841766,-0.0012436297,-75.41899999999998,993.22,1.3723538,20.28052,545,388.3118076324463,0.006890339,0.011753499507904053,65.7,917504,73.7,465,2444
16384,8,0.0,-0.000630511,-75.24499999999998,993.49,1.3678405,25.226227,761,444.66667580604553,0.0021596083,0.007492005825042725,44.1,1048576,73.7,465,2325
18432,9,0.0,-0.0002941749,-71.48099999999998,985.88,1.3703873,23.344744,654,499.3549952507019,0.0015807546,0.009661495685577393,54.8,1179648,73.7,465,2396
20480,10,0.0,-0.00027503137,-71.61399999999998,985.2,1.3774648,22.974989,555,554.9874258041382,0.0014151144,0.01036924123764038,64.7,1310720,73.7,465,2356
22528,11,0.0043697357,-0.0010385823,-68.51499999999999,982.23,1.3757913,25.060268,526,610.7805588245392,0.005293129,0.007792949676513672,67.6,1441792,73.7,465,2350
24576,12,0.02835083,-0.0013649391,-74.19699999999997,984.98,1.3684283,19.322372,514,665.5597608089447,0.004490187,0.017354965209960938,68.8,1572864,73.7,465,2392
26624,13,0.0,-0.00015968793,-73.12699999999997,988.31,1.3701147,23.177479,588,721.1152112483978,0.00036627715,0.012080013751983643,61.4,1703936,73.7,465,2359
28672,14,1.1444092e-05,-0.00035734384,-76.21999999999997,993.23,1.369056,23.221296,452,776.7260694503784,0.0016452915,0.01329958438873291,75.0,1835008,75.0,452,2357
30720,15,0.0,-0.00029870766,-75.04999999999997,991.54,1.3728766,23.057709,646,832.4009499549866,0.0014768821,0.014008045196533203,55.6,1966080,75.0,452,2354
32768,16,0.02248764,-0.0015127363,-80.30199999999996,1000.0,1.3704576,22.608498,1000,887.3961608409882,0.004283416,0.013744056224822998,-79.9,2097152,75.0,452,2383
34816,17,0.0,-0.00042751152,-75.19699999999997,988.99,1.376501,20.363264,374,942.7141356468201,0.002402455,0.019474446773529053,82.8,2228224,82.8,374,2369
36864,18,0.015636444,-0.0013402093,-76.93099999999998,992.3,1.3719379,18.778687,390,999.5158770084381,0.007006995,0.0221061110496521,81.2,2359296,82.8,374,2307
38912,19,0.014482498,-0.00069805107,-72.84799999999997,987.53,1.3738009,24.642788,483,1054.8650624752045,0.004547272,0.01807647943496704,71.9,2490368,82.8,374,2368
40960,20,0.037395477,-0.0011478582,-76.47999999999998,995.79,1.3758825,19.831415,824,1110.8539490699768,0.0052076615,0.022132039070129395,37.8,2621440,82.8,374,2341
43008,21,0.014291763,-0.0006482463,-75.85899999999997,995.61,1.3644742,21.334713,695,1165.872178554535,0.0067568836,0.021492600440979004,50.7,2752512,82.8,374,2383
45056,22,0.06708336,-0.002401763,-71.54499999999999,986.52,1.3747159,28.738058,647,1221.9476323127747,0.009123228,0.013703405857086182,55.5,2883584,82.8,374,2337
47104,23,0.0007266998,-0.0005370501,-75.37999999999997,990.82,1.371594,21.01279,599,1276.7004420757294,0.0034362888,0.020366430282592773,60.3,3014656,82.8,374,2393
49152,24,0.052106857,-0.000855951,-72.34899999999998,982.54,1.3689598,27.199457,267,1331.0270702838898,0.004219003,0.015159666538238525,93.5,3145728,93.5,267,2412
51200,25,0.034181595,-0.0011111371,-75.26699999999997,993.71,1.3697422,26.511435,586,1385.7420451641083,0.004907469,0.01790863275527954,61.6,3276800,93.5,267,2395
53248,26,0.0045757294,-0.0003788199,-76.01699999999997,991.2,1.3716408,23.230923,504,1441.4431056976318,0.0023873828,0.021810412406921387,69.8,3407872,93.5,267,2353
55296,27,0.009822845,-0.000565887,-68.08199999999998,981.92,1.3697637,26.793787,488,1496.0432605743408,0.0042121317,0.01891803741455078,71.4,3538944,93.5,267,2400
57344,28,0.0060272217,-0.00019086596,-71.50299999999997,986.1,1.3641176,24.045288,682,1551.7239122390747,0.0039300155,0.021400749683380127,52.0,3670016,93.5,267,2354
59392,29,0.0,-5.6849807e-05,-73.93199999999999,990.37,1.370633,24.166777,572,1606.322535276413,0.00058762706,0.022289276123046875,63.0,3801088,93.5,267,2400
61440,30,0.010540009,-0.0004973343,-71.63499999999998,987.42,1.371654,23.42253,701,1661.1427721977234,0.0034568962,0.022533178329467773,50.1,3932160,93.5,267,2391
63488,31,0.018714905,-0.00050846476,-76.40799999999997,995.11,1.3695998,18.416557,666,1716.3676195144653,0.003318058,0.03619050979614258,53.6,4063232,93.5,267,2374
65536,32,0.016672134,-0.0004697385,-72.65699999999998,985.62,1.3666489,21.010267,504,1770.5199406147003,0.004598772,0.02776169776916504,69.8,4194304,93.5,267,2420
67584,33,0.0,-0.00010413673,-72.49599999999997,986.02,1.3624058,20.23816,609,1826.1522371768951,0.0012637656,0.02928215265274048,59.3,4325376,93.5,267,2356
69632,34,0.035978317,-0.00094636367,-73.56299999999997,984.67,1.3603165,26.899733,378,1880.1806240081787,0.0056136716,0.02286708354949951,82.4,4456448,93.5,267,2426
71680,35,0.0016288757,-0.00023272677,-73.73699999999997,986.41,1.3521854,19.648335,536,1935.1908390522003,0.0021004002,0.03451186418533325,66.6,4587520,93.5,267,2382
73728,36,0.03361702,-0.00071952824,-71.88199999999998,979.88,1.35196,30.497305,297,1990.482049703598,0.0061904397,0.020008206367492676,90.5,4718592,93.5,267,2370
75776,37,0.0,-0.00022318203,-72.07199999999997,981.78,1.3570329,22.676218,306,2046.243840932846,0.0008932658,0.028957903385162354,89.6,4849664,93.5,267,2350
77824,38,0.0038642883,-0.00043218763,-77.25099999999996,993.53,1.3582902,19.25599,610,2101.362391471863,0.0041173953,0.038207948207855225,59.2,4980736,93.5,267,2378
79872,39,0.016202927,-0.00044431456,-69.40499999999999,975.13,1.3581419,26.368498,452,2155.7174746990204,0.0029178471,0.02839607000350952,75.0,5111808,93.5,267,2411
