eprew_recent,tcount,total_secs,eprew,recent_best_ext_ret,eprew_std,best_eplen,eplen_std,n_updates,epcount,eplen,recent_best_eplen,rew_mean,recent_worst_eplen,best_ext_ret
-75.87478540772531,231283.0,220.21091198921204,-74.98699999999997,57.5,26.430481096642943,157,10.48677262078281,1,932.0,247.74,157,-0.28761756,250,57.5
-73.58097928436912,493987.0,430.57535552978516,-69.59299999999998,81.1,34.541899933269455,98,16.926653538133284,2,1994.0,245.78,98,-0.28533018,250,81.1
-71.30589353612166,753631.0,642.4438846111298,-60.75699999999998,85.4,46.12330268963836,87,27.062836141099474,3,3046.0,240.73,87,-0.2781087,250,85.4
-67.2658676893576,1009257.0,854.8110601902008,-61.53499999999998,74.0,43.044006261034774,87,20.20547203111078,4,4089.0,243.67,116,-0.2630569,250,85.4
-67.05751196172247,1265676.0,1069.9880475997925,-68.16499999999998,95.8,35.83427235203751,61,21.11316887631982,5,5134.0,245.71,61,-0.2627148,250,95.8
-60.94261201143947,1519567.0,1277.2609496116638,-56.25299999999997,95.8,47.748619781099435,61,24.36041666310328,6,6183.0,241.01,61,-0.2427619,250,95.8
-56.35098222637979,1775463.0,1485.2842619419098,-62.43899999999998,95.9,41.81430591316804,61,18.322911886487912,7,7252.0,243.97,61,-0.22539185,250,95.9
-54.39779614325069,2033676.0,1692.1194200515747,-51.50899999999998,96.4,52.31358541526285,60,28.909297812295616,8,8341.0,236.65,60,-0.21852252,250,96.4
-48.15290909090909,2290303.0,1903.1233177185059,-48.682999999999986,94.7,54.82847080668948,60,35.065052402641584,9,9441.0,234.61,64,-0.19654864,250,96.4
-37.608807829181494,2545209.0,2113.27467918396,-39.834,95.1,60.78122114600858,60,43.36184497919801,10,10565.0,227.52,63,-0.15741971,250,96.4
-29.485602775368605,2801195.0,2323.9591133594513,-24.975000000000005,97.7,67.166608333308,57,52.697334847219736,11,11718.0,215.47,57,-0.12399311,250,97.7
-16.73978405315615,3057964.0,2531.075147628784,-19.274000000000004,96.0,66.85678068827424,57,50.13389571936336,12,12922.0,213.75,61,-0.06877608,250,97.7
-6.847351524879617,3314368.0,2739.709646463394,-12.494000000000003,108.1,67.5671293159625,31,53.24331319517973,13,14168.0,209.36,31,-0.024685094,250,108.1
10.615003695491499,3569306.0,2946.5008206367493,13.431999999999993,104.3,67.7137000613613,31,62.85139537034957,14,15521.0,184.61,40,0.06256839,250,108.1
23.395643294758337,3827181.0,3149.795740365982,19.868999999999996,105.8,69.24526221338178,31,68.13757480274742,15,16990.0,173.53,36,0.14411496,250,108.1
39.363266545233756,4084530.0,3358.236533641815,39.201,105.4,59.032129378839116,31,64.69605861256156,16,18637.0,157.8,37,0.26365748,250,108.1
52.93144246353323,4341433.0,3561.1878933906555,54.747,109.6,52.46129707698809,27,59.87294130072449,17,20488.0,133.97,27,0.39102426,250,109.6
58.31977459016394,4598121.0,3766.6577112674713,60.75,106.5,45.22976564166567,27,57.52128649465344,18,22440.0,128.96,35,0.45421863,250,109.6
68.14225159525982,4853724.0,3976.2020225524902,69.538,108.2,38.449935708658856,27,53.51270877090787,19,24634.0,114.5,30,0.59262425,250,109.6
74.40220949263502,5110261.0,4183.097364902496,75.979,107.7,28.695648781653293,27,49.72833699210139,20,27078.0,105.95,32,0.7185149,250,109.6
