recent_best_eplen,n_updates,eprew_recent,epcount,eprew,eplen,total_secs,recent_worst_eplen,eplen_std,rew_mean,best_ext_ret,tcount,best_eplen,eprew_std,recent_best_ext_ret
375,1,-146.89328125000003,640.0,-147.10300000000004,375.0,195.99868488311768,375,0.0,-0.3739399,-107.4,240000.0,375,2.837620658227593,-107.4
369,2,-146.43140625,1280.0,-146.77900000000002,375.0,387.3947129249573,375,0.0,-0.3787957,103.5,479994.0,369,3.872990963067175,103.5
375,3,-146.63915756630266,1921.0,-146.99900000000002,375.0,569.3357617855072,375,0.0,-0.3797009,103.5,720369.0,369,2.2070113275649486,-107.4
355,4,-144.99713168187748,2688.0,-146.246,375.0,764.5790395736694,375,0.0,-0.37389827,109.1,1007969.0,355,3.6820760448420953,109.1
375,5,-144.79671875000003,3328.0,-144.725,375.0,955.4046461582184,375,0.0,-0.3753012,109.1,1247969.0,355,7.156163427423946,-99.3
293,6,-141.68186046511627,3973.0,-142.366,375.0,1140.986219406128,375,0.0,-0.36549923,133.6,1489729.0,293,9.128452442774735,133.6
318,7,-141.25504587155964,4736.0,-142.09499999999997,375.0,1324.4517648220062,375,0.0,-0.3613952,133.6,1775797.0,293,7.247308120950846,123.9
351,8,-137.8796875,5376.0,-138.862,375.0,1506.6976492404938,375,0.0,-0.35430303,133.6,2015773.0,293,8.806109015904816,110.4
364,9,-135.86820987654323,6024.0,-134.964,375.0,1690.1757595539093,375,0.0,-0.34614795,133.6,2258762.0,293,10.278438791956688,89.4
297,10,-130.4957894736842,6784.0,-131.40299999999996,375.0,1879.321810722351,375,0.0,-0.33422324,133.6,2543542.0,293,11.290283034539037,132.3
203,11,-121.61897356143079,7427.0,-127.63100000000003,375.0,2062.514454126358,375,0.0,-0.31213215,169.6,2783747.0,203,10.700277519765546,169.6
165,12,-115.03967551622418,8105.0,-108.77499999999998,370.64,2245.2988839149475,375,23.53147679173578,-0.29399607,184.9,3036600.0,165,61.920050670198904,184.9
180,13,-99.84732510288066,8834.0,-110.082,374.76,2427.299349308014,375,1.9293522228976225,-0.2525922,184.9,3306395.0,165,38.75510903093939,178.8
161,14,-63.28051948051947,9527.0,-56.27799999999999,357.83,2616.9697501659393,375,40.28524667915042,-0.16290979,184.9,3556621.0,161,100.74616675586223,176.4
147,15,-13.818241469816273,10289.0,-27.864000000000004,352.23,2800.838109254837,375,43.31416742822145,-0.023224464,192.0,3818420.0,147,112.56863907856398,192.0
110,16,43.986223862238624,11102.0,39.92699999999999,314.36,2986.539228916168,375,73.63443759546209,0.15318285,206.8,4074679.0,110,122.82866103235025,206.8
92,17,73.19259694477086,11953.0,55.476000000000006,308.31,3169.4425048828125,375,67.86172632640582,0.2564574,214.0,4331401.0,92,118.91438358752065,214.0
