n_updates,advstd,eplen,advmean,opt_vf,best_ext_ret,vpredmean,eprew,ups,opt_feat_var,rank,eprew_recent,vpredstd,total_secs,retmean,recent_best_ext_ret,opt_pg,retstd,ev,opt_ent,opt_tot,opt_clipfrac,tps,epcount,tcount,opt_dyn_loss,rew_mean,opt_approxkl
1,0.7733598,1000.0,-3.0855336,5.0345955,-166.0,0.092967644,-181.44,0.0021267064632933437,0.21275955,0,-181.546875,0.45096532,470.21063470840454,-2.992566,-166.0,3.0752285,0.6700558,-0.33211326599121094,1.9667234,8.107857,0.0,544.436854603096,128.0,128000.0,0.4563689,-0.1733549,4.991853e-13
2,0.8544807,1000.0,-2.5839636,3.7577035,-166.0,-2.9897718,-181.28,0.002170029906804933,0.2119733,0,-181.4453125,0.53154075,931.0337767601013,-5.573735,-170.0,2.6053178,0.82644296,-0.06900262832641602,1.9804438,6.361041,0.0,555.5276561420628,384.0,384000.0,0.24099062,-0.17612854,3.680981e-13
3,1.0477974,1000.0,-2.069694,2.714138,-166.0,-5.6462593,-180.18,0.002208926598346029,0.20887274,0,-180.5625,0.71631867,1383.742346048355,-7.7159553,-166.0,2.08993,1.0183728,-0.05862259864807129,1.9825153,4.802086,0.0,565.4852091765835,640.0,640000.0,0.21852992,-0.17459553,3.6861204e-13
4,1.1742018,1000.0,-1.727457,2.1903076,-166.0,-7.43729,-178.66,0.0022362289472098525,0.21000704,0,-179.03125,0.8125955,1830.923749923706,-9.164747,-166.0,1.7454352,1.1545368,-0.03435564041137695,1.9806106,3.933762,0.0,572.4746104857223,896.0,896000.0,0.21088906,-0.17316523,3.8798877e-13
5,1.2913704,1000.0,-1.3569447,1.7675833,-166.0,-9.187166,-175.76,0.002193262976911227,0.20824964,0,-176.7109375,0.8721036,2286.865427017212,-10.544109,-166.0,1.3632867,1.3163385,0.03757607936859131,1.9761844,3.1288939,0.0,561.4753220892741,1152.0,1152000.0,0.20129979,-0.1702627,4.209449e-13
6,1.3434492,1000.0,-1.137109,1.550328,-166.0,-10.36366,-175.22,0.0021804429835581072,0.20283186,0,-175.46875,0.9318125,2745.487829685211,-11.5007715,-166.0,1.1458254,1.415084,0.0986819863319397,1.9766165,2.6941767,0.0,558.1934037908754,1408.0,1408000.0,0.18764956,-0.17016019,4.3189419e-13
7,1.4020951,1000.0,-0.9061726,1.3781252,-166.0,-11.44754,-173.16,0.002183137464801659,0.20286705,0,-174.5,0.9817516,3203.544189453125,-12.353713,-166.0,0.94193125,1.5368953,0.16772586107254028,1.9748414,2.3180816,0.0,558.8831909892247,1664.0,1664000.0,0.18102938,-0.16807027,4.6383763e-13
8,1.4325976,1000.0,-0.74888647,1.3186898,-166.0,-12.242514,-172.36,0.0021641691553410066,0.20247097,0,-172.734375,1.0502901,3665.615279197693,-12.991402,-166.0,0.7314495,1.6195589,0.2175530195236206,1.9727763,2.0481665,0.0,554.0273037672978,1920.0,1920000.0,0.17486127,-0.16744713,4.8581186e-13
9,1.4521476,1000.0,-0.6251105,1.2161043,-166.0,-12.95615,-173.46,0.002150081911286372,0.19880873,0,-173.1171875,1.1612865,4130.713838815689,-13.581262,-166.0,0.647212,1.6982211,0.26880520582199097,1.97437,1.861342,0.0,550.4209692893113,2176.0,2176000.0,0.16819127,-0.16813292,5.0172003e-13
10,1.4783393,1000.0,-0.49615055,1.1971953,-166.0,-13.586952,-171.72,0.002169297360320982,0.20633958,0,-172.453125,1.211116,4591.692595481873,-14.083102,-166.0,0.49819708,1.7648399,0.2983223795890808,1.9614463,1.6934309,0.0,555.3401242421713,2432.0,2432000.0,0.16737823,-0.16695319,5.4186066e-13
11,1.505628,1000.0,-0.403817,1.20649,-166.0,-13.974829,-171.16,0.0021947291545196005,0.19338217,0,-171.671875,1.2037064,5047.329683065414,-14.378648,-166.0,0.44074863,1.786976,0.2900986671447754,1.9666038,1.645272,0.0,561.8506635570177,2688.0,2688000.0,0.15208197,-0.16624872,5.278107e-13
12,1.5190074,1000.0,-0.36246684,1.236283,-166.0,-14.227969,-171.3,0.0021921548185424113,0.19794504,0,-171.0859375,1.215353,5503.501843690872,-14.590433,-166.0,0.3479783,1.8073878,0.2936546206474304,1.9640214,1.5822972,0.0,561.1916335468572,2944.0,2944000.0,0.15504758,-0.16641496,5.4222935e-13
13,1.5429858,1000.0,-0.2922481,1.2121385,-166.0,-14.535493,-169.92,0.002225829226440072,0.20010789,0,-170.6640625,1.2462097,5952.772608995438,-14.827743,-166.0,0.3361516,1.8274707,0.2871091365814209,1.9690547,1.546321,0.0,569.8122819686585,3200.0,3200000.0,0.15736312,-0.16541347,5.6758987e-13
14,1.5722189,1000.0,-0.26519433,1.245382,-162.0,-14.701486,-170.76,0.0021671323229010193,0.19359553,0,-170.6328125,1.2093701,6414.211898803711,-14.966677,-162.0,0.2970371,1.8177828,0.251930296421051,1.9710116,1.5404481,0.0,554.785874662661,3456.0,3456000.0,0.1493761,-0.16565472,5.701387e-13
15,1.5772032,1000.0,-0.23302098,1.2871982,-154.0,-14.912398,-171.26,0.0021625080926734193,0.1979225,0,-171.0078125,1.1816965,6876.637913942337,-15.145419,-154.0,0.20542097,1.8126305,0.2428939938545227,1.9685825,1.4906505,0.0,553.6020717243953,3712.0,3712000.0,0.15407553,-0.16597511,6.004157e-13
16,1.582484,1000.0,-0.17506132,1.2534224,-154.0,-15.1418295,-170.1,0.002200424779314506,0.19023903,0,-170.296875,1.2295702,7331.095621109009,-15.316893,-158.0,0.16599295,1.84993,0.26824110746383667,1.9611984,1.4174541,0.0,563.3087435045135,3968.0,3968000.0,0.142116,-0.16507062,6.0548853e-13
17,1.5671089,1000.0,-0.17710586,1.2535573,-154.0,-15.139677,-170.68,0.0021609355257228755,0.19120009,0,-170.375,1.3203149,7793.858155250549,-15.316783,-162.0,0.1593283,1.8922176,0.3141072988510132,1.9533584,1.4109323,0.0,553.1994945850561,4224.0,4224000.0,0.13718313,-0.16532141,5.953763e-13
18,1.5575054,1000.0,-0.19075862,1.2577654,-154.0,-15.044085,-170.52,0.0021537890723419533,0.19480854,0,-170.0703125,1.3823247,8258.15617442131,-15.234847,-154.0,0.2067663,1.9098338,0.33492904901504517,1.9516464,1.4625801,0.0,551.37000251954,4480.0,4480000.0,0.14439404,-0.16516979,6.179995e-13
19,1.5514777,1000.0,-0.1897813,1.2267785,-154.0,-14.995651,-169.56,0.002182963422216403,0.18819945,0,-169.4609375,1.4900028,8716.249053955078,-15.185432,-154.0,0.2031207,1.9614002,0.37431079149246216,1.9468333,1.4279524,0.0,558.8386360873992,4736.0,4736000.0,0.13827649,-0.16489333,5.9995785e-13
20,1.5568426,1000.0,-0.1718901,1.2481298,-150.0,-15.143624,-169.42,0.002150979506070108,0.18984224,0,-169.703125,1.5102736,9181.153529882431,-15.315511,-150.0,0.15918903,1.9840095,0.3842536211013794,1.9410068,1.4053779,0.0,550.6507535539477,4992.0,4992000.0,0.13751711,-0.16533269,6.3715623e-13
21,1.5639893,1000.0,-0.13449654,1.2422683,-150.0,-15.30556,-169.34,0.0021469782269281043,0.19154239,0,-170.171875,1.4864861,9646.924438714981,-15.440057,-150.0,0.10588411,1.9875933,0.38082629442214966,1.9307517,1.3462217,0.0,549.6264260935947,5248.0,5248000.0,0.1331741,-0.164679,6.3824954e-13
22,1.5706223,1000.0,-0.11638092,1.2416728,-150.0,-15.377914,-169.28,0.002184777385484246,0.19762474,0,-169.6015625,1.4393809,10104.636975765228,-15.494294,-150.0,0.086783424,1.9787651,0.36997896432876587,1.9209944,1.3265352,0.0,559.3030106839669,5504.0,5504000.0,0.14199387,-0.16441871,6.743233e-13
23,1.5480444,1000.0,-0.17202778,1.2477119,-150.0,-15.042436,-168.92,0.002168972358584809,0.18966573,0,-169.1015625,1.3893257,10565.684806108475,-15.214462,-150.0,0.17702042,1.9647094,0.3791736364364624,1.9138637,1.4228184,0.0,555.256923797711,5760.0,5760000.0,0.12997912,-0.16387744,6.4359385e-13
24,1.5547731,1000.0,-0.14352636,1.2038513,-150.0,-15.139474,-167.8,0.00219858570724577,0.19478601,0,-168.1640625,1.4552332,11020.522657871246,-15.283002,-150.0,0.10710437,2.0051372,0.3987628221511841,1.9022368,1.3090534,0.0,562.8379410549172,6016.0,6016000.0,0.13641995,-0.16343297,6.531714e-13
25,1.5396984,1000.0,-0.14325847,1.1790996,-150.0,-15.12183,-168.3,0.002170184176157658,0.19791058,0,-168.609375,1.4797548,11481.31304192543,-15.265085,-150.0,0.14194952,2.0248973,0.42181700468063354,1.8977973,1.3191513,0.0,555.5671490963604,6272.0,6272000.0,0.13702385,-0.16314562,6.921531e-13
26,1.5555098,1000.0,-0.12374941,1.1854322,-150.0,-15.186151,-167.66,0.002163431291001347,0.19358283,0,-167.6875,1.495946,11943.541726589203,-15.3099,-150.0,0.15608588,2.045001,0.42142659425735474,1.8952109,1.3396229,0.0,553.8384104963449,6528.0,6528000.0,0.1329509,-0.16272353,6.64254e-13
27,1.5529946,1000.0,-0.13603428,1.2394006,-150.0,-15.036895,-167.36,0.0022154910650172533,0.1967581,0,-167.5,1.5676417,12394.908927202225,-15.172928,-150.0,0.11693895,2.068505,0.43632757663726807,1.8853328,1.3544543,0.0,567.1657126444169,6784.0,6784000.0,0.1321228,-0.16222714,6.894229e-13
28,1.5669293,1000.0,-0.084710516,1.2475803,-142.0,-15.26188,-165.76,0.002201167350937814,0.19405614,0,-166.671875,1.476112,12849.213321447372,-15.346588,-142.0,0.10874681,2.0555317,0.41890066862106323,1.8810432,1.354446,0.0,563.4988418400803,7040.0,7040000.0,0.12651029,-0.1613365,6.72859e-13
29,1.5694227,1000.0,-0.111714356,1.2573137,-142.0,-15.038257,-164.28,0.0021474378268306264,0.18732828,0,-165.28125,1.4597664,13314.884544849396,-15.149972,-142.0,0.08532991,2.0510237,0.41448426246643066,1.8694391,1.3407742,0.0,549.7440836686403,7296.0,7296000.0,0.11925527,-0.16003576,6.87581e-13
30,1.5822157,1000.0,-0.08222234,1.2410058,-142.0,-15.127331,-163.8,0.00218133343987704,0.18911473,0,-164.4375,1.4868858,13773.31973028183,-15.209555,-142.0,0.1468667,2.0738416,0.41792333126068115,1.8618492,1.3860106,0.0,558.4213606085221,7552.0,7552000.0,0.11791571,-0.15952149,6.924478e-13
31,1.5904489,1000.0,-0.08001332,1.3060423,-134.0,-15.187573,-164.48,0.0021986957118613646,0.18514054,0,-164.8203125,1.444661,14228.134825706482,-15.267588,-134.0,0.05787133,2.0526836,0.39966267347335815,1.8582326,1.3620554,0.0,562.8661022365094,7808.0,7808000.0,0.11585469,-0.15997821,6.971116e-13
32,1.5951337,1000.0,-0.049193963,1.2501055,-134.0,-15.243242,-163.84,0.0022176889978042236,0.19222386,0,-163.7734375,1.3788677,14679.054680109024,-15.292437,-142.0,0.084288254,2.0442736,0.39114195108413696,1.8411638,1.3325526,0.0,567.7283834378812,8064.0,8064000.0,0.116095535,-0.15837902,7.077748e-13
33,1.5785507,1000.0,-0.09537564,1.3103206,-134.0,-15.029575,-163.96,0.002199899359958346,0.19590148,0,-163.28125,1.4052502,15133.620929002762,-15.12495,-134.0,-0.0014206009,2.0428915,0.4029284119606018,1.8272952,1.3070728,0.0,563.1742361493366,8320.0,8320000.0,0.11555207,-0.15886416,7.55655e-13
34,1.5911992,1000.0,-0.08892119,1.2872959,-134.0,-14.935825,-162.16,0.002150364099314368,0.19148678,0,-162.34375,1.398419,15598.658454656601,-15.024746,-142.0,0.06428415,2.0512068,0.3982306718826294,1.8219061,1.3497581,0.0,550.4932094244782,8576.0,8576000.0,0.11218081,-0.15735343,7.3832916e-13
35,1.5889987,1000.0,-0.06756812,1.2742845,-134.0,-15.189071,-162.88,0.0021214593223893114,0.18451697,0,-162.234375,1.417502,16070.032093286514,-15.256638,-142.0,0.0726224,2.0715153,0.4116024971008301,1.827053,1.3450798,0.0,543.0935865316637,8832.0,8832000.0,0.10668112,-0.1585573,6.97976e-13
36,1.607851,1000.0,-0.057495464,1.3454802,-134.0,-15.191707,-161.62,0.002173220619814261,0.186878,0,-162.6015625,1.4213305,16530.178656816483,-15.249201,-142.0,0.04754202,2.0745385,0.39931249618530273,1.8186216,1.3912036,0.0,556.3444786724509,9088.0,9088000.0,0.111533985,-0.15802209,7.2506037e-13
37,1.6221657,1000.0,-0.03419714,1.323157,-134.0,-15.233895,-161.0,0.0021506442419352923,0.18808776,0,-161.75,1.3827555,16995.155606746674,-15.268093,-142.0,0.05329197,2.0741374,0.3883326053619385,1.8179089,1.374631,0.0,550.5649259354348,9344.0,9344000.0,0.10665987,-0.15662281,7.3174344e-13
38,1.5815796,1000.0,-0.123649426,1.2530671,-134.0,-14.838201,-161.62,0.0021435489158620094,0.19008854,0,-161.5078125,1.4238636,17461.671669244766,-14.961849,-142.0,0.12344904,2.075107,0.4191005229949951,1.8034106,1.3747127,0.0,548.7485224606744,9600.0,9600000.0,0.107753165,-0.1579567,7.2297935e-13
39,1.5658767,1000.0,-0.15890987,1.202987,-134.0,-14.747714,-163.04,0.0021532986905794063,0.18404685,0,-162.8125,1.449093,17926.07542538643,-14.906622,-146.0,0.22493863,2.0935643,0.44057410955429077,1.7984565,1.4261272,0.0,551.2444647883281,9856.0,9856000.0,0.1075126,-0.15848993,7.280533e-13
40,1.5972432,1000.0,-0.10439149,1.2362915,-134.0,-14.996044,-161.68,0.002138183855088338,0.19232701,0,-162.375,1.4663223,18393.762054681778,-15.100437,-142.0,0.12867202,2.1395943,0.442712664604187,1.7940911,1.3631694,0.0,547.3750669026145,10112.0,10112000.0,0.109462924,-0.15763594,7.489057e-13
41,1.6172357,1000.0,-0.09104668,1.2927645,-134.0,-15.037109,-162.24,0.002145183371097528,0.19105546,0,-161.9140625,1.4583657,18859.922669887543,-15.128156,-146.0,0.086783186,2.1550865,0.43685901165008545,1.7962822,1.3777515,0.0,549.1669430009672,10368.0,10368000.0,0.10957756,-0.15730067,7.818478e-13
42,1.6256299,1000.0,-0.04829652,1.2998965,-134.0,-15.234614,-160.96,0.0021657853791447234,0.18413259,0,-161.28125,1.487915,19321.64893770218,-15.282912,-134.0,0.06754837,2.169144,0.4383488893508911,1.7859106,1.365659,0.0,554.4410570610492,10624.0,10624000.0,0.10196324,-0.15682936,7.6374345e-13
43,1.6121112,1000.0,-0.053953152,1.3032671,-134.0,-15.222472,-161.4,0.0021549550842908417,0.19013314,0,-161.53125,1.4835037,19785.695732593536,-15.276426,-134.0,0.0354963,2.1737442,0.44998669624328613,1.7807807,1.3369826,0.0,551.6685015784554,10880.0,10880000.0,0.108948536,-0.15714847,7.8482685e-13
44,1.6213499,1000.0,-0.04007718,1.2590044,-134.0,-15.231334,-160.12,0.002167197656282266,0.18433017,0,-160.8125,1.5254523,20247.121111631393,-15.271414,-142.0,0.086546615,2.2113588,0.46242988109588623,1.7826643,1.3437684,0.0,554.8026000082601,11136.0,11136000.0,0.10361533,-0.15616783,7.769769e-13
45,1.6001666,1000.0,-0.10069946,1.2562941,-134.0,-15.030526,-161.76,0.0021656515196682036,0.19189574,0,-161.078125,1.615024,20708.875918865204,-15.131225,-142.0,0.12670171,2.2252538,0.48290395736694336,1.7794919,1.3812164,0.0,554.4067890350601,11392.0,11392000.0,0.10629596,-0.15711449,8.1164486e-13
46,1.6126573,1000.0,-0.05515851,1.1925116,-134.0,-15.159215,-160.28,0.00214627218620981,0.19479613,0,-160.609375,1.571133,21174.800048351288,-15.214372,-142.0,0.09819131,2.2423222,0.48276472091674805,1.7769585,1.2889259,0.0,549.4456796697114,11648.0,11648000.0,0.10571149,-0.1563569,8.2525723e-13
47,1.6188035,1000.0,-0.07422881,1.3239514,-134.0,-15.057113,-160.56,0.002140387664951986,0.19185682,0,-160.703125,1.60748,21642.00513291359,-15.131343,-142.0,0.09859095,2.27559,0.4939420819282532,1.7688625,1.4207735,0.0,547.9392422277084,11904.0,11904000.0,0.0998076,-0.15644078,8.3787556e-13
48,1.633602,1000.0,-0.02193251,1.3806319,-134.0,-15.401607,-161.92,0.0021520278625972522,0.19683674,0,-161.6875,1.5966874,22106.683131456375,-15.423541,-142.0,-0.033335228,2.2871203,0.48983055353164673,1.7604918,1.3455362,0.0,550.9191328248966,12160.0,12160000.0,0.104987666,-0.15691799,8.7384695e-13
49,1.6191338,1000.0,-0.026906613,1.3105683,-134.0,-15.30503,-161.84,0.0021633501768472223,0.18863055,0,-161.1875,1.5663693,22568.9291472435,-15.331936,-134.0,0.020792438,2.2506123,0.4824358820915222,1.7658428,1.329595,0.0,553.817645272889,12416.0,12416000.0,0.10066255,-0.15673083,8.498846e-13
50,1.6098384,1000.0,-0.05519395,1.3524468,-134.0,-15.130314,-160.0,0.0022242414969204072,0.18047215,0,-160.28125,1.580389,23018.52061533928,-15.185507,-134.0,0.025869567,2.2527647,0.48933887481689453,1.7771782,1.3765392,0.0,569.4058232116242,12672.0,12672000.0,0.096228406,-0.15609244,8.3437256e-13
51,1.603036,1000.0,-0.028129987,1.2454673,-134.0,-15.252867,-160.68,0.0022045618512372186,0.18694228,0,-160.28125,1.5400791,23472.125488996506,-15.280996,-142.0,0.079384595,2.210902,0.47428834438323975,1.7536922,1.3230982,0.0,564.3678339167279,12928.0,12928000.0,0.09615427,-0.15617447,8.612605e-13
52,1.6193801,1000.0,-0.011756821,1.2968249,-134.0,-15.434004,-160.28,0.0021907408339988162,0.1832352,0,-160.390625,1.6411055,23928.592079877853,-15.445759,-150.0,0.01312936,2.3111095,0.5090281963348389,1.7652235,1.308189,0.0,560.8296535036969,13184.0,13184000.0,0.09561609,-0.15636508,8.847236e-13
53,1.6526535,1000.0,0.034595426,1.307127,-134.0,-15.557626,-159.36,0.0021828936334528613,0.18971956,0,-159.96875,1.682799,24386.699604988098,-15.523029,-142.0,0.013794191,2.350905,0.505810558795929,1.7529372,1.3191682,0.0,558.8207701639325,13440.0,13440000.0,0.09741001,-0.15485202,9.0341997e-13
54,1.6356269,1000.0,-0.0054568206,1.370988,-134.0,-15.525975,-160.4,0.0021492881454842007,0.18730173,0,-159.453125,1.7613975,24851.96993279457,-15.53143,-142.0,0.018810028,2.3969712,0.5343679785728455,1.7463372,1.3880517,0.0,550.2177652439553,13696.0,13696000.0,0.094889514,-0.1560912,9.09613e-13
55,1.6281224,1000.0,0.0038835832,1.2933995,-134.0,-15.509787,-159.72,0.0021483238319457733,0.18110517,0,-159.9375,1.7231812,25317.449105501175,-15.505904,-146.0,-0.009695663,2.3705182,0.5282764732837677,1.7554646,1.2819483,0.0,549.970900978118,13952.0,13952000.0,0.091241404,-0.15565595,9.054473e-13
56,1.6392933,1000.0,0.016448015,1.2756258,-134.0,-15.576444,-159.32,0.002172608683157798,0.17978372,0,-159.34375,1.7191468,25777.72527384758,-15.559995,-134.0,0.018465469,2.3920405,0.5303478837013245,1.7480184,1.2923433,0.0,556.1878228883963,14208.0,14208000.0,0.090037264,-0.15578891,9.498471e-13
57,1.6280421,1000.0,0.00010087156,1.3395991,-134.0,-15.401253,-159.28,0.0021776733458507454,0.17969587,0,-159.75,1.7146486,26236.93096780777,-15.401154,-142.0,-0.014377161,2.3816283,0.5327134430408478,1.732274,1.3234897,0.0,557.4843765377908,14464.0,14464000.0,0.08630819,-0.15546992,9.512998e-13
58,1.6168818,1000.0,-0.04006312,1.246988,-134.0,-15.263897,-160.64,0.0022251777840443946,0.17935726,0,-160.296875,1.7156388,26686.333261489868,-15.30396,-142.0,0.08960255,2.381541,0.5390642583370209,1.7303408,1.3348603,0.0,569.645512715365,14720.0,14720000.0,0.08691675,-0.15605377,9.356071e-13
59,1.6469188,1000.0,0.044168368,1.387456,-134.0,-15.677816,-159.52,0.002172993662935756,0.17994577,0,-159.515625,1.7516444,27146.527884721756,-15.633648,-142.0,-0.06908861,2.4294589,0.5404579639434814,1.7296761,1.3166378,0.0,556.2863777115535,14976.0,14976000.0,0.088193886,-0.15567257,9.476987e-13
60,1.6679014,1000.0,0.06797865,1.4191585,-134.0,-15.862139,-159.32,0.0021545131461205807,0.1784123,0,-158.9765625,1.8654482,27610.669865846634,-15.794158,-142.0,-0.053580012,2.5137358,0.5597478151321411,1.7263416,1.3638521,0.0,551.5553654068686,15232.0,15232000.0,0.089831345,-0.15576224,9.727518e-13
61,1.6759714,1000.0,0.053788032,1.342362,-134.0,-15.702686,-158.68,0.0021888741866361357,0.18339807,0,-159.796875,1.9967701,28067.52572631836,-15.648897,-142.0,-0.033832174,2.592809,0.5821771919727325,1.709843,1.30682,0.0,560.3517917788507,15488.0,15488000.0,0.08907603,-0.15428811,9.762291e-13
62,1.6498369,1000.0,0.019295443,1.3106909,-134.0,-15.650146,-160.16,0.002162139831506098,0.18217851,0,-158.515625,2.021275,28530.03050303459,-15.630851,-142.0,-0.0042396937,2.6092858,0.6002037525177002,1.7105356,1.3047407,0.0,553.5077968655611,15744.0,15744000.0,0.0886006,-0.15573026,9.838608e-13
63,1.6498964,1000.0,0.0050401934,1.3888767,-134.0,-15.55892,-159.38,0.00220050439827358,0.18028414,0,-159.3359375,2.05151,28984.4717669487,-15.55388,-142.0,-0.02288736,2.6359909,0.6082350611686707,1.6943725,1.3642949,0.0,563.3291259580365,16000.0,16000000.0,0.08393291,-0.15538415,9.635088e-13
64,1.6714804,1000.0,0.01623671,1.4094746,-134.0,-15.4850445,-156.68,0.0022013926346182724,0.17600757,0,-158.109375,2.0883236,29438.729669094086,-15.468808,-134.0,-0.04403431,2.6589715,0.604837954044342,1.7011697,1.3637391,0.0,563.5565144622777,16256.0,16256000.0,0.08461433,-0.15365142,9.947623e-13
65,1.6461451,1000.0,-0.03683169,1.3492024,-134.0,-15.243896,-158.2,0.002176939544599297,0.17693642,0,-157.984375,2.0851324,29898.090151786804,-15.280726,-142.0,0.081710935,2.6659057,0.6187177002429962,1.681475,1.4292319,0.0,557.2965234174201,16512.0,16512000.0,0.08299984,-0.15430957,1.0047995e-12
66,1.6341705,1000.0,-0.049927384,1.3626789,-134.0,-15.251064,-159.12,0.002163149564505669,0.17545284,0,-158.390625,2.1862164,30360.379036664963,-15.300991,-142.0,0.06775084,2.7223492,0.639664500951767,1.6824241,1.4287473,0.0,553.7662885134513,16768.0,16768000.0,0.08402385,-0.1550322,1.0036366e-12
67,1.6481895,1000.0,-0.061904453,1.3875043,-134.0,-15.167217,-159.36,0.0021741467807851207,0.17686005,0,-159.03125,2.2363224,30820.32958316803,-15.229121,-142.0,0.09468659,2.7759151,0.6474652290344238,1.6724889,1.4805185,0.0,556.5815758809908,17024.0,17024000.0,0.08125775,-0.1548843,1.0275616e-12
68,1.6650391,1000.0,-0.020884149,1.3961946,-134.0,-15.357482,-157.64,0.0021952244100674075,0.17513588,0,-157.921875,2.2616765,31275.863876342773,-15.378367,-134.0,-0.0015995236,2.8080676,0.6484122276306152,1.6708682,1.3929242,0.0,561.9774489772562,17280.0,17280000.0,0.083530694,-0.15437156,1.016325e-12
69,1.6627666,1000.0,-0.022455286,1.3433621,-134.0,-15.307206,-158.6,0.0021364744924321014,0.17777066,0,-158.390625,2.2065294,31743.924695014954,-15.329662,-134.0,0.06598093,2.7693067,0.6394873857498169,1.6587424,1.4076843,0.0,546.937470062618,17536.0,17536000.0,0.08461426,-0.15411526,1.0481682e-12
70,1.6868181,1000.0,0.035626244,1.484263,-134.0,-15.633247,-158.08,0.0022043452293630797,0.17235172,0,-157.6875,2.2256382,32197.574144601822,-15.597623,-142.0,-0.077589296,2.8027737,0.6377899944782257,1.6567003,1.4050169,0.0,564.3123787169484,17792.0,17792000.0,0.078669086,-0.15417054,1.0273391e-12
71,1.6705304,1000.0,-0.047286008,1.3840082,-134.0,-15.254198,-157.68,0.0021728853989467847,0.17390937,0,-157.84375,2.4369454,32657.7916970253,-15.301483,-134.0,0.042166602,2.9090436,0.6702321767807007,1.6696569,1.4245051,0.0,556.2586621303769,18048.0,18048000.0,0.081551515,-0.1541614,1.0348618e-12
72,1.6902255,1000.0,-0.019389343,1.4075822,-134.0,-15.29686,-157.0,0.002206031213211744,0.17326409,0,-157.5078125,2.4072764,33111.09443998337,-15.316252,-142.0,0.014132555,2.9140537,0.663570374250412,1.6675713,1.4200472,0.0,564.7439905822065,18304.0,18304000.0,0.08079114,-0.15288307,1.0431965e-12
