tcount,eprew_recent,eplen_std,best_eplen,epcount,total_secs,recent_best_eplen,eprew_std,recent_best_ext_ret,n_updates,eplen,recent_worst_eplen,best_ext_ret,rew_mean,eprew,,,,,
224000,-94.55580357,0,250,896,231.3117964,250,2.4919069,-86,1,250,250,-86,-0.35732794,-94.52,,,,,
480000,-94.57617188,0,250,1920,456.5324261,250,2.239553527,-80,2,250,250,-80,-0.35948554,-94.38,,,,,
736000,-93.40625,0,250,2944,683.6670134,250,2.54078728,-86,3,250,250,-80,-0.3534397,-93.38,,,,,
992000,-93.37304688,0,250,3968,907.0509052,250,2.744011662,-86,4,250,250,-80,-0.35448542,-93.52,,,,,
1248000,-92.75976563,0,250,4992,1134.970457,250,2.426190429,-86,5,250,250,-80,-0.35121468,-92.44,,,,,
1504000,-91.8203125,0,250,6016,1362.034599,250,1.8115187,-82,6,250,250,-80,-0.34652665,-91.72,,,,,
1760000,-90.49023438,0,250,7040,1590.892222,250,2.871654575,-74,7,250,250,-74,-0.3451539,-90.56,,,,,
2016231,-89.26663415,0,231,8065,1817.388427,231,2.729029131,31.7,8,250,250,31.7,-0.34147507,-89.18,,,,,
2272429,-88.5395122,0,198,9090,2047.172302,198,2.880555502,47,9,250,250,47,-0.33935708,-88.32,,,,,
2528841,-87.74327485,0,190,10116,2271.483542,190,3.030775478,50,10,250,250,50,-0.3376056,-87.88,,,,,
2788555,-84.9610951,4.259107888,142,11157,2497.130313,142,17.7920045,69.2,11,249.4,250,69.2,-0.32695755,-84.376,,,,,
3050598,-81.72956274,5.032484476,142,12209,2723.520741,186,23.95587227,51.9,12,249.29,250,69.2,-0.31313372,-82.172,,,,,
3313950,-76.09285714,10.7117879,142,13273,2948.961211,158,35.94485499,62.9,13,247.24,250,69.2,-0.2923346,-75.14,,,,,
3571811,-69.62426261,15.1499802,142,14324,3176.637859,142,46.09910996,67.8,14,244.91,250,69.2,-0.2701146,-66.119,,,,,
3825480,-57.24015152,18.21892148,117,15380,3403.979156,117,52.78477124,79.4,15,242.47,250,79.4,-0.22642466,-57.035,,,,,
4080208,-53.72712022,30.73739579,117,16453,3631.77347,122,60.9224102,77.3,16,233.95,250,79.4,-0.21433502,-48.344,,,,,
4337269,-48.95389493,24.80166123,112,17557,3856.59989,112,51.54781325,81.2,17,239.76,250,81.2,-0.19646735,-60.707,,,,,
4593008,-38.81085613,40.67929572,105,18690,4080.991061,105,67.28304876,84.3,18,223.93,250,84.3,-0.16049002,-37.843,,,,,
4849695,-31.70069025,45.91166627,100,19849,4307.663936,100,70.07123792,86.1,19,218.67,250,86.1,-0.13063404,-31.996,,,,,
5106968,-13.36569106,44.39078621,100,21079,4536.462764,100,69.90419,86.2,20,217.09,250,86.2,-0.049846392,-24.139,,,,,
5363484,6.915841584,50.43821864,100,22392,4765.615069,101,69.20354797,85.7,21,189.31,250,86.2,0.046793558,14.293,,,,,
5618044,17.10712166,50.54641827,100,23740,4991.872252,100,67.7288852,86.2,22,184.14,250,86.2,0.099417195,20.547,,,,,
5874531,31.47061253,44.1408473,95,25193,5217.13088,95,58.28136045,88,23,176.84,250,88,0.19078532,34.432,,,,,
6133004,44.61664524,45.69590354,90,26749,5441.5019,90,56.77271214,90.1,24,172.38,250,90.1,0.28570914,38.366,,,,,
6388997,51.65332512,38.94037879,90,28373,5665.363918,93,40.57871771,89,25,154.37,250,90.1,0.33929402,56.463,,,,,
6644905,59.29420626,35.95681298,90,30099,5889.858097,93,35.64449949,89.1,26,147.26,250,90.1,0.41125447,61.584,,,,,
6902299,65.60382096,30.79585037,87,31931,6116.251544,87,32.15338452,91.2,27,138.66,250,91.2,0.48408604,66.092,,,,,
7158869,68.7780887,29.39162296,87,33825,6340.284706,90,24.380368,90.2,28,133.15,250,91.2,0.5207677,70.616,,,,,
7415319,71.62878942,28.27489876,86,35791,6564.489859,86,28.60622441,91.7,29,129.49,250,91.7,0.56370825,70.955,,,,,
7671881,74.81708861,27.57226868,84,37845,6788.852041,84,19.03370954,92.5,30,126.5,250,92.5,0.6129796,74.301,,,,,
7928168,76.25445076,22.90949803,81,39957,7012.567184,81,9.257746756,93.9,31,124.07,250,93.9,0.64227223,76.435,,,,,
8184448,78.5394773,18.5430607,81,42138,7234.3911,82,17.33019616,93.5,32,115.57,250,93.9,0.68113965,78.751,,,,,
8440795,79.48734291,14.39272038,80,44366,7459.030186,80,5.797730159,94.3,33,111.64,250,94.3,0.70537823,81.445,,,,,
8696250,80.87113447,17.6599094,80,46649,7681.565084,83,7.10056026,93.1,34,110.74,250,94.3,0.7319893,81.762,,,,,
8952956,81.88620985,23.48783515,80,48984,7905.266711,80,9.388738786,94.1,35,111.96,250,94.3,0.7596891,81.372,,,,,
9209102,82.78180672,20.5008195,78,51364,8128.187493,78,8.194960586,94.9,36,111.42,250,94.9,0.78213257,81.539,,,,,
9464916,83.53558763,14.58719987,78,53789,8349.893662,79,5.839006765,94.5,37,105.44,250,94.9,0.8031151,83.9,,,,,
9720639,84.25772986,13.47766671,77,56247,8571.750846,77,5.428031964,95.2,38,105.45,250,95.2,0.82038784,83.913,,,,,
9977291,84.8327476,14.57979424,77,58751,8792.777497,77,5.858822407,95.3,39,103.36,250,95.3,0.8423051,84.78,,,,,
10233633,85.68250098,11.03728227,77,61294,9015.816477,77,4.429169674,95.3,40,99.72,250,95.3,0.8628888,86.216,,,,,
10489366,86.11807557,13.64713889,73,63861,9237.601222,73,5.492143844,97,41,101.34,250,97,0.87492824,85.566,,,,,
10745457,86.54337952,11.99454459,70,66459,9464.06675,70,4.786771772,98.1,42,97.53,250,98.1,0.890204,87.104,,,,,
11002126,87.08230828,23.78962799,70,69093,9686.8128,74,9.532580763,96.5,43,100.56,250,98.1,0.90741116,85.852,,,,,
11257762,87.30942468,17.56267633,70,71735,9910.734892,71,7.029900426,97.8,44,98.18,250,98.1,0.9127772,86.83,,,,,
11512900,87.97838241,11.99323142,70,74418,10135.03858,72,4.778640392,97.3,45,95.32,250,98.1,0.93330806,88.014,,,,,
11770138,87.94957549,7.777371021,70,77127,10354.52076,73,3.143596666,96.9,46,94.35,250,98.1,0.9423072,88.36,,,,,
12025882,88.67231163,8.835247591,70,79861,10575.21502,73,3.549861406,96.9,47,93.72,237,98.1,0.95928377,88.578,,,,,
12281307,88.60113346,19.5135312,70,82596,10799.75076,72,17.58260117,97.3,48,96.61,250,98.1,0.95674217,86.356,,,,,
12538159,89.2546791,11.20365565,70,85385,11022.66013,72,4.482742018,97.5,49,92.09,225,98.1,0.98426664,89.268,,,,,
12793734,89.47846154,7.552873625,70,88180,11245.24311,70,3.02249483,98,50,90.79,250,98.1,0.9875263,89.805,,,,,
13050453,89.60316163,8.916114625,70,90995,11465.22338,72,3.576373023,97.3,51,91.77,236,98.1,0.9973503,89.366,,,,,
13306666,89.88111543,7.918655189,70,93828,11691.89394,71,3.232326716,97.8,52,89.43,250,98.1,1.0060174,90.308,,,,,
13562432,90.22369436,9.603645141,70,96681,11917.20034,70,3.81901702,98.2,53,90.5,206,98.2,1.0168623,89.903,,,,,
