curbestlen,serial_timesteps,eprewmean,policy_entropy,explained_variance,approxkl,clipfrac,epbestrew,fps,value_loss,eplenmean,total_timesteps,time_elapsed,nupdates,epbestlen,policy_loss,curbestrew
1000,2000,-94.26,2.0759194,-0.00726628303527832,0.0035642427,0.09174414,-92.0,1986,18.949768,1000.0,128000,64.42545986175537,1,1000,-0.0029008507,-92.0
1000,4000,-92.66,2.066579,0.010676980018615723,0.0024946802,0.07393164,-86.0,2064,18.056437,1000.0,256000,126.65635251998901,2,1000,-0.0023093189,-86.0
1000,6000,-91.78,2.0522404,0.012962937355041504,0.0029351206,0.07573046,-82.0,2108,16.766851,1000.0,384000,187.36155128479004,3,1000,-0.0021050503,-82.0
1000,8000,-90.56,2.0357413,0.01183849573135376,0.0023110213,0.08969532,-82.0,2120,16.01576,1000.0,512000,247.7233488559723,4,1000,-0.0015306807,-82.0
1000,10000,-89.32,2.0164268,0.015491366386413574,0.0016253736,0.040296867,-82.0,2132,15.365654,1000.0,640000,307.7605640888214,5,1000,-0.00086981204,-82.0
1000,12000,-88.9,1.9968785,0.026971757411956787,0.0009923431,0.020751951,-82.0,2104,15.035715,1000.0,768000,368.57439494132996,6,1000,-0.00065037794,-82.0
1000,14000,-88.6,1.9914899,0.04632991552352905,0.0019405007,0.03715429,-76.0,2072,14.769257,1000.0,896000,430.34195590019226,7,1000,-0.00085398875,-76.0
1000,16000,-88.46,1.9902678,0.045723140239715576,0.0015483317,0.04000781,-76.0,2122,14.928416,1000.0,1024000,490.6592962741852,8,1000,-0.00069481804,-80.0
1000,18000,-88.64,1.9750646,0.07911163568496704,0.0019509066,0.019281251,-76.0,2095,14.321093,1000.0,1152000,551.7367165088654,9,1000,-0.0006597341,-78.0
1000,20000,-88.14,1.9708949,0.08926153182983398,0.0010797972,0.01941797,-76.0,2070,14.029472,1000.0,1280000,613.5598773956299,10,1000,-0.00049278146,-82.0
1000,22000,-88.1,1.9708813,0.10794240236282349,0.0015244468,0.024169926,-76.0,2103,13.615268,1000.0,1408000,674.465714931488,11,1000,-0.00027564503,-82.0
1000,24000,-87.86,1.9700296,0.12335693836212158,0.0013191609,0.028400391,-74.0,2111,13.534137,1000.0,1536000,735.0914981365204,12,1000,-4.8632064e-05,-74.0
1000,26000,-87.86,1.9658029,0.1495564579963684,0.00070292683,0.0049238284,-74.0,2087,13.154201,1000.0,1664000,796.4113919734955,13,1000,-0.00023005866,-80.0
1000,28000,-87.64,1.9600612,0.1801477074623108,0.0011211972,0.012298829,-74.0,2085,12.908424,1000.0,1792000,857.7808606624603,14,1000,-0.00048086132,-74.0
1000,30000,-88.26,1.9638606,0.23126935958862305,0.00094893784,0.013943359,-74.0,2083,12.306796,1000.0,1920000,919.2213122844696,15,1000,-0.00042907862,-82.0
705,32000,-86.725,1.9737247,0.1995653510093689,0.0007828932,0.009783204,55.5,2087,12.952745,997.05,2048000,980.5343446731567,16,705,-0.00035150984,55.5
