rets_int,wait_step,eplen_recent_best,eprew_std,rets_ext,eprew,eprew_histmean,tcount,epcount,eprew_recent_best,n_updates,wait_update,time_elapsed,eplen_histmean,eplen_best,eplen_std,eplen,eprew_best,wait_policy_inference
0.4057743,645.4899959564209,250,2.462657509040983,-6.03936,-94.59765625,-94.86,256000,1024,-84.0,1,497.5486409664154,986.6616146564484,250.0,250,0.0,250.0,-84.0,21.027777910232544
0.3917905,640.8984966278076,250,2.331605907609268,-9.982157,-93.38671875,-93.64,512000,2048,-86.0,2,493.9040036201477,1628.0663380622864,250.0,250,0.0,250.0,-84.0,20.31699299812317
0.37434885,608.9686970710754,250,2.3014410397346703,-13.4027195,-93.234375,-93.1,768000,3072,-84.0,3,466.794677734375,2237.901528596878,250.0,250,0.0,250.0,-84.0,20.365033864974976
0.35582218,565.77623462677,250,2.217724200314843,-16.191442,-92.775390625,-92.98,1024000,4096,-86.0,4,422.04715371131897,2803.6842019557953,250.0,250,0.0,250.0,-84.0,20.16287636756897
0.3408231,637.540735244751,250,2.2539976422112225,-18.428982,-92.2890625,-92.48,1280000,5120,-82.0,5,491.200279712677,3440.462101459503,250.0,250,0.0,250.0,-82.0,20.126861095428467
0.32838184,630.2816355228424,250,2.3701057992855716,-20.040518,-92.06423611111111,-91.8,1568000,6272,-82.0,6,484.95035099983215,4070.7521226406097,250.0,250,0.0,250.0,-82.0,20.04665970802307
0.31351492,632.8262152671814,250,2.430220468825742,-20.78971,-91.306640625,-91.02,1824000,7296,-82.0,7,486.39865803718567,4703.610797166824,250.0,250,0.0,250.0,-82.0,20.101449012756348
0.3021831,571.5631575584412,250,2.6606975346419235,-21.762394,-90.568359375,-89.88,2080000,8320,-82.0,8,426.726012468338,5276.036827087402,250.0,250,0.0,250.0,-82.0,20.09417200088501
0.29431704,633.299756526947,250,2.703333146565247,-21.95301,-89.634765625,-89.68,2336000,9344,-74.0,9,486.04176330566406,5908.532840967178,250.0,250,0.0,250.0,-74.0,20.063653707504272
0.28572258,640.003618478775,250,2.763554546979462,-22.19167,-89.271484375,-89.18,2592000,10368,-74.0,10,492.97507214546204,6548.55751991272,250.0,250,0.0,250.0,-74.0,20.162896394729614
0.27832448,636.8972282409668,244,5.621818586962575,-22.349394,-88.36380208333334,-88.34,2879989,11520,28.6,11,490.3262417316437,7185.638183116913,250.0,244,0.22991349006688938,249.99045138888889,28.6,20.06007957458496
0.26701394,631.5221235752106,228,8.069335025111894,-22.826397,-88.0083984375,-87.96,3135942,12544,35.0,12,484.7175500392914,7817.228070497513,250.0,228,0.8898531597601138,249.9541015625,35.0,20.240843772888184
