epcount,wait_policy_inference,rets_int,eprew_histmean,wait_update,eplen_histmean,eplen_std,eprew_best,rets_ext,time_elapsed,eprew,wait_step,eplen,eprew_recent_best,eplen_best,tcount,n_updates,eprew_std,eplen_recent_best
1024,15.962438583374023,0.4769459,-89.6,219.61893033981323,250.0,0.0,-76.0,-5.8912287,697.3933868408203,-89.525390625,357.4956085681915,250.0,-76.0,250,256000,1,2.4521474652153588,250
2048,17.684632062911987,0.47168702,-89.54,294.82165455818176,250.0,0.0,-72.0,-10.431374,1133.7545068264008,-89.283203125,436.08324933052063,250.0,-72.0,250,512000,2,2.6335187468461725,250
3072,17.868874311447144,0.46314955,-89.16,259.70398902893066,250.0,0.0,-68.0,-13.8841095,1534.9152448177338,-89.103515625,401.229510307312,250.0,-68.0,250,768000,3,2.5149994066362837,250
4096,17.912610292434692,0.44285038,-88.52,221.40298867225647,250.0,0.0,-68.0,-16.40589,1898.6282091140747,-88.736328125,363.5225245952606,250.0,-76.0,250,1024000,4,2.724456760958776,250
5120,17.603474855422974,0.42786512,-88.0,225.80807399749756,250.0,0.0,-68.0,-18.199001,2264.000962972641,-88.19921875,365.33045291900635,250.0,-76.0,250,1280000,5,2.9711108006347455,250
6272,17.99012517929077,0.40590152,-87.8,267.73639702796936,250.0,0.0,-68.0,-19.316412,2669.7244968414307,-87.83680555555556,405.83586072921753,250.0,-72.0,250,1568000,6,3.1679437452869124,250
7296,17.85024905204773,0.38161883,-87.96,263.41241002082825,250.0,0.0,-68.0,-20.122072,3074.266176700592,-87.62890625,404.48218631744385,250.0,-72.0,250,1824000,7,3.261246223257443,250
8320,17.796842575073242,0.35900804,-86.88,295.1714367866516,250.0,0.0,-64.0,-21.047947,3512.794703245163,-87.197265625,438.53401708602905,250.0,-64.0,250,2080000,8,3.539971578020558,250
9344,17.8281307220459,0.37027016,-86.42,283.42896366119385,250.0,0.0,-64.0,-21.61006,3938.1050748825073,-86.60546875,425.27471804618835,250.0,-64.0,250,2336000,9,3.6551292853705513,250
10368,17.64587664604187,0.3481751,-86.22,218.2750895023346,250.0,0.0,-64.0,-21.958292,4295.7056086063385,-86.125,357.3974747657776,250.0,-68.0,250,2592000,10,3.393467990124557,250
11520,17.87783122062683,0.34443954,-85.98,222.31095004081726,250.0,0.0,-64.0,-22.003166,4651.92955327034,-85.83333333333333,356.05197739601135,250.0,-64.0,250,2880000,11,3.6676135141108976,250
12544,17.429951190948486,0.3571453,-85.84,226.88010096549988,250.0,0.0,-64.0,-21.797964,5016.502521276474,-85.53515625,364.55741000175476,250.0,-64.0,250,3136000,12,3.3028654662407817,250
13568,17.885135173797607,0.35156745,-85.92,222.57918095588684,250.0,0.0,-64.0,-21.895403,5375.195726394653,-85.974609375,358.64569330215454,250.0,-68.0,250,3392000,13,3.0585656877304612,250
14592,17.803344011306763,0.35625768,-86.88,215.31249356269836,250.0,0.0,-64.0,-21.485512,5727.316530704498,-86.42578125,352.08444714546204,250.0,-72.0,250,3648000,14,3.028245833341216,250
15616,17.931951999664307,0.3486321,-86.5,217.54977083206177,250.0,0.0,-64.0,-21.223452,6079.234276294708,-86.673828125,351.8868672847748,250.0,-72.0,250,3904000,15,2.946637814180593,250
16768,17.794448375701904,0.35019168,-86.88,218.17541933059692,250.0,0.0,-64.0,-21.528355,6433.196959495544,-87.09722222222223,353.95980048179626,250.0,-68.0,250,4192000,16,2.764656509818887,250
17792,17.64582848548889,0.33948767,-87.04,222.9598515033722,250.0,0.0,-64.0,-21.59088,6791.651349067688,-87.35546875,358.4034729003906,250.0,-72.0,250,4448000,17,2.775205752331426,250
18816,17.461480617523193,0.3258383,-87.94,222.24474334716797,250.0,0.0,-64.0,-21.471016,7151.22692322731,-88.1953125,359.5494842529297,250.0,-80.0,250,4704000,18,2.5079828602571728,250
19840,17.64185643196106,0.32620725,-88.48,217.51409363746643,250.0,0.0,-64.0,-21.496117,7504.365654230118,-88.55859375,353.1024384498596,250.0,-80.0,250,4960000,19,2.326915452366273,250
20864,17.606471061706543,0.31754452,-88.56,216.28117394447327,250.0,0.0,-64.0,-21.566519,7856.146582365036,-88.7109375,351.75777792930603,250.0,-72.0,250,5216000,20,2.3020111578994897,250
22016,17.563522815704346,0.32224074,-87.58,217.79583191871643,250.0,0.0,-64.0,-22.227695,8210.926057815552,-88.12847222222223,354.62134432792664,250.0,-80.0,250,5504000,21,2.4333094517790546,250
23040,17.869057655334473,0.31634074,-87.66,218.92482995986938,250.0,0.0,-64.0,-22.77489,8567.276680231094,-87.76953125,356.2887020111084,250.0,-72.0,250,5760000,22,2.5482855325244533,250
24064,17.45048999786377,0.30186665,-87.28,221.34691953659058,250.0,0.0,-64.0,-23.07533,8925.421561479568,-87.525390625,358.123028755188,250.0,-76.0,250,6016000,23,2.544398689506444,250
25088,17.81594967842102,0.3018354,-87.84,219.1068730354309,250.0,0.0,-64.0,-23.133762,9282.7911901474,-87.806640625,357.3366184234619,250.0,-80.0,250,6272000,24,2.3827412579001543,250
26112,17.51339340209961,0.28812066,-87.04,218.9005196094513,250.0,0.0,-64.0,-23.317144,9637.531330347061,-87.384765625,354.73681640625,250.0,-72.0,250,6528000,25,2.532677518717762,250
