epcount,tcount,eprew,eplen_std,eplen_recent_best,wait_step,rets_ext,eplen,eprew_best,eprew_recent_best,rets_int,time_elapsed,wait_policy_inference,eplen_best,eplen_histmean,eprew_std,eprew_histmean,wait_update,n_updates
1024,256000,-94.4140625,0.0,250,437.8977563381195,-6.0200243,250.0,-86.0,-86.0,0.47773647,773.1321623325348,16.11769199371338,250,250.0,2.482839049574851,-94.46,298.7309777736664,1
2048,512000,-93.619140625,0.0,250,434.6908988952637,-10.575161,250.0,-82.0,-82.0,0.47146773,1208.1911616325378,18.014607906341553,250,250.0,2.5185764603193226,-94.02,294.4944441318512,2
3072,768000,-93.861328125,0.0,250,444.0991723537445,-14.114901,250.0,-82.0,-86.0,0.46549517,1652.340646982193,17.887229681015015,250,250.0,2.4479560578335517,-93.88,301.01535272598267,3
4096,1024000,-93.1640625,0.0,250,438.73614168167114,-16.685177,250.0,-82.0,-86.0,0.44943625,2091.108931541443,17.97138524055481,250,250.0,2.3411313496029544,-93.02,297.56783747673035,4
5120,1280000,-93.0078125,0.0,250,364.18288588523865,-18.687626,250.0,-82.0,-86.0,0.44096377,2455.343681335449,17.899765491485596,250,250.0,2.3451948671365774,-92.8,223.06399035453796,5
6272,1568000,-92.80729166666667,0.0,250,434.6159899234772,-20.104643,250.0,-82.0,-82.0,0.4292802,2889.9624943733215,17.908846378326416,250,250.0,2.317883888482361,-92.44,294.1176714897156,6
7296,1824000,-92.681640625,0.0,250,436.0692050457001,-21.090942,250.0,-82.0,-86.0,0.41775525,3326.067846059799,17.893412590026855,250,250.0,2.3150777110822025,-92.34,295.338091135025,7
8320,2080000,-92.1015625,0.0,250,437.61173248291016,-21.338295,250.0,-82.0,-84.0,0.4043448,3763.707436800003,18.141057014465332,250,250.0,2.552082004676525,-92.2,298.07320833206177,8
9344,2336000,-92.1796875,0.0,250,439.09065413475037,-21.547878,250.0,-82.0,-82.0,0.4047153,4202.828223705292,17.857989072799683,250,250.0,2.535478239374921,-92.26,298.7014548778534,9
10368,2592000,-92.267578125,0.0,250,441.2380096912384,-21.843882,250.0,-74.0,-74.0,0.4075207,4644.095215082169,17.964803218841553,250,250.0,2.933288802184586,-92.5,302.32279324531555,10
11520,2880000,-91.61111111111111,0.0,250,405.80421781539917,-21.883965,250.0,-74.0,-76.0,0.39963922,5050.125218868256,17.98982524871826,250,250.0,2.9909843955328466,-91.02,264.81889820098877,11
12544,3136000,-91.0390625,0.0,250,431.50256991386414,-21.796036,250.0,-74.0,-80.0,0.3743829,5481.664117574692,17.93655300140381,250,250.0,2.9775260907494583,-91.18,290.8296129703522,12
13568,3391993,-90.4111328125,0.2186431623867897,243,438.6542694568634,-21.699879,249.9931640625,27.0,27.0,0.3679745,5920.30725646019,17.95100450515747,243,250.0,4.8120853195871165,-90.7,297.6425051689148,13
14592,3647921,-89.50849609375001,1.7597211859677515,196,440.5035984516144,-21.363373,249.9296875,47.7,47.7,0.36284688,6360.855003118515,17.991445064544678,196,250.0,7.662470437594913,-90.22,299.3574757575989,14
15620,3904665,-87.37928015564202,3.166005140219493,187,435.9608588218689,-20.999659,249.75097276264592,51.3,51.3,0.36076367,6796.851944923401,17.963133811950684,187,249.37,13.811266360118863,-87.307,296.4246599674225,15
16768,4190329,-82.30400696864112,6.801005033303984,147,440.561461687088,-20.976528,248.83623693379792,67.2,67.2,0.35277498,7237.4290516376495,17.916809558868408,147,249.33,26.622184979319826,-82.186,298.6571855545044,16
17792,4441783,-67.155859375,13.298637371961375,150,442.4547836780548,-20.286264,245.560546875,67.2,66.2,0.3420359,7679.910109996796,17.957526922225952,147,248.98,45.421772820272814,-78.227,302.05877447128296,17
18847,4699815,-65.59213270142182,15.4992426658132,148,394.97852087020874,-19.481201,244.58009478672986,67.2,66.8,0.33293277,8074.912655353546,17.854130744934082,147,243.26,47.65369452217448,-60.212999999999994,255.43478965759277,18
19960,4967181,-54.15112309074573,21.030496575035574,135,437.8375220298767,-18.937517,240.2210242587601,72.1,72.1,0.3297768,8512.780733585358,17.924519538879395,135,239.08,55.95499957666483,-54.238,297.7408525943756,19
21102,5227904,-30.07101576182137,31.25091330430424,128,426.6237337589264,-13.010029,228.30385288966724,74.9,74.9,0.34318703,8939.43388414383,17.977283239364624,128,228.61,65.3443108350902,-24.878999999999998,287.7775945663452,20
