total_secs,recent_worst_eplen,n_updates,best_ext_ret,epcount,eprew_recent,tcount,eprew_std,rew_mean,recent_best_eplen,eplen,eplen_std,best_eplen,eprew,recent_best_ext_ret
235.07678055763245,375,1,-134.0,640.0,-139.809375,240000.0,1.729161646579058,-0.35446557,375,375.0,0.0,375,-139.9,-134.0
469.37275743484497,375,2,-130.0,1280.0,-139.95,480000.0,1.324235628579748,-0.36450142,375,375.0,0.0,375,-140.08,-130.0
705.1041722297668,375,3,-130.0,1920.0,-139.778125,720000.0,1.8391302292116238,-0.36042592,375,375.0,0.0,375,-139.76,-132.0
938.579473733902,375,4,-130.0,2688.0,-139.73177083333334,1008000.0,1.4832396974191324,-0.35442463,375,375.0,0.0,375,-139.8,-130.0
1174.6155517101288,375,5,-130.0,3328.0,-139.3,1248000.0,1.7356266879718112,-0.35789496,375,375.0,0.0,375,-139.26,-130.0
1410.2826273441315,375,6,-130.0,3968.0,-139.03125,1488000.0,2.026228022706231,-0.3568342,375,375.0,0.0,375,-138.88,-130.0
1647.0629539489746,375,7,-130.0,4736.0,-138.3828125,1776000.0,2.416940214403327,-0.34890398,375,375.0,0.0,375,-138.28,-130.0
1883.3824200630188,375,8,-126.0,5376.0,-137.484375,2016000.0,2.55530820058951,-0.3520628,375,375.0,0.0,375,-137.48,-126.0
2115.523376226425,375,9,-126.0,6016.0,-137.16875,2256000.0,3.1897335311903405,-0.3516746,375,375.0,0.0,375,-136.84,-126.0
2348.657546520233,375,10,-126.0,6784.0,-137.15885416666666,2544000.0,2.9050989656120145,-0.34626898,375,375.0,0.0,375,-136.98,-126.0
2583.4917244911194,375,11,-114.0,7424.0,-135.95,2784000.0,3.1685959035509716,-0.34864128,375,375.0,0.0,375,-136.2,-114.0
2817.898272037506,375,12,106.6,8065.0,-134.22059282371293,3024364.0,24.390454772307958,-0.34479314,364,374.89,1.0944861808172819,364,-132.35399999999998,106.6
