epbestrew,policy_loss,serial_timesteps,time_elapsed,fps,value_loss,curbestlen,explained_variance,policy_entropy,eplenmean,epbestlen,curbestrew,eprewmean,approxkl,nupdates,total_timesteps,clipfrac
-134,-0.002056582,2048,136.6087778,1919,20.355066,1500,-0.022899151,2.0757763,1500,1500,-134,-140.04,0.00392659,1,262144,0.063054085
-130,-0.001750739,4096,263.2411706,2071,19.398544,1500,-0.008244872,2.0664403,1500,1500,-130,-138.18,0.002658111,2,524288,0.08189678
-126,-0.002178837,6144,391.9503925,2036,18.287565,1500,-0.00693655,2.0472364,1500,1500,-126,-134.78,0.002995702,3,786432,0.06935978
-122,-0.002263819,8192,521.120872,2029,17.155695,1500,0.007129669,2.0246584,1500,1500,-122,-132.86,0.002916144,4,1048576,0.10037041
-122,-0.000185951,10240,648.7610831,2053,16.157427,1500,0.015587211,2.0131338,1500,1500,-122,-131,0.00135443,5,1310720,0.07519913
-122,-0.000818374,12288,774.7342262,2081,15.930216,1500,0.023265183,1.9931824,1500,1500,-122,-131.24,0.002166965,6,1572864,0.097717285
-122,-0.001093879,14336,899.8138702,2095,15.523039,1500,0.02668494,1.996202,1500,1500,-126,-130.56,0.001983605,7,1835008,0.045096397
-122,-0.001287658,16384,1026.011839,2077,15.4199095,1500,0.031314671,1.9618725,1500,1500,-122,-129.98,0.00216594,8,2097152,0.04575634
-122,-0.000603609,18432,1153.263519,2060,15.047066,1500,0.027174115,1.9420975,1500,1500,-122,-130.02,0.001404968,9,2359296,0.024739265
-122,-0.000880615,20480,1279.012426,2084,15.146188,1500,0.035680294,1.9266113,1500,1500,-122,-130,0.001857073,10,2621440,0.04020405
-122,-0.000360381,22528,1404.928551,2082,14.718582,1500,0.030397952,1.9148277,1500,1500,-122,-130.26,0.001513615,11,2883584,0.012311935
-122,-0.000666123,24576,1531.612799,2069,14.6328335,1500,0.052465498,1.8954614,1500,1500,-122,-130.44,0.001732109,12,3145728,0.032201767
-122,-0.000371261,26624,1657.21757,2087,14.440615,1500,0.052426934,1.9077965,1500,1500,-122,-129.38,0.001077194,13,3407872,0.0281744
-110,-0.000270952,28672,1785.552619,2042,14.128349,1500,0.061613083,1.8935139,1500,1500,-110,-129.32,0.001325496,14,3670016,0.012412071
-110,-0.000356013,30720,1913.600166,2047,14.16461,1500,0.069828272,1.8900199,1500,1500,-114,-129.68,0.001153507,15,3932160,0.027941704
-110,4.25E-05,32768,2041.464511,2050,14.047407,1500,0.085900486,1.9018381,1500,1500,-122,-129.84,0.00115641,16,4194304,0.023150444
-110,-0.000256373,34816,2166.913284,2089,13.971587,1500,0.094388187,1.8970486,1500,1500,-122,-129.84,0.001349519,17,4456448,0.019444466
-110,-0.000263027,36864,2294.021074,2062,13.777151,1500,0.11104846,1.8705529,1500,1500,-122,-130.04,0.00121095,18,4718592,0.015782356
-110,-0.000242402,38912,2421.556593,2055,13.7151165,1500,0.11928457,1.8609163,1500,1500,-122,-129.96,0.001121651,19,4980736,0.028411865
-110,-9.83E-05,40960,2549.19886,2053,14.132548,1500,0.089883924,1.8637928,1500,1500,-122,-130.18,0.001802283,20,5242880,0.049798965
-110,-0.000131177,43008,2678.638308,2025,13.925711,1500,0.107170522,1.8696326,1500,1500,-118,-129.8,0.000534579,21,5505024,0.006465912
-110,-0.0002458,45056,2808.144262,2024,12.9394245,1500,0.149521291,1.8799139,1500,1500,-118,-129.04,0.00137119,22,5767168,0.013776779
-110,-0.000334937,47104,2934.778253,2070,12.767087,1500,0.194188356,1.8591293,1500,1500,-114,-129.1,0.001651993,23,6029312,0.028430939
-110,-0.000204731,49152,3062.051859,2059,12.804616,1500,0.17870307,1.8962877,1500,1500,-110,-128.52,0.000730679,24,6291456,0.017442703
-110,-0.000123274,51200,3189.796934,2052,12.859982,1500,0.231326401,1.8920934,1500,1500,-114,-129.52,0.000971065,25,6553600,0.012787819
-110,-0.000200151,53248,3315.525993,2085,13.6439,1500,0.177170038,1.8885368,1500,1500,-118,-130.02,0.001348888,26,6815744,0.026592255
-110,-0.000117915,55296,3442.127712,2070,13.1101,1500,0.210873485,1.8954009,1500,1500,-118,-130.72,0.001113933,27,7077888,0.012275696
-98,-0.000200939,57344,3568.262005,2078,14.087498,1500,0.173515975,1.9023372,1500,1500,-98,-130.68,0.001134736,28,7340032,0.009151459
-98,-8.98E-05,59392,3696.013263,2052,12.975772,1500,0.245134056,1.9183578,1500,1500,-122,-131.68,0.001217007,29,7602176,0.009379387
-98,-0.000233207,61440,3823.595032,2054,12.012335,1500,0.339352965,1.9112394,1500,1500,-102,-128.84,0.001008811,30,7864320,0.014708519
-98,-0.000166459,63488,3951.559856,2048,11.20246,1500,0.373400092,1.9091289,1500,1500,-106,-129.12,0.000873517,31,8126464,0.023519516
-98,-0.000117887,65536,4077.794026,2076,13.250544,1500,0.236086547,1.9157561,1500,1500,-102,-129.68,0.000828348,32,8388608,0.006897926
-98,-7.95E-05,67584,4202.542065,2101,11.912479,1500,0.385174036,1.9194334,1500,1500,-122,-133.02,0.000883263,33,8650752,0.00779438
-98,-0.000131874,69632,4328.848572,2075,12.225,1500,0.396009326,1.9216877,1500,1500,-110,-133.2,0.000597461,34,8912896,0.006014824
-98,-0.000261908,71680,4456.262355,2057,12.133261,1500,0.392710388,1.9292474,1500,1500,-122,-134.04,0.001318786,35,9175040,0.015625
-98,-0.000323858,73728,4584.315247,2047,12.74349,1500,0.403827727,1.9226975,1500,1500,-122,-136.04,0.001161199,36,9437184,0.012651444
-98,-0.000277612,75776,4713.778206,2024,13.113973,1500,0.346541345,1.919469,1500,1500,-122,-137.26,0.001447988,37,9699328,0.026569366
-98,-0.000534095,77824,4841.15318,2058,13.149363,1500,0.38347441,1.9123988,1500,1500,-130,-138.78,0.001360018,38,9961472,0.02218151
-98,-0.000478164,79872,4965.846567,2102,13.390164,1500,0.370218277,1.9238094,1500,1500,-130,-139.2,0.001530255,39,10223616,0.046237946
-98,-0.000869638,81920,5091.184761,2091,13.045076,1500,0.34461391,1.9229202,1500,1500,-130,-139.54,0.001811493,40,10485760,0.045788765
-98,-0.000887644,83968,5217.967873,2068,13.399908,1500,0.306993842,1.9151028,1500,1500,-136,-139.94,0.001970644,41,10747904,0.04660511
-98,-0.000787445,86016,5344.138532,2077,13.045934,1500,0.288940847,1.9001194,1500,1500,-138,-140.26,0.001638221,42,11010048,0.036445618
-98,8.71E-06,88064,5470.830027,2069,13.691601,1500,0.288010597,1.9043833,1500,1500,-140,-140.44,0.001206114,43,11272192,0.019534111
-98,-0.00045986,90112,5596.739288,2082,13.110456,1500,0.28475666,1.8943878,1500,1500,-140,-140.5,0.001485674,44,11534336,0.030456543
-98,-0.000561086,92160,5722.52721,2084,13.427292,1500,0.317930281,1.891784,1500,1500,-140,-140.44,0.001361701,45,11796480,0.026369095
-98,-0.000236986,94208,5849.645684,2062,13.091756,1500,0.296299934,1.8889676,1500,1500,-140,-140.74,0.00078674,46,12058624,0.008835793
-98,-0.000542085,96256,5973.27124,2120,13.466978,1500,0.304123819,1.880227,1500,1500,-140,-140.74,0.001385054,47,12320768,0.022266388
-98,-0.000230226,98304,6098.871383,2087,12.979536,1500,0.288285553,1.8735298,1500,1500,-140,-140.74,0.001024478,48,12582912,0.009522438
-98,-0.000121101,100352,6224.353219,2089,13.368228,1500,0.315810382,1.8725518,1500,1500,-140,-140.86,0.000761218,49,12845056,0.019117355
-98,-0.000236694,102400,6350.526076,2077,13.173035,1500,0.272280335,1.857776,1500,1500,-140,-141.08,0.000981294,50,13107200,0.010769844
-98,-0.000273849,104448,6476.727572,2077,13.130277,1500,0.339552641,1.854433,1500,1500,-140,-141.12,0.000735915,51,13369344,0.01303196
-98,-0.000244418,106496,6603.69367,2064,13.047156,1500,0.333310902,1.8495483,1500,1500,-140,-141.06,0.000938377,52,13631488,0.013242722
-98,-0.00027536,108544,6731.208957,2055,12.642142,1500,0.378059506,1.8387479,1500,1500,-140,-141.12,0.000836251,53,13893632,0.011502266
-98,-2.27E-05,110592,6857.761898,2071,12.985805,1500,0.377280951,1.8603826,1500,1500,-140,-141.24,0.001203551,54,14155776,0.01761055
-98,-0.00024459,112640,6984.478698,2068,12.4914465,1500,0.401470423,1.853538,1500,1500,-140,-141.26,0.001478638,55,14417920,0.029493332
