eprew,eprew_std,best_eplen,eplen,rew_mean,epcount,n_updates,total_secs,best_ext_ret,recent_best_ext_ret,recent_worst_eplen,eplen_std,eprew_recent,tcount,recent_best_eplen
-190.5,3.024896692450835,500,500.0,-0.36893314,384.0,1,237.7158648967743,-176.0,-176.0,500,0.0,-190.41145833333334,192000.0,500
-190.68,2.831536685264734,500,500.0,-0.37141797,896.0,2,467.91067600250244,-176.0,-176.0,500,0.0,-190.55859375,448000.0,500
-190.08,3.3456837866122378,500,500.0,-0.36725512,1408.0,3,699.4395525455475,-176.0,-176.0,500,0.0,-189.8203125,704000.0,500
-189.32,3.40846006284363,500,500.0,-0.36679912,1920.0,4,933.2727165222168,-176.0,-176.0,500,0.0,-189.73046875,960000.0,500
-189.46,3.5423720866108908,500,500.0,-0.3657357,2432.0,5,1168.5888788700104,-172.0,-172.0,500,0.0,-189.40234375,1216000.0,500
-190.24,2.6725268941584104,500,500.0,-0.36670995,2944.0,6,1400.8534679412842,-168.0,-168.0,500,0.0,-189.42578125,1472000.0,500
-190.16,2.678507046845313,500,500.0,-0.36740658,3456.0,7,1636.1721138954163,-168.0,-172.0,500,0.0,-189.95703125,1728000.0,500
-190.74,2.3435869943315524,500,500.0,-0.36823532,3968.0,8,1872.1489243507385,-168.0,-176.0,500,0.0,-190.3828125,1984000.0,500
-190.56,2.7579702681501117,500,500.0,-0.3688472,4480.0,9,2109.280914783478,-168.0,-176.0,500,0.0,-190.58984375,2240000.0,500
-190.42,2.916093276971777,500,500.0,-0.36799455,4992.0,10,2347.3550894260406,-168.0,-176.0,500,0.0,-190.5625,2496000.0,500
-189.28,2.9054431675735803,500,500.0,-0.3659341,5504.0,11,2585.8611776828766,-168.0,-172.0,500,0.0,-189.94921875,2752000.0,500
-189.84,3.0942527369301946,500,500.0,-0.36569074,6016.0,12,2820.2302253246307,-168.0,-176.0,500,0.0,-189.71875,3008000.0,500
-189.68,2.7381745744199724,500,500.0,-0.36533257,6528.0,13,3060.221666097641,-168.0,-176.0,500,0.0,-189.578125,3264000.0,500
-189.16,2.968905522242161,500,500.0,-0.36483347,7040.0,14,3301.055510997772,-168.0,-176.0,500,0.0,-189.3046875,3520000.0,500
-188.22,3.83557036175847,500,500.0,-0.36440408,7552.0,15,3537.719381093979,-168.0,-176.0,500,0.0,-189.078125,3776000.0,500
