nupdates,serial_timesteps,time_elapsed,value_loss,epbestrew,policy_entropy,explained_variance,eprewmean,total_timesteps,approxkl,fps,curbestrew,clipfrac,eplenmean,curbestlen,epbestlen,policy_loss
1,2048,133.2957659,20.127615,-180,2.0765867,-0.01118958,-189.46,262144,0.002713837,1967,-180,0.02538395,2000,2000,2000,-0.000851553
2,4096,266.7353804,19.400425,-176,2.0783594,0.002913833,-189.58,524288,0.002659212,1965,-176,0.04225254,2000,2000,2000,-0.001547779
3,6144,400.4070036,19.184242,-176,2.078909,0.009107709,-190.36,786432,0.000185528,1961,-176,0,2000,2000,2000,-9.86E-05
4,8192,528.9954476,18.889061,-176,2.0783973,0.009459078,-189.08,1048576,0.000206593,2038,-180,4.48E-05,2000,2000,2000,-8.97E-05
5,10240,660.2394867,18.578894,-176,2.0785136,0.004237771,-189.68,1310720,0.000690303,1997,-180,0.002052307,2000,2000,2000,-0.000276742
6,12288,794.0281634,18.421003,-172,2.078159,-0.003606319,-189.48,1572864,0.000840367,1959,-172,0.007426262,2000,2000,2000,-0.000387636
7,14336,929.158587,17.899502,-172,2.0775566,-0.005188823,-189.28,1835008,0.000889178,1939,-180,0.008396149,2000,2000,2000,-0.000422433
8,16384,1061.22409,17.680128,-172,2.0761907,-0.026322365,-190.06,2097152,0.001149396,1985,-184,0.008403778,2000,2000,2000,-0.000451107
9,18432,1193.408543,17.423449,-172,2.0761688,-0.025466681,-189.74,2359296,0.001722551,1983,-180,0.018381119,2000,2000,2000,-0.000691336
10,20480,1328.765194,17.202171,-172,2.0764349,-0.035899043,-189.88,2621440,0.001263372,1936,-180,0.012813568,2000,2000,2000,-0.000557688
11,22528,1458.662365,16.794909,-168,2.0752115,-0.064112425,-189.08,2883584,0.001260377,2018,-168,0.00937748,2000,2000,2000,-0.000425752
12,24576,1586.377425,16.729345,-168,2.0724373,-0.036950588,-190.22,3145728,0.001920935,2052,-184,0.03901577,2000,2000,2000,-0.001115845
13,26624,1718.246225,16.498278,-168,2.0691845,-0.022139311,-189.54,3407872,0.00094422,1988,-180,0.001971245,2000,2000,2000,-0.000224458
14,28672,1853.199704,16.29208,-168,2.0609176,-0.01793468,-189.32,3670016,0.001341627,1942,-180,0.009939194,2000,2000,2000,-0.000343493
15,30720,1984.012043,15.971253,-168,2.0613163,0.007742345,-189.04,3932160,0.001336231,2004,-172,0.013545036,2000,2000,2000,-0.00040421
16,32768,2113.881645,15.843845,-168,2.059265,0.017879725,-189.56,4194304,0.002080381,2018,-176,0.034902573,2000,2000,2000,-0.000901227
17,34816,2246.058927,15.529632,-168,2.06194,0.04021275,-189.12,4456448,0.001063743,1983,-176,0.015569687,2000,2000,2000,-0.000371792
18,36864,2376.95708,15.212101,-168,2.0567517,0.055842876,-188.86,4718592,0.000671251,2002,-176,0.007985115,2000,2000,2000,-0.000232129
19,38912,2510.846481,15.07977,-168,2.058513,0.07031101,-188.76,4980736,0.000957691,1957,-180,0.010765076,2000,2000,2000,-0.000230965
20,40960,2643.810188,14.93996,-168,2.059596,0.096776903,-189.04,5242880,0.000476134,1971,-176,0.002440453,2000,2000,2000,-0.000161352
21,43008,2774.150711,14.682267,-168,2.061861,0.062810779,-189.18,5505024,0.000239083,2011,-176,1.24E-05,2000,2000,2000,-6.77E-05
22,45056,2908.442487,14.446971,-168,2.0586495,0.117712975,-189.78,5767168,0.000783463,1952,-182,0.00458622,2000,2000,2000,-0.00013599
23,47104,3041.450881,14.2492485,-168,2.057939,0.159119308,-189.44,6029312,0.001054845,1970,-180,0.011370659,2000,2000,2000,-0.000230975
24,49152,3167.286324,13.853521,-168,2.0557723,0.198772967,-188.94,6291456,0.001618285,2083,-176,0.014511108,2000,2000,2000,-0.000384598
25,51200,3293.605454,13.681741,-168,2.057086,0.224118412,-189.16,6553600,0.001345187,2075,-176,0.012253761,2000,2000,2000,-0.000340748
26,53248,3421.240538,13.503793,-168,2.056782,0.247751892,-189.38,6815744,0.001181443,2053,-176,0.02407074,2000,2000,2000,-0.000303933
27,55296,3549.357711,13.56786,-168,2.062635,0.244779885,-189.28,7077888,0.000831645,2046,-172,0.007798195,2000,2000,2000,-0.000132789
28,57344,3682.753066,12.936267,-168,2.0634294,0.290671289,-189.32,7340032,0.000598182,1965,-178,0.005764008,2000,2000,2000,-0.000114354
29,59392,3813.273668,12.972915,-168,2.0614107,0.297237217,-190.06,7602176,0.000462186,2008,-180,0.005813599,2000,2000,2000,-6.95E-05
30,61440,3943.26187,12.741508,-168,2.0515685,0.323659301,-188.94,7864320,0.000860702,2016,-176,0.013533592,2000,2000,2000,-0.000224883
