policy_loss,nupdates,curbestlen,eplenmean,fps,time_elapsed,eprewmean,total_timesteps,curbestrew,explained_variance,policy_entropy,clipfrac,serial_timesteps,approxkl,epbestlen,value_loss,epbestrew
-0.0017063594,1,2000,2000.0,1029,254.79996347427368,-192.64,262144,-188.0,-0.0029217004776000977,2.0758312,0.056405067,2048,0.0035251398,2000,19.898026,-188.0
-0.0015942277,2,2000,2000.0,1075,498.8306987285614,-190.18,524288,-182.0,0.000634610652923584,2.0670214,0.055620193,4096,0.0025328163,2000,19.142351,-182.0
-0.0016263752,3,2000,2000.0,1059,746.3197739124298,-187.36,786432,-176.0,0.006091892719268799,2.0558448,0.06661987,6144,0.0020099976,2000,17.543598,-176.0
-0.0020576573,4,2000,2000.0,1076,989.7599945068359,-183.88,1048576,-176.0,0.008931994438171387,2.0338104,0.079880714,8192,0.0027226864,2000,16.983091,-176.0
-0.0011133607,5,2000,2000.0,1084,1231.4118552207947,-182.12,1310720,-172.0,0.0110512375831604,2.0170143,0.047317505,10240,0.0018162393,2000,16.429295,-172.0
-0.0013350205,6,2000,2000.0,1088,1472.2932722568512,-181.38,1572864,-172.0,0.007531523704528809,1.9941516,0.046878815,12288,0.0019807722,2000,16.209053,-172.0
-0.0011463462,7,2000,2000.0,1077,1715.6483407020569,-180.44,1835008,-168.0,0.0096169114112854,1.9719065,0.037605286,14336,0.0022127887,2000,15.982542,-168.0
-0.00043105672,8,2000,2000.0,1082,1957.7399957180023,-181.36,2097152,-172.0,0.010663390159606934,1.9685222,0.025794983,16384,0.0018040553,2000,15.694336,-168.0
-0.00061963475,9,2000,2000.0,1078,2200.8447201251984,-179.86,2359296,-168.0,0.014954566955566406,1.9477668,0.023386002,18432,0.0015914689,2000,15.18639,-168.0
-0.0002348382,10,2000,2000.0,1077,2444.228192806244,-179.62,2621440,-172.0,0.021612942218780518,1.9353127,0.020524979,20480,0.0010302939,2000,15.08189,-168.0
