recent_worst_eplen,eprew,best_ext_ret,best_eplen,total_secs,eplen,n_updates,epcount,tcount,eprew_recent,eplen_std,recent_best_eplen,recent_best_ext_ret,rew_mean,eprew_std
473,228.961,240.1,133,377.897260427475,160.52,961,1526.0,246004769.0,228.9915465268676,16.37649535157019,133,240.1,1.3785506,6.632222779732298
398,228.763,240.1,133,737.0360956192017,161.04,962,3138.0,246261918.0,229.32884615384617,23.175383491972685,136,238.8,1.4615563,9.280578160869075
750,230.04300000000003,240.1,133,1097.876442193985,157.96,963,4737.0,246516983.0,229.16948092557848,14.363787801273034,135,239.2,1.452992,5.767967666344881
750,229.42,240.1,133,1451.738810300827,159.26,964,6343.0,246773061.0,229.20846824408468,16.835450691917934,133,240.1,1.4535806,6.7775364255753
750,228.34699999999998,240.1,133,1809.7342886924744,161.97,965,7935.0,247028448.0,228.48938442211053,17.79913200130838,137,238.5,1.4296432,7.22654073537263
750,229.92,240.1,133,2165.632487297058,157.97,966,9545.0,247285883.0,228.834099378882,14.566025538903878,136,238.8,1.4502165,6.020000000000001
326,229.929,240.1,133,2525.1570267677307,157.83,967,11151.0,247541679.0,229.41961394769615,11.130188677646036,133,240.1,1.4460462,4.651027735888058
750,229.615,240.1,133,2883.1810998916626,158.81,968,12744.0,247795985.0,229.13703703703706,11.660784707728721,136,238.8,1.4332719,4.739733642305229
509,229.26900000000006,240.1,133,3239.3330216407776,159.45,969,14367.0,248053328.0,229.7016019716574,14.731853243906551,137,238.5,1.4661571,6.003443928279833
488,228.092,240.1,133,3595.840530872345,162.53,970,15975.0,248310402.0,229.18364427860695,37.82365794050068,136,238.9,1.4497399,15.19907681406999
750,229.179,240.1,133,3953.45707654953,159.47,971,17576.0,248565790.0,229.16958151155526,15.774317734849898,137,238.4,1.4416103,6.4012857302263875
750,230.069,240.1,133,4308.623794794083,157.76,972,19183.0,248822260.0,229.10871188550095,13.86082248641833,135,239.3,1.4484323,5.636571564346538
750,229.30300000000005,240.1,133,4665.122101306915,159.42,973,20776.0,249077175.0,228.62071563088512,17.512384189481452,135,239.3,1.4327081,7.087502451498694
534,229.44400000000002,240.9,131,5026.526649475098,159.34,974,22390.0,249334145.0,229.47428748451054,16.43363623791156,131,240.9,1.4553735,6.575611302380941
438,230.22799999999998,240.9,131,5378.161650657654,157.29,975,24007.0,249589928.0,229.86462585034013,12.408299641772034,135,239.2,1.4611388,4.98467812401162
750,229.90000000000003,240.9,131,5735.840224504471,158.13,976,25616.0,249846498.0,229.0302672467371,15.141766739717003,136,238.6,1.451061,6.155404129705863
750,229.565,240.9,131,6092.773814678192,158.94,977,27214.0,250100800.0,229.32553191489362,17.815061043959407,134,239.6,1.4395432,7.21720686969689
298,229.16799999999995,240.9,131,6452.485866308212,159.75,978,28839.0,250357207.0,230.0449230769231,19.73594436554785,134,239.7,1.4706045,7.990818230944814
267,230.60800000000003,240.9,131,6815.877663373947,156.33,979,30464.0,250613269.0,230.10449230769234,13.544781282841004,136,238.9,1.4731988,5.577341302090091
462,230.43,240.9,131,7172.4741995334625,156.95,980,32094.0,250870596.0,229.98006134969324,14.64812274661842,134,239.7,1.4747688,5.863284062707519
322,229.79399999999998,240.9,131,7522.491422176361,158.45,981,33706.0,251124870.0,230.06464019851114,19.453727149315114,134,239.6,1.457261,7.818821138765101
750,230.05300000000003,240.9,131,7880.384353637695,157.62,982,35328.0,251381870.0,229.58421701602958,15.205775218646368,133,240.1,1.4659201,6.141017098168675
323,229.98499999999996,240.9,131,8241.368438482285,157.99,983,36958.0,251637746.0,230.33110429447854,12.10330120256453,134,239.6,1.476761,4.865971126096003
