curbestlen,total_timesteps,epbestlen,epbestrew,clipfrac,eplenmean,eprewmean,explained_variance,fps,policy_loss,policy_entropy,approxkl,time_elapsed,serial_timesteps,curbestrew,value_loss,nupdates
1000,128000,1000,-83.4,0.20287697,1000.0,-95.14699999999998,0.009199440479278564,2591,-0.0024134351,1.3823687,0.003901528,49.39408302307129,2000,-83.4,18.104256,1
1000,256000,1000,-67.1,0.11003321,1000.0,-92.35499999999998,0.021397292613983154,2769,-0.0028848837,1.3719515,0.0028839677,95.66294574737549,4000,-67.1,16.95388,2
1000,384000,1000,-67.1,0.05358398,1000.0,-91.40899999999999,0.01559901237487793,2837,-0.0018523142,1.3590062,0.0019264442,140.7757444381714,6000,-75.2,16.34425,3
1000,512000,1000,-67.1,0.07551173,1000.0,-90.54699999999998,0.024284958839416504,2885,-0.0015090976,1.3472325,0.0018175736,185.1321325302124,8000,-75.2,15.819749,4
727,640000,727,62.3,0.05699414,997.27,-86.557,0.03160029649734497,2814,-0.0013124245,1.3382934,0.0016108265,230.62091374397278,10000,62.3,15.045236,5
915,768000,727,62.3,0.024849609,999.15,-86.999,0.01818948984146118,2800,-0.001015639,1.3128164,0.0014532624,276.33711194992065,12000,45.6,15.883925,6
762,896000,727,62.3,0.01801953,997.62,-87.36200000000002,0.021946191787719727,2850,-0.0007291472,1.2936419,0.0013239264,321.2465329170227,14000,60.9,16.588562,7
832,1024000,727,62.3,0.0034335938,998.32,-83.93100000000003,0.028910934925079346,2820,-0.0005286571,1.2693621,0.0007987872,366.6271014213562,16000,53.9,17.689396,8
1000,1152000,727,62.3,0.018482422,1000.0,-87.03500000000003,0.033551573753356934,2856,-0.00066384475,1.2445579,0.0010685967,411.4351918697357,18000,-73.2,17.287167,9
831,1280000,727,62.3,0.005667968,998.31,-86.794,0.03496420383453369,2834,-0.00029957175,1.2355258,0.0005434511,456.59047079086304,20000,54.0,16.056929,10
987,1408000,727,62.3,0.013804688,999.86,-83.898,0.053922176361083984,2836,-0.00032027345,1.2271188,0.00078565476,501.74983072280884,22000,38.4,16.680857,11
1000,1536000,727,62.3,0.012945313,1000.0,-88.293,0.05607759952545166,2820,-0.00021517173,1.2217026,0.000814661,547.1332721710205,24000,-71.1,17.236805,12
882,1664000,727,62.3,0.0057539055,998.82,-84.505,0.09509509801864624,2773,-0.00025998522,1.210121,0.0008894033,593.2828209400177,26000,-51.2,15.245028,13
583,1792000,583,78.8,0.004296875,995.83,-83.01000000000002,0.10057085752487183,2782,-0.00018778637,1.2109777,0.0002398499,639.294239282608,28000,78.8,16.311588,14
718,1920000,583,78.8,0.0019882813,994.67,-80.96,0.10873031616210938,2855,-0.0001737722,1.2086915,0.000189575,684.1230924129486,30000,65.3,17.7704,15
815,2048000,583,78.8,0.0014355467,995.41,-79.211,0.12588417530059814,2853,-0.00014977538,1.2053111,0.00032377304,728.9906570911407,32000,55.6,16.990505,16
815,2176000,583,78.8,0.01745898,995.07,-75.443,0.15710067749023438,2740,-0.0005925109,1.1958244,0.0011693831,775.6990263462067,34000,55.6,18.977268,17
832,2304000,583,78.8,0.0073886723,996.25,-81.18400000000001,0.15598398447036743,2783,-0.00011687816,1.1912756,0.0005458771,821.6862654685974,36000,53.9,17.728094,18
931,2432000,583,78.8,0.0359082,999.14,-84.85100000000003,0.18180644512176514,2753,-0.000383517,1.2046651,0.0012622937,868.1824026107788,38000,44.0,14.79614,19
847,2560000,583,78.8,0.00061132805,996.68,-80.23299999999999,0.20312029123306274,2847,-0.00010066015,1.2191414,0.00019557048,913.1453323364258,40000,52.4,18.178501,20
