recent_best_eplen,total_secs,eprew_std,best_ext_ret,eprew,epcount,tcount,recent_worst_eplen,eplen_std,rew_mean,eplen,n_updates,eprew_recent,recent_best_ext_ret,best_eplen
375,92.22556614875793,4.099667669458101,-123.2,-143.715,320.0,120000.0,375,0.0,-0.36934677,375.0,1,-143.74156250000001,-123.2,375
375,183.0996277332306,5.1777470003854,-111.0,-142.156,640.0,240000.0,375,0.0,-0.3717186,375.0,2,-142.73312500000003,-111.0,375
294,274.88844656944275,17.29254113772756,21.5,-138.31100000000004,961.0,360294.0,375,8.059398240563622,-0.3624726,374.19,3,-140.21526479750779,21.5,294
375,367.6467468738556,5.93356309480231,21.5,-139.27300000000002,1344.0,503919.0,375,0.0,-0.36007833,375.0,4,-140.07624020887727,-111.0,294
375,458.3322775363922,5.726473958728876,21.5,-140.16400000000002,1664.0,623919.0,375,0.0,-0.3601709,375.0,5,-139.4621875,-111.0,294
375,547.9462394714355,6.1547766003324575,21.5,-140.29500000000002,1985.0,744294.0,375,0.0,-0.36202317,375.0,6,-139.92897196261683,-111.0,294
339,639.3428094387054,6.581888102968628,21.5,-139.49300000000002,2368.0,887883.0,375,0.0,-0.35825482,375.0,7,-139.40078328981724,-96.6,294
375,729.6200115680695,6.588591351723066,21.5,-139.89199999999997,2688.0,1007883.0,375,0.0,-0.36129215,375.0,8,-139.2603125,-111.0,294
366,820.4672656059265,14.903259341499766,21.5,-134.61900000000003,3013.0,1129742.0,375,0.8954886933959582,-0.34971544,374.91,9,-135.40246153846155,-7.3,294
311,915.8410060405731,7.395439878736082,21.5,-134.56300000000002,3392.0,1271752.0,375,0.0,-0.34398857,375.0,10,-133.32849604221636,8.5,294
319,1007.2068452835083,20.358110202079168,21.5,-127.49300000000001,3712.0,1391676.0,375,5.897660553134608,-0.33789504,374.24,11,-130.4734375,11.7,294
274,1100.299952507019,10.732622046825279,29.5,-126.76800000000001,4053.0,1518832.0,375,11.539081419246509,-0.32725596,372.64,12,-125.97096774193548,29.5,274
276,1192.2102286815643,14.864592022655717,29.5,-124.15199999999999,4416.0,1654454.0,375,4.7133427628382805,-0.32187322,374.38,13,-124.20358126721766,6.7,274
178,1282.2507207393646,45.63238598846219,63.8,-109.543,4748.0,1776768.0,375,39.68088204664811,-0.30549398,362.74,14,-115.96265060240965,63.8,178
205,1373.575758934021,31.44431043925117,63.8,-114.87900000000003,5103.0,1908093.0,375,16.16070543014753,-0.3041555,371.46,15,-115.75943661971833,41.9,178
184,1463.0986173152924,43.44687220042428,65.6,-106.26400000000001,5452.0,2034540.0,375,35.522387307161665,-0.27702913,363.8,16,-103.93381088825215,65.6,178
155,1552.9993476867676,54.1635458218902,77.1,-92.04800000000002,5819.0,2164811.0,375,48.80952673403011,-0.2447168,353.01,17,-90.68392370572207,77.1,155
138,1642.7472832202911,69.02351364571352,83.9,-65.84200000000001,6202.0,2292921.0,375,67.27256201453903,-0.19578125,331.68,18,-68.66657963446475,83.9,138
90,1734.8012630939484,70.1827095230727,103.1,-49.122,6599.0,2421638.0,375,69.73277565105235,-0.1504091,321.0,19,-52.314357682619644,103.1,90
106,1825.114534854889,71.73752292907805,103.1,-51.00200000000001,7003.0,2548986.0,375,74.06377252071353,-0.13247786,320.24,20,-43.81014851485149,95.3,90
108,1915.7302997112274,78.13738011348984,103.1,-30.776999999999997,7436.0,2678325.0,375,81.14665735567917,-0.068656884,302.0,21,-24.305773672055427,96.0,90
106,2005.797654390335,70.14015491143428,103.1,1.0630000000000017,7897.0,2805335.0,375,84.037193551427,-0.005498804,263.49,22,-3.6802603036876365,95.1,90
90,2095.4556906223297,58.72019669585585,103.1,25.249999999999996,8423.0,2935542.0,375,75.14799465055604,0.09659226,236.17,23,19.778707224334603,103.1,90
78,2186.8648059368134,41.93665808096778,107.9,40.747,8996.0,3064174.0,375,65.93343537235111,0.16719396,222.11,24,34.712041884816756,107.9,78
91,2276.1277992725372,45.797197064885964,107.9,37.321000000000005,9579.0,3192245.0,375,75.04532696977208,0.20324115,225.83,25,41.78061749571183,101.6,78
62,2367.029954433441,37.890989047529494,114.5,54.607,10257.0,3321289.0,375,62.15816197411246,0.29970554,192.77,26,54.19188790560473,114.5,62
73,2457.2542283535004,41.27260896769188,114.5,60.19300000000001,11018.0,3450156.0,375,58.64733583036829,0.39657795,173.5,27,64.16254927726675,109.9,62
64,2546.954413175583,27.10451025198574,114.5,72.918,11874.0,3578461.0,375,47.22139345677974,0.49073127,153.8,28,71.29042056074766,109.9,62
65,2636.9140434265137,33.6522426592939,114.5,71.542,12804.0,3707468.0,375,48.69599572860175,0.56567913,142.8,29,75.732688172043,113.1,62
62,2727.2713005542755,31.619299486231505,114.5,80.07,13808.0,3835248.0,375,45.42383074994886,0.6473159,131.66,30,80.62669322709165,112.5,62
61,2817.0617184638977,31.0599052799586,114.7,80.822,14886.0,3963716.0,311,32.520607312902385,0.7031888,120.01,31,81.59517625231912,114.7,61
59,2909.47279548645,30.519041187429202,115.5,85.805,16048.0,4092101.0,291,27.75365021037773,0.81316817,109.07,32,87.83932874354561,115.5,59
58,2999.0606467723846,24.246289015022487,115.7,91.263,17285.0,4220299.0,263,28.753564996361757,0.90615356,105.35,33,92.10970088924817,115.7,58
55,3089.507858276367,20.656182488543234,117.1,95.94499999999998,18597.0,4348186.0,208,24.229855550539295,0.9846256,97.29,34,94.75045731707317,117.1,55
54,3182.4136250019073,25.00677260263707,117.1,94.618,19950.0,4476908.0,276,22.275322668818962,1.0253084,95.9,35,95.57612712490761,116.7,54
55,3271.7958946228027,23.21875575908408,117.1,97.759,21344.0,4605085.0,375,34.74169109297934,1.083746,92.43,36,98.17761836441895,116.5,54
55,3361.4064602851868,22.984915292426027,117.1,97.237,22817.0,4733347.0,203,23.928432878063703,1.1656394,90.51,37,99.98085539714867,117.1,54
53,3452.2139732837677,27.352207424630283,118.1,97.30699999999999,24325.0,4861221.0,344,16.451747627531855,1.2103865,84.0,38,101.45815649867376,118.1,53
52,3541.714984178543,21.498706379687132,118.3,101.73199999999999,25895.0,4989519.0,235,18.209492030257188,1.2830528,83.12,39,103.52528662420382,118.3,52
54,3632.265685558319,12.317467109759214,118.3,106.00200000000001,27523.0,5117538.0,227,17.36696864740649,1.3536617,79.78,40,105.12911547911548,117.3,52
53,3722.9796800613403,11.909744707591344,118.3,107.65899999999999,29192.0,5245376.0,333,13.914061233155474,1.391999,76.17,41,105.61917315757938,118.1,52
49,3813.393575191498,11.979223514068012,118.9,108.59800000000001,30915.0,5373432.0,375,14.191983652752706,1.4616874,73.74,42,107.57684271619269,118.9,49
50,3903.733716726303,11.539418702863674,119.2,109.49600000000001,32691.0,5501505.0,228,15.07451823442461,1.5229595,71.17,43,108.7320382882883,119.2,49
49,3993.9784936904907,19.361471638282048,119.7,107.596,34504.0,5629331.0,185,13.634731387159778,1.5720247,70.79,44,109.87870932156645,119.7,49
51,4086.8580338954926,10.636850050649393,119.7,110.91100000000002,36372.0,5757777.0,223,10.603070310056422,1.6314464,66.93,45,110.68286937901497,118.9,49
50,4179.297631263733,15.194151868399894,119.7,109.95700000000001,38284.0,5885873.0,166,10.865891587900185,1.6813912,67.18,46,111.70936192468619,119.1,49
50,4269.122581005096,12.350216637776034,119.7,111.19300000000001,40223.0,6013981.0,189,16.437469391606484,1.7114313,66.64,47,111.81949458483754,118.9,49
50,4357.699282169342,3.3378704288812653,119.7,113.611,42191.0,6141528.0,153,7.423011518245138,1.7428823,63.17,48,112.3432418699187,119.1,49
49,4445.846642971039,10.916431422401738,119.7,112.515,44203.0,6269802.0,156,8.749857141690944,1.7876043,63.6,49,112.92788270377733,118.7,49
50,4537.956604003906,5.573473871832539,119.7,113.383,46235.0,6397907.0,159,13.997771251167093,1.815258,64.32,50,113.44744094488188,119.3,49
