recent_worst_eplen,eplen,recent_best_ext_ret,epcount,eprew_recent,recent_best_eplen,best_eplen,total_secs,eplen_std,best_ext_ret,n_updates,eprew,rew_mean,tcount,eprew_std
500,500.0,-190.0,384.0,-193.66145833333334,500,500,369.8017282485962,0.0,-190.0,1,-193.56,-0.37282404,192000.0,1.0031948963187565
500,500.0,-190.0,896.0,-193.75,500,500,737.330141544342,0.0,-190.0,2,-193.74,-0.37745413,448000.0,0.729657453878188
500,500.0,-190.0,1408.0,-193.8359375,500,500,1102.4031293392181,0.0,-190.0,3,-193.9,-0.3751713,704000.0,0.43588989435406733
500,500.0,-190.0,1920.0,-193.96484375,500,500,1470.0664615631104,0.0,-190.0,4,-193.96,-0.37565598,960000.0,0.39799497484264806
500,500.0,-192.0,2432.0,-193.95703125,500,500,1833.3182682991028,0.0,-190.0,5,-193.9,-0.3756607,1216000.0,0.43588989435406733
500,500.0,-192.0,2944.0,-193.94921875,500,500,2199.4514915943146,0.0,-190.0,6,-193.92,-0.3751668,1472000.0,0.39191835884530857
500,500.0,-190.0,3456.0,-193.89453125,500,500,2563.176286458969,0.0,-190.0,7,-193.9,-0.3746266,1728000.0,0.43588989435406733
500,500.0,-190.0,3968.0,-193.84375,500,500,2933.7727773189545,0.0,-190.0,8,-193.76,-0.374323,1984000.0,0.6499230723708769
500,500.0,-188.0,4480.0,-193.67578125,500,500,3286.975410223007,0.0,-188.0,9,-193.5,-0.37347928,2240000.0,0.9539392014169457
500,500.0,-188.0,4992.0,-193.18359375,500,500,3645.4587099552155,0.0,-188.0,10,-193.06,-0.3717491,2496000.0,1.3101144988129854
500,500.0,-184.0,5504.0,-192.41015625,500,500,3998.686352491379,0.0,-184.0,11,-192.52,-0.37009925,2752000.0,1.6880758276807353
500,500.0,-180.0,6016.0,-191.1484375,500,500,4356.172915458679,0.0,-180.0,12,-190.66,-0.36760172,3008000.0,3.225585218220098
500,500.0,-176.0,6528.0,-188.87109375,500,500,4714.477553129196,0.0,-176.0,13,-188.46,-0.36331993,3264000.0,3.750786584171379
500,500.0,-176.0,7040.0,-186.421875,500,500,5065.044007301331,0.0,-176.0,14,-185.58,-0.35925734,3520000.0,4.692930853954701
500,500.0,-172.0,7552.0,-184.54296875,500,500,5422.531515836716,0.0,-172.0,15,-184.36,-0.35644507,3776000.0,4.4486402416918365
500,500.0,-176.0,8064.0,-182.03125,500,500,5780.451531648636,0.0,-172.0,16,-181.74,-0.35147807,4032000.0,4.114899755765626
500,500.0,-172.0,8576.0,-180.72265625,500,500,6138.041818141937,0.0,-172.0,17,-180.62,-0.3495639,4288000.0,3.9768832017045703
500,500.0,-168.0,9088.0,-180.08984375,500,500,6488.383241891861,0.0,-168.0,18,-180.14,-0.34914324,4544000.0,2.8461201661208895
500,500.0,-172.0,9600.0,-179.17578125,500,500,6848.425680875778,0.0,-168.0,19,-178.8,-0.34768134,4800000.0,2.668332812825266
500,500.0,-172.0,10112.0,-179.109375,500,500,7205.727820158005,0.0,-168.0,20,-178.64,-0.34739563,5056000.0,2.7405109012737023
500,500.0,-156.0,10624.0,-179.03125,500,500,7565.736916065216,0.0,-156.0,21,-179.02,-0.34799746,5312000.0,3.4116858003045945
500,500.0,-164.0,11136.0,-179.32421875,500,500,7923.9280433654785,0.0,-156.0,22,-179.12,-0.34882474,5568000.0,2.16
500,500.0,-172.0,11648.0,-179.93359375,500,500,8283.058085680008,0.0,-156.0,23,-180.1,-0.35047352,5824000.0,1.9261360284258222
500,500.0,-172.0,12160.0,-180.33203125,500,500,8644.054508924484,0.0,-156.0,24,-181.16,-0.3512008,6080000.0,3.288525505450733
500,500.0,-176.0,12672.0,-180.375,500,500,9008.288515090942,0.0,-156.0,25,-180.8,-0.35191312,6336000.0,3.1749015732775083
500,500.0,-176.0,13184.0,-180.8984375,500,500,9368.65862774849,0.0,-156.0,26,-180.86,-0.35182607,6592000.0,2.874091160697586
500,500.0,-176.0,13696.0,-181.17578125,500,500,9730.208208322525,0.0,-156.0,27,-181.18,-0.35382363,6848000.0,2.368037161870565
500,500.0,-176.0,14208.0,-181.3828125,500,500,10094.624388694763,0.0,-156.0,28,-181.34,-0.35402513,7104000.0,2.6085244871382747
500,500.0,-176.0,14720.0,-181.2109375,500,500,10455.242038726807,0.0,-156.0,29,-180.96,-0.35366514,7360000.0,2.35762592452662
500,500.0,-176.0,15232.0,-181.24609375,500,500,10816.855466127396,0.0,-156.0,30,-180.96,-0.35338938,7616000.0,2.340598214132447
500,500.0,-176.0,15744.0,-180.9296875,500,500,11173.925987005234,0.0,-156.0,31,-181.08,-0.35313568,7872000.0,2.4235511135521777
500,500.0,-176.0,16256.0,-181.05859375,500,500,11535.626432180405,0.0,-156.0,32,-181.0,-0.35404414,8128000.0,2.4899799195977463
500,500.0,-176.0,16768.0,-181.1640625,500,500,11905.827605962753,0.0,-156.0,33,-181.1,-0.3535371,8384000.0,2.7766886753829647
500,500.0,-176.0,17280.0,-181.53125,500,500,12275.195652008057,0.0,-156.0,34,-182.12,-0.35441044,8640000.0,3.3444880026694666
500,500.0,-176.0,17792.0,-181.29296875,500,500,12641.719362735748,0.0,-156.0,35,-181.04,-0.35298634,8896000.0,2.340598214132447
500,500.0,-176.0,18304.0,-180.7265625,500,500,13008.52247262001,0.0,-156.0,36,-180.54,-0.3521905,9152000.0,2.169884789568331
500,500.0,-176.0,18816.0,-180.78515625,500,500,13375.961636543274,0.0,-156.0,37,-180.76,-0.35273543,9408000.0,2.1124393482417427
500,500.0,-176.0,19328.0,-180.453125,500,500,13742.168709754944,0.0,-156.0,38,-180.4,-0.3516504,9664000.0,2.3832750575625967
500,500.0,-172.0,19840.0,-180.68359375,500,500,14110.962456941605,0.0,-156.0,39,-180.76,-0.35226429,9920000.0,3.1084401232772683
500,500.0,-172.0,20352.0,-180.9375,500,500,14477.004449605942,0.0,-156.0,40,-180.74,-0.35321867,10176000.0,2.4108919511251434
500,500.0,-172.0,20864.0,-181.0703125,500,500,14847.539480686188,0.0,-156.0,41,-180.98,-0.35341114,10432000.0,2.2714752915231102
500,500.0,-176.0,21376.0,-180.89453125,500,500,15216.847742557526,0.0,-156.0,42,-180.58,-0.3537451,10688000.0,2.337434491060659
500,500.0,-172.0,21888.0,-181.02734375,500,500,15582.806065797806,0.0,-156.0,43,-180.96,-0.35341623,10944000.0,3.255518391900129
500,500.0,-172.0,22400.0,-180.98828125,500,500,15952.052336931229,0.0,-156.0,44,-181.48,-0.3535245,11200000.0,3.1063805304566277
500,500.0,-172.0,22912.0,-180.90625,500,500,16320.71108698845,0.0,-156.0,45,-180.88,-0.35404682,11456000.0,2.2148589119851407
500,500.0,-172.0,23424.0,-180.96875,500,500,16685.708196401596,0.0,-156.0,46,-180.78,-0.3541022,11712000.0,2.447774499417787
500,500.0,-172.0,23936.0,-180.96484375,500,500,17052.51540493965,0.0,-156.0,47,-181.06,-0.35429823,11968000.0,2.0871990801071183
500,500.0,-176.0,24448.0,-181.08203125,500,500,17418.046041965485,0.0,-156.0,48,-180.86,-0.35462514,12224000.0,2.37073828163296
500,500.0,-176.0,24960.0,-181.234375,500,500,17785.031257629395,0.0,-156.0,49,-181.54,-0.35500878,12480000.0,2.1513716554793594
500,500.0,-176.0,25472.0,-181.42578125,500,500,18155.497046232224,0.0,-156.0,50,-181.42,-0.3553048,12736000.0,2.7319590040847976
500,500.0,-172.0,25984.0,-180.7421875,500,500,18522.947687149048,0.0,-156.0,51,-180.7,-0.354003,12992000.0,2.5199206336708304
500,500.0,-176.0,26496.0,-180.76171875,500,500,18887.314165115356,0.0,-156.0,52,-180.72,-0.35389146,13248000.0,1.90829767070025
500,500.0,-172.0,27008.0,-180.44140625,500,500,19256.601761817932,0.0,-156.0,53,-180.2,-0.35370323,13504000.0,1.98997487421324
500,500.0,-172.0,27520.0,-180.46484375,500,500,19618.35665011406,0.0,-156.0,54,-180.3,-0.3531085,13760000.0,2.455605831561735
500,500.0,-172.0,28032.0,-179.98828125,500,500,19980.327425956726,0.0,-156.0,55,-179.76,-0.3523593,14016000.0,2.1029503084951866
500,500.0,-168.0,28544.0,-179.58203125,500,500,20337.48539018631,0.0,-156.0,56,-179.94,-0.35150605,14272000.0,2.9455729493597675
500,500.0,-168.0,29056.0,-179.53125,500,500,20697.646552324295,0.0,-156.0,57,-178.98,-0.35158706,14528000.0,3.1936812614911965
500,500.0,-168.0,29568.0,-179.3203125,500,500,21060.684963703156,0.0,-156.0,58,-179.34,-0.35066858,14784000.0,3.0601307161623015
500,500.0,-168.0,30080.0,-178.703125,500,500,21424.89694929123,0.0,-156.0,59,-178.92,-0.3490454,15040000.0,3.038683925649392
500,500.0,-168.0,30592.0,-178.30859375,500,500,21786.486355304718,0.0,-156.0,60,-178.42,-0.34889096,15296000.0,3.4559513885470086
500,500.0,-168.0,31104.0,-177.93359375,500,500,22144.541315078735,0.0,-156.0,61,-178.0,-0.34805748,15552000.0,3.2741411087489802
500,500.0,-164.0,31616.0,-177.86328125,500,500,22506.275935411453,0.0,-156.0,62,-177.92,-0.34805685,15808000.0,3.9791456369426847
500,500.0,-164.0,32128.0,-177.8046875,500,500,22867.868489265442,0.0,-156.0,63,-177.9,-0.3475947,16064000.0,4.339354790749427
