best_eplen,recent_best_eplen,rew_mean,eplen_std,best_ext_ret,total_secs,eprew_recent,eprew,n_updates,epcount,eplen,recent_worst_eplen,recent_best_ext_ret,tcount,eprew_std,,,,
1250,1250,-0.17885078,0,-228,460.1811781,-233.53125,-233.6,1,128,1250,1250,-228,160000,1.811077028,,,,
1250,1250,-0.18194804,0,-228,917.6733665,-233.71875,-233.46,2,384,1250,1250,-228,480000,1.873072342,,,,
1250,1250,-0.18882427,0,-228,1370.274099,-233.859375,-233.96,3,512,1250,1250,-230,640000,1.896944912,,,,
1250,1250,-0.18127424,0,-228,1833.477204,-233.4140625,-233.42,4,768,1250,1250,-228,960000,2.302954624,,,,
1250,1250,-0.18862711,0,-228,2290.349717,-232.875,-233.04,5,896,1250,1250,-228,1120000,1.989572818,,,,
1250,1250,-0.18025473,0,-228,2748.081968,-232.8359375,-232.52,6,1152,1250,1250,-228,1440000,2.202180737,,,,
1250,1250,-0.18039116,0,-224,3211.792538,-232.59375,-232.4,7,1408,1250,1250,-224,1760000,2.227105745,,,,
1250,1250,-0.18741381,0,-224,3668.374143,-231.90625,-231.76,8,1536,1250,1250,-224,1920000,2.371160054,,,,
1250,1250,-0.17881747,0,-224,4128.12939,-231.6484375,-231.32,9,1792,1250,1250,-224,2240000,2.745468995,,,,
1250,1250,-0.18774159,0,-224,4587.645044,-231.453125,-231.32,10,1920,1250,1250,-224,2400000,2.580232548,,,,
1250,1250,-0.17823398,0,-220,5050.398427,-231.0703125,-230.82,11,2176,1250,1250,-220,2720000,2.981207809,,,,
1250,1250,-0.17685516,0,-216,5511.104914,-229.0859375,-228.32,12,2432,1250,1250,-216,3040000,4.360917335,,,,
1250,1250,-0.18446718,0,-212,5967.843643,-227.890625,-227.68,13,2560,1250,1250,-212,3200000,4.814311997,,,,
1250,1250,-0.1753692,0,-212,6427.514503,-227.2265625,-226.56,14,2816,1250,1250,-212,3520000,4.741982708,,,,
1250,1250,-0.18254402,0,-212,6881.840778,-226.46875,-226.48,15,2944,1250,1250,-216,3680000,4.526543935,,,,
1250,1250,-0.17223676,0,-212,7338.821226,-224.3828125,-224.16,16,3200,1250,1250,-216,4000000,5.334266585,,,,
1250,1250,-0.17285895,0,-212,7796.61791,-222.8359375,-222.32,17,3456,1250,1250,-212,4320000,4.277569403,,,,
1250,1250,-0.17627247,0,-212,8256.735265,-219.875,-219.88,18,3584,1250,1250,-216,4480000,3.597999444,,,,
1250,1250,-0.1672873,0,-192,8721.856712,-218.046875,-217.76,19,3840,1250,1250,-192,4800000,3.16581743,,,,
1250,1250,-0.17853197,0,-192,9185.206382,-217.875,-217.92,20,3968,1250,1250,-200,4960000,3.509073952,,,,
1250,1250,-0.16613506,0,-192,9649.320408,-217.609375,-218,21,4224,1250,1250,-200,5280000,3.773592453,,,,
1250,1250,-0.1689892,0,-192,10107.82498,-216.921875,-216.98,22,4480,1250,1250,-192,5600000,5.249723802,,,,
1250,1250,-0.17516753,0,-192,10569.98366,-216.5625,-216.76,23,4608,1250,1250,-200,5760000,4.514687143,,,,
1250,1250,-0.16611682,0,-192,11031.03711,-217.0625,-217.08,24,4864,1250,1250,-200,6080000,3.913259511,,,,
1250,1250,-0.17890714,0,-192,11495.74445,-217.8125,-217.76,25,4992,1250,1250,-200,6240000,4.356879617,,,,
1250,1250,-0.16564646,0,-192,11964.7583,-217.5546875,-218.6,26,5248,1250,1250,-200,6560000,3.594440151,,,,
1250,1250,-0.16914253,0,-192,12427.95218,-218.046875,-218.24,27,5504,1250,1250,-200,6880000,4.245279732,,,,
1250,1250,-0.1783012,0,-192,12890.96807,-218.96875,-219.08,28,5632,1250,1250,-208,7040000,3.746144685,,,,
1250,1250,-0.16591957,0,-192,13347.75445,-218.4375,-218.04,29,5888,1250,1250,-200,7360000,4.326476627,,,,
1250,1250,-0.18067013,0,-192,13807.7065,-218.59375,-218.36,30,6016,1250,1250,-212,7520000,4.043562785,,,,
1250,1250,-0.16466616,0,-192,14269.04546,-217.53125,-217.24,31,6272,1250,1250,-200,7840000,3.781851398,,,,
1250,1250,-0.16683243,0,-192,14736.52313,-216.890625,-216.52,32,6528,1250,1250,-200,8160000,4.47767797,,,,
1250,1250,-0.17710873,0,-192,15212.76887,-216.484375,-216.62,33,6656,1250,1250,-200,8320000,3.854296304,,,,
1250,1250,-0.16457015,0,-192,15681.57826,-216.578125,-216.5,34,6912,1250,1250,-192,8640000,4.893873721,,,,
1250,1250,-0.17964712,0,-192,16155.32796,-216.203125,-215.72,35,7040,1250,1250,-200,8800000,4.808492487,,,,
1250,1250,-0.16287762,0,-192,16629.97413,-216.140625,-215.64,36,7296,1250,1250,-200,9120000,4.198856987,,,,
1250,1250,-0.16632245,0,-192,17108.02675,-215.734375,-216.12,37,7552,1250,1250,-200,9440000,4.576636319,,,,
1250,1250,-0.17657654,0,-192,17583.55179,-216,-216.32,38,7680,1250,1250,-192,9600000,4.33331282,,,,
1250,1250,-0.16415332,0,-192,18051.43427,-215.9375,-216.28,39,7936,1250,1250,-200,9920000,3.805469748,,,,
