recent_worst_eplen,tcount,total_secs,epcount,rew_mean,eprew_recent,best_ext_ret,recent_best_ext_ret,n_updates,eplen,best_eplen,recent_best_eplen,eprew,eplen_std,eprew_std,,,,
1000,128000,390.4435937,128,-0.16262601,-171.46875,-162,-162,1,1000,1000,1000,-171.32,0,3.101225564,,,,
1000,384000,783.7807822,384,-0.16340293,-171.6875,-162,-162,2,1000,1000,1000,-172.04,0,3.123843786,,,,
1000,640000,1177.027094,640,-0.16217166,-171.234375,-154,-154,3,1000,1000,1000,-170.76,0,3.134070835,,,,
1000,896000,1581.208577,896,-0.16174382,-171.140625,-154,-162,4,1000,1000,1000,-171,0,3.065941943,,,,
1000,1152000,1979.888812,1152,-0.16179779,-170.734375,-154,-162,5,1000,1000,1000,-170.8,0,3.2984845,,,,
1000,1408000,2380.763895,1408,-0.16118856,-170.421875,-154,-154,6,1000,1000,1000,-170.48,0,2.899931034,,,,
1000,1664000,2772.46454,1664,-0.1599055,-169.421875,-150,-150,7,1000,1000,1000,-169.32,0,3.349268577,,,,
1000,1920000,3173.643466,1920,-0.15884058,-168.875,-150,-154,8,1000,1000,1000,-168.12,0,3.320481893,,,,
1000,2176000,3569.090198,2176,-0.15832146,-167.515625,-150,-154,9,1000,1000,1000,-167.08,0,3.48045974,,,,
1000,2432000,3962.880287,2432,-0.15704015,-166.296875,-150,-154,10,1000,1000,1000,-165.64,0,3.537004382,,,,
1000,2688000,4354.97502,2688,-0.15704413,-165.71875,-146,-146,11,1000,1000,1000,-165.64,0,3.398587942,,,,
1000,2944000,4745.771699,2944,-0.15680745,-165.140625,-146,-154,12,1000,1000,1000,-165.08,0,3.387270287,,,,
1000,3200000,5149.081662,3200,-0.15617934,-164.546875,-146,-150,13,1000,1000,1000,-163.76,0,4.012779585,,,,
1000,3456000,5542.846143,3456,-0.15601794,-163.9375,-146,-146,14,1000,1000,1000,-163.92,0,3.856630654,,,,
1000,3712000,5936.30149,3712,-0.15555993,-163.640625,-146,-154,15,1000,1000,1000,-163.64,0,4.082940117,,,,
1000,3968000,6326.683968,3968,-0.1548033,-162.84375,-146,-150,16,1000,1000,1000,-163,0,4.745524207,,,,
1000,4224000,6719.138198,4224,-0.15490891,-162.21875,-142,-142,17,1000,1000,1000,-162.04,0,5.199846152,,,,
1000,4480000,7118.403619,4480,-0.15464972,-162.453125,-142,-142,18,1000,1000,1000,-161.96,0,5.168984426,,,,
1000,4736000,7523.724286,4736,-0.15489383,-161.90625,-142,-146,19,1000,1000,1000,-161.88,0,5.010548872,,,,
1000,4992000,7937.933917,4992,-0.15418318,-161.609375,-134,-134,20,1000,1000,1000,-159.92,0,7.008109588,,,,
1000,5248000,8337.498186,5248,-0.15373084,-161.375,-134,-134,21,1000,1000,1000,-161.08,0,6.784806556,,,,
1000,5504000,8758.594633,5504,-0.15320985,-160.359375,-134,-134,22,1000,1000,1000,-160.36,0,6.173362131,,,,
1000,5760000,9156.123276,5760,-0.15241937,-160.453125,-126,-126,23,1000,1000,1000,-160.04,0,6.962643176,,,,
1000,6016000,9563.183685,6016,-0.15201572,-159.875,-110,-110,24,1000,1000,1000,-159.56,0,6.447200943,,,,
1000,6272000,9971.284932,6272,-0.15244527,-159.8125,-110,-134,25,1000,1000,1000,-160.52,0,5.503598823,,,,
1000,6528000,10363.45933,6528,-0.15206754,-159.296875,-110,-110,26,1000,1000,1000,-158.64,0,8.92134519,,,,
1000,6784000,10779.98622,6784,-0.15156421,-160.1875,-110,-110,27,1000,1000,1000,-160,0,5.043808085,,,,
1000,7040000,11187.52319,7040,-0.14957866,-157.375,-94,-94,28,1000,1000,1000,-155.28,0,9.779652346,,,,
1000,7296000,11605.93905,7296,-0.14930373,-157.359375,-94,-126,29,1000,1000,1000,-155.6,0,8.019975062,,,,
