n_updates,eprew_std,best_ext_ret,eprew,eplen,total_secs,eprew_recent,recent_worst_eplen,recent_best_eplen,best_eplen,recent_best_ext_ret,eplen_std,epcount,tcount,rew_mean,,,,
1,2.451448551,-166,-171.52,1000,455.0114839,-171.71875,1000,1000,1000,-166,0,128,128000,-0.16585946,,,,
2,2.683281573,-166,-172,1000,899.6430531,-172.046875,1000,1000,1000,-166,0,384,384000,-0.16850093,,,,
3,2.458942862,-162,-171.56,1000,1345.351831,-171.9375,1000,1000,1000,-162,0,640,640000,-0.16802189,,,,
4,2.682088738,-162,-172.08,1000,1788.910096,-171.78125,1000,1000,1000,-166,0,896,896000,-0.16812325,,,,
5,2.672526894,-162,-172.24,1000,2232.726677,-172.28125,1000,1000,1000,-166,0,1152,1152000,-0.16767335,,,,
6,2.620228998,-162,-171.88,1000,2673.925422,-171.90625,1000,1000,1000,-162,0,1408,1408000,-0.16705285,,,,
7,2.87777692,-162,-172.72,1000,3117.439756,-172.40625,1000,1000,1000,-162,0,1664,1664000,-0.1670106,,,,
8,2.751290606,-162,-172.52,1000,3561.689605,-172.3125,1000,1000,1000,-166,0,1920,1920000,-0.16670069,,,,
9,2.964051282,-162,-171.88,1000,4006.447854,-172.203125,1000,1000,1000,-162,0,2176,2176000,-0.16564105,,,,
10,2.646960521,-162,-172.44,1000,4450.591067,-172.21875,1000,1000,1000,-162,0,2432,2432000,-0.165358,,,,
11,2.808843178,-162,-171.48,1000,4896.756096,-171.515625,1000,1000,1000,-162,0,2688,2688000,-0.16501236,,,,
12,2.889705867,-162,-171.64,1000,5355.604732,-171.9375,1000,1000,1000,-162,0,2944,2944000,-0.1649251,,,,
13,2.741094672,-162,-171.92,1000,5798.955274,-171.90625,1000,1000,1000,-162,0,3200,3200000,-0.16468695,,,,
14,2.634843449,-162,-171.24,1000,6246.718239,-171.515625,1000,1000,1000,-162,0,3456,3456000,-0.16414122,,,,
