best_ext_ret,recent_best_eplen,eplen,tcount,eprew_std,recent_worst_eplen,recent_best_ext_ret,best_eplen,n_updates,rew_mean,eprew,eprew_recent,epcount,total_secs,eplen_std
-128,375,375,240000,1.155681617,375,-128,375,1,-0.3463335,-137.62,-137.45,640,249.2363584,0
-128,375,375,480000,1.688075828,375,-128,375,2,-0.3538498,-137.48,-137.446875,1280,491.6680894,0
-124,375,375,720000,1.715342531,375,-124,375,3,-0.35305122,-137.24,-137.259375,1920,735.9965684,0
-124,375,375,1008000,2.425201023,375,-124,375,4,-0.34508207,-136.72,-137.0859375,2688,983.0357234,0
-124,375,375,1248000,2.207170134,375,-128,375,5,-0.35136965,-136.78,-137.05625,3328,1230.12759,0
-120,375,375,1488000,2.938298828,375,-120,375,6,-0.3483783,-136.08,-136.48125,3968,1477.426742,0
-120,375,375,1776000,2.880555502,375,-120,375,7,-0.34080142,-136.32,-136.109375,4736,1724.695687,0
-120,375,375,2016000,2.965400479,375,-120,375,8,-0.34835,-136.08,-136.134375,5376,1971.958543,0
-120,375,375,2256000,3.36,375,-120,375,9,-0.34686753,-135.52,-135.834375,6016,2221.743624,0
-120,375,375,2544000,3.881185386,375,-120,375,10,-0.337086,-134.58,-134.7083333,6784,2470.532698,0
-116,375,375,2784000,4.721186292,375,-116,375,11,-0.34169534,-133.48,-133.878125,7424,2719.115299,0
-112,375,375,3024000,5.087199623,375,-112,375,12,-0.34014207,-132.02,-133.184375,8064,2965.01958,0
-100,375,375,3312000,4.991953525,375,-100,375,13,-0.32707968,-130.98,-130.8098958,8832,3213.083965,0
-100,375,375,3552000,6.050818127,375,-108,375,14,-0.3298265,-129.26,-129.121875,9472,3462.96992,0
-92,375,375,3792000,5.429217255,375,-92,375,15,-0.32134348,-125.06,-126.203125,10112,3709.662666,0
-92,375,375,4080000,5.455969208,375,-104,375,16,-0.30764338,-123.82,-123.59375,10880,3956.895726,0
-84,375,375,4320000,5.261900797,375,-84,375,17,-0.30872083,-121.18,-120.75,11520,4205.650641,0
-84,375,375,4560000,5.197845708,375,-100,375,18,-0.3075139,-119.68,-119.90625,12160,4455.918823,0
-84,375,375,4848000,6.819354808,375,-84,375,19,-0.29895613,-119.42,-119.6380208,12928,4704.012542,0
-84,375,375,5088000,6.360471681,375,-84,375,20,-0.30527166,-119.62,-119.25625,13568,4944.743016,0
-76,375,375,5328000,7.458552138,375,-76,375,21,-0.30610457,-117.9,-118.615625,14208,5191.830378,0
-76,375,375,5616000,5.01613397,375,-84,375,22,-0.29494774,-118.72,-118.1640625,14976,5437.063583,0
-76,375,375,5856000,4.975942122,375,-84,375,23,-0.30266523,-117.4,-117.79375,15616,5684.400283,0
164.7,294,375,6096609,6.196256935,375,164.7,294,24,-0.29822865,-116.08,-115.5873832,16258,5927.802482,0
164.7,334,375,6383816,6.418722614,375,148.4,294,25,-0.28335273,-115.2,-114.2908616,17024,6169.652907,0
167.8,286,375,6623651,7.212877373,375,167.8,286,26,-0.28990972,-112.88,-112.5621875,17664,6417.489535,0
167.8,375,375,6865901,7.448597183,375,-68,286,27,-0.29162166,-112.72,-112.5882353,18310,6666.248635,0
200.5,204,375,7151480,10.48663912,375,200.5,204,28,-0.27463242,-110.52,-110.7814961,19072,6915.494503,0
200.5,229,375,7392145,12.94937836,375,190.4,204,29,-0.2739666,-107.44,-106.1881804,19715,7166.068239,0
200.5,240,372.14,7640144,48.78295254,375,186,204,30,-0.2574694,-97.571,-100.0084337,20379,7413.014013,16.83331221
200.5,214,374,7917283,44.49893482,375,188.4,204,31,-0.24263464,-99.08,-97.95370121,21122,7650.116955,7.018546858
219,158,372.53,8163075,52.452658,375,219,158,32,-0.21730147,-91.287,-83.23388306,21789,7890.371175,16.96670563
219,170,363.43,8422627,91.07168699,375,214,158,33,-0.17091054,-65.327,-67.84555712,22498,8135.634232,37.54896936
219,173,363.42,8677749,93.63839811,375,212.8,158,34,-0.14921702,-58.68,-58.88662873,23201,8380.395453,34.49961739
219,147,356.48,8937181,108.3561146,375,215.3,147,35,-0.06677125,-41.332,-28.49247606,23932,8628.688196,43.90158995
223.3,147,344.4,9192864,125.5167962,375,223.3,147,36,-0.04151164,-6.074,-18.88365123,24666,8875.819202,51.78455368
223.3,161,340.77,9451717,126.1944089,375,217.6,147,37,0.03172089,-6.458,4.882614379,25431,9123.640595,56.72069375
223.3,151,345.98,9705516,124.6019979,375,221.7,147,38,0.08952643,6.625,26.48361508,26200,9375.078892,48.23587462
227.7,136,303.38,9962117,133.9087595,375,227.7,136,39,0.18234582,72.356,52.7162762,27011,9623.177307,71.65469698
227.7,137,328.29,10219405,133.9794925,375,227.2,136,40,0.1759134,34.614,51.0203202,27823,9873.872499,63.15382728
227.7,137,316.48,10475667,136.1498889,375,227.2,136,41,0.21623634,50.607,62.85411622,28649,10122.95679,70.10698681
230.4,129,296.7,10730597,134.0382622,375,230.4,129,42,0.25403225,79.963,73.14745562,29494,10373.01116,75.41584714
231.3,127,293.17,10989593,134.4883432,375,231.3,127,43,0.32064268,84.393,87.74665153,30375,10623.56963,76.20013845
234.8,118,273.6,11245838,124.2455773,375,234.8,118,44,0.45428705,113.385,118.7033791,31322,10870.6751,72.56721023
234.8,121,262.42,11503314,110.8730271,375,233.7,118,45,0.5744543,135.663,141.687996,32330,11122.37814,73.52485022
234.8,126,248.54,11757890,104.9859494,375,231.7,118,46,0.5242036,148.206,133.1606925,33312,11368.08128,75.14445023
234.8,118,239.37,12013253,84.64293416,375,234.8,118,47,0.61269975,165.564,148.4385589,34339,11613.7699,66.54121354
234.8,126,252.42,12272476,99.25564779,375,231.9,118,48,0.598864,149.809,146.6730315,35355,11867.7333,71.58382219
234.8,124,218.09,12527851,79.66174944,375,232.5,118,49,0.7264442,178.326,166.9637282,36444,12118.04065,66.41958973
234.8,123,222.63,12784532,66.64458624,375,232.9,118,50,0.8236694,181.515,179.9485615,37591,12365.94044,62.58476732
239,108,208.85,13040544,54.02713647,375,239,108,51,0.91670346,191.885,188.7109746,38812,12614.22843,61.58885857
239,115,198.51,13297742,33.30692797,375,236.3,108,52,0.981023,200.557,194.8837283,40078,12865.91062,51.47591573
239,113,195.87,13555472,45.64389396,375,236.8,108,53,1.0134671,199.088,197.1941995,41371,13114.16755,51.97858309
240.9,103,200.34,13811914,47.43551719,375,240.9,103,54,1.0393414,197.303,199.6869466,42681,13364.44564,57.00372269
240.9,118,188.99,14067304,18.71041154,375,234.9,103,55,1.1089935,206.53,204.7829678,44049,13614.24376,46.78856591
241.3,102,178.43,14323545,18.20818879,375,241.3,102,56,1.1408114,210.669,206.1377331,45443,13861.14779,45.49335226
241.3,106,170.1,14581003,32.63927334,375,239.6,102,57,1.1908752,212.006,208.2443906,46887,14116.28119,42.96102885
241.3,106,184.67,14835490,36.64240145,375,239.7,102,58,1.1991066,205.996,210.5693537,48326,14368.62194,54.8144242
241.3,102,176.57,15093270,35.50966982,375,241.3,102,59,1.2723991,209.207,212.9174834,49836,14619.79416,48.97310588
243.5,97,166.24,15348205,14.17188569,375,243.5,97,60,1.2793076,215.616,213.7304491,51350,14870.0231,35.45563989
243.5,100,166.53,15604822,30.78578237,375,242.3,97,61,1.3213052,213.498,215.5710136,52899,15121.65626,36.88507964
