eplen,best_eplen,rew_mean,n_updates,total_secs,best_ext_ret,recent_worst_eplen,recent_best_ext_ret,epcount,tcount,eplen_std,recent_best_eplen,eprew_std,eprew,eprew_recent
375,375,-0.3372657,1,289.381506,-116,375,-116,640,240000,0,375,3.062743868,-135.14,-134.915625
375,375,-0.35579932,2,571.5225263,-116,375,-120,1280,480000,0,375,3.193994364,-134.72,-135.0375
375,375,-0.35570097,3,855.548059,-112,375,-112,1920,720000,0,375,3.616628264,-134.6,-134.878125
375,375,-0.34651095,4,1138.401902,-112,375,-116,2688,1008000,0,375,4.073131473,-133.64,-134.09375
375,375,-0.35034585,5,1423.715035,-112,375,-116,3328,1248000,0,375,3.812558196,-133.62,-133.06875
375,375,-0.3469472,6,1706.987894,-112,375,-116,3968,1488000,0,375,4.48802852,-132.76,-131.971875
375,375,-0.33610144,7,1993.843786,-108,375,-108,4736,1776000,0,375,4.863702294,-130.38,-130.5390625
375,375,-0.3371266,8,2280.577952,-108,375,-108,5376,2016000,0,375,4.93522036,-128.06,-128.453125
375,375,-0.33162925,9,2566.132539,-100,375,-100,6016,2256000,0,375,5.433635983,-126.66,-126.26875
375,375,-0.31754288,10,2849.273201,-100,375,-108,6784,2544000,0,375,5.414203543,-122.92,-123.734375
375,375,-0.31780303,11,3134.485718,-76,375,-76,7424,2784000,0,375,4.284810381,-121.02,-121.228125
375,375,-0.31567022,12,3419.965117,-76,375,-100,8064,3024000,0,375,4.463003473,-119.96,-119.846875
375,375,-0.30373684,13,3703.977425,-68,375,-68,8832,3312000,0,375,4.692930854,-118.58,-118.4375
375,370,-0.30706096,14,3990.123269,134,375,134,9472,3551995,0,370,6.722469784,-116.78,-116.59375
375,355,-0.30754155,15,4277.162476,140,375,140,10114,3792725,0,355,6.657206621,-116.04,-116.0373832
375,355,-0.29567245,16,4563.741781,140,375,137.2,10880,4079962,0,362,6.162986289,-114.76,-115.4501305
375,355,-0.3046367,17,4852.243721,140,375,136.2,11520,4319952,0,365,4.354491934,-115.72,-115.1246875
375,355,-0.3052317,18,5138.510758,140,375,-76,12164,4561452,0,375,8.535197713,-112.52,-114.826087
375,276,-0.28841755,19,5426.130968,168.6,375,168.6,12928,4847743,0,276,7.285163004,-113.08,-112.7066754
375,259,-0.28806597,20,5711.882025,178.7,375,178.7,13570,5087915,0,259,10.68374466,-110.76,-108.0239875
375,259,-0.29288885,21,5999.781397,178.7,375,167.7,14228,5334487,0,286,9.353159894,-111.28,-110.225228
375,239,-0.275935,22,6284.455023,186.6,375,186.6,14976,5614442,0,239,9.603665967,-110.64,-107.930615
375,239,-0.29158208,23,6569.267009,186.6,375,173.5,15620,5855720,0,272,7.544110286,-111.08,-109.7551242
373.06,239,-0.276272,24,6855.863395,186.6,375,175.8,16296,6108485,12.4890512,266,46.64283208,-101.096,-104.1232249
