rew_mean,recent_best_eplen,eplen_std,best_eplen,best_ext_ret,eprew,total_secs,n_updates,eprew_std,eprew_recent,epcount,recent_best_ext_ret,recent_worst_eplen,tcount,eplen
-0.32883388,375,0,375,-116,-131.98,268.680795,1,2.792776396,-131.959375,640,-116,375,240000,375
-0.33561265,375,0,375,-116,-131.14,518.9040461,2,3.114546516,-131.29375,1280,-116,375,480000,375
-0.33290824,375,0,375,-112,-130.04,769.65748,3,4.612851613,-130.31875,1920,-112,375,720000,375
-0.31958506,375,0,375,-100,-129,1020.325202,4,5.60357029,-129.2604167,2688,-100,375,1008000,375
-0.32152632,375,0,375,-100,-126.08,1271.843501,5,6.137882371,-126.74375,3328,-100,375,1248000,375
-0.31491697,375,0,375,-100,-124.08,1518.791593,6,5.656288536,-124.3875,3968,-100,375,1488000,375
-0.30114567,375,0,375,-76,-121.72,1768.07203,7,7.488764918,-122.4401042,4736,-76,375,1776000,375
-0.3037143,375,0,375,-76,-119.96,2020.830732,8,6.362263748,-120.146875,5376,-84,375,2016000,375
-0.2951171,305,0,305,160.2,-115.24,2270.667008,9,8.920896816,-116.9232449,6017,160.2,375,2256305,375
-0.2776814,337,0,305,160.2,-113.68,2522.133934,10,9.054148221,-113.6655802,6784,147.3,375,2543854,375
-0.27293023,307,0,305,160.2,-108.72,2770.836704,11,11.58454142,-107.8603125,7424,159.4,375,2783642,375
-0.24500407,209,4.8443369,209,198.6,-96.627,3021.195757,12,43.22433772,-97.47556222,8091,198.6,375,3032824,374.18
-0.20804483,263,5.569730694,209,198.6,-82.636,3274.839875,13,61.49696825,-86.60836707,8832,176.9,375,3308781,373.91
-0.18471062,225,13.06091498,209,198.6,-80.932,3524.69045,14,63.30164434,-72.34954268,9488,184,375,3551310,372.15
-0.15392949,201,27.4054812,201,198.6,-64.973,3775.094481,15,83.77954506,-65.16857143,10223,195.2,375,3821225,366.86
-0.07813918,183,44.73549374,183,208.8,-25.784,4026.931639,16,114.4738981,-32.63942857,10923,208.8,375,4071334,352.66
0.029365787,172,45.18142981,172,213.4,2.034,4278.501549,17,121.089392,2.744090305,11676,213.4,375,4331858,348.72
0.15992953,156,57.32867607,156,216.3,51.818,4528.799742,18,126.6638183,48.47116883,12446,216.3,375,4584974,328.77
0.23603542,141,61.60007792,141,225.7,95.519,4781.534116,19,117.2689112,68.32755228,13259,225.7,375,4843773,305.48
0.3048836,140,68.57356561,140,226,92.425,5029.96558,20,124.4702698,88.79736527,14094,226,375,5098969,297.81
0.3126218,140,65.967946,140,226.2,92.213,5283.634361,21,124.6738992,88.61880841,14950,226.2,375,5355410,298.99
0.3182333,120,74.51156689,120,234.2,97.319,5533.708702,22,126.513565,89.69711316,15816,234.2,375,5611078,288.92
0.5316335,120,62.58432392,120,234.2,151.869,5783.087905,23,86.88917389,135.9888658,16777,234,375,5869369,262.68
0.63332456,118,58.00457223,118,234.9,173.173,6032.934075,24,67.87121607,154.192822,17794,234.9,375,6126823,238.64
0.7338035,120,62.44718088,118,234.9,175.525,6284.820886,25,74.74342563,170.5416899,18871,234,375,6381539,226.64
0.8693039,117,57.47199666,117,235.4,187.392,6537.354241,26,51.9576225,184.5143707,20047,235.4,375,6642586,219.64
1.0100089,99,58.32390505,99,242.4,188.187,6788.661,27,67.37698666,196.2569992,21340,242.4,375,6897758,205.61
1.0244666,101,62.77268196,99,242.4,189.043,7042.029539,28,66.75448338,195.7013657,22658,241.6,375,7153661,203.48
1.115594,101,59.33987192,99,242.4,202.337,7295.185569,29,47.08931228,202.3199712,24045,241.7,375,7411453,187.86
1.2070101,90,54.34089712,90,246.2,209.522,7552.921116,30,36.81325462,208.0859193,25508,246.2,375,7667787,175.37
1.2507583,100,55.20092028,90,246.2,210.368,7804.208636,31,47.81956478,208.6007275,27020,242.2,375,7924355,167.72
1.3027265,98,46.71734153,90,246.2,216.368,8058.279572,32,35.48921493,213.2271197,28565,242.9,375,8179522,158.7
1.4038984,91,38.72907951,90,246.2,219.768,8311.648902,33,33.76525398,215.5332523,30210,245.7,375,8437337,150.28
1.4246854,84,45.9638075,84,248.4,218.258,8564.610129,34,35.4380535,217.1599156,31869,248.4,375,8692970,153.78
1.4185022,87,45.17491671,84,248.4,222.461,8815.390052,35,18.09134542,216.6931118,33524,247.2,375,8948414,149.13
1.4015806,86,56.37430177,84,248.4,215.678,9065.986346,36,48.5559792,215.5354015,35168,247.8,375,9203696,154.59
1.4743376,83,50.18746756,83,249.1,217.928,9318.415385,37,36.32802797,217.5597896,36879,249.1,375,9461570,154.59
1.511217,82,50.95472893,82,249.4,217.832,9569.849608,38,47.52466071,220.5329486,38612,249.4,375,9716907,149.34
1.551963,82,53.8640316,82,249.4,216.099,9817.932109,39,58.12207239,219.9882287,40396,249.4,375,9974439,147.31
1.5728668,81,59.59557953,81,249.8,218.028,10068.87309,40,56.84887172,221.1681869,42194,249.8,375,10230581,143.63
1.591068,80,36.37313707,80,250.1,228.362,10319.12653,41,14.53385551,221.5709961,44011,250.1,375,10485655,134.43
1.6890416,78,44.02319729,78,250.8,226.072,10571.60077,42,17.60525535,225.3246966,45906,250.8,375,10741647,140.09
1.745723,79,36.91056624,78,250.8,229.437,10821.97086,43,34.46208251,226.8432238,47854,250.4,375,10998779,126.01
1.6852424,76,62.92431962,76,251.8,216.11,11075.16688,44,67.194377,225.6859788,49744,251.8,375,11253267,141.5
1.7474781,78,46.02722673,76,251.8,224.592,11329.41249,45,48.74836752,226.4593446,51697,250.9,375,11510477,131.88
1.8129072,75,36.23931015,75,252.1,230.054,11583.02972,46,14.49475367,228.8676632,53704,252.1,375,11766586,130.18
1.8436034,78,40.8280002,75,252.1,230.69,11834.47462,47,35.23375228,229.1913641,55742,251,375,12023640,122.88
1.9237261,77,41.36338961,75,252.1,228.925,12088.02179,48,35.96787282,231.5263783,57846,251.2,375,12279445,127.1
1.9567053,75,47.85721576,75,252.3,231.473,12342.83865,49,37.7529889,232.8773496,59974,252.3,375,12535648,120.63
1.9784632,76,36.40727812,75,252.3,232.71,12593.2348,50,14.55164252,233.7227506,62119,251.7,375,12791101,123.51
2.022817,75,50.96233904,75,252.3,226.99,12846.90627,51,48.94209538,234.027032,64309,252,375,13048015,126.2
2.100606,74,47.36321252,74,252.5,233.515,13103.55228,52,36.70188926,236.1497338,66563,252.5,375,13303096,115.81
2.1671023,73,21.80917238,73,252.9,240.047,13354.57394,53,8.718778068,236.7842876,68886,252.9,375,13560065,105.2
2.2314188,73,23.37967279,73,252.9,240.508,13611.19751,54,9.338840185,238.3115417,71260,252.8,375,13815960,103.97
2.2701337,75,20.91459777,73,252.9,240.059,13865.23935,55,8.3743429,238.8272727,73669,252,375,14072498,105.14
2.301588,75,22.87010275,73,252.9,240.612,14119.17275,56,9.143678472,239.4146661,76110,252,375,14328586,103.72
2.3506844,74,19.76848755,73,252.9,242.068,14372.5356,57,7.891804356,240.2366572,78587,252.4,375,14584419,100.13
2.4295382,74,20.29369114,73,252.9,242.573,14626.02507,58,8.12729789,241.4125929,81144,252.6,375,14841624,98.81
2.415239,75,18.23408621,73,252.9,243.274,14878.44277,59,7.286557761,241.4683609,83682,252.1,375,15097142,97.09
2.4992602,74,18.99746299,73,252.9,243.144,15136.67961,60,7.58752028,242.7638591,86294,252.5,375,15352940,97.42
2.561911,73,22.69109737,73,253,243.385,15388.32352,61,9.037005865,243.6976039,88965,253,303,15609409,96.79
2.588755,73,18.51052673,73,253.1,244.089,15644.50888,62,7.399971554,244.0335438,91657,253.1,375,15865040,94.98
