total_secs,recent_worst_eplen,n_updates,best_ext_ret,epcount,eprew_recent,tcount,eprew_std,rew_mean,recent_best_eplen,eplen,eplen_std,best_eplen,eprew,recent_best_ext_ret
235.0767806,375,1,-134,640,-139.809375,240000,1.729161647,-0.35446557,375,375,0,375,-139.9,-134
469.3727574,375,2,-130,1280,-139.95,480000,1.324235629,-0.36450142,375,375,0,375,-140.08,-130
705.1041722,375,3,-130,1920,-139.778125,720000,1.839130229,-0.36042592,375,375,0,375,-139.76,-132
938.5794737,375,4,-130,2688,-139.7317708,1008000,1.483239697,-0.35442463,375,375,0,375,-139.8,-130
1174.615552,375,5,-130,3328,-139.3,1248000,1.735626688,-0.35789496,375,375,0,375,-139.26,-130
1410.282627,375,6,-130,3968,-139.03125,1488000,2.026228023,-0.3568342,375,375,0,375,-138.88,-130
1647.062954,375,7,-130,4736,-138.3828125,1776000,2.416940214,-0.34890398,375,375,0,375,-138.28,-130
1883.38242,375,8,-126,5376,-137.484375,2016000,2.555308201,-0.3520628,375,375,0,375,-137.48,-126
2115.523376,375,9,-126,6016,-137.16875,2256000,3.189733531,-0.3516746,375,375,0,375,-136.84,-126
2348.657547,375,10,-126,6784,-137.1588542,2544000,2.905098966,-0.34626898,375,375,0,375,-136.98,-126
2583.491724,375,11,-114,7424,-135.95,2784000,3.168595904,-0.34864128,375,375,0,375,-136.2,-114
2817.898272,375,12,106.6,8065,-134.2205928,3024364,24.39045477,-0.34479314,364,374.89,1.094486181,364,-132.354,106.6
3052.31536,375,13,106.6,8832,-133.3220339,3311989,4.552757406,-0.3367281,375,375,0,364,-133.18,-110
3284.938754,375,14,106.6,9472,-131.784375,3551989,5.109833657,-0.33898598,375,375,0,364,-131.64,-102
3521.404029,375,15,120.4,10114,-129.8685358,3792693,5.206303871,-0.3327786,329,375,0,329,-129.88,120.4
3756.159993,375,16,120.4,10880,-129.4608355,4079936,5.498217893,-0.3299059,368,375,0,329,-129.36,105
3991.727006,375,17,120.4,11520,-128.95,4319936,5.852144906,-0.33170018,375,375,0,329,-128.82,-98
4227.104842,375,18,120.4,12163,-128.9281493,4561028,24.68389953,-0.3335038,342,374.67,3.283458542,329,-126.748,115.2
4462.338755,375,19,120.4,12928,-128.9006536,4847881,6.62721661,-0.3288473,353,375,0,329,-128.4,111
4692.343186,375,20,120.4,13568,-127.66875,5087858,5.81914083,-0.32928324,365,375,0,329,-128.24,106.1
4923.335518,375,21,137.2,14224,-125.4353659,5333515,34.09133055,-0.3249644,287,374.44,3.960606014,287,-123.591,137.2
5155.505767,375,22,137.2,14976,-123.7628989,5615162,7.31300212,-0.31373656,296,375,0,287,-128.2,133.6
5385.59701,375,23,147.6,15616,-117.6571875,5854298,23.9012003,-0.30525273,261,374.93,0.696491206,261,-125.532,147.6
5619.213971,375,24,147.6,16331,-109.0362238,6120530,61.04493594,-0.27677688,277,373.38,6.136415892,261,-110.386,137.2
5852.251894,375,25,156.8,17024,-92.85829726,6376308,65.6070559,-0.2395122,228,372.52,9.331109259,228,-106.304,156.8
6086.003994,375,26,158.8,17713,-85.68461538,6628826,90.75923963,-0.22227305,233,366.56,24.28593008,228,-84.411,158.8
6320.611509,375,27,167.6,18436,-74.46168741,6891655,114.2995201,-0.18928033,211,358.56,31.40965457,211,-48.464,167.6
6555.614406,375,28,167.6,19142,-65.21288952,7144413,110.9907351,-0.17326903,214,357.77,35.39176599,211,-63.035,166.6
6793.903175,375,29,173.2,19850,-78.56638418,7401167,96.08902295,-0.2033761,197,365.49,25.55014481,197,-87.963,173.2
7032.735012,375,30,173.2,20546,-94.16451149,7655921,89.93839883,-0.24594477,225,365.78,26.00253065,197,-94.904,162
7269.57275,375,31,174.2,21255,-98.67827927,7915331,73.28586398,-0.25622833,195,370.24,17.74887039,195,-108.729,174.2
7505.830808,375,32,174.2,21957,-80.41965812,8168096,113.7895891,-0.21280907,199,355.87,43.45449459,195,-68.202,172.4
7735.886455,375,33,174.2,22671,-66.82689076,8422659,103.935655,-0.17653264,206,361.02,34.03820794,195,-82.532,169.9
7968.04441,375,34,179.8,23404,-59.35252387,8681150,118.1863754,-0.15409596,181,352.89,43.72296765,181,-58.713,179.8
8199.791324,375,35,187.6,24154,-40.45226667,8937983,133.0989619,-0.104701474,151,334.74,58.01251934,151,-21.012,187.6
8431.354607,375,36,187.6,24936,-9.238618926,9196319,134.9047009,-0.011130801,175,328.42,62.47530392,151,-7.408,182
8663.294049,375,37,191.3,25713,2.241055341,9450269,131.3605207,0.016160097,152,335.42,57.82113454,151,-7.383,191.3
8893.329464,375,38,191.3,26517,14.85273632,9706201,133.2625689,0.058912273,168,310.26,68.08195356,151,38.605,184.8
9124.699146,375,39,191.3,27340,27.0309842,9962806,136.6854919,0.10196084,160,314.53,68.57848861,151,24.901,188
9360.104462,375,40,191.3,28179,36.29034565,10220832,136.3051667,0.13374594,165,311.86,67.33053096,151,28.555,186.2
9595.645446,375,41,191.3,29026,44.30200708,10477525,133.9988545,0.15953928,160,308.65,70.34051109,151,35.528,188
9826.981526,375,42,192,29913,65.18951522,10732221,131.6391986,0.23775719,150,289.7,76.93627233,150,61.467,192
10058.50072,375,43,192,30868,95.02858639,10989733,120.4286417,0.36963072,151,274.74,72.47863409,150,86.413,191.6
10290.31595,375,44,192,31857,109.7125379,11245577,90.55272751,0.43851328,157,251.1,66.37205737,150,125.321,189.4
10522.28469,375,45,195.7,32894,122.3076181,11504692,98.75330494,0.51239556,141,253.07,68.63035116,141,119.342,195.7
10755.52197,375,46,195.7,33943,131.9443279,11758546,93.01482881,0.553654,143,244.27,65.71177292,141,127.539,195
10988.20214,375,47,195.7,35071,150.1191489,12016243,51.28956869,0.67550087,146,225.2,52.04325124,141,155.012,193.6
11223.796,375,48,195.7,36187,147.6086918,12271875,64.89839443,0.6594477,143,229.18,56.48351618,141,149,194.8
11459.5807,375,49,197.4,37340,154.0776236,12528002,52.80338432,0.70728487,137,217.64,56.12780416,137,158.298,197.4
11692.7005,375,50,197.4,38510,157.5980342,12785166,51.83125986,0.73447657,137,214.32,50.60649761,137,159.399,197.2
11924.54958,375,51,197.4,39704,162.4572864,13040573,17.55749239,0.7713635,142,208.64,43.79326889,137,168.481,195.4
12155.85745,375,52,197.4,40937,164.698459,13297740,50.86798186,0.8108874,141,211.54,49.203947,137,160.539,195.6
12386.63994,375,53,197.4,42178,165.265834,13553860,44.13411171,0.8131354,138,204.36,48.53875153,137,165.728,196.9
12618.08716,375,54,197.4,43428,167.39952,13810140,53.33195755,0.8324792,136,213.82,55.70733883,136,159.552,196.9
12848.27534,375,55,197.6,44697,169.4998424,14064897,33.51204864,0.85367423,136,205.91,46.46441542,136,167.286,197.6
13079.19361,375,56,199.2,45992,169.7735135,14321308,42.47529946,0.87314373,132,201.68,45.79385985,132,166.956,199.2
13308.87605,375,57,199.2,47282,169.1894574,14578153,57.97198009,0.8673037,134,199.46,49.71748586,132,163.555,197.8
13540.03908,375,58,199.2,48581,170.5896844,14835054,18.35997111,0.88272774,136,201.57,45.84457547,132,171.369,197.6
13775.65295,375,59,199.2,49904,173.6278912,15090136,32.38963377,0.9096562,138,187.71,38.87397458,132,174.532,196.8
14007.77533,375,60,199.2,51256,173.695858,15347714,16.55956458,0.93304324,135,195.65,41.17775492,132,173.689,198.2
14237.5143,375,61,199.4,52604,173.7969585,15603893,16.19824299,0.92981505,132,189.01,40.27443234,132,176.382,199.4
14471.20911,375,62,199.4,53971,175.631602,15859043,11.64239988,0.9525263,134,182.81,29.21598706,132,178.855,198.4
