eplen,total_secs,recent_best_ext_ret,epcount,tcount,recent_best_eplen,eprew_std,n_updates,recent_worst_eplen,eplen_std,best_ext_ret,rew_mean,eprew,best_eplen,eprew_recent
375,297.5561435,-122,640,240000,375,3.387683574,1,375,0,-122,-0.34834224,-136.94,375,-137.371875
375,588.4003952,-122,1280,480000,375,3.354459718,2,375,0,-122,-0.36210674,-137.26,375,-137.275
375,882.5278883,-126,1920,720000,375,3.044733157,3,375,0,-122,-0.36124948,-137.36,375,-137.20625
375,1176.08798,-126,2688,1008000,375,3.561123418,4,375,0,-122,-0.35518867,-136.72,375,-136.8177083
375,1467.167088,-118,3328,1248000,375,3.651629773,5,375,0,-118,-0.35833824,-136.16,375,-136.165625
375,1758.119179,-122,3968,1488000,375,3.756327994,6,375,0,-118,-0.35525432,-135.7,375,-135.603125
375,2048.658496,-122,4736,1776000,375,4.080392138,7,375,0,-118,-0.3489297,-133.52,375,-134.4401042
375,2341.249871,-118,5376,2016000,375,3.770623291,8,375,0,-118,-0.35075185,-133.68,375,-133.528125
375,2636.092686,-118,6016,2256000,375,4.873233013,9,375,0,-118,-0.34852666,-132.46,375,-133.090625
375,2929.788795,-110,6784,2544000,375,5.025693982,10,375,0,-110,-0.34172097,-131.68,375,-131.8229167
375,3229.152349,111,7424,2783978,353,4.925484748,11,375,0,111,-0.34188813,-129.86,353,-130.2203125
375,3521.761478,130.4,8067,3025027,304,5.335016401,12,375,0,130.4,-0.33913106,-129.24,304,-129.1782271
375,3819.439934,109.2,8832,3311878,357,4.33123539,13,375,0,130.4,-0.33257076,-129.02,304,-128.28
375,4117.729047,-98,9472,3551878,375,5.619822061,14,375,0,130.4,-0.33609268,-127.24,304,-127.9375
375,4414.678515,117.6,10122,3795548,336,6.39136918,15,375,0,130.4,-0.3275243,-126.52,304,-124.7658462
375,4711.680709,127.3,10880,4079538,312,6.773477689,16,375,0,130.4,-0.31910327,-124.6,304,-122.8507916
374.81,5010.297644,139.6,11520,4318543,271,32.59263346,17,375,1.701146672,139.6,-0.30240196,-117.762,271,-113.8714063
369.65,5307.50034,144.6,12236,4584826,269,88.33385138,18,375,17.10051169,144.6,-0.25316423,-81.201,269,-97.64427374
371.67,5606.297406,171.2,12928,4840080,202,81.21337343,19,375,11.31110516,171.2,-0.20834404,-82.576,202,-78.54956647
361.29,5907.389885,158.6,13630,5094267,226,108.5797729,20,375,28.44302902,171.2,-0.13074158,-45.897,202,-48.82535613
357.39,6204.005412,166.7,14358,5351935,214,114.2982251,21,375,31.41906905,171.2,-0.040017426,-25.693,202,-16.56662088
342.99,6500.419649,175.2,15118,5609958,192,118.6127436,22,375,41.23384411,175.2,0.108716585,21.231,192,33.66026316
332.63,6798.733056,172,15897,5867723,200,113.0578286,23,375,42.23686897,175.2,0.15095836,48.928,192,47.5267009
315.9,7099.290575,186,16703,6123284,165,87.01195019,24,375,44.53010218,186,0.25872275,92.685,165,80.60521092
301.39,7399.609698,186,17565,6381496,165,86.91933996,25,375,50.2744259,186,0.37034792,101.821,165,107.6267981
286.29,7698.207901,182.4,18462,6636824,174,71.16381696,26,375,50.11113549,186,0.42291138,119.334,165,118.9295429
274.67,7996.833729,189.6,19397,6894580,156,85.78095614,27,375,52.73993838,189.6,0.44424656,116.658,156,119.6160428
267.67,8293.967363,187,20349,7150204,163,91.07711227,28,375,56.17224493,189.6,0.460679,116.189,156,122.3446429
262.94,8594.715723,191.2,21339,7405703,152,82.14482029,29,375,52.03303182,191.2,0.5163741,124.39,152,131.9076768
257.79,8894.512204,185.1,22336,7660800,168,65.56961311,30,375,51.37203422,191.2,0.50788033,135.394,152,129.0772317
244.84,9193.910053,186,23373,7919143,165,71.08986855,31,375,50.76646925,191.2,0.56021196,138.383,152,136.1393443
247.16,9494.600543,193.9,24429,8176246,146,75.25542093,32,375,53.42971458,193.9,0.5862463,135.161,146,140.2170455
238.16,9795.198704,190.4,25499,8431779,153,62.44342985,33,375,48.6805341,193.9,0.5989618,145.263,146,141.7552336
237.69,10094.86729,193.4,26607,8688805,147,56.29095331,34,375,54.30629706,193.9,0.6471072,148.076,146,147.5443141
216.6,10390.30896,193.4,27759,8944741,147,50.39419435,35,375,41.88937813,193.9,0.704472,158.176,146,155.1573785
230.4,10686.38288,191.8,28923,9201269,151,55.32632353,36,375,53.75165114,193.9,0.7373024,151.345,146,160.4962199
215.78,10982.12994,192.4,30112,9457063,147,16.46445295,37,375,40.82807367,193.9,0.76092935,165.233,146,162.3160639
206.35,11279.11741,196,31370,9715220,140,58.11365123,38,375,44.631015,196,0.8263216,160.279,140,165.9348967
206.66,11578.38479,199.2,32625,9969771,132,30.86359958,39,375,39.13341794,199.2,0.83143336,166.689,132,168.5596813
202.78,11876.71398,197,33913,10227527,138,13.83536667,40,375,34.60797018,199.2,0.8644106,170.627,132,169.9021739
195.93,12176.17763,196,35222,10481867,140,13.88850356,41,375,34.57058142,199.2,0.89067113,173.263,132,172.9080978
