best_ext_ret,eplen_std,eprew_recent,total_secs,eprew,tcount,best_eplen,recent_worst_eplen,recent_best_ext_ret,eprew_std,eplen,n_updates,epcount,recent_best_eplen,rew_mean
-118,0,-136.03125,267.0720315,-135.94,240000,375,375,-118,3.279695108,375,1,640,375,-0.3437111
-118,0,-135.034375,512.4818833,-134.64,480000,375,375,-126,3.642856022,375,2,1280,375,-0.34732276
-110,0,-133.953125,757.7640226,-133.96,720000,375,375,-110,4.118057795,375,3,1920,375,-0.34323514
-110,0,-132.3151042,1001.170784,-132.24,1008000,375,375,-110,3.603109768,375,4,2688,375,-0.3320335
102.2,0,-130.3559375,1257.553269,-130.38,1248000,375,375,102.2,4.351505487,375,5,3328,375,-0.33293584
102.2,0,-129.146875,1509.205982,-129.32,1488000,375,375,-98,4.580131002,375,6,3968,375,-0.3298915
128.6,0,-127.5096354,1757.957391,-127.6,1775934,309,375,128.6,5.059644256,375,7,4736,309,-0.3182057
131.2,0,-126.448125,2003.294072,-126.04,2015861,302,375,131.2,5.106701479,375,8,5376,302,-0.32489103
131.2,4.576942211,-124.5037094,2250.151191,-123.134,2258282,298,375,128.8,25.35944881,374.54,9,6023,298,-0.31989932
131.2,0,-124.1028909,2500.593846,-125.3,2543574,298,375,125.6,6.599242381,375,10,6784,316,-0.30935025
152.9,0,-121.2627145,2751.495091,-125.56,2783596,248,375,152.9,5.703192089,375,11,7425,248,-0.31292343
152.9,7.773004567,-111.2793054,3001.013647,-114.508,3041634,248,375,143.3,46.7379368,374.02,12,8116,272,-0.283454
156.4,4.62898477,-96.17395543,3248.245658,-109.958,3306892,239,375,156.4,51.06275586,374.15,13,8834,239,-0.24209821
174.2,28.80746431,-77.54570597,3498.07917,-86.606,3557123,195,375,174.2,87.63835099,365.5,14,9521,195,-0.20265763
174.2,35.76722522,-49.01100543,3747.535097,-48.096,3818305,195,375,169.2,115.2461678,355.16,15,10257,204,-0.12067583
177,35.30616943,-32.74188267,3996.150058,-54.533,4072758,188,375,177,111.5499664,357.12,16,10990,188,-0.08243973
185.2,59.62852589,-29.04295039,4245.456331,-28.397,4331361,167,375,185.2,127.7130858,336.67,17,11756,167,-0.06921061
185.2,67.33576761,-28.30222513,4495.373892,-10.198,4585358,167,375,183,135.0564852,323.88,18,12520,173,-0.07416662
195.4,68.92448839,-46.9408971,4744.58378,-46.512,4841248,142,375,195.4,125.9844866,334.93,19,13278,142,-0.12705077
195.4,51.52100931,-81.86213992,4993.600881,-85.127,5098104,142,375,192,97.23817342,356.16,20,14007,150,-0.22019738
195.4,37.81478415,-98.91351351,5244.959737,-106.91,5352568,142,375,192,68.21234126,365.89,21,14710,150,-0.26235387
195.4,44.17555433,-96.62542135,5497.921966,-104.082,5608706,142,375,192.5,75.30743971,363.02,22,15422,149,-0.25649846
199.8,40.79239635,-97.47785614,5749.293184,-101.197,5863642,131,375,199.8,75.21701065,365.02,23,16131,131,-0.25947848
200,56.90493476,-86.25103448,5997.825595,-88.097,6120432,130,375,200,95.31436561,354.78,24,16856,130,-0.23207828
200,67.50959858,-83.34172367,6247.862271,-66.022,6379238,127,375,197.2,114.0524306,345.29,25,17587,127,-0.22213723
205,61.41693903,-69.3739369,6501.299253,-77.409,6632228,118,375,205,104.1366728,351.86,26,18316,118,-0.19035362
205,82.14430899,-61.47447368,6753.193391,-37.309,6890921,118,375,199.9,132.2587344,325.85,27,19076,131,-0.16644563
205,83.17731902,-34.69910486,7001.800252,-19.31,7145207,118,375,198.2,137.5393867,319.56,28,19858,134,-0.09595519
205,85.8517909,-22.02342787,7254.431778,-22.094,7403079,118,375,204.2,137.6454989,317.9,29,20669,120,-0.05389799
205,95.56750232,3.903659976,7504.34423,10.975,7659718,118,375,201.9,147.0092544,295.05,30,21516,126,0.02585887
209.2,93.77296999,19.4374289,7754.958993,29.99,7914479,107,375,209.2,145.754166,287.01,31,22395,107,0.07820369
209.2,101.7180397,46.93198725,8003.706347,46.481,8171701,107,375,207,148.3473961,269.02,32,23336,113,0.18855435
209.2,99.53697755,62.27107943,8256.954321,62.933,8428257,107,375,207.6,144.4933687,261.01,33,24318,111,0.25387925
209.2,99.46585545,80.14956689,8506.928954,77.688,8684964,107,375,209,142.3737941,247.06,34,25357,108,0.34013203
209.2,102.6181168,93.3510658,8761.654685,80.414,8943164,107,375,208.8,144.4164111,239.89,35,26436,108,0.41323292
209.2,97.293009,109.2799302,9012.522905,113.441,9199960,107,375,209.2,128.189566,219.48,36,27582,107,0.5050326
212.4,85.00504162,117.9586735,9263.973924,135.224,9455917,99,375,212.4,108.0675651,209.27,37,28758,99,0.55794126
212.8,78.04879499,139.2060232,9518.272408,154.034,9712920,98,375,212.8,96.8518221,184.16,38,30053,98,0.72078085
212.8,88.36812717,150.077981,9773.052214,142.574,9970134,98,375,211.2,111.2236698,190.71,39,31420,102,0.8200329
214,70.40071022,161.2353952,10026.8075,173.439,10226948,95,375,214,70.91457381,168,40,32875,95,0.9332942
214.2,58.62516439,172.5402589,10281.56565,181.28,10482843,95,375,214.2,63.10449112,154.49,41,34420,95,1.0552399
214.2,39.99661986,179.8795173,10537.20101,190.294,10739449,95,375,213.4,33.624895,148.48,42,36036,97,1.1545453
214.2,55.51585359,183.7866109,10789.27307,187.128,10996851,95,375,213.2,47.20904168,151.1,43,37709,97,1.2208139
214.2,48.10561298,188.3441347,11040.76715,190.804,11252507,95,375,213.6,45.45224289,142.1,44,39431,96,1.2825528
216.6,42.75092864,188.7458757,11295.35559,193.445,11510235,89,375,216.6,45.96101038,135.41,45,41201,89,1.3239958
216.6,44.25322135,191.4639308,11552.68997,191.704,11765125,89,375,214.7,34.21641396,145.18,46,42992,90,1.3543705
216.6,43.13079642,193.7810317,11807.18075,193.439,12022123,89,375,213.8,34.49025339,140.88,47,44853,96,1.4269298
216.6,45.93227188,195.1324454,12059.49509,195.187,12278389,89,375,215.7,18.41052772,141.92,48,46730,91,1.4470147
216.6,24.88263652,197.8071207,12310.77023,201.721,12535294,89,375,214.9,9.952721186,125.88,49,48668,93,1.515542
216.6,57.72140937,197.3102765,12565.8627,188.329,12790886,89,375,214,56.1208487,142.67,50,50585,95,1.4935554
216.6,38.30976246,199.095542,12825.11336,199.445,13046896,89,375,214,15.43172301,131.39,51,52559,95,1.5528135
216.6,33.13195436,199.4268844,13078.08329,198.444,13303067,89,375,214.4,32.99735541,128.44,52,54549,94,1.5667003
216.6,34.66395823,199.0068251,13334.45826,199.427,13559121,89,375,216.4,13.85540223,131.5,53,56527,89,1.5542139
216.6,29.9337602,201.1643599,13590.20844,200.97,13815163,89,375,213.7,12.05793929,127.7,54,58550,96,1.6052848
216.6,36.98983104,200.4396857,13846.62495,198.736,14071740,89,375,214.4,33.2814859,127.82,55,60586,94,1.6122485
216.6,24.89643348,200.2343365,14106.57358,201.772,14327504,89,375,215.6,9.961466559,125.74,56,62613,91,1.601804
216.6,52.35805955,200.4614706,14368.00428,193.833,14583272,89,375,214.8,47.80926282,134.44,57,64653,93,1.6137147
216.6,26.7184281,200.6807899,14626.81553,203.193,14838990,89,375,214.5,10.71372256,122.16,58,66704,92,1.6215129
216.6,27.40096896,202.0343675,14883.02588,204.753,15095939,89,375,215.6,10.93859639,118.13,59,68799,91,1.6692717
216.6,28.23992918,202.1879962,15139.16136,202.044,15351529,89,375,216,11.32856849,124.92,60,70890,90,1.6666478
216.6,34.73278566,200.5554479,15397.42055,200.432,15606434,89,375,215.6,33.40556205,123.44,61,72955,91,1.6333712
216.7,31.8720881,202.4904311,15654.89885,203.611,15863111,89,375,216.7,12.71654745,120.9,62,75066,89,1.6861551
216.7,41.12986263,202.7373466,15913.39383,199.726,16119760,89,375,215.4,34.84918254,125.12,63,77184,92,1.6923977
216.7,34.0160712,201.9887476,16169.93725,201.656,16376417,89,375,216,33.35909867,120.63,64,79308,90,1.6924176
