epcount,eprew_std,eplen_std,best_ext_ret,tcount,recent_worst_eplen,eprew_recent,eplen,total_secs,recent_best_ext_ret,recent_best_eplen,rew_mean,best_eplen,n_updates,eprew
640,2.639621185,0,-114,240000,375,-132.29375,375,286.4122059,-114,375,-0.33154684,375,1,-131.82
1280,2.96270147,0,-114,480000,375,-132.15,375,565.3501539,-114,375,-0.34778413,375,2,-131.68
1920,2.357965225,0,-106,720000,375,-131.340625,375,850.8810463,-106,375,-0.34548333,375,3,-131
2688,2.875760769,0,115.6,1007966,375,-130.2036458,375,1133.028343,115.6,341,-0.33638513,341,4,-130.3
3328,4.767221413,0,115.6,1247966,375,-129.740625,375,1415.567491,-98,375,-0.34058556,341,5,-129.44
3969,3.410806356,0,115.6,1488341,375,-128.6084243,375,1698.647621,-98,375,-0.33841035,341,6,-128.92
4736,5.648752075,0,131,1775649,375,-124.6289439,375,1984.546614,131,303,-0.3197259,303,7,-126.46
5377,8.214523723,0,151.4,2015352,375,-117.9892356,375,2267.340884,151.4,242,-0.3124692,242,8,-122.96
6062,63.00158838,14.11488222,151.4,2270715,375,-110.2575182,371.49,2551.140987,147.2,262,-0.28957537,242,9,-106.069
6784,51.62160086,4.572734412,151.4,2539523,375,-108.466205,374.01,2834.843771,142,275,-0.2803151,242,10,-112.195
7454,70.75306498,18.77411782,182,2785766,375,-96.37955224,370.05,3119.893238,182,165,-0.26003084,165,11,-101.214
8179,92.48956687,34.82783944,182,3050748,375,-93.38041379,362.96,3403.168722,165.6,212,-0.24474229,165,12,-86.139
8887,98.5609242,35.97936075,182,3305130,375,-82.23912429,359.84,3687.409819,178,185,-0.22260714,165,13,-80.089
9581,49.94090732,14.43203381,182,3560026,375,-106.0822767,372.42,3971.291952,180.8,168,-0.28393692,165,14,-115.124
10279,80.06554427,32.40904041,182,3814876,375,-101.1805158,365.29,4257.576351,181.4,177,-0.27138698,165,15,-98.289
10992,63.53823718,36.08349207,190.2,4073642,375,-101.3182328,366.96,4541.972191,190.2,154,-0.27231482,154,16,-110.096
11698,64.78836991,29.6269742,191.7,4329345,375,-98.77393768,368.32,4824.003274,191.7,151,-0.26712537,151,17,-108.445
12407,102.8327558,58.54571803,196.4,4583756,375,-94.22708039,351.67,5106.142159,196.4,139,-0.25707424,139,18,-80.775
13147,114.5150461,61.63062469,199.6,4839265,375,-68.88027027,345.19,5392.381105,199.6,131,-0.19404031,131,19,-63.661
13930,129.10688,76.59609585,204,5098511,375,-43.7293742,330.41,5676.501236,204,120,-0.122991614,120,20,-40.982
14734,142.3691102,85.9855546,204,5353245,375,-18.41293532,306.38,5963.603217,201.2,127,-0.053068917,120,21,0.087
15567,144.8079613,90.15697644,204,5609808,375,-3.351140456,300.14,6246.736799,199.4,127,-0.004682735,120,22,5.371
16385,131.1970231,83.3623992,204,5867169,375,-17.69266504,326.48,6533.440986,202.6,124,-0.04914977,120,23,-41.682
17226,139.8132558,89.71213686,204,6124668,375,-5.31058264,313.25,6819.279554,204,120,-0.009133846,120,24,-15.21
18093,146.4101152,92.91937581,206,6377237,375,15.02399077,284.64,7099.655862,206,115,0.0528064,115,25,29.259
19048,146.7806532,97.7162136,208.4,6638604,375,42.97235602,277.96,7385.363217,208.4,109,0.17405571,109,26,38.738
19997,148.4556948,103.2889655,208.4,6891506,375,49.35026344,270.36,7671.004321,208.4,109,0.18463935,109,27,44.113
20955,139.1079652,96.76108464,210.2,7148989,375,47.28789144,247.75,7954.426939,210.2,105,0.18524827,105,28,81.668
22025,139.3706848,101.6135675,211.6,7404135,375,87.44149533,239.77,8240.002097,211.6,101,0.37239742,101,29,87.468
23178,133.1365419,95.37844358,211.6,7661736,375,109.4362533,231.95,8525.060976,210.1,105,0.5001839,101,30,99.632
24306,118.2439866,90.95221767,211.6,7917851,375,102.189273,215.71,8807.644818,210.6,104,0.45747468,101,31,123.868
25497,131.7366107,99.82784982,211.6,8173798,375,119.3326616,215.98,9091.549036,211.6,101,0.56332594,101,32,112.117
26663,125.6730858,97.88512451,212.8,8431404,375,110.5825043,217.68,9377.202572,212.8,98,0.51306725,98,33,116.501
27868,134.8601022,102.5939623,212.8,8686176,375,118.6301245,225.33,9664.221075,210.6,101,0.5634543,98,34,102.538
29172,93.15765023,79.09195345,213.1,8944607,375,137.5615798,189.73,9951.541868,213.1,98,0.71375513,98,35,153.898
30618,74.10851951,65.15006063,213.1,9205229,375,159.9159059,177.36,10240.31496,211,103,0.91534036,98,36,167.656
32044,85.6844936,74.40113642,213.1,9457347,375,163.0812062,175.97,10526.80812,211.1,103,0.9130973,98,37,163.866
33576,47.18057417,58.31543878,213.1,9714963,375,168.875,159.36,10813.34984,212.4,99,1.0195435,98,38,183.839
35154,74.37962568,68.68580639,213.1,9970354,375,175.5554499,166.4,11100.58519,212.1,100,1.0903496,98,39,172.478
36705,68.57456096,64.99730764,213.4,10227439,375,171.8579626,164.7,11388.40751,213.4,97,1.0508164,97,40,175.017
38360,63.55191719,60.24435575,213.4,10484564,375,182.0703927,157.24,11676.88115,212.6,99,1.1894219,97,41,180.061
40023,13.98889828,34.87362901,213.4,10739863,375,183.5135899,147.9,11966.48675,212.9,98,1.1986347,97,42,192.785
41723,34.18837136,41.86068681,213.4,10996269,375,186.4655294,143.23,12249.49322,213,98,1.2470082,97,43,192.508
43465,55.89608573,58.23804598,214.6,11252667,375,187.6586108,152.5,12535.09651,214.6,94,1.2874278,94,44,184.32
45274,45.61191428,43.26006357,214.8,11510636,375,191.7813156,138.87,12820.02112,214.8,93,1.3663327,93,45,192.074
47077,15.86998311,39.77744461,214.8,11766877,375,191.693178,141.43,13105.85691,212.4,99,1.3592862,93,46,195.394
48944,63.02571075,54.44876032,214.8,12022796,375,195.0569898,142.25,13388.53713,213.6,96,1.433251,93,47,186.272
50837,46.30767349,48.18072125,214.8,12279098,375,195.3942419,141.09,13672.40481,214.2,95,1.4537195,93,48,191.024
52744,46.31082304,47.93610226,214.8,12534546,375,196.3502884,139.49,13956.59431,213.2,96,1.4728483,93,49,191.713
54689,46.6458661,50.41945954,214.8,12791351,375,197.1643188,135.41,14241.45571,213.9,96,1.50964,93,50,193.376
56624,33.97007699,39.35412939,214.8,13047180,375,196.9817571,132.55,14529.86259,213.7,96,1.4976685,93,51,196.863
58527,15.86115998,39.72551321,214.9,13302787,375,195.9458224,133.94,14816.69734,214.9,93,1.4675696,93,52,198.398
60525,7.626054026,18.74322278,214.9,13560253,375,199.2348849,122.46,15104.94219,213.7,96,1.5645548,93,53,202.97
62510,33.26599878,34.49505907,214.9,13814574,375,199.0826196,126.47,15398.28049,214.4,94,1.5529791,93,54,199.185
64524,34.01630578,36.67679784,214.9,14071601,375,198.4661867,127.15,15687.37238,214.1,95,1.5733087,93,55,198.879
66578,33.30046274,34.50718186,215.9,14327268,375,200.9561831,125.88,15974.62013,215.9,91,1.6228015,91,56,199.509
68652,45.82558962,41.18020277,215.9,14583291,375,201.2756991,124.97,16262.97743,214.3,95,1.6418539,91,57,197.556
70759,10.10202871,25.2355523,215.9,14840147,375,202.4364499,120.37,16548.16656,215,93,1.6765969,91,58,203.904
72868,9.04273985,22.63479401,215.9,15094923,375,202.668753,120.19,16832.07473,215.2,92,1.679794,91,59,203.984
74998,8.524769264,21.31361067,215.9,15351586,375,202.7094836,118.7,17115.85368,215.4,92,1.6998717,91,60,204.553
77153,46.43645347,44.99333284,215.9,15608089,375,203.7216705,124.6,17404.34545,215.2,92,1.7253277,91,61,197.783
79326,11.24583527,28.11761014,215.9,15864785,375,203.8703636,118,17690.06759,215.7,91,1.7438697,91,62,204.917
81475,8.469993861,21.1233023,215.9,16118975,375,204.0949279,118.19,17979.44723,215.4,92,1.7220476,91,63,204.798
83676,7.818246862,19.22039542,215.9,16376098,375,204.4212176,117.58,18269.0642,214.8,93,1.7701259,91,64,205.004
85878,45.59184295,40.20381076,215.9,16631235,375,205.0792007,120.56,18558.14798,215.2,92,1.7748125,91,65,199.484
88091,7.632688845,19.01998948,215.9,16888192,375,205.1752372,115,18843.79647,215.5,92,1.7851777,91,66,205.931
90319,10.16371487,25.38872781,215.9,17144045,375,206.0195691,113.85,19127.66691,214.5,94,1.8076669,91,67,206.55
92551,8.049473213,19.95744473,216.5,17400440,375,205.5196237,114.98,19414.95083,216.5,89,1.8020616,89,68,205.959
94789,6.058207243,15.13582175,216.5,17656310,375,205.810277,112.13,19701.60747,215.2,92,1.8115184,89,69,207.275
97043,32.50751519,29.95065275,216.5,17912280,375,205.9271517,114.28,19987.61969,215.3,92,1.8235824,89,70,204.216
99287,5.154595134,12.6018213,216.5,18167951,375,205.765508,111.29,20274.19011,216,90,1.8154218,89,71,207.493
101564,5.468888004,13.66921724,216.5,18425380,375,206.0487923,111.75,20561.41353,215.6,91,1.845279,89,72,207.392
103844,7.080826152,17.70402214,216.7,18680924,375,206.642193,111.26,20848.76045,216.7,89,1.8529216,89,73,207.599
106142,33.69905838,35.33862476,216.7,18936670,375,207.1493473,115.96,21133.29849,216.2,90,1.8710779,89,74,203.508
108459,5.343704614,13.09877475,216.8,19192228,375,207.5419076,109.39,21419.72251,216.8,88,1.8930246,88,75,208.289
110783,4.975570219,12.46038121,216.8,19448010,375,207.9344234,106.67,21705.13791,216.1,90,1.8982862,88,76,209.399
113095,10.06103255,25.12523831,216.8,19704111,375,207.1837803,113.68,21992.93584,216.1,90,1.8823292,88,77,206.632
115447,4.515451251,11.31105654,216.8,19961013,375,207.7508503,107.8,22282.7355,216.6,89,1.9217104,88,78,208.99
117789,6.332028032,15.37335357,217.8,20216192,375,207.9214347,109,22572.24968,217.8,86,1.9145551,86,79,208.389
120144,5.207422683,13.0137581,217.8,20473085,375,207.9693843,106.89,22858.01234,216.9,88,1.9259964,86,80,209.343
122497,6.840013085,16.66816127,217.8,20728464,375,208.0742456,105.82,23146.14906,217.1,88,1.9248978,86,81,209.711
124869,6.853028819,17.0710398,217.8,20984898,375,208.4322513,109.14,23431.02583,217.4,87,1.9432102,86,82,208.414
127252,33.63886043,33.97488926,217.8,21240596,375,208.9667226,110.63,23718.52714,216.5,89,1.9575295,86,83,205.613
129627,5.328846029,13.0977708,217.8,21496502,375,208.4985263,104.78,24002.95439,217.2,87,1.9486828,86,84,210.16
132038,5.981372669,14.83610124,217.8,21753433,375,209.0671091,105.01,24291.17165,217.6,86,1.9808342,86,85,210.059
