eprew,eprew_recent,recent_best_ext_ret,eprew_std,epcount,n_updates,eplen_std,best_eplen,tcount,rew_mean,eplen,recent_worst_eplen,best_ext_ret,recent_best_eplen,total_secs
-140.42,-140.384375,-126,1.839456441,640,1,0,375,240000,-0.35293236,375,375,-126,375,247.8367219
-140.34,-140.325,-130,2.098666243,1280,2,0,375,480000,-0.35905606,375,375,-126,375,490.3029776
-139.94,-140.140625,-130,2.456908627,1920,3,0,375,720000,-0.35896143,375,375,-126,375,733.0947742
-140.38,-140.2890625,-130,1.736548301,2688,4,0,375,1008000,-0.35342714,375,375,-126,375,971.927614
-140.02,-140.19375,-130,1.949256268,3328,5,0,375,1248000,-0.35724646,375,375,-126,375,1213.306522
-139.18,-139.821875,-130,2.562732916,3968,6,0,375,1488000,-0.3565463,375,375,-126,375,1453.326231
-139.18,-139.4635417,-126,2.515472123,4736,7,0,375,1776000,-0.3503387,375,375,-126,375,1691.196962
-139.04,-138.8875,-128,2.986369033,5376,8,0,375,2016000,-0.35389915,375,375,-126,375,1937.183722
-139.4,-138.903125,-126,2.374868417,6016,9,0,375,2256000,-0.3540993,375,375,-126,375,2180.628084
-138.26,-138.296875,-128,3.119679471,6784,10,0,375,2544000,-0.34776938,375,375,-126,375,2422.201369
-137.48,-137.659375,-124,3.244934514,7424,11,0,375,2784000,-0.35150996,375,375,-124,375,2663.96319
-137.18,-137.34375,-124,2.940680193,8064,12,0,375,3024000,-0.3519905,375,375,-124,375,2907.365439
-136.16,-136.4166667,-120,3.629655631,8832,13,0,375,3312000,-0.34391066,375,375,-120,375,3148.759979
-135.94,-135.925,-124,3.560393237,9472,14,0,375,3552000,-0.34934872,375,375,-120,375,3391.568523
-135.64,-135.2,-124,3.468486702,10112,15,0,375,3792000,-0.34826905,375,375,-120,375,3633.886229
-134.02,-133.8828125,-124,3.660546407,10880,16,0,375,4080000,-0.3383151,375,375,-120,375,3877.864994
-132.68,-132.89375,-120,4.051863769,11520,17,0,375,4320000,-0.34261602,375,375,-120,375,4120.262883
