rew_mean,recent_worst_eplen,eprew,eplen,recent_best_eplen,eprew_recent,epcount,n_updates,total_secs,eprew_std,eplen_std,tcount,best_ext_ret,recent_best_ext_ret,best_eplen,,,,
-0.15096605,75,-13.471875,75,75,-13.6328125,832,1,248.3513141,1.266218996,0,62400,-8.125,-8.125,75,,,,
-0.16781835,75,-13.325,75,75,-13.35792824,1696,2,495.1592982,1.504238803,0,127200,-7.8125,-7.8125,75,,,,
-0.16780291,75,-13.30625,75,75,-13.28500601,2528,3,741.6361043,1.321531427,0,189600,-7.8125,-8.4375,75,,,,
-0.16286828,75,-12.953125,75,75,-12.85373264,3392,4,984.9323618,1.56023273,0,254400,-5,-5,75,,,,
-0.15858594,75,-12.153125,75,75,-12.51880787,4256,5,1229.965091,1.711573084,0,319200,-3.75,-3.75,75,,,,
-0.14974669,75,-11.94375,75,75,-11.90504808,5088,6,1474.765664,1.935270895,0,381600,-3.125,-3.125,75,,,,
-0.14307465,75,-11.4375,75,75,-11.34982639,5952,7,1716.821886,1.939515081,0,446400,-2.8125,-2.8125,75,,,,
-0.13327356,75,-10.65625,75,75,-10.63078704,6816,8,1961.259681,2.278251454,0,511200,-1.875,-1.875,75,,,,
-0.12183986,75,-9.953125,75,75,-9.853515625,7648,9,2206.028494,2.024447745,0,573600,-1.875,-2.1875,75,,,,
-0.11083885,75,-8.834375,75,75,-8.917824074,8512,10,2449.674125,2.598397568,0,638400,0.3125,0.3125,75,,,,
-0.103747614,75,-8.321875,75,75,-8.368778935,9376,11,2693.07804,2.367857269,0,703200,1.875,1.875,75,,,,
-0.08599983,75,-6.90625,75,75,-7.135667067,10208,12,2936.460767,2.522748068,0,765600,1.875,1.875,75,,,,
-0.07627905,75,-5.76875,75,75,-6.317635995,11072,13,3177.041054,2.675270138,0,830400,2.1875,2.1875,75,,,,
-0.05936734,75,-4.8,75,75,-5.091869213,11936,14,3415.750089,2.156711907,0,895200,4.0625,4.0625,75,,,,
-0.048112996,75,-4.103125,75,75,-4.255934495,12768,15,3659.549252,2.565415643,0,957600,4.0625,4.0625,75,,,,
-0.03701916,75,-3.33125,75,75,-3.368055556,13632,16,3901.064318,2.555715103,0,1022400,7.1875,7.1875,75,,,,
-0.029404769,75,-2.4625,75,75,-2.761863426,14496,17,4143.985825,2.637722147,0,1087200,7.1875,6.25,75,,,,
-0.013907216,75,-2.15625,75,75,-1.722881611,15328,18,4386.337143,2.264924461,0,1149600,7.1875,7.1875,75,,,,
-0.00860368,75,-0.715625,75,75,-1.142216435,16192,19,4626.094689,2.561850146,0,1214400,7.1875,7.1875,75,,,,
0.002143816,75,-0.240625,75,75,-0.486111111,17056,20,4866.468172,2.267232189,0,1279200,8.4375,8.4375,75,,,,
0.009156965,75,0.021875,75,75,0.142352764,17888,21,5106.802081,2.518003534,0,1341600,8.4375,7.5,75,,,,
0.019211758,75,0.728125,75,75,0.91869213,18752,22,5346.145461,2.503534611,0,1406400,10,10,75,,,,
0.031315576,75,1.65625,75,75,1.728153935,19616,23,5585.694384,2.609889545,0,1471200,10,8.75,75,,,,
0.03271061,75,1.03125,75,75,1.904296875,20448,24,5824.982279,2.6281603,0,1533600,10.625,10.625,75,,,,
0.040148728,75,2.040625,75,75,2.495659722,21312,25,6063.024439,2.714779788,0,1598400,10.625,9.6875,75,,,,
0.05145766,75,2.896875,75,75,3.216145833,22176,26,6302.876717,2.624946056,0,1663200,10.625,10.625,75,,,,
0.052843407,75,3.325,75,75,3.431490385,23008,27,6546.40541,2.434501361,0,1725600,11.5625,11.5625,75,,,,
0.05909851,75,4.1,75,75,3.932291667,23872,28,6785.579043,2.469454014,0,1790400,11.5625,10.9375,75,,,,
0.06211371,75,3.671875,75,75,4.075159144,24736,29,7024.413052,2.6266271,0,1855200,12.1875,12.1875,75,,,,
0.06679353,75,4.89375,75,75,4.371619591,25568,30,7263.76464,2.604915726,0,1917600,12.1875,11.875,75,,,,
0.07419786,75,4.953125,75,75,4.953125,26400,31,7502.992384,2.371450884,0,1982400,12.1875,13.125,75,832,1982400,25568,1917600
0.08797178,75,4.428125,75,75,4.428125,27264,32,7744.470482,2.583396127,0,2047200,13.4375,14.6875,75,1696,2047200,25568,1917600
0.090275414,75,6.20625,75,75,6.20625,28096,33,7983.425756,2.391807306,0,2109600,14.0625,14.375,75,2528,2109600,25568,1917600
0.09895534,75,5.821875,75,75,5.821875,28960,34,8220.727537,2.44895346,0,2174400,15.9375,15.3125,75,3392,2174400,25568,1917600
,,7.4,,,7.4,29824,35,,2.265088298,,2239200,15.9375,,,4256,2239200,25568,1917600
,,6.9375,,,6.9375,30656,36,,2.707411702,,2301600,17.1875,,,5088,2301600,25568,1917600
,,6.56875,,,6.56875,31520,37,,2.267286029,,2366400,17.1875,,,5952,2366400,25568,1917600
,,8.328125,,,8.328125,32384,38,,2.108564659,,2431200,17.1875,,,6816,2431200,25568,1917600
,,9.2875,,,9.2875,33216,39,,2.413374194,,2493600,17.1875,,,7648,2493600,25568,1917600
,,9.615625,,,9.615625,34080,40,,2.024196889,,2558400,17.1875,,,8512,2558400,25568,1917600
,,7.775,,,7.775,34944,41,,1.773987387,,2623200,17.1875,,,9376,2623200,25568,1917600
,,10.09375,,,10.09375,35776,42,,2.00706759,,2685600,17.1875,,,10208,2685600,25568,1917600
,,9.875,,,9.875,36640,43,,2.14876418,,2750400,17.1875,,,11072,2750400,25568,1917600
,,11.084375,,,11.084375,37504,44,,1.9810898,,2815200,17.1875,,,11936,2815200,25568,1917600
,,10.234375,,,10.234375,38336,45,,1.765210128,,2877600,17.1875,,,12768,2877600,25568,1917600
,,11.046875,,,11.046875,39200,46,,2.236231746,,2942400,18.125,,,13632,2942400,25568,1917600
,,11.4875,,,11.4875,40064,47,,1.649526447,,3007200,18.125,,,14496,3007200,25568,1917600
,,10.896875,,,10.896875,40896,48,,2.070842503,,3069600,18.125,,,15328,3069600,25568,1917600
,,11.690625,,,11.690625,41760,49,,1.845123958,,3134400,18.125,,,16192,3134400,25568,1917600
,,12.04375,,,12.04375,42624,50,,1.849524855,,3199200,18.125,,,17056,3199200,25568,1917600
,,11.99375,,,11.99375,43456,51,,1.52567864,,3261600,18.125,,,17888,3261600,25568,1917600
,,11.753125,,,11.753125,44320,52,,1.794030357,,3326400,18.125,,,18752,3326400,25568,1917600
,,12.228125,,,12.228125,45184,53,,1.834273847,,3391200,18.125,,,19616,3391200,25568,1917600
,,10.559375,,,10.559375,46016,54,,2.138877024,,3453600,18.125,,,20448,3453600,25568,1917600
,,11.78125,,,11.78125,46880,55,,1.647381919,,3518400,18.125,,,21312,3518400,25568,1917600
,,11.83125,,,11.83125,47744,56,,1.606882171,,3583200,18.125,,,22176,3583200,25568,1917600
,,10.984375,,,10.984375,48576,57,,1.691762556,,3645600,18.125,,,23008,3645600,25568,1917600
,,11.909375,,,11.909375,49440,58,,1.468347684,,3710400,18.125,,,23872,3710400,25568,1917600
,,12.028125,,,12.028125,50304,59,,1.664481315,,3775200,18.125,,,24736,3775200,25568,1917600
,,11.621875,,,11.621875,51136,60,,1.6151716,,3837600,18.125,,,25568,3837600,25568,1917600
,,12.375,,,12.375,52000,61,,1.623797632,,3902400,18.125,,,26432,3902400,25568,1917600
,,13.0125,,,13.0125,52864,62,,1.37962291,,3967200,18.125,,,27296,3967200,25568,1917600
,,11.73125,,,11.73125,53696,63,,1.631848549,,4029600,18.125,,,28128,4029600,25568,1917600
,,11.29375,,,11.29375,54560,64,,1.461097084,,4094400,18.125,,,28992,4094400,25568,1917600
,,13.4125,,,13.4125,55424,65,,2.219269305,,4159200,18.125,,,29856,4159200,25568,1917600
,,13.390625,,,13.390625,56256,66,,1.312778988,,4221600,18.125,,,30688,4221600,25568,1917600
,,12.153125,,,12.153125,57120,67,,2.2997516,,4286400,18.4375,,,31552,4286400,25568,1917600
,,12.6375,,,12.6375,57984,68,,1.253370456,,4351200,18.4375,,,32416,4351200,25568,1917600
,,11.809375,,,11.809375,58816,69,,1.839398997,,4413600,18.4375,,,33248,4413600,25568,1917600
,,12.921875,,,12.921875,59680,70,,1.417920325,,4478400,18.4375,,,34112,4478400,25568,1917600
,,13.3875,,,13.3875,60544,71,,1.297322965,,4543200,18.4375,,,34976,4543200,25568,1917600
,,12.175,,,12.175,61376,72,,1.603779715,,4605600,18.4375,,,35808,4605600,25568,1917600
,,13.271875,,,13.271875,62240,73,,1.209867471,,4670400,18.4375,,,36672,4670400,25568,1917600
,,13.521875,,,13.521875,63104,74,,1.735348826,,4735200,18.4375,,,37536,4735200,25568,1917600
,,12.875,,,12.875,63936,75,,1.414903928,,4797600,18.4375,,,38368,4797600,25568,1917600
,,13.196875,,,13.196875,64800,76,,1.476941916,,4862400,18.4375,,,39232,4862400,25568,1917600
,,13.065625,,,13.065625,65664,77,,1.350415879,,4927200,18.75,,,40096,4927200,25568,1917600
,,12.6,,,12.6,66496,78,,1.838647601,,4989600,19.0625,,,40928,4989600,25568,1917600
,,13.39375,,,13.39375,67360,79,,1.56126201,,5054400,19.0625,,,41792,5054400,25568,1917600
,,12.571875,,,12.571875,68224,80,,1.974868963,,5119200,19.375,,,42656,5119200,25568,1917600
,,13.06875,,,13.06875,69056,81,,1.243247386,,5181600,19.375,,,43488,5181600,25568,1917600
,,14.2375,,,14.2375,69920,82,,2.140713958,,5246400,19.375,,,44352,5246400,25568,1917600
,,13.88125,,,13.88125,70784,83,,1.68991725,,5311200,19.375,,,45216,5311200,25568,1917600
,,14.69375,,,14.69375,71616,84,,1.572455782,,5373600,19.375,,,46048,5373600,25568,1917600
,,13.715625,,,13.715625,72480,85,,1.373504158,,5438400,19.375,,,46912,5438400,25568,1917600
,,12.603125,,,12.603125,73344,86,,1.566279803,,5503200,19.375,,,47776,5503200,25568,1917600
