rew_mean,eprew_std,best_eplen,eprew,eplen,eprew_recent,n_updates,recent_worst_eplen,eplen_std,recent_best_eplen,tcount,epcount,best_ext_ret,total_secs,recent_best_ext_ret
-0.08443347,1.64047916,70,-8.275,70,-8.008091518,1,70,0,70,62720,896,-3.6875,373.1738968,-3.6875
-0.1027384,1.458327381,70,-7.85,70,-7.971241918,2,70,0,70,127680,1824,-2.4375,743.6159544,-2.4375
-0.1005541,1.548550229,70,-7.94375,70,-7.717564174,3,70,0,70,190400,2720,-2.4375,1112.899005,-2.75
-0.09585784,1.682411309,70,-7.23125,70,-7.347588901,4,70,0,70,255360,3648,-2.4375,1481.412385,-2.4375
-0.09006752,1.726697534,70,-6.925,70,-7.026994978,5,70,0,70,318080,4544,-1.5,1854.40132,-1.5
-0.08802337,1.641892368,70,-6.790625,70,-6.835398707,6,70,0,70,383040,5472,-0.875,2223.698982,-0.875
-0.08260315,1.661559885,70,-6.3,70,-6.556152344,7,70,0,70,445760,6368,0.0625,2595.746407,0.0625
-0.076311,1.797619411,70,-5.871875,70,-6.024851832,8,70,0,70,510720,7296,0.0625,2963.081923,-0.25
-0.0730043,1.619205414,70,-5.484375,70,-5.87264278,9,70,0,70,575680,8224,0.0625,3332.780085,-1.1875
-0.067870334,1.595893167,70,-5.125,70,-5.486816406,10,70,0,70,638400,9120,0.0625,3699.878754,0.0625
-0.06557013,1.624350832,70,-4.925,70,-5.315665409,11,70,0,70,703360,10048,0.375,4068.154823,0.375
-0.05890052,1.719088035,70,-4.909375,70,-4.939243862,12,70,0,70,766080,10944,0.375,4440.336438,0.375
-0.055386063,1.830244498,70,-4.284375,70,-4.631398168,13,70,0,70,831040,11872,2.25,4809.933418,2.25
-0.053385217,1.572775587,70,-4.628125,70,-4.562918527,14,70,0,70,893760,12768,2.25,5184.731293,1.625
-0.05076878,1.542294354,70,-4.2125,70,-4.33203125,15,70,0,70,958720,13696,2.25,5552.31067,0.6875
-0.044656865,1.658698073,70,-3.646875,70,-3.907394935,16,70,0,70,1023680,14624,2.25,5921.141899,1.3125
-0.046050012,1.578329195,70,-3.384375,70,-4.042201451,17,70,0,70,1086400,15520,2.25,6290.208525,1
-0.043064017,1.85677602,70,-4.49375,70,-3.744746767,18,70,0,70,1151360,16448,2.25,6657.661939,1.3125
-0.03972409,1.653346512,70,-4.06875,70,-3.69796317,19,70,0,70,1214080,17344,2.25,7030.836695,1.625
-0.035058644,1.433418118,70,-3.0625,70,-3.194841056,20,70,0,70,1279040,18272,2.25,7399.173764,1.9375
-0.03227818,1.560858513,70,-3.765625,70,-3.1796875,21,70,0,70,1341760,19168,2.5625,7771.602968,2.5625
-0.03075787,1.544834513,70,-3.409375,70,-2.866850754,22,70,0,70,1406720,20096,2.5625,8140.13508,2.25
-0.028679293,1.638820436,70,-2.253125,70,-2.839237608,23,70,0,70,1471680,21024,2.5625,8511.970701,1.9375
-0.02705664,1.623484871,70,-1.9625,70,-2.762904576,24,70,0,70,1534400,21920,2.5625,8882.534651,2.5625
-0.02931517,1.564607953,70,-2.640625,70,-2.780980603,25,70,0,70,1599360,22848,2.5625,9249.587067,2.25
-0.022997143,1.469082409,70,-3.1875,70,-2.511788504,26,70,0,70,1662080,23744,2.875,9621.560727,2.875
-0.023109742,1.648199776,70,-2.225,70,-2.456694504,27,70,0,70,1727040,24672,2.875,9991.012097,2.5625
-0.022995032,1.555393213,70,-3.021875,70,-2.481445313,28,70,0,70,1789760,25568,2.875,10364.03437,2.25
-0.021277666,1.48072248,70,-2.36875,70,-2.280239763,29,70,0,70,1854720,26496,2.875,10729.37397,2.5625
-0.02032645,1.669803039,70,-2.68125,70,-2.297077047,30,70,0,70,1919680,27424,2.875,11099.50819,2.5625
-0.022137655,1.407329447,70,-2.490625,70,-2.389718192,31,70,0,70,1982400,28320,2.875,11467.88441,2.25
-0.022467636,1.54001319,70,-2.475,70,-2.402141703,32,70,0,70,2047360,29248,3.5,11832.74938,3.5
-0.018414337,1.627339062,70,-2.784375,70,-2.244280134,33,70,0,70,2110080,30144,3.5,12201.97791,2.5625
-0.020525794,1.536991786,70,-2.0125,70,-2.225350216,34,70,0,70,2175040,31072,3.5,12570.32786,1.3125
