eprew,tcount,recent_worst_eplen,eplen,eplen_std,n_updates,rew_mean,recent_best_ext_ret,best_ext_ret,recent_best_eplen,best_eplen,eprew_recent,epcount,eprew_std,total_secs
-8.81875,62720,70,70,0,1,-0.095999695,-1.8125,-1.8125,70,70,-8.823172433,896,1.855723831,360.5773516
-7.928125,127680,70,70,0,2,-0.109068304,-1.5,-1.5,70,70,-8.377020474,1824,2.165178525,719.2128947
-7.125,190400,70,70,0,3,-0.09570422,-0.25,-0.25,70,70,-7.387276786,2720,2.232571387,1075.944077
-6.825,255360,70,70,0,4,-0.08273956,2.25,2.25,70,70,-6.372373384,3648,1.997029043,1432.177946
-6.059375,318080,70,70,0,5,-0.0677411,1.625,2.25,70,70,-5.461007254,4544,2.087020435,1793.878909
-4.575,383040,70,70,0,6,-0.05543959,4.125,4.125,70,70,-4.473127694,5472,2.673919174,2148.770057
-3.115625,445760,70,70,0,7,-0.03371145,3.8125,4.125,70,70,-3.012276786,6368,2.377077627,2505.920732
-1.9875,510720,70,70,0,8,-0.019997833,5.0625,5.0625,70,70,-2.019935345,7296,2.290145328,2861.29025
-0.0625,575680,70,70,0,9,0.001649914,7.875,7.875,70,70,-0.434873384,8224,2.294269355,3222.716431
0.34375,638400,70,70,0,10,0.017135236,6.625,7.875,70,70,0.581473214,9120,2.017259512,3582.234537
1.196875,703360,70,70,0,11,0.025881734,7.5625,7.875,70,70,1.419585129,10048,2.051892705,3942.664029
2.09375,766080,70,70,0,12,0.040731866,8.5,8.5,70,70,2.149204799,10944,2.227973785,4300.868559
3.084375,831040,70,70,0,13,0.0450723,9.75,9.75,70,70,2.809334591,11872,2.012196697,4655.061597
3.76875,893760,70,70,0,14,0.056363568,9.75,9.75,70,70,3.332938058,12768,1.993652035,5015.723973
3.690625,958720,70,70,0,15,0.060692757,10.6875,10.6875,70,70,3.878165409,13696,1.969937638,5372.638321
3.959375,1023680,70,70,0,16,0.067236386,10.375,10.6875,70,70,4.292699353,14624,2.157135235,5732.015416
5.2,1086400,70,70,0,17,0.07310265,11.625,11.625,70,70,4.587123326,15520,1.990367428,6091.113164
4.69375,1151360,70,70,0,18,0.07625092,10.6875,11.625,70,70,5.027141703,16448,1.747978743,6451.839347
4.928125,1214080,70,70,0,19,0.0841517,10.375,11.625,70,70,5.297572545,17344,1.92346479,6811.743965
5.7875,1279040,70,70,0,20,0.08876059,11.625,11.625,70,70,5.923221983,18272,1.779264244,7168.505774
5.9625,1341760,70,70,0,21,0.09054733,12.875,12.875,70,70,5.886997768,19168,1.894832611,7529.86316
6.3625,1406720,70,70,0,22,0.09381529,12.25,12.875,70,70,6.17342403,20096,1.787390731,7886.576039
6.2625,1471680,70,70,0,23,0.09922016,12.5625,12.875,70,70,6.612203664,21024,1.656969183,8246.709606
7.15,1534400,70,70,0,24,0.10593794,11.9375,12.875,70,70,6.921107701,21920,1.953002496,8605.542788
6.8125,1599360,70,70,0,25,0.10500572,12.875,12.875,70,70,7.103178879,22848,1.576190027,8963.969872
6.903125,1662080,70,70,0,26,0.11226336,12.875,12.875,70,70,7.284179688,23744,1.845018102,9322.171187
7.203125,1727040,70,70,0,27,0.10858588,13.5,13.5,70,70,7.339574353,24672,2.101141338,9679.032311
