best_ext_ret,eplen_std,eprew,rew_mean,eprew_std,eplen,epcount,tcount,total_secs,recent_worst_eplen,best_eplen,recent_best_eplen,eprew_recent,n_updates,recent_best_ext_ret,,
-9.625,0,-13.684375,-0.1654314,0.627331588,70,896,62720,241.792315,70,70,70,-13.71888951,1,-9.625,,
-9.625,0,-13.875,-0.18863058,0.375,70,1824,127680,481.471627,70,70,70,-13.73801185,2,-10.875,,
-9.625,0,-13.5375,-0.18814126,0.811874759,70,2720,190400,717.9224074,70,70,70,-13.61809431,3,-9.9375,,
-9.625,0,-13.59375,-0.18768652,0.668048698,70,3648,255360,954.1591349,70,70,70,-13.57873114,4,-9.9375,,
-9.625,0,-13.353125,-0.18607418,0.733217172,70,4544,318080,1189.575582,70,70,70,-13.45626395,5,-9.625,,
-9,0,-13.4625,-0.18500493,0.846730846,70,5472,383040,1424.908132,70,70,70,-13.38409213,6,-9,,
-7.125,0,-13.303125,-0.18063052,0.912002219,70,6368,445760,1662.145314,70,70,70,-13.10016741,7,-7.125,,
-7.125,0,-12.915625,-0.17768835,1.127995145,70,7296,510720,1902.09985,70,70,70,-12.87863685,8,-7.75,,
-7.125,0,-12.703125,-0.17419952,1.252633944,70,8224,575680,2142.055455,70,70,70,-12.64123114,9,-7.4375,,
-5.875,0,-12.034375,-0.1692173,1.489740304,70,9120,638400,2379.92041,70,70,70,-12.28717913,10,-5.875,,
-4.9375,0,-12.0375,-0.15998243,1.401087747,70,10048,703360,2616.983368,70,70,70,-11.67443427,11,-4.9375,,
-3.0625,0,-11.309375,-0.1510284,1.896694802,70,10944,766080,2854.565382,70,70,70,-11.03717913,12,-3.0625,,
-2.75,0,-10.053125,-0.14050925,2.044263601,70,11872,831040,3088.053326,70,70,70,-10.30488955,13,-2.75,,
-1.8125,0,-9.21875,-0.12641071,2.2068342,70,12768,893760,3325.507803,70,70,70,-9.345633371,14,-1.8125,,
-0.25,0,-8.159375,-0.110072345,2.23593477,70,13696,958720,3563.030323,70,70,70,-8.217739763,15,-0.25,,
1.625,0,-6.815625,-0.09241539,2.631500508,70,14624,1023680,3797.886094,70,70,70,-6.918911638,16,1.625,,
3.1875,0,-5.3375,-0.07061169,2.670030431,70,15520,1086400,4035.32688,70,70,70,-5.417061942,17,3.1875,,
3.5,0,-4.290625,-0.0539543,2.336135548,70,16448,1151360,4270.414172,70,70,70,-4.307448815,18,3.5,,
5.0625,0,-2.684375,-0.030593468,2.752234532,70,17344,1214080,4506.705859,70,70,70,-2.615373884,19,5.0625,,
8.8125,0,-1.540625,-0.016797565,2.589663573,70,18272,1279040,4740.504322,70,70,70,-1.599003233,20,8.8125,,
8.8125,0,-0.021875,0.00473998,2.516684559,70,19168,1341760,4979.393663,70,70,70,-0.214076451,21,7.25,,
9.125,0,1.84375,0.023578038,2.245003132,70,20096,1406720,5212.808602,70,70,70,1.169046336,22,9.125,,
10.6875,0,2.98125,0.040662706,2.137472588,70,21024,1471680,5449.063779,70,70,70,2.48908944,23,10.6875,,
11,0,3.7375,0.0557521,2.336915034,70,21920,1534400,5688.504996,70,70,70,3.451520647,24,11,,
11.625,0,4.371875,0.07298184,2.27129463,70,22848,1599360,5925.986303,70,70,70,4.616311961,25,11.625,,
11.625,0,5.4,0.08462244,2.422905023,70,23744,1662080,6161.773335,70,70,70,5.535435268,26,11.625,,
14.125,0,5.496875,0.096033774,2.079895862,70,24672,1727040,6399.951144,70,70,70,6.41015625,27,14.125,,
14.75,0,6.75625,0.10716141,2.191148743,70,25568,1789760,6635.717098,70,70,70,7.00516183,28,14.75,,
14.75,0,8.0375,0.11795191,2.075470579,70,26496,1854720,6872.166202,70,70,70,7.902276401,29,14.4375,,
16.625,0,9.078125,0.1295494,2.232297986,70,27424,1919680,7111.464721,70,70,70,8.7734375,30,16.625,,
16.625,0,8.2125,0.13285922,2.000332004,70,28320,1982720,7347.0154,70,70,70,8.869698661,31,16.625,896,27424
16.9375,0,9.025,0.13488175,2.051523824,70,29248,2047680,7582.231365,70,70,70,9.084253772,32,16.9375,1824,27424
16.9375,0,9.934375,0.14450137,1.8900929,70,30144,2110400,7817.559164,70,70,70,9.767438616,33,16.9375,2720,27424
17.25,0,9.865625,0.15035301,1.766471036,70,31072,2175360,8051.866643,70,70,70,10.25579203,34,17.25,3648,27424
17.25,,10.671875,,1.766316236,,31968,2238080,,,,,,,17.25,4544,27424
17.25,,10.55,,2.011354488,,32896,2303040,,,,,,,17.25,5472,27424
17.25,,11.55625,,2.137637057,,33792,2365760,,,,,,,17.25,6368,27424
17.25,,11.2125,,1.832262945,,34720,2430720,,,,,,,17.25,7296,27424
18.1875,,11.553125,,1.608604184,,35648,2495680,,,,,,,18.1875,8224,27424
18.1875,,11.378125,,1.306007005,,36544,2558400,,,,,,,18.1875,9120,27424
18.1875,,11.24375,,1.848024706,,37472,2623360,,,,,,,18.1875,10048,27424
18.1875,,11.628125,,2.039883096,,38368,2686080,,,,,,,18.1875,10944,27424
18.1875,,13.15,,1.636545523,,39296,2751040,,,,,,,18.1875,11872,27424
18.1875,,11.625,,1.55623745,,40192,2813760,,,,,,,18.1875,12768,27424
18.1875,,11.25,,1.719602062,,41120,2878720,,,,,,,18.1875,13696,27424
18.1875,,12.478125,,1.853446431,,42048,2943680,,,,,,,18.1875,14624,27424
18.1875,,12.765625,,2.234921262,,42944,3006400,,,,,,,18.1875,15520,27424
18.1875,,11.540625,,1.286084629,,43872,3071360,,,,,,,18.1875,16448,27424
18.1875,,12.609375,,2.165683621,,44768,3134080,,,,,,,18.1875,17344,27424
18.1875,,11.81875,,1.986664526,,45696,3199040,,,,,,,18.1875,18272,27424
18.1875,,12.509375,,1.70193766,,46592,3261760,,,,,,,18.1875,19168,27424
18.1875,,13.475,,1.556664102,,47520,3326720,,,,,,,18.1875,20096,27424
18.5,,13.1,,1.621438405,,48448,3391680,,,,,,,18.5,21024,27424
18.5,,12.01875,,1.475463381,,49344,3454400,,,,,,,18.5,21920,27424
18.5,,11.93125,,2.176750373,,50272,3519360,,,,,,,18.5,22848,27424
18.5,,12.51875,,1.453726354,,51168,3582080,,,,,,,18.5,23744,27424
18.5,,12.146875,,1.673001957,,52096,3647040,,,,,,,18.5,24672,27424
18.5,,12.665625,,1.930458475,,52992,3709760,,,,,,,18.5,25568,27424
18.5,,12.403125,,1.517794839,,53920,3774720,,,,,,,18.5,26496,27424
18.5,,13.471875,,1.68986813,,54848,3839680,,,,,,,18.5,27424,27424
18.5,,12.3875,,1.327532956,,55744,3902400,,,,,,,18.5,28320,27424
18.5,,12.2125,,1.76460424,,56672,3967360,,,,,,,18.5,29248,27424
18.5,,13.4375,,1.905481402,,57568,4030080,,,,,,,18.5,30144,27424
18.5,,12.36875,,1.752108105,,58496,4095040,,,,,,,18.5,31072,27424
18.5,,12.259375,,1.883550815,,59392,4157760,,,,,,,18.5,31968,27424
18.5,,13.446875,,1.730953833,,60320,4222720,,,,,,,18.5,32896,27424
18.8125,,12.88125,,1.991672115,,61248,4287680,,,,,,,18.8125,33824,27424
18.8125,,12.759375,,1.841712327,,62144,4350400,,,,,,,18.8125,34720,27424
18.8125,,12.671875,,1.36528886,,63072,4415360,,,,,,,18.8125,35648,27424
18.8125,,13.6125,,1.532537724,,63968,4478080,,,,,,,18.8125,36544,27424
18.8125,,12.615625,,1.56065829,,64896,4543040,,,,,,,18.8125,37472,27424
18.8125,,12.440625,,1.762729927,,65792,4605760,,,,,,,18.8125,38368,27424
18.8125,,13.009375,,1.613090372,,66720,4670720,,,,,,,18.8125,39296,27424
18.8125,,11.928125,,1.992885294,,67648,4735680,,,,,,,18.8125,40224,27424
18.8125,,12.4125,,1.431700257,,68544,4798400,,,,,,,18.8125,41120,27424
18.8125,,13.428125,,1.642249196,,69472,4863360,,,,,,,18.8125,42048,27424
18.8125,,13.053125,,1.417148738,,70368,4926080,,,,,,,18.8125,42944,27424
18.8125,,12.8375,,1.454572532,,71296,4991040,,,,,,,18.8125,43872,27424
18.8125,,13.4125,,1.757839583,,72192,5053760,,,,,,,18.8125,44768,27424
18.8125,,12.509375,,1.364344365,,73120,5118720,,,,,,,18.8125,45696,27424
18.8125,,12.609375,,2.087151449,,74048,5183680,,,,,,,18.8125,46624,27424
18.8125,,13.30625,,1.439387348,,74944,5246400,,,,,,,18.8125,47520,27424
18.8125,,13.565625,,1.417865225,,75872,5311360,,,,,,,18.8125,48448,27424
18.8125,,12.51875,,1.784820982,,76768,5374080,,,,,,,18.8125,49344,27424
18.8125,,12.73125,,1.210646134,,77696,5439040,,,,,,,18.8125,50272,27424
18.8125,,12.759375,,1.57597626,,78592,5501760,,,,,,,18.8125,51168,27424
18.8125,,12.253125,,1.567800385,,79520,5566720,,,,,,,18.8125,52096,27424
18.8125,,13.1375,,1.236426302,,80448,5631680,,,,,,,18.8125,53024,27424
18.8125,,12.1,,1.668574429,,81344,5694400,,,,,,,18.8125,53920,27424
18.8125,,13.7125,,1.764936259,,82272,5759360,,,,,,,18.8125,54848,27424
18.8125,,11.775,,1.459398421,,83168,5822080,,,,,,,18.8125,55744,27424
18.8125,,12.925,,1.69772366,,84096,5887040,,,,,,,18.8125,56672,27424
18.8125,,13.4125,,1.781019722,,84992,5949760,,,,,,,18.8125,57568,27424
19.4375,,13.290625,,1.387060037,,85920,6014720,,,,,,,19.4375,58496,27424
19.4375,,12.765625,,1.417920325,,86848,6079680,,,,,,,19.4375,59424,27424
19.4375,,11.671875,,1.3290438,,87744,6142400,,,,,,,19.4375,60320,27424
19.4375,,13.60625,,1.868854512,,88672,6207360,,,,,,,19.4375,61248,27424
19.4375,,12.79375,,1.564760864,,89568,6270080,,,,,,,19.4375,62144,27424
19.4375,,13.2,,1.542319682,,90496,6335040,,,,,,,19.4375,63072,27424
19.4375,,13.1375,,1.676305461,,91392,6397760,,,,,,,19.4375,63968,27424
19.4375,,13.003125,,1.463818183,,92320,6462720,,,,,,,19.4375,64896,27424
19.4375,,13.065625,,1.553030681,,93248,6527680,,,,,,,19.4375,65824,27424
19.4375,,12.6875,,1.204645954,,94144,6590400,,,,,,,19.4375,66720,27424
19.4375,,13.45625,,1.493488471,,95072,6655360,,,,,,,19.4375,67648,27424
19.4375,,13.596875,,1.409853023,,95968,6718080,,,,,,,19.4375,68544,27424
19.4375,,13.640625,,1.855826446,,96896,6783040,,,,,,,19.4375,69472,27424
19.4375,,13.7875,,1.936834563,,97792,6845760,,,,,,,19.4375,70368,27424
19.4375,,12.534375,,1.787049222,,98720,6910720,,,,,,,19.4375,71296,27424
19.4375,,13.553125,,1.511062721,,99648,6975680,,,,,,,19.4375,72224,27424
19.4375,,13.096875,,2.225691167,,100544,7038400,,,,,,,19.4375,73120,27424
19.4375,,13.578125,,2.00457241,,101472,7103360,,,,,,,19.4375,74048,27424
19.4375,,13.50625,,1.884341314,,102368,7166080,,,,,,,19.4375,74944,27424
19.4375,,12.609375,,2.162073206,,103296,7231040,,,,,,,19.4375,75872,27424
19.4375,,13.853125,,1.344589128,,104192,7293760,,,,,,,19.4375,76768,27424
19.4375,,12.15,,1.895657043,,105120,7358720,,,,,,,19.4375,77696,27424
19.4375,,13.075,,1.266700932,,106048,7423680,,,,,,,19.4375,78624,27424
19.4375,,13.134375,,1.524574095,,106944,7486400,,,,,,,19.4375,79520,27424
19.4375,,13.0375,,1.418681166,,107872,7551360,,,,,,,19.4375,80448,27424
19.4375,,12.575,,1.320600006,,108768,7614080,,,,,,,19.4375,81344,27424
19.4375,,13.021875,,1.350965367,,109696,7679040,,,,,,,19.4375,82272,27424
19.4375,,13.565625,,1.993296872,,110592,7741760,,,,,,,19.4375,83168,27424
19.4375,,14.375,,1.574330215,,111520,7806720,,,,,,,19.4375,84096,27424
19.4375,,12.34375,,1.525499406,,112448,7871680,,,,,,,19.4375,85024,27424
19.4375,,12.778125,,1.664598652,,113344,7934400,,,,,,,19.4375,85920,27424
19.4375,,13.253125,,1.43225606,,114272,7999360,,,,,,,19.4375,86848,27424
19.4375,,12.98125,,1.385062611,,115168,8062080,,,,,,,19.4375,87744,27424
19.4375,,11.975,,1.515724868,,116096,8127040,,,,,,,19.4375,88672,27424
19.4375,,13.24375,,1.628829622,,116992,8189760,,,,,,,19.4375,89568,27424
19.4375,,13.8375,,1.280624847,,117920,8254720,,,,,,,19.4375,90496,27424
19.4375,,11.98125,,1.576821863,,118848,8319680,,,,,,,19.4375,91424,27424
19.4375,,12.575,,1.242100036,,119744,8382400,,,,,,,19.4375,92320,27424
