eplen_std,rew_mean,eprew,best_ext_ret,eprew_recent,eprew_std,best_eplen,eplen,recent_best_ext_ret,total_secs,tcount,epcount,recent_best_eplen,recent_worst_eplen,n_updates,,
0,-0.16155447,-12.353125,-8.9375,-12.51757813,0.774666007,65,65,-8.9375,242.2343543,62400,960,65,65,1,,
0,-0.18475768,-12.559375,-8.9375,-12.60055444,0.7617504,65,65,-8.9375,480.1919284,126880,1952,65,65,2,,
0,-0.1851968,-12.553125,-8.9375,-12.53629032,0.685016822,65,65,-8.9375,716.6168611,191360,2944,65,65,3,,
0,-0.18472254,-12.478125,-6.75,-12.48021673,0.753967371,65,65,-6.75,949.4748716,255840,3936,65,65,4,,
0,-0.1831899,-12.328125,-6.75,-12.37695313,0.937890544,65,65,-8,1184.202861,318240,4896,65,65,5,,
0,-0.1811009,-12.084375,-6.75,-12.22410534,0.983511526,65,65,-8.3125,1421.965125,382720,5888,65,65,6,,
0,-0.1796087,-12.015625,-6.75,-12.11416331,0.922139792,65,65,-7.6875,1657.79522,447200,6880,65,65,7,,
0,-0.17777754,-11.975,-6.4375,-12.01209677,1.129401113,65,65,-6.4375,1894.792025,511680,7872,65,65,8,,
0,-0.1731644,-11.7375,-4.875,-11.69889323,1.122323204,65,65,-4.875,2132.876081,574080,8832,65,65,9,,
0,-0.17144792,-11.609375,-4.875,-11.59753024,1.220251479,65,65,-6.4375,2372.342617,638560,9824,65,65,10,,
0,-0.16515909,-11.071875,-4.5625,-11.16532258,1.331745066,65,65,-4.5625,2611.35961,703040,10816,65,65,11,,
0,-0.1591026,-10.975,-4.5625,-10.78225806,1.32912095,65,65,-6.125,2849.673913,767520,11808,65,65,12,,
0,-0.15400937,-10.46875,-4.5625,-10.44954427,1.438518661,65,65,-5.5,3086.743738,829920,12768,65,65,13,,
0,-0.14651069,-10.184375,-3.9375,-9.958165323,1.517151293,65,65,-3.9375,3323.848827,894400,13760,65,65,14,,
0,-0.13687451,-9.5125,-2.6875,-9.323399698,1.705185107,65,65,-2.6875,3559.363322,958880,14752,65,65,15,,
0,-0.12920639,-8.35,-2.375,-8.798576109,1.879307552,65,65,-2.375,3795.110538,1023360,15744,65,65,16,,
0,-0.12218055,-8.49375,-1.125,-8.338646673,2.119561054,65,65,-1.125,4030.780048,1087840,16736,65,65,17,,
0,-0.11289024,-7.884375,-0.1875,-7.746419271,2.111471181,65,65,-0.1875,4264.972477,1150240,17696,65,65,18,,
0,-0.10477236,-7.74375,-0.1875,-7.182207661,1.827192604,65,65,-0.1875,4500.246757,1214720,18688,65,65,19,,
0,-0.09139505,-6.303125,0.125,-6.292590726,1.964655961,65,65,0.125,4735.609846,1279200,19680,65,65,20,,
0,-0.080634214,-5.765625,1.375,-5.605531754,2.003597838,65,65,1.375,4973.251515,1343680,20672,65,65,21,,
0,-0.07110424,-4.753125,1.375,-5.004557292,2.020352982,65,65,1.0625,5205.034516,1406080,21632,65,65,22,,
0,-0.060170278,-3.69375,2.3125,-4.212827621,2.182395831,65,65,2.3125,5441.939602,1470560,22624,65,65,23,,
0,-0.04962091,-3.375,2.9375,-3.535219254,2.021370204,65,65,2.9375,5677.917906,1535040,23616,65,65,24,,
0,-0.04169082,-2.678125,2.9375,-3.048828125,2.048463124,65,65,2.625,5914.38112,1599520,24608,65,65,25,,
0,-0.034987245,-2.528125,3.5625,-2.637044271,1.967755205,65,65,3.5625,6148.87376,1661920,25568,65,65,26,,
0,-0.028376322,-2.525,3.875,-2.12203881,1.899054041,65,65,3.875,6384.934692,1726400,26560,65,65,27,,
0,-0.02564106,-1.81875,3.875,-1.94468246,1.80795767,65,65,3.5625,6617.715824,1790880,27552,65,65,28,,
0,-0.017700825,-1.390625,5.4375,-1.479082661,1.596734338,65,65,5.4375,6853.861188,1855360,28544,65,65,29,,
0,-0.013608145,-0.946875,5.75,-1.147366431,1.813714572,65,65,5.75,7089.759175,1919840,29536,65,65,30,,
0,-0.006448929,-0.0875,6.375,-0.679036458,1.913602623,65,65,5.125,7323.185728,1982400,30496,65,65,31,960,29536
0,-0.007047928,0.546875,6.375,-0.727444556,1.846330292,65,65,6.0625,7557.034086,2046880,31488,65,65,32,1952,29536
0,-0.005856035,-0.85625,6.375,-0.605216734,1.624410951,65,65,5.4375,7792.190482,2111360,32480,65,65,33,2944,29536
0,0.00900407,0.84375,6.375,0.298891129,1.893915009,65,65,7.625,8025.492162,2175840,33472,65,65,34,3936,29536
0,0.003762076,0.0125,7.3125,0.041992188,1.890312474,65,65,6.0625,8259.481998,2238240,34432,65,65,35,4896,29536
,,0.809375,7.3125,,1.840142127,,,,,2302720,35424,,,,5888,29536
,,0.85625,7.3125,,1.492311022,,,,,2367200,36416,,,,6880,29536
,,0.478125,7.3125,,1.429772026,,,,,2431680,37408,,,,7872,29536
,,0.6125,7.3125,,1.465301803,,,,,2494080,38368,,,,8832,29536
,,0.875,7.625,,1.702479809,,,,,2558560,39360,,,,9824,29536
,,1.053125,7.625,,1.786699449,,,,,2623040,40352,,,,10816,29536
,,0.775,7.9375,,1.945889096,,,,,2687520,41344,,,,11808,29536
,,1.590625,8.25,,1.873799095,,,,,2749920,42304,,,,12768,29536
,,0.46875,8.25,,1.608995708,,,,,2814400,43296,,,,13760,29536
,,1.284375,8.25,,1.754066147,,,,,2878880,44288,,,,14752,29536
,,2.325,8.25,,1.513558514,,,,,2943360,45280,,,,15744,29536
,,1.965625,8.25,,1.606198321,,,,,3007840,46272,,,,16736,29536
,,0.925,8.25,,1.921974083,,,,,3070240,47232,,,,17696,29536
,,1.565625,8.25,,1.577982667,,,,,3134720,48224,,,,18688,29536
,,1.840625,8.25,,2.032208908,,,,,3199200,49216,,,,19680,29536
,,1.671875,8.25,,1.488481163,,,,,3263680,50208,,,,20672,29536
,,1.875,8.25,,1.564998003,,,,,3326080,51168,,,,21632,29536
,,2.753125,8.25,,1.545592903,,,,,3390560,52160,,,,22624,29536
,,3.021875,8.5625,,1.899760984,,,,,3455040,53152,,,,23616,29536
,,2.18125,8.5625,,1.509203536,,,,,3519520,54144,,,,24608,29536
,,2.65625,8.5625,,1.303915378,,,,,3581920,55104,,,,25568,29536
,,2.6125,8.5625,,1.359227722,,,,,3646400,56096,,,,26560,29536
,,1.71875,8.5625,,1.517154512,,,,,3710880,57088,,,,27552,29536
,,2.13125,8.5625,,1.58125,,,,,3775360,58080,,,,28544,29536
,,2.9625,8.5625,,1.807471473,,,,,3839840,59072,,,,29536,29536
,,2.259375,8.5625,,1.518798225,,,,,3902240,60032,,,,30496,29536
,,2.071875,9.1875,,1.45831064,,,,,3966720,61024,,,,31488,29536
,,2.340625,9.1875,,1.946599098,,,,,4031200,62016,,,,32480,29536
,,1.93125,9.1875,,1.79603513,,,,,4095680,63008,,,,33472,29536
,,3.371875,9.1875,,2.140063795,,,,,4158080,63968,,,,34432,29536
,,2.484375,9.5,,1.437075345,,,,,4222560,64960,,,,35424,29536
,,2.228125,9.5,,1.62671484,,,,,4287040,65952,,,,36416,29536
,,2.7,9.5,,1.414986749,,,,,4351520,66944,,,,37408,29536
,,2.378125,9.5,,1.737845627,,,,,4413920,67904,,,,38368,29536
,,2.4625,9.5,,2.076881677,,,,,4478400,68896,,,,39360,29536
,,3.125,9.5,,1.430007649,,,,,4542880,69888,,,,40352,29536
,,2.475,9.5,,1.48526618,,,,,4607360,70880,,,,41344,29536
,,2.609375,9.5,,1.402686457,,,,,4671840,71872,,,,42336,29536
,,4.24375,9.5,,1.767424415,,,,,4734240,72832,,,,43296,29536
,,2.865625,9.5,,2.1793845,,,,,4798720,73824,,,,44288,29536
,,2.125,9.5,,2.334774481,,,,,4863200,74816,,,,45280,29536
,,3.815625,9.5,,1.834827457,,,,,4927680,75808,,,,46272,29536
,,3.625,9.5,,1.338288319,,,,,4990080,76768,,,,47232,29536
,,3.009375,9.5,,1.472969338,,,,,5054560,77760,,,,48224,29536
,,2.715625,9.5,,1.44380073,,,,,5119040,78752,,,,49216,29536
,,1.265625,9.5,,1.299319984,,,,,5183520,79744,,,,50208,29536
,,2.084375,9.5,,1.525086447,,,,,5245920,80704,,,,51168,29536
,,2.86875,9.5,,1.393049151,,,,,5310400,81696,,,,52160,29536
,,3.684375,9.5,,1.710431575,,,,,5374880,82688,,,,53152,29536
,,2.890625,9.5,,1.351630237,,,,,5439360,83680,,,,54144,29536
,,2.36875,9.5,,1.221855019,,,,,5503840,84672,,,,55136,29536
,,3.06875,9.5,,1.415718126,,,,,5566240,85632,,,,56096,29536
,,3.753125,9.5,,1.084239905,,,,,5630720,86624,,,,57088,29536
,,2.03125,9.5,,1.798708304,,,,,5695200,87616,,,,58080,29536
,,1.8625,9.5,,2.540423193,,,,,5759680,88608,,,,59072,29536
,,1.84375,9.5,,1.791636385,,,,,5822080,89568,,,,60032,29536
,,2.03125,9.5,,1.19037481,,,,,5886560,90560,,,,61024,29536
,,3.353125,9.5,,1.576224103,,,,,5951040,91552,,,,62016,29536
,,2.2125,9.5,,1.028765948,,,,,6015520,92544,,,,63008,29536
,,2.63125,9.5,,1.249984375,,,,,6077920,93504,,,,63968,29536
,,3.821875,9.5,,1.869290787,,,,,6142400,94496,,,,64960,29536
,,2.96875,9.5,,1.465421761,,,,,6206880,95488,,,,65952,29536
,,2.784375,9.5,,1.528054702,,,,,6271360,96480,,,,66944,29536
,,1.534375,9.5,,1.485933392,,,,,6335840,97472,,,,67936,29536
,,4.15625,9.5,,1.259727773,,,,,6398240,98432,,,,68896,29536
,,1.9,9.5,,1.572393677,,,,,6462720,99424,,,,69888,29536
,,2.96875,9.5,,1.355328028,,,,,6527200,100416,,,,70880,29536
,,2.140625,9.5,,1.417920325,,,,,6591680,101408,,,,71872,29536
,,2.053125,9.5,,1.065304204,,,,,6654080,102368,,,,72832,29536
,,3.234375,9.5,,2.018167002,,,,,6718560,103360,,,,73824,29536
,,2.971875,9.5,,2.203909435,,,,,6783040,104352,,,,74816,29536
