best_eplen,recent_best_eplen,eprew_std,eplen,recent_best_ext_ret,eprew,epcount,tcount,total_secs,best_ext_ret,recent_worst_eplen,eprew_recent,n_updates,eplen_std,rew_mean
47,47,0.65832262,47,-5.65,-8.965625,1344,63168,374.1303058,-5.65,47,-8.952176339,1,0,-0.15947065
47,47,0.706305308,47,-6.275,-8.94375,2720,127840,746.8309259,-5.65,47,-8.96190952,2,0,-0.18094504
47,47,0.756088567,47,-5.3375,-8.871875,4064,191008,1110.065619,-5.3375,47,-8.862890625,3,0,-0.18048453
47,47,0.711038798,47,-4.4,-8.846875,5440,255680,1476.223643,-4.4,47,-8.706640625,4,0,-0.17766277
47,47,1.028286461,47,-5.025,-8.571875,6784,318848,1839.514023,-4.4,47,-8.60968192,5,0,-0.17558526
47,47,0.913927608,47,-4.4,-8.503125,8160,383520,2204.881707,-4.4,47,-8.436609738,6,0,-0.17229037
47,47,0.915763641,47,-3.15,-8.446875,9504,446688,2571.071709,-3.15,47,-8.193015253,7,0,-0.1668283
47,47,1.155134597,47,-2.2125,-7.96875,10880,511360,2935.304148,-2.2125,47,-7.889961846,8,0,-0.16062042
47,47,1.240821773,47,-1.5875,-7.303125,12224,574528,3299.659372,-1.5875,47,-7.615215774,9,0,-0.15427804
47,47,1.159518185,47,-2.525,-6.978125,13600,639200,3660.967509,-1.5875,47,-7.227716206,10,0,-0.14688465
47,47,1.323152456,47,-1.275,-6.946875,14976,703872,4024.233614,-1.275,47,-6.936337209,11,0,-0.14011532
47,47,1.353612066,47,-0.025,-6.6625,16320,767040,4388.967488,-0.025,47,-6.52983631,12,0,-0.13170034
47,47,1.463167583,47,0.6,-6.0375,17696,831712,4751.785163,0.6,47,-6.052434593,13,0,-0.12177241
47,47,1.710160354,47,0.2875,-5.48125,19040,894880,5114.209221,0.6,47,-5.841359747,14,0,-0.11676948
47,47,1.638036649,47,0.2875,-4.90625,20416,959552,5476.53411,0.6,47,-5.108121366,15,0,-0.10224331
47,47,1.498840698,47,1.5375,-4.91875,21760,1022720,5840.604846,1.5375,47,-4.69250372,16,0,-0.092147686
47,47,1.578898325,47,2.1625,-4.415625,23136,1087392,6201.114132,2.1625,47,-4.278043241,17,0,-0.08438231
47,47,1.747207594,47,2.475,-3.775,24480,1150560,6564.026177,2.475,47,-3.908928571,18,0,-0.07577962
47,47,1.807903655,47,2.475,-3.625,25856,1215232,6925.264203,2.475,47,-3.547211119,19,0,-0.06957081
47,47,1.657181342,47,4.0375,-3.0625,27232,1279904,7289.899496,4.0375,47,-2.988526526,20,0,-0.056602076
47,47,1.982784796,47,3.4125,-1.865625,28576,1343072,7652.896407,4.0375,47,-2.49547061,21,0,-0.04689885
47,47,1.743245895,47,3.725,-2.5375,29952,1407744,8019.218017,4.0375,47,-2.290852108,22,0,-0.04246046
47,47,1.897428358,47,4.0375,-1.45,31296,1470912,8380.634424,4.0375,47,-1.87140067,23,0,-0.033158127
47,47,1.645836959,47,4.35,-1.240625,32672,1535584,8745.829722,4.35,47,-1.457140262,24,0,-0.025517533
47,47,2.014292195,47,4.35,-0.415625,34016,1598752,9111.441845,4.35,47,-1.008537946,25,0,-0.014992461
47,47,1.955888046,47,6.5375,-1.078125,35392,1663424,9477.791345,6.5375,47,-0.875744913,26,0,-0.012215363
47,47,1.827748359,47,6.5375,-0.48125,36736,1726592,9843.554978,6.5375,47,-0.466545759,27,0,-0.00310604
47,47,1.685183595,47,5.9125,-0.2125,38112,1791264,10205.40838,6.5375,47,-0.219631177,28,0,-0.000642308
47,47,1.498628931,47,7.1625,-0.059375,39488,1855936,10571.30066,7.1625,47,-0.059747456,29,0,0.005211505
47,47,1.583394667,47,5.9125,-0.065625,40832,1919104,10936.31179,7.1625,47,0.078469122,30,0,0.007063448
47,47,1.569593274,47,6.225,0.490625,42208,1983776,11302.07274,7.1625,47,0.771693314,31,0,0.021404972
47,47,1.805208934,47,6.85,0.915625,43552,2046944,11665.12247,7.1625,47,0.832514881,32,0,0.023842208
