eprew,epcount,best_ext_ret,best_eplen,total_secs,eplen,recent_worst_eplen,recent_best_ext_ret,eprew_recent,tcount,rew_mean,n_updates,eplen_std,eprew_std,recent_best_eplen
-22.3890625,512,-15.875,120,656.0085335,120,120,-15.875,-22.39752197,61440,-0.15845287,1,0,1.165230119,120
-22.434375,1056,-15.875,120,1306.658479,120,120,-18.53125,-22.61012178,126720,-0.17811318,2,0,1.193852253,120
-22.5625,1568,-15.875,120,1955.9609,120,120,-19,-22.59893799,188160,-0.17956665,3,0,1.144791193,120
-22.565625,2112,-15.875,120,2598.276514,120,120,-18.21875,-22.67704504,253440,-0.1812827,4,0,1.170182111,120
-22.5046875,2656,-15.875,120,3245.90243,120,120,-16.96875,-22.41710708,318720,-0.17901012,5,0,1.044249272,120
-21.9703125,3168,-15.875,120,3899.316703,120,120,-16.03125,-22.03314209,380160,-0.1757889,6,0,1.497800308,120
-21.5359375,3712,-14.78125,120,4539.005247,120,120,-14.78125,-21.61374081,445440,-0.17223828,7,0,1.618203183,120
-20.55625,4256,-13.84375,120,5183.10321,120,120,-13.84375,-20.93761489,510720,-0.16701508,8,0,1.715326135,120
-19.9234375,4768,-13.84375,120,5838.364612,120,120,-14.15625,-20.26800537,572160,-0.16076943,9,0,1.971611883,120
-19.7140625,5312,-11.1875,120,6478.431726,120,120,-11.1875,-19.56324678,637440,-0.15573856,10,0,2.226247785,120
-18.41875,5856,-11.1875,120,7124.899701,120,120,-11.96875,-18.83340993,702720,-0.14937176,11,0,1.898946048,120
-18.603125,6368,-11.1875,120,7776.088107,120,120,-11.65625,-18.37927246,764160,-0.1447959,12,0,1.904253565,120
-17.0578125,6912,-9.625,120,8416.315401,120,120,-9.625,-17.16492417,829440,-0.1356462,13,0,2.193769476,120
-16.1953125,7456,-8.53125,120,9063.407425,120,120,-8.53125,-16.22713695,894720,-0.12813985,14,0,2.332826105,120
-14.8875,7968,-6.96875,120,9713.057646,120,120,-6.96875,-14.92559814,956160,-0.115620926,15,0,2.303707949,120
-13.3421875,8512,-5.5625,120,10355.91728,120,120,-5.5625,-13.44048713,1021440,-0.10565372,16,0,2.554703746,120
-13.1625,9056,-5.5625,120,10997.98458,120,120,-7.125,-12.76034007,1086720,-0.09950229,17,0,2.213850224,120
-11.2890625,9568,-4.78125,120,11649.90937,120,120,-4.78125,-11.73864746,1148160,-0.08951457,18,0,2.279577191,120
-10.2421875,10112,-2.59375,120,12290.06983,120,120,-2.59375,-10.32611443,1213440,-0.080020405,19,0,2.373496132,120
-9.71875,10656,-2.59375,120,12935.23506,120,120,-3.375,-9.654871324,1278720,-0.073645905,20,0,1.749581423,120
-8.5546875,11168,-2.59375,120,13583.34077,120,120,-3.21875,-8.468078613,1340160,-0.062672265,21,0,2.006383246,120
-7.6703125,11712,-1.65625,120,14222.70967,120,120,-1.65625,-7.673023897,1405440,-0.058621146,22,0,1.833990989,120
-6.7453125,12256,-1.34375,120,14864.90362,120,120,-1.34375,-6.9296875,1470720,-0.05159059,23,0,2.068558219,120
-6.0828125,12768,-0.71875,120,15512.55994,120,120,-0.71875,-6.169494629,1532160,-0.04329465,24,0,1.971483098,120
-5.4875,13312,-0.5625,120,16154.40691,120,120,-0.5625,-5.42176011,1597440,-0.04097778,25,0,1.559290454,120
-4.8296875,13856,-0.5625,120,16798.17509,120,120,-0.71875,-4.949563419,1662720,-0.034895197,26,0,1.745906904,120
-4.578125,14368,0.0625,120,17449.4397,120,120,0.0625,-4.499267578,1724160,-0.030437091,27,0,1.468833109,120
-4.13125,14912,0.21875,120,18089.05003,120,120,0.21875,-4.302447151,1789440,-0.031108791,28,0,1.520324544,120
