rew_mean,eplen_std,eprew_recent,recent_worst_eplen,best_eplen,recent_best_ext_ret,eprew,n_updates,total_secs,epcount,eplen,best_ext_ret,eprew_std,tcount,recent_best_eplen
0.096005134,0,4.904597356,75,75,12.1875,4.953125,31,401.5177624,832,75,12.1875,2.371450884,1982400,75
0.109569676,0,5.036530671,75,75,13.4375,4.428125,32,800.295836,1696,75,13.4375,2.583396127,2047200,75
0.13104272,0,6.24624399,75,75,14.0625,6.20625,33,1198.661486,2528,75,14.0625,2.391807306,2109600,75
0.14064616,0,6.702473958,75,75,15.9375,5.821875,34,1594.215209,3392,75,15.9375,2.44895346,2174400,75
0.14862871,0,6.733217593,75,75,14.375,7.4,35,1992.519258,4256,75,15.9375,2.265088298,2239200,75
0.15576051,0,7.166841947,75,75,17.1875,6.9375,36,2392.715268,5088,75,17.1875,2.707411702,2301600,75
0.16175579,0,7.631655093,75,75,14.375,6.56875,37,2788.659492,5952,75,17.1875,2.267286029,2366400,75
0.17685527,0,8.590856481,75,75,15,8.328125,38,3186.275986,6816,75,17.1875,2.108564659,2431200,75
0.17977577,0,8.868314303,75,75,15.9375,9.2875,39,3588.567309,7648,75,17.1875,2.413374194,2493600,75
0.18435094,0,9.455295139,75,75,15.625,9.615625,40,3985.887753,8512,75,17.1875,2.024196889,2558400,75
0.18506554,0,9.289279514,75,75,15.625,7.775,41,4383.256456,9376,75,17.1875,1.773987387,2623200,75
0.19085625,0,9.812199519,75,75,15.9375,10.09375,42,4781.991001,10208,75,17.1875,2.00706759,2685600,75
0.19223844,0,10.21448206,75,75,15.9375,9.875,43,5176.909131,11072,75,17.1875,2.14876418,2750400,75
0.19695419,0,10.49479167,75,75,15,11.084375,44,5575.741174,11936,75,17.1875,1.9810898,2815200,75
0.19670206,0,10.57316707,75,75,15.9375,10.234375,45,5973.639182,12768,75,17.1875,1.765210128,2877600,75
0.19699018,0,10.86371528,75,75,18.125,11.046875,46,6368.262235,13632,75,18.125,2.236231746,2942400,75
0.19847324,0,10.87456597,75,75,15.9375,11.4875,47,6763.029172,14496,75,18.125,1.649526447,3007200,75
0.2057691,0,11.46559495,75,75,17.5,10.896875,48,7161.265023,15328,75,18.125,2.070842503,3069600,75
0.19709767,0,11.15162037,75,75,16.5625,11.690625,49,7554.736373,16192,75,18.125,1.845123958,3134400,75
0.20219626,0,11.52090567,75,75,16.875,12.04375,50,7950.774246,17056,75,18.125,1.849524855,3199200,75
0.20572712,0,11.75368089,75,75,17.1875,11.99375,51,8349.91292,17888,75,18.125,1.52567864,3261600,75
0.2013763,0,11.69921875,75,75,16.875,11.753125,52,8742.484739,18752,75,18.125,1.794030357,3326400,75
0.2042792,0,11.85944734,75,75,17.5,12.228125,53,9141.047968,19616,75,18.125,1.834273847,3391200,75
0.2043483,0,11.81790865,75,75,17.5,10.559375,54,9537.955585,20448,75,18.125,2.138877024,3453600,75
0.20293823,0,12.12239583,75,75,17.5,11.78125,55,9933.125219,21312,75,18.125,1.647381919,3518400,75
0.2088531,0,12.34845197,75,75,18.125,11.83125,56,10329.68192,22176,75,18.125,1.606882171,3583200,75
0.20213193,0,11.85133714,75,75,18.125,10.984375,57,10726.75758,23008,75,18.125,1.691762556,3645600,75
0.1988744,0,11.90140336,75,75,15.9375,11.909375,58,11121.0528,23872,75,18.125,1.468347684,3710400,75
