best_eplen,eprew_recent,best_ext_ret,eprew,eplen,recent_best_eplen,eprew_std,recent_worst_eplen,n_updates,recent_best_ext_ret,tcount,rew_mean,total_secs,epcount,eplen_std,,,
70,-12.59235491,-7.75,-12.43125,70,70,1.088810274,70,1,-7.75,62720,-0.14914729,247.8146911,896,0,,,
70,-12.16372575,-7.125,-11.9375,70,70,1.498045602,70,2,-7.125,127680,-0.16301645,491.6438224,1824,0,,,
70,-11.62834821,-5.875,-11.775,70,70,1.48710604,70,3,-5.875,190400,-0.15709181,734.1465504,2720,0,,,
70,-10.94201239,-4.625,-10.715625,70,70,1.75807012,70,4,-4.625,255360,-0.14777619,975.678827,3648,0,,,
70,-10.08607701,-2.125,-9.68125,70,70,2.476995723,70,5,-2.125,318080,-0.1351276,1219.668339,4544,0,,,
70,-9.082165948,-0.875,-8.96875,70,70,2.155797054,70,6,-0.875,383040,-0.12173477,1463.386535,5472,0,,,
70,-8.124232701,1.3125,-8.5875,70,70,2.356374334,70,7,1.3125,445760,-0.10769497,1705.206357,6368,0,,,
70,-7.112540409,3.5,-7.28125,70,70,2.455661507,70,8,3.5,510720,-0.092864454,1948.775774,7296,0,,,
70,-5.738954741,3.5,-5.278125,70,70,2.563679226,70,9,2.875,575680,-0.07475848,2192.801054,8224,0,,,
70,-4.548967634,3.8125,-4.803125,70,70,2.583471728,70,10,3.8125,638400,-0.057602126,2435.379647,9120,0,,,
70,-2.945649246,5.6875,-2.75625,70,70,2.457442459,70,11,5.6875,703360,-0.0343709,2678.500891,10048,0,,,
70,-1.62765067,5.6875,-1.809375,70,70,2.858476635,70,12,5.6875,766080,-0.016554262,2922.618356,10944,0,,,
70,-0.409617457,9.125,-0.30625,70,70,3.017649903,70,13,9.125,831040,0.00033869,3163.744101,11872,0,,,
70,0.980119978,9.4375,0.990625,70,70,2.797339347,70,14,9.4375,893760,0.021500684,3409.533399,12768,0,,,
70,2.557448815,10.6875,2.734375,70,70,2.694893536,70,15,10.6875,958720,0.042455196,3654.363258,13696,0,,,
70,3.828327047,11.9375,3.846875,70,70,2.418957921,70,16,11.9375,1023680,0.059095416,3897.216031,14624,0,,,
70,5.016810826,13.5,5.13125,70,70,2.760838018,70,17,13.5,1086400,0.077240646,4140.602527,15520,0,,,
70,5.725889009,13.5,5.715625,70,70,2.24656639,70,18,12.25,1151360,0.08656234,4382.981865,16448,0,,,
70,6.708007813,14.125,6.915625,70,70,2.304570442,70,19,14.125,1214080,0.099550106,4625.435236,17344,0,,,
70,7.269867996,14.125,6.74375,70,70,1.997449546,70,20,13.8125,1279040,0.10745296,4866.521169,18272,0,,,
70,8.106933594,15.6875,7.85625,70,70,2.002839781,70,21,15.6875,1341760,0.12146763,5111.882646,19168,0,,,
70,8.600686961,16.3125,8.753125,70,70,2.18110449,70,22,16.3125,1406720,0.12627645,5351.739788,20096,0,,,
70,9.347588901,16.3125,9.2,70,70,1.937056401,70,23,15.375,1471680,0.13616541,5593.776023,21024,0,,,
70,9.874511719,16.625,9.68125,70,70,2.005646327,70,24,16.625,1534400,0.14578108,5833.989618,21920,0,,,
70,9.959792565,16.625,9.896875,70,70,1.960276906,70,25,16,1599360,0.14528958,6078.679263,22848,0,,,
70,10.23932757,16.625,10.340625,70,70,1.747148905,70,26,16,1662080,0.14889073,6321.61022,23744,0,,,
70,10.63193696,17.875,11.06875,70,70,2.068447863,70,27,17.875,1727040,0.15429565,6562.958632,24672,0,,,
70,10.86118862,17.875,11.253125,70,70,1.813951466,70,28,17.875,1789760,0.16097684,6808.538253,25568,0,,,
70,11.28050916,17.875,12.040625,70,70,1.789211921,70,29,17.5625,1854720,0.162549,7048.794099,26496,0,,,
70,11.27545797,17.875,11.078125,70,70,1.934157904,70,30,17.25,1919680,0.16346121,7291.262525,27424,0,,,
70,11.56745257,17.5625,11.028125,70,70,1.738295119,70,31,17.25,1982720,0.16991286,7532.457774,28320,0,896,,27424
70,11.63880657,17.5625,11.65625,70,70,1.819222447,70,32,17.875,2047680,0.16855678,7773.874038,29248,0,1824,,27424
70,11.8468192,17.5625,11.225,70,70,1.527150124,70,33,16.625,2110400,0.17137669,8014.486154,30144,0,2720,,27424
70,12.15470097,17.5625,11.784375,70,70,1.799248433,70,34,17.5625,2175360,0.17585374,8251.422047,31072,0,3648,,27424
,,17.5625,12.36875,,,1.610985238,,,,2238080,,,31968,,4544,,27424
,,17.5625,11.840625,,,1.855994827,,,,2303040,,,32896,,5472,,27424
,,18.5,12.834375,,,2.104058114,,,,2365760,,,33792,,6368,,27424
,,18.5,12.24375,,,1.74831392,,,,2430720,,,34720,,7296,,27424
,,18.5,13.06875,,,1.572331569,,,,2495680,,,35648,,8224,,27424
,,18.5,12.246875,,,1.483960468,,,,2558400,,,36544,,9120,,27424
,,18.5,11.91875,,,1.7715305,,,,2623360,,,37472,,10048,,27424
,,18.5,12.540625,,,1.926508642,,,,2686080,,,38368,,10944,,27424
,,18.8125,13.35625,,,1.538833263,,,,2751040,,,39296,,11872,,27424
,,18.8125,13.04375,,,1.966725149,,,,2813760,,,40192,,12768,,27424
,,18.8125,13.415625,,,1.752149907,,,,2878720,,,41120,,13696,,27424
,,18.8125,13.646875,,,1.63843902,,,,2943680,,,42048,,14624,,27424
,,18.8125,13.1875,,,1.539201295,,,,3006400,,,42944,,15520,,27424
,,18.8125,12.184375,,,1.789342909,,,,3071360,,,43872,,16448,,27424
,,19.75,13.553125,,,1.321439053,,,,3134080,,,44768,,17344,,27424
,,19.75,12.296875,,,1.448581607,,,,3199040,,,45696,,18272,,27424
,,19.75,12.809375,,,1.651996307,,,,3261760,,,46592,,19168,,27424
,,19.75,12.903125,,,1.648327159,,,,3326720,,,47520,,20096,,27424
,,19.75,13.4625,,,1.423354313,,,,3391680,,,48448,,21024,,27424
,,19.75,13.5,,,1.521332681,,,,3454400,,,49344,,21920,,27424
,,19.75,13.246875,,,1.481457659,,,,3519360,,,50272,,22848,,27424
,,19.75,13.121875,,,1.626978963,,,,3582080,,,51168,,23744,,27424
,,19.75,13.821875,,,1.521624723,,,,3647040,,,52096,,24672,,27424
,,19.75,13.765625,,,1.523497595,,,,3709760,,,52992,,25568,,27424
,,19.75,14.025,,,1.775968046,,,,3774720,,,53920,,26496,,27424
,,19.75,12.88125,,,1.918240975,,,,3839680,,,54848,,27424,,27424
,,19.75,13.471875,,,1.642986396,,,,3902400,,,55744,,28320,,27424
,,19.75,13.38125,,,1.883200816,,,,3967360,,,56672,,29248,,27424
,,19.75,13.465625,,,1.964974058,,,,4030080,,,57568,,30144,,27424
,,19.75,13.621875,,,1.455656397,,,,4095040,,,58496,,31072,,27424
,,19.75,13.265625,,,1.45262088,,,,4157760,,,59392,,31968,,27424
,,19.75,13.25,,,1.878642296,,,,4222720,,,60320,,32896,,27424
,,19.75,13.340625,,,1.435797225,,,,4287680,,,61248,,33824,,27424
,,19.75,13.171875,,,1.459997191,,,,4350400,,,62144,,34720,,27424
,,19.75,13.38125,,,1.632662224,,,,4415360,,,63072,,35648,,27424
,,19.75,13.534375,,,1.534050373,,,,4478080,,,63968,,36544,,27424
,,19.75,14.096875,,,1.536721729,,,,4543040,,,64896,,37472,,27424
,,19.75,13.803125,,,1.771880511,,,,4605760,,,65792,,38368,,27424
,,19.75,13.8875,,,1.695075588,,,,4670720,,,66720,,39296,,27424
,,19.75,13.91875,,,1.306698488,,,,4735680,,,67648,,40224,,27424
,,19.75,13.096875,,,1.771241068,,,,4798400,,,68544,,41120,,27424
,,19.75,13.4875,,,1.743806003,,,,4863360,,,69472,,42048,,27424
,,19.75,13.2375,,,1.740330428,,,,4926080,,,70368,,42944,,27424
,,19.75,13.696875,,,1.643319216,,,,4991040,,,71296,,43872,,27424
,,19.75,14.31875,,,1.629069424,,,,5053760,,,72192,,44768,,27424
,,19.75,13.740625,,,1.579813453,,,,5118720,,,73120,,45696,,27424
,,19.75,13.475,,,1.776407892,,,,5183680,,,74048,,46624,,27424
,,19.75,12.9375,,,1.606262159,,,,5246400,,,74944,,47520,,27424
,,19.75,13.228125,,,1.411901837,,,,5311360,,,75872,,48448,,27424
,,19.75,13.828125,,,1.511269515,,,,5374080,,,76768,,49344,,27424
,,19.75,13.021875,,,1.626474691,,,,5439040,,,77696,,50272,,27424
,,19.75,14.25625,,,1.704302918,,,,5501760,,,78592,,51168,,27424
,,19.75,12.8625,,,1.514848384,,,,5566720,,,79520,,52096,,27424
,,19.75,13.71875,,,1.694718358,,,,5631680,,,80448,,53024,,27424
,,19.75,12.796875,,,1.58691857,,,,5694400,,,81344,,53920,,27424
,,19.75,14.115625,,,1.614421699,,,,5759360,,,82272,,54848,,27424
,,19.75,13.690625,,,2.14052007,,,,5822080,,,83168,,55744,,27424
,,19.75,13.415625,,,1.790739525,,,,5887040,,,84096,,56672,,27424
,,19.75,13.05,,,1.602805158,,,,5949760,,,84992,,57568,,27424
,,19.75,14.00625,,,1.352644978,,,,6014720,,,85920,,58496,,27424
,,19.75,14.08125,,,1.802244694,,,,6079680,,,86848,,59424,,27424
,,19.75,13.384375,,,1.590164472,,,,6142400,,,87744,,60320,,27424
,,19.75,14.046875,,,1.34728822,,,,6207360,,,88672,,61248,,27424
,,20.0625,14.490625,,,1.936519409,,,,6270080,,,89568,,62144,,27424
,,20.0625,13.51875,,,1.407860189,,,,6335040,,,90496,,63072,,27424
