recent_best_eplen,best_ext_ret,n_updates,eprew,recent_best_ext_ret,eprew_std,best_eplen,eplen,eprew_recent,eplen_std,epcount,total_secs,tcount,recent_worst_eplen,rew_mean
55,1.5,1,-8.1875,1.5,1.953062499,55,55,-8.670084635,0,1152,441.7910697,63360,55,-0.12722194
55,1.5,2,-8.39375,-1,1.907130944,55,55,-8.507595486,0,2304,871.6557963,126720,55,-0.14298686
55,4.9375,3,-7.65,4.9375,2.009294808,55,55,-7.667282517,0,3488,1267.919926,191840,55,-0.12856866
55,4.9375,4,-6.796875,4,2.307585572,55,55,-6.779893663,0,4640,1645.82372,255200,55,-0.113967896
55,6.5,5,-5.63125,6.5,2.829248741,55,55,-5.803602431,0,5792,2027.41929,318560,55,-0.09477737
55,7.125,6,-5.284375,7.125,2.67741385,55,55,-4.840529983,0,6976,2406.963564,383680,55,-0.077848636
55,7.4375,7,-3.09375,7.4375,3.3970633,55,55,-3.202419705,0,8128,2789.321896,447040,55,-0.04885877
55,14.3125,8,-1.621875,14.3125,2.973678475,55,55,-1.559353299,0,9280,3169.930672,510400,55,-0.01718512
55,14.3125,9,0.628125,11.8125,3.806166614,55,55,0.510504645,0,10464,3549.935831,575520,55,0.018463539
55,14.3125,10,2.43125,12.75,3.69437389,55,55,2.726671007,0,11616,3941.60217,638880,55,0.059054114
55,14.625,11,3.75,14.625,3.508917212,55,55,4.097113715,0,12768,4331.347441,702240,55,0.08524248
55,16.8125,12,6.034375,16.8125,2.988420034,55,55,5.990339949,0,13952,4718.995616,767360,55,0.11618308
55,16.8125,13,7.696875,15.25,2.923522263,55,55,7.489854601,0,15104,5110.847275,830720,55,0.1460232
55,17.75,14,8.709375,17.75,2.954490425,55,55,8.765625,0,16288,5502.427707,895840,55,0.16967914
55,17.75,15,9.228125,17.75,2.890871611,55,55,9.485297309,0,17440,5892.665107,959200,55,0.17958646
55,18.375,16,10.925,18.375,2.498718422,55,55,10.79660373,0,18592,6283.266544,1022560,55,0.20684509
55,18.375,17,12.503125,18.375,2.487976949,55,55,11.49419341,0,19776,6673.752689,1087680,55,0.21556762
55,19.3125,18,11.54375,19.3125,2.573156197,55,55,12.13693576,0,20928,7064.378618,1151040,55,0.22775315
55,19.625,19,12.440625,19.625,2.258877884,55,55,13.05219184,0,22080,7457.237192,1214400,55,0.2475938
