n_updates,recent_best_eplen,eplen,recent_best_ext_ret,best_ext_ret,best_eplen,rew_mean,recent_worst_eplen,epcount,tcount,eplen_std,eprew,eprew_recent,eprew_std,total_secs
1,55,55.0,-7.0,-7.0,55,-0.15477033,55,2304.0,126720.0,0.0,-10.22,-10.213541666666666,0.782048591840686,817.0455214977264
2,55,55.0,-7.0,-7.0,55,-0.17635538,55,4608.0,253440.0,0.0,-10.27,-10.188802083333334,0.7050531894828928,1651.5329241752625
3,55,55.0,-7.0,-7.0,55,-0.17463058,55,6976.0,383680.0,0.0,-10.02,-10.05447635135135,0.7613146524269712,2462.747043609619
4,55,55.0,-5.0,-5.0,55,-0.16673425,55,9280.0,510400.0,0.0,-9.68,-9.596354166666666,0.8818163074019442,3239.4375579357147
5,55,55.0,-5.0,-5.0,55,-0.15930873,55,11584.0,637120.0,0.0,-9.08,-9.211371527777779,1.1373653766490344,4022.2338857650757
6,55,55.0,-5.0,-5.0,55,-0.15074101,55,13952.0,767360.0,0.0,-8.81,-8.715371621621621,1.163572086292895,4801.547560214996
7,55,55.0,1.0,1.0,55,-0.14312916,55,16256.0,894080.0,0.0,-8.35,-8.296006944444445,1.3811227316933132,5579.518791675568
8,55,55.0,-3.0,1.0,55,-0.13310781,55,18560.0,1020800.0,0.0,-8.16,-7.758680555555555,1.3690872872099866,6358.687772989273
9,55,55.0,1.0,1.0,55,-0.12260157,55,20928.0,1151040.0,0.0,-6.82,-7.116976351351352,1.716857594560481,7135.3791444301605
10,55,55.0,1.0,1.0,55,-0.108854465,55,23232.0,1277760.0,0.0,-6.2,-6.384982638888889,1.4966629547095767,7913.178939580917
11,55,55.0,1.0,1.0,55,-0.09604001,55,25536.0,1404480.0,0.0,-5.72,-5.682725694444445,1.42884568795934,8691.119257926941
12,55,55.0,1.0,1.0,55,-0.081190884,55,27904.0,1534720.0,0.0,-4.5,-4.797297297297297,1.752141546793523,9460.957355976105
13,55,55.0,5.0,5.0,55,-0.06780486,55,30208.0,1661440.0,0.0,-3.96,-4.079861111111111,2.323445717033217,10232.038256168365
14,55,55.0,5.0,5.0,55,-0.052829385,55,32576.0,1791680.0,0.0,-3.24,-3.191722972972973,2.337177785278647,11006.51090168953
15,55,55.0,5.0,5.0,55,-0.036563817,55,34880.0,1918400.0,0.0,-2.3,-2.2413194444444446,2.3043437243605824,11782.417862176895
16,55,55.0,5.0,5.0,55,-0.01850847,55,37184.0,2045120.0,0.0,-0.78,-1.3333333333333333,2.6365887051263797,12558.314912557602
17,55,55.0,5.0,5.0,55,-0.0045648445,55,39552.0,2175360.0,0.0,-0.16,-0.46114864864864863,2.4029981273400947,13331.218411922455
18,55,55.0,6.875,6.875,55,0.0049534338,55,41856.0,2302080.0,0.0,-0.34,0.027723524305555556,2.5464485072351257,14105.953186273575
