rew_mean,recent_worst_eplen,tcount,recent_best_eplen,eplen,eplen_std,recent_best_ext_ret,n_updates,eprew,best_ext_ret,eprew_recent,total_secs,eprew_std,best_eplen,epcount
-0.157182,70,125440.0,70,70.0,0.0,-12.0,1,-12.99,-12.0,-13.120535714285714,792.3867189884186,0.6707458535093601,70,1792.0
-0.17991763,70,255360.0,70,70.0,0.0,-12.0,2,-13.16,-12.0,-13.16217672413793,1603.8072152137756,0.6437390775772431,70,3648.0
-0.17881097,70,380800.0,70,70.0,0.0,-12.0,3,-12.92,-12.0,-13.051339285714286,2411.1955893039703,0.5946427498927402,70,5440.0
-0.17750323,70,510720.0,70,70.0,0.0,-10.0,4,-12.81,-10.0,-12.97467672413793,3179.1828808784485,0.6737210105080589,70,7296.0
-0.17532647,70,636160.0,70,70.0,0.0,-12.0,5,-12.77,-10.0,-12.845424107142858,3951.512719631195,0.6140846847137617,70,9088.0
-0.17391054,70,766080.0,70,70.0,0.0,-10.0,6,-12.65,-10.0,-12.737068965517242,4715.034738540649,0.6062177826491071,70,10944.0
-0.171566,70,891520.0,70,70.0,0.0,-10.0,7,-12.56,-10.0,-12.62109375,5484.325220584869,0.6374950980203692,70,12736.0
-0.17067759,70,1021440.0,70,70.0,0.0,-10.0,8,-12.7,-10.0,-12.544719827586206,6248.05842757225,0.6557438524302002,70,14592.0
-0.16881977,70,1151360.0,70,70.0,0.0,-10.0,9,-12.46,-10.0,-12.438577586206897,7016.633860826492,0.6069596362197408,70,16448.0
-0.16666348,70,1276800.0,70,70.0,0.0,-10.0,10,-12.26,-10.0,-12.301897321428571,7786.641017913818,0.5407402333838309,70,18240.0
-0.16563569,70,1406720.0,70,70.0,0.0,-10.0,11,-12.26,-10.0,-12.229525862068966,8558.095313072205,0.4608687448721163,70,20096.0
-0.16374603,70,1532160.0,70,70.0,0.0,-10.0,12,-12.13,-10.0,-12.140066964285714,9334.392686843872,0.5413871073455666,70,21888.0
-0.16331796,70,1662080.0,70,70.0,0.0,-10.0,13,-12.13,-10.0,-12.088900862068966,10098.000411748886,0.48280430818293246,70,23744.0
-0.16194198,70,1787520.0,70,70.0,0.0,-10.0,14,-12.17,-10.0,-12.038504464285714,10867.904248476028,0.40137264480778956,70,25536.0
-0.16020693,70,1917440.0,70,70.0,0.0,-10.0,15,-11.94,-10.0,-11.91864224137931,11630.281373262405,0.6452906321960671,70,27392.0
-0.15985784,70,2047360.0,70,70.0,0.0,-10.0,16,-11.9,-10.0,-11.889547413793103,12398.992192268372,0.5567764362830021,70,29248.0
-0.15819605,70,2172800.0,70,70.0,0.0,-8.0,17,-11.56,-8.0,-11.80859375,13162.977617502213,0.897997772825746,70,31040.0
-0.15704502,70,2302720.0,70,70.0,0.0,-8.0,18,-11.56,-8.0,-11.700431034482758,13929.603661298752,0.8639444426582072,70,32896.0
-0.15574846,70,2428160.0,70,70.0,0.0,-10.0,19,-11.67,-8.0,-11.66796875,14696.821145772934,0.762299153875957,70,34688.0
