rew_mean,eprew_std,best_eplen,eprew,eplen,eprew_recent,n_updates,recent_worst_eplen,eplen_std,recent_best_eplen,tcount,epcount,best_ext_ret,total_secs,recent_best_ext_ret
-0.08443347,1.6404791601846087,70,-8.275,70.0,-8.008091517857142,1,70,0.0,70,62720.0,896.0,-3.6875,373.1738967895508,-3.6875
-0.1027384,1.458327380940233,70,-7.85,70.0,-7.971241918103448,2,70,0.0,70,127680.0,1824.0,-2.4375,743.6159543991089,-2.4375
-0.1005541,1.5485502292466977,70,-7.94375,70.0,-7.717564174107143,3,70,0.0,70,190400.0,2720.0,-2.4375,1112.8990046977997,-2.75
-0.09585784,1.6824113089550963,70,-7.23125,70.0,-7.347588900862069,4,70,0.0,70,255360.0,3648.0,-2.4375,1481.4123847484589,-2.4375
-0.09006752,1.7266975343122493,70,-6.925,70.0,-7.026994977678571,5,70,0.0,70,318080.0,4544.0,-1.5,1854.40132021904,-1.5
-0.08802337,1.6418923676279757,70,-6.790625,70.0,-6.835398706896552,6,70,0.0,70,383040.0,5472.0,-0.875,2223.698982477188,-0.875
-0.08260315,1.661559884566307,70,-6.3,70.0,-6.55615234375,7,70,0.0,70,445760.0,6368.0,0.0625,2595.746406555176,0.0625
-0.076311,1.797619411019752,70,-5.871875,70.0,-6.024851831896552,8,70,0.0,70,510720.0,7296.0,0.0625,2963.0819232463837,-0.25
-0.0730043,1.6192054137369354,70,-5.484375,70.0,-5.872642780172414,9,70,0.0,70,575680.0,8224.0,0.0625,3332.780084848404,-1.1875
-0.067870334,1.595893166850463,70,-5.125,70.0,-5.48681640625,10,70,0.0,70,638400.0,9120.0,0.0625,3699.8787541389465,0.0625
-0.06557013,1.6243508318709967,70,-4.925,70.0,-5.315665409482759,11,70,0.0,70,703360.0,10048.0,0.375,4068.1548233032227,0.375
-0.05890052,1.7190880349403286,70,-4.909375,70.0,-4.939243861607143,12,70,0.0,70,766080.0,10944.0,0.375,4440.3364379405975,0.375
-0.055386063,1.8302444978403842,70,-4.284375,70.0,-4.631398168103448,13,70,0.0,70,831040.0,11872.0,2.25,4809.933418273926,2.25
-0.053385217,1.5727755869401712,70,-4.628125,70.0,-4.562918526785714,14,70,0.0,70,893760.0,12768.0,2.25,5184.731292963028,1.625
-0.05076878,1.542294354200909,70,-4.2125,70.0,-4.33203125,15,70,0.0,70,958720.0,13696.0,2.25,5552.310670375824,0.6875
-0.044656865,1.658698072849607,70,-3.646875,70.0,-3.9073949353448274,16,70,0.0,70,1023680.0,14624.0,2.25,5921.14189863205,1.3125
-0.046050012,1.5783291947103428,70,-3.384375,70.0,-4.042201450892857,17,70,0.0,70,1086400.0,15520.0,2.25,6290.208524942398,1.0
-0.043064017,1.8567760197449772,70,-4.49375,70.0,-3.7447467672413794,18,70,0.0,70,1151360.0,16448.0,2.25,6657.661938667297,1.3125
-0.03972409,1.6533465116242274,70,-4.06875,70.0,-3.697963169642857,19,70,0.0,70,1214080.0,17344.0,2.25,7030.836694955826,1.625
-0.035058644,1.4334181176474643,70,-3.0625,70.0,-3.1948410560344827,20,70,0.0,70,1279040.0,18272.0,2.25,7399.173763513565,1.9375
-0.03227818,1.5608585127662917,70,-3.765625,70.0,-3.1796875,21,70,0.0,70,1341760.0,19168.0,2.5625,7771.602967500687,2.5625
-0.03075787,1.544834512779605,70,-3.409375,70.0,-2.8668507543103448,22,70,0.0,70,1406720.0,20096.0,2.5625,8140.135079860687,2.25
-0.028679293,1.638820436129291,70,-2.253125,70.0,-2.8392376077586206,23,70,0.0,70,1471680.0,21024.0,2.5625,8511.970700740814,1.9375
-0.02705664,1.623484870579335,70,-1.9625,70.0,-2.762904575892857,24,70,0.0,70,1534400.0,21920.0,2.5625,8882.53465127945,2.5625
-0.02931517,1.5646079530908055,70,-2.640625,70.0,-2.780980603448276,25,70,0.0,70,1599360.0,22848.0,2.5625,9249.587067127228,2.25
-0.022997143,1.469082409192895,70,-3.1875,70.0,-2.5117885044642856,26,70,0.0,70,1662080.0,23744.0,2.875,9621.560726881027,2.875
-0.023109742,1.648199775512665,70,-2.225,70.0,-2.4566945043103448,27,70,0.0,70,1727040.0,24672.0,2.875,9991.012096881866,2.5625
-0.022995032,1.555393212944881,70,-3.021875,70.0,-2.4814453125,28,70,0.0,70,1789760.0,25568.0,2.875,10364.034369707108,2.25
-0.021277666,1.4807224799063463,70,-2.36875,70.0,-2.2802397629310347,29,70,0.0,70,1854720.0,26496.0,2.875,10729.373968839645,2.5625
-0.02032645,1.669803038534785,70,-2.68125,70.0,-2.297077047413793,30,70,0.0,70,1919680.0,27424.0,2.875,11099.50818824768,2.5625
-0.022137655,1.407329446815848,70,-2.490625,70.0,-2.3897181919642856,31,70,0.0,70,1982400.0,28320.0,2.875,11467.884405136108,2.25
-0.022467636,1.5400131898785803,70,-2.475,70.0,-2.402141702586207,32,70,0.0,70,2047360.0,29248.0,3.5,11832.749381303787,3.5
-0.018414337,1.627339061743127,70,-2.784375,70.0,-2.2442801339285716,33,70,0.0,70,2110080.0,30144.0,3.5,12201.977905035019,2.5625
-0.020525794,1.5369917859247002,70,-2.0125,70.0,-2.2253502155172415,34,70,0.0,70,2175040.0,31072.0,3.5,12570.327860116959,1.3125
-0.018902479,1.4133121282558216,70,-2.378125,70.0,-2.358677455357143,35,70,0.0,70,2237760.0,31968.0,3.5,12940.593604564667,3.5
-0.016795738,1.646904648689474,70,-1.284375,70.0,-1.9485452586206897,36,70,0.0,70,2302720.0,32896.0,3.8125,13309.836062669754,3.8125
-0.01453025,1.4705308352768398,70,-1.99375,70.0,-1.9283405172413792,37,70,0.0,70,2367680.0,33824.0,3.8125,13676.703985214233,3.8125
-0.01490117,1.5345595612015195,70,-1.753125,70.0,-1.9778180803571428,38,70,0.0,70,2430400.0,34720.0,3.8125,14044.44543838501,2.875
-0.0105411485,2.106099308407607,70,-1.915625,70.0,-1.5330010775862069,39,70,0.0,70,2495360.0,35648.0,4.4375,14417.114812850952,4.4375
-0.005320096,1.705720499341847,70,-2.478125,70.0,-1.3890904017857142,40,70,0.0,70,2558080.0,36544.0,4.4375,14784.292179107666,3.8125
-0.016164696,1.5383731006732402,70,-1.403125,70.0,-1.9778421336206897,41,70,0.0,70,2623040.0,37472.0,4.4375,15151.958287239075,4.125
-0.012980911,1.38849556062488,70,-2.096875,70.0,-1.8557477678571428,42,70,0.0,70,2685760.0,38368.0,4.4375,15522.52989602089,2.875
-0.01222339,1.3356405006119723,70,-0.890625,70.0,-1.781182650862069,43,70,0.0,70,2750720.0,39296.0,4.4375,15886.730056524277,3.1875
-0.011759422,1.3354540426386827,70,-1.8875,70.0,-1.7054148706896552,44,70,0.0,70,2815680.0,40224.0,4.4375,16252.71005821228,2.875
-0.0075864727,1.5774874949979794,70,-1.684375,70.0,-1.5244140625,45,70,0.0,70,2878400.0,41120.0,4.4375,16620.05490756035,3.1875
-0.011291499,1.5131455234048046,70,-1.15,70.0,-1.593615301724138,46,70,0.0,70,2943360.0,42048.0,4.4375,16990.021532297134,3.1875
-0.00721733,1.2903033800234733,70,-1.35625,70.0,-1.5132533482142858,47,70,0.0,70,3006080.0,42944.0,4.4375,17357.83434009552,2.875
-0.008308594,1.4747086576676767,70,-0.4125,70.0,-1.4801320043103448,48,70,0.0,70,3071040.0,43872.0,4.4375,17726.058299064636,4.4375
-0.009201505,1.9247158881247903,70,-1.8625,70.0,-1.6949637276785714,49,70,0.0,70,3133760.0,44768.0,4.4375,18097.751950502396,3.8125
-0.010143252,1.4989938031476313,70,-1.803125,70.0,-1.599676724137931,50,70,0.0,70,3198720.0,45696.0,4.4375,18463.19346666336,3.8125
-0.0064401394,1.4658348730331123,70,-1.1125,70.0,-1.3919046336206897,51,70,0.0,70,3263680.0,46624.0,4.4375,18831.81075811386,4.125
-0.0056012524,1.3049036123407733,70,-1.20625,70.0,-1.3643275669642858,52,70,0.0,70,3326400.0,47520.0,4.4375,19198.862815141678,4.125
-0.005509882,1.2653124614102242,70,-1.55,70.0,-1.2716864224137931,53,70,0.0,70,3391360.0,48448.0,4.4375,19568.812421798706,3.8125
-0.006101109,1.340854438408584,70,-0.7625,70.0,-1.4905831473214286,54,70,0.0,70,3454080.0,49344.0,4.4375,19935.57490682602,2.875
-0.0057642595,1.5541369942431071,70,-2.084375,70.0,-1.3626077586206897,55,70,0.0,70,3519040.0,50272.0,5.375,20298.652381896973,5.375
-0.010915088,1.6404434423350291,70,-1.48125,70.0,-1.7734375,56,70,0.0,70,3581760.0,51168.0,5.375,20671.512172698975,3.1875
-0.0021183835,1.7839206952314333,70,-0.484375,70.0,-1.066271551724138,57,70,0.0,70,3646720.0,52096.0,5.375,21038.134801626205,3.8125
-0.0078075696,1.23640655606277,70,-2.028125,70.0,-1.5343480603448276,58,70,0.0,70,3711680.0,53024.0,5.375,21407.85273694992,4.4375
-0.0018748409,1.4979673728089005,70,-1.2875,70.0,-1.1282087053571428,59,70,0.0,70,3774400.0,53920.0,5.375,21775.229245185852,3.1875
-0.0052537266,1.3592851981832217,70,-1.125,70.0,-1.2827990301724137,60,70,0.0,70,3839360.0,54848.0,5.375,22142.329664468765,3.1875
