recent_best_ext_ret,eprew_std,eplen,recent_best_eplen,tcount,best_eplen,recent_worst_eplen,rew_mean,eprew,eprew_recent,epcount,total_secs,eplen_std,best_ext_ret,n_updates
-10.0,0.7706490770772388,70.0,70,125440.0,70,70,-0.15201177,-12.81,-12.7734375,1792.0,749.2713837623596,0.0,-10.0,1
-10.0,0.8566796367370942,70.0,70,255360.0,70,70,-0.17364295,-12.81,-12.716056034482758,3648.0,1492.9697155952454,0.0,-10.0,2
-8.0,0.8538735269347563,70.0,70,380800.0,70,70,-0.17177725,-12.53,-12.559709821428571,5440.0,2243.3160638809204,0.0,-8.0,3
-8.0,0.7123903424387504,70.0,70,510720.0,70,70,-0.16781066,-12.35,-12.267780172413794,7296.0,2991.883005142212,0.0,-8.0,4
-8.0,0.9492628719169416,70.0,70,636160.0,70,70,-0.16074997,-11.83,-11.807477678571429,9088.0,3735.7580003738403,0.0,-8.0,5
-8.0,1.24,70.0,70,766080.0,70,70,-0.15645911,-11.32,-11.46551724137931,10944.0,4482.3040997982025,0.0,-8.0,6
-6.0,1.2626955294131679,70.0,70,891520.0,70,70,-0.15037756,-10.84,-11.063616071428571,12736.0,5236.494608402252,0.0,-6.0,7
-6.0,1.3820274961085253,70.0,70,1021440.0,70,70,-0.14285846,-10.7,-10.519396551724139,14592.0,5982.901540994644,0.0,-6.0,8
-6.0,1.5749285698088027,70.0,70,1151360.0,70,70,-0.13658087,-9.86,-10.066810344827585,16448.0,6737.57784986496,0.0,-6.0,9
-6.0,1.4060938802227965,70.0,70,1276800.0,70,70,-0.1294563,-9.73,-9.578125,18240.0,7487.159479141235,0.0,-6.0,10
-2.0,1.2843675486401858,70.0,70,1406720.0,70,70,-0.12564632,-9.48,-9.252693965517242,20096.0,8235.474042892456,0.0,-2.0,11
-2.0,1.3734627770711518,70.0,70,1532160.0,70,70,-0.11706273,-8.44,-8.736607142857142,21888.0,8985.39455294609,0.0,-2.0,12
-2.0,1.665653025092561,70.0,70,1662080.0,70,70,-0.10863132,-7.84,-8.033405172413794,23744.0,9727.443146705627,0.0,-2.0,13
-2.0,1.6880758276807353,70.0,70,1787520.0,70,70,-0.10061828,-7.48,-7.550223214285714,25536.0,10477.707023620605,0.0,-2.0,14
-2.0,1.7302023003105738,70.0,70,1917440.0,70,70,-0.093622714,-6.92,-6.9375,27392.0,11223.656767606735,0.0,-2.0,15
2.0,1.9261360284258222,70.0,70,2047360.0,70,70,-0.0829565,-6.1,-6.206896551724138,29248.0,11974.97388124466,0.0,2.0,16
2.0,2.0994284936620256,70.0,70,2172800.0,70,70,-0.07074286,-4.82,-5.356026785714286,31040.0,12717.216650009155,0.0,2.0,17
2.0,2.1669333169250966,70.0,70,2302720.0,70,70,-0.06538626,-5.38,-4.901939655172414,32896.0,13467.471553325653,0.0,2.0,18
2.0,2.2071701339044982,70.0,70,2428160.0,70,70,-0.05255201,-4.22,-4.107142857142857,34688.0,14217.439429998398,0.0,2.0,19
2.0,2.5247574140895197,70.0,70,2558080.0,70,70,-0.045254864,-3.84,-3.429956896551724,36544.0,14962.620500564575,0.0,2.0,20
2.0,2.2244999438075963,70.0,70,2683520.0,70,70,-0.03738667,-2.46,-3.0122767857142856,38336.0,15713.33236670494,0.0,2.0,21
2.0,2.0846102753272615,70.0,70,2813440.0,70,70,-0.03477102,-2.88,-2.7219827586206895,40192.0,16459.96866583824,0.0,2.0,22
3.09375,2.357965224510319,70.0,70,2943360.0,70,70,-0.029174963,-1.4,-2.3474710398706895,42048.0,17206.402332782745,0.0,3.09375,23
2.0,1.997097894445838,70.0,70,3068800.0,70,70,-0.025947148,-2.46,-2.127232142857143,43840.0,17958.153498649597,0.0,3.09375,24
2.0,2.1882413029645518,70.0,70,3198720.0,70,70,-0.026634095,-3.46,-2.136853448275862,45696.0,18700.069712877274,0.0,3.09375,25
3.875,2.104851538707659,70.0,70,3324160.0,70,70,-0.02045596,-2.36,-1.8243233816964286,47488.0,19446.189068555832,0.0,3.875,26
2.0,2.2181073012818833,70.0,70,3454080.0,70,70,-0.02255656,-1.0,-1.7995689655172413,49344.0,20188.218270778656,0.0,3.875,27
2.0,1.9810098434889214,70.0,70,3579520.0,70,70,-0.017401528,-2.66,-1.6752232142857142,51136.0,20931.969665050507,0.0,3.875,28
3.09375,2.047046653107837,70.0,70,3709440.0,70,70,-0.022061504,-2.36,-1.7027377424568966,52992.0,21666.711743354797,0.0,3.875,29
2.0,1.7577258034175867,70.0,70,3839360.0,70,70,-0.019653782,-2.52,-1.6551724137931034,54848.0,22398.711641073227,0.0,3.875,30
9.4375,2.2471315048301026,70.0,70,3964800.0,70,70,-0.01710906,-0.48,-1.5175606863839286,56640.0,23133.07693219185,0.0,9.4375,31
3.09375,2.1029503084951866,70.0,70,4094720.0,70,70,-0.018082257,-1.76,-1.5121733566810345,58496.0,23863.310087680817,0.0,9.4375,32
2.3125,2.045873896407107,70.0,70,4220160.0,70,70,-0.01753321,-0.88,-1.5978655133928572,60288.0,24603.418463230133,0.0,9.4375,33
2.3125,1.81151869987588,70.0,70,4350080.0,70,70,-0.018677682,-1.72,-1.541857489224138,62144.0,25342.277624845505,0.0,9.4375,34
2.0,1.843474979488466,70.0,70,4475520.0,70,70,-0.013944585,-0.96,-1.4207589285714286,63936.0,26091.31230044365,0.0,9.4375,35
2.3125,1.9649342983608888,70.0,70,4605440.0,70,70,-0.015519991,-1.196875,-1.2732017780172413,65792.0,26834.478180885315,0.0,9.4375,36
7.0,2.093418257300724,70.0,70,4735360.0,70,70,-0.009556866,-1.24,-0.9513907596982759,67648.0,27581.961760520935,0.0,9.4375,37
6.21875,1.9477166118303764,70.0,70,4860800.0,70,70,-0.011344467,-0.92,-1.1294468470982142,69440.0,28329.997948408127,0.0,9.4375,38
2.0,1.6951696080333674,70.0,70,4990720.0,70,70,-0.012539842,-1.92,-1.105603448275862,71296.0,29078.528932094574,0.0,9.4375,39
3.09375,2.1207545826898504,70.0,70,5116160.0,70,70,-0.007514252,-1.32,-0.9525146484375,73088.0,29825.222764492035,0.0,9.4375,40
2.3125,2.0143485299222674,70.0,70,5246080.0,70,70,-0.01119248,-1.68,-0.972723599137931,74944.0,30568.26840019226,0.0,9.4375,41
3.09375,2.012361796496843,70.0,70,5371520.0,70,70,-0.009592569,-1.48,-1.0574253627232142,76736.0,31322.200128793716,0.0,9.4375,42
2.3125,1.7435595774162695,70.0,70,5501440.0,70,70,-0.0095057525,-1.6,-0.8985385237068966,78592.0,32060.60991501808,0.0,9.4375,43
