eprew,tcount,recent_worst_eplen,eplen,eplen_std,n_updates,rew_mean,recent_best_ext_ret,best_ext_ret,recent_best_eplen,best_eplen,eprew_recent,epcount,eprew_std,total_secs
-8.81875,62720.0,70,70.0,0.0,1,-0.095999695,-1.8125,-1.8125,70,70,-8.823172433035714,896.0,1.85572383115053,360.5773515701294
-7.928125,127680.0,70,70.0,0.0,2,-0.109068304,-1.5,-1.5,70,70,-8.37702047413793,1824.0,2.165178525405007,719.2128946781158
-7.125,190400.0,70,70.0,0.0,3,-0.09570422,-0.25,-0.25,70,70,-7.387276785714286,2720.0,2.2325713874364688,1075.9440767765045
-6.825,255360.0,70,70.0,0.0,4,-0.08273956,2.25,2.25,70,70,-6.3723733836206895,3648.0,1.9970290433541518,1432.1779460906982
-6.059375,318080.0,70,70.0,0.0,5,-0.0677411,1.625,2.25,70,70,-5.461007254464286,4544.0,2.0870204351838533,1793.878909111023
-4.575,383040.0,70,70.0,0.0,6,-0.05543959,4.125,4.125,70,70,-4.473127693965517,5472.0,2.6739191741711266,2148.770056962967
-3.115625,445760.0,70,70.0,0.0,7,-0.03371145,3.8125,4.125,70,70,-3.0122767857142856,6368.0,2.377077627439836,2505.920732498169
-1.9875,510720.0,70,70.0,0.0,8,-0.019997833,5.0625,5.0625,70,70,-2.0199353448275863,7296.0,2.2901453283580064,2861.2902495861053
-0.0625,575680.0,70,70.0,0.0,9,0.0016499144,7.875,7.875,70,70,-0.43487338362068967,8224.0,2.2942693553722067,3222.716430902481
0.34375,638400.0,70,70.0,0.0,10,0.017135236,6.625,7.875,70,70,0.5814732142857143,9120.0,2.0172595116890637,3582.2345373630524
1.196875,703360.0,70,70.0,0.0,11,0.025881734,7.5625,7.875,70,70,1.4195851293103448,10048.0,2.0518927047667477,3942.6640288829803
2.09375,766080.0,70,70.0,0.0,12,0.040731866,8.5,8.5,70,70,2.149204799107143,10944.0,2.2279737851913786,4300.868558645248
3.084375,831040.0,70,70.0,0.0,13,0.0450723,9.75,9.75,70,70,2.8093345905172415,11872.0,2.012196696865145,4655.061597108841
3.76875,893760.0,70,70.0,0.0,14,0.056363568,9.75,9.75,70,70,3.3329380580357144,12768.0,1.993652035210759,5015.723973035812
3.690625,958720.0,70,70.0,0.0,15,0.060692757,10.6875,10.6875,70,70,3.8781654094827585,13696.0,1.969937637813695,5372.638321399689
3.959375,1023680.0,70,70.0,0.0,16,0.067236386,10.375,10.6875,70,70,4.292699353448276,14624.0,2.15713523495283,5732.015416145325
5.2,1086400.0,70,70.0,0.0,17,0.07310265,11.625,11.625,70,70,4.587123325892857,15520.0,1.9903674283910495,6091.113164424896
4.69375,1151360.0,70,70.0,0.0,18,0.07625092,10.6875,11.625,70,70,5.027141702586207,16448.0,1.747978743434828,6451.8393471241
4.928125,1214080.0,70,70.0,0.0,19,0.0841517,10.375,11.625,70,70,5.297572544642857,17344.0,1.9234647896114447,6811.743965387344
5.7875,1279040.0,70,70.0,0.0,20,0.08876059,11.625,11.625,70,70,5.923221982758621,18272.0,1.7792642440064936,7168.505774497986
5.9625,1341760.0,70,70.0,0.0,21,0.09054733,12.875,12.875,70,70,5.886997767857143,19168.0,1.8948326113406428,7529.86316037178
6.3625,1406720.0,70,70.0,0.0,22,0.09381529,12.25,12.875,70,70,6.173424030172414,20096.0,1.7873907309259496,7886.576039075851
6.2625,1471680.0,70,70.0,0.0,23,0.09922016,12.5625,12.875,70,70,6.612203663793103,21024.0,1.6569691834792826,8246.709605693817
7.15,1534400.0,70,70.0,0.0,24,0.10593794,11.9375,12.875,70,70,6.921107700892857,21920.0,1.9530024961581591,8605.542788267136
6.8125,1599360.0,70,70.0,0.0,25,0.10500572,12.875,12.875,70,70,7.103178879310345,22848.0,1.5761900266148114,8963.96987247467
6.903125,1662080.0,70,70.0,0.0,26,0.11226336,12.875,12.875,70,70,7.2841796875,23744.0,1.8450181020453431,9322.171186685562
7.203125,1727040.0,70,70.0,0.0,27,0.10858588,13.5,13.5,70,70,7.339574353448276,24672.0,2.1011413379101844,9679.032311439514
6.884375,1789760.0,70,70.0,0.0,28,0.11649795,12.875,13.5,70,70,7.662248883928571,25568.0,1.844573439002904,10040.117336511612
7.340625,1854720.0,70,70.0,0.0,29,0.11531175,13.5,13.5,70,70,7.759496228448276,26496.0,1.6448873204189394,10397.425711393356
7.103125,1919680.0,70,70.0,0.0,30,0.11514453,13.8125,13.8125,70,70,7.769935344827586,27424.0,1.7164501658583045,10757.702705144882
8.496875,1982400.0,70,70.0,0.0,31,0.12065057,13.5,13.8125,70,70,7.94580078125,28320.0,1.6591925511751193,11119.488592386246
7.771875,2047360.0,70,70.0,0.0,32,0.11597711,13.8125,13.8125,70,70,7.883418642241379,29248.0,1.9055095898144938,11477.926524162292
8.11875,2110080.0,70,70.0,0.0,33,0.124418825,13.5,13.8125,70,70,8.128208705357142,30144.0,1.7170901075657041,11836.568467140198
8.003125,2175040.0,70,70.0,0.0,34,0.12096728,13.1875,13.8125,70,70,8.25383890086207,31072.0,1.9274411266949245,12193.20524597168
8.584375,2237760.0,70,70.0,0.0,35,0.12531513,13.5,13.8125,70,70,8.306780133928571,31968.0,1.8780470033721197,12553.846410989761
8.265625,2302720.0,70,70.0,0.0,36,0.12382059,13.5,13.8125,70,70,8.298289331896552,32896.0,1.752439705631837,12913.36996603012
8.634375,2367680.0,70,70.0,0.0,37,0.12610814,14.4375,14.4375,70,70,8.578125,33824.0,1.8308633337513205,13275.286861658096
8.540625,2430400.0,70,70.0,0.0,38,0.12836075,13.5,14.4375,70,70,8.485700334821429,34720.0,1.7681287557400902,13632.763677358627
8.628125,2495360.0,70,70.0,0.0,39,0.12650937,13.5,14.4375,70,70,8.651198814655173,35648.0,1.7461425119030234,13992.596756458282
8.9625,2558080.0,70,70.0,0.0,40,0.13572678,15.375,15.375,70,70,8.8955078125,36544.0,1.7215772201675994,14353.003506660461
8.63125,2623040.0,70,70.0,0.0,41,0.13160825,15.375,15.375,70,70,8.993332435344827,37472.0,1.684128576593842,14710.785065889359
