best_ext_ret,eplen_std,eplen,epcount,best_eplen,rew_mean,eprew_recent,tcount,recent_best_eplen,recent_worst_eplen,n_updates,eprew_std,total_secs,eprew,recent_best_ext_ret
-5.9375,0,50,1248,50,-0.15764865,-9.460136218,62400,50,50,1,0.691748238,382.3124552,-9.5625,-5.9375
-5.9375,0,50,2528,50,-0.18003428,-9.427246094,126400,50,50,2,0.69750532,762.3250942,-9.559375,-5.9375
-5.9375,0,50,3808,50,-0.17815346,-9.2890625,190400,50,50,3,0.87553555,1137.273714,-9.225,-5.9375
-5.625,0,50,5088,50,-0.17681031,-9.2109375,254400,50,50,4,0.839107599,1513.819376,-9.15625,-5.625
-4.6875,0,50,6368,50,-0.17300051,-9.012939453,318400,50,50,5,0.961418833,1887.270746,-9.084375,-4.6875
-2.8125,0,50,7648,50,-0.16925648,-8.832519531,382400,50,50,6,1.017517468,2262.649046,-8.778125,-2.8125
-2.8125,0,50,8928,50,-0.1611403,-8.447998047,446400,50,50,7,1.226063792,2638.027685,-8.165625,-2.8125
-2.8125,0,50,10208,50,-0.15435958,-8.099609375,510400,50,50,8,1.338302913,3013.284296,-8.08125,-3.4375
-1.5625,0,50,11488,50,-0.14534162,-7.659179688,574400,50,50,9,1.495644719,3390.264977,-7.675,-1.5625
-0.9375,0,50,12768,50,-0.1349742,-7.156982422,638400,50,50,10,1.39500714,3765.850111,-7.390625,-0.9375
0.9375,0,50,14048,50,-0.122978486,-6.557861328,702400,50,50,11,1.826120696,4141.627504,-6.546875,0.9375
0.9375,0,50,15328,50,-0.1099003,-5.900878906,766400,50,50,12,1.727226258,4518.208761,-5.946875,0.3125
1.25,0,50,16608,50,-0.09546118,-5.157958984,830400,50,50,13,2.042038657,4893.037259,-5.1875,1.25
2.1875,0,50,17888,50,-0.07945637,-4.369140625,894400,50,50,14,1.963037347,5268.312252,-4.375,2.1875
2.5,0,50,19168,50,-0.06774037,-3.775634766,958400,50,50,15,1.914814266,5645.687432,-3.771875,2.5
2.8125,0,50,20448,50,-0.057860363,-3.295654297,1022400,50,50,16,2.122100503,6018.92553,-2.909375,2.8125
4.375,0,50,21728,50,-0.045743417,-2.639648438,1086400,50,50,17,2.204186358,6392.7817,-2.3875,4.375
5,0,50,23008,50,-0.036990628,-2.226074219,1150400,50,50,18,1.812745134,6766.484307,-2.821875,5
5,0,50,24288,50,-0.025089474,-1.598144531,1214400,50,50,19,1.56652918,7139.987403,-1.415625,4.0625
5.9375,0,50,25568,50,-0.012601185,-1.019775391,1278400,50,50,20,1.598861289,7514.785682,-0.865625,5.9375
5.9375,0,50,26848,50,-0.004705261,-0.580566406,1342400,50,50,21,1.894634179,7887.836069,-1.059375,5.3125
5.9375,0,50,28128,50,0.001490151,-0.257568359,1406400,50,50,22,1.783000784,8258.46304,-0.684375,5.9375
5.9375,0,50,29408,50,0.01179345,0.235839844,1470400,50,50,23,1.824850165,8629.532415,0.625,5.3125
7.8125,0,50,30688,50,0.019064933,0.595458984,1534400,50,50,24,1.879710229,9002.469819,1.146875,7.8125
7.8125,0,50,31968,50,0.023138588,0.827880859,1598400,50,50,25,1.953409979,9374.993186,0.878125,5.625
