best_ext_ret,eplen_std,eplen,epcount,best_eplen,rew_mean,eprew_recent,tcount,recent_best_eplen,recent_worst_eplen,n_updates,eprew_std,total_secs,eprew,recent_best_ext_ret
-5.9375,0.0,50.0,1248.0,50,-0.15764865,-9.460136217948717,62400.0,50,50,1,0.691748238161833,382.31245517730713,-9.5625,-5.9375
-5.9375,0.0,50.0,2528.0,50,-0.18003428,-9.42724609375,126400.0,50,50,2,0.6975053203202107,762.3250942230225,-9.559375,-5.9375
-5.9375,0.0,50.0,3808.0,50,-0.17815346,-9.2890625,190400.0,50,50,3,0.8755355503918728,1137.2737140655518,-9.225,-5.9375
-5.625,0.0,50.0,5088.0,50,-0.17681031,-9.2109375,254400.0,50,50,4,0.839107598881097,1513.8193757534027,-9.15625,-5.625
-4.6875,0.0,50.0,6368.0,50,-0.17300051,-9.012939453125,318400.0,50,50,5,0.9614188327024805,1887.2707464694977,-9.084375,-4.6875
-2.8125,0.0,50.0,7648.0,50,-0.16925648,-8.83251953125,382400.0,50,50,6,1.017517467601908,2262.649046421051,-8.778125,-2.8125
-2.8125,0.0,50.0,8928.0,50,-0.1611403,-8.447998046875,446400.0,50,50,7,1.2260637919272392,2638.027684688568,-8.165625,-2.8125
-2.8125,0.0,50.0,10208.0,50,-0.15435958,-8.099609375,510400.0,50,50,8,1.338302913207619,3013.284295797348,-8.08125,-3.4375
-1.5625,0.0,50.0,11488.0,50,-0.14534162,-7.6591796875,574400.0,50,50,9,1.4956447188420114,3390.264976501465,-7.675,-1.5625
-0.9375,0.0,50.0,12768.0,50,-0.1349742,-7.156982421875,638400.0,50,50,10,1.3950071404387148,3765.850111246109,-7.390625,-0.9375
0.9375,0.0,50.0,14048.0,50,-0.122978486,-6.557861328125,702400.0,50,50,11,1.8261206961411396,4141.627503633499,-6.546875,0.9375
0.9375,0.0,50.0,15328.0,50,-0.1099003,-5.90087890625,766400.0,50,50,12,1.727226258159307,4518.2087614536285,-5.946875,0.3125
1.25,0.0,50.0,16608.0,50,-0.09546118,-5.157958984375,830400.0,50,50,13,2.0420386565880677,4893.037258863449,-5.1875,1.25
2.1875,0.0,50.0,17888.0,50,-0.07945637,-4.369140625,894400.0,50,50,14,1.9630373468174263,5268.312251806259,-4.375,2.1875
2.5,0.0,50.0,19168.0,50,-0.06774037,-3.775634765625,958400.0,50,50,15,1.9148142656338758,5645.687431573868,-3.771875,2.5
