best_eplen,recent_best_eplen,eprew_std,eplen,recent_best_ext_ret,eprew,epcount,tcount,total_secs,best_ext_ret,recent_worst_eplen,eprew_recent,n_updates,eplen_std,rew_mean
47,47,0.6583226199022785,47.0,-5.65,-8.965625000000001,1344.0,63168.0,374.1303057670593,-5.65,47,-8.952176339285716,1,0.0,-0.15947065
47,47,0.7063053075689011,47.0,-6.275,-8.943750000000001,2720.0,127840.0,746.8309259414673,-5.65,47,-8.961909520348838,2,0.0,-0.18094504
47,47,0.7560885674806886,47.0,-5.3375,-8.871875000000001,4064.0,191008.0,1110.0656192302704,-5.3375,47,-8.862890625000002,3,0.0,-0.18048453
47,47,0.7110387977283659,47.0,-4.4,-8.846875,5440.0,255680.0,1476.2236428260803,-4.4,47,-8.706640625,4,0.0,-0.17766277
47,47,1.028286461485806,47.0,-5.025,-8.571875,6784.0,318848.0,1839.5140233039856,-4.4,47,-8.609681919642858,5,0.0,-0.17558526
47,47,0.9139276075680174,47.0,-4.4,-8.503125,8160.0,383520.0,2204.8817071914673,-4.4,47,-8.436609738372095,6,0.0,-0.17229037
47,47,0.9157636413807877,47.0,-3.15,-8.446875,9504.0,446688.0,2571.071708917618,-3.15,47,-8.193015252976192,7,0.0,-0.1668283
47,47,1.1551345971357625,47.0,-2.2125,-7.96875,10880.0,511360.0,2935.3041479587555,-2.2125,47,-7.889961845930234,8,0.0,-0.16062042
47,47,1.2408217728082467,47.0,-1.5875,-7.303125,12224.0,574528.0,3299.659371614456,-1.5875,47,-7.615215773809524,9,0.0,-0.15427804
47,47,1.159518185228244,47.0,-2.525,-6.978125,13600.0,639200.0,3660.9675092697144,-1.5875,47,-7.22771620639535,10,0.0,-0.14688465
47,47,1.323152456021225,47.0,-1.275,-6.946875,14976.0,703872.0,4024.233614206314,-1.275,47,-6.936337209302327,11,0.0,-0.14011532
47,47,1.3536120659184447,47.0,-0.025,-6.6625,16320.0,767040.0,4388.967487573624,-0.025,47,-6.52983630952381,12,0.0,-0.13170034
47,47,1.4631675826780748,47.0,0.6,-6.0375,17696.0,831712.0,4751.785162687302,0.6,47,-6.052434593023257,13,0.0,-0.12177241
47,47,1.710160354323535,47.0,0.2875,-5.481249999999999,19040.0,894880.0,5114.2092208862305,0.6,47,-5.841359747023809,14,0.0,-0.11676948
47,47,1.6380366487047842,47.0,0.2875,-4.906249999999999,20416.0,959552.0,5476.534109592438,0.6,47,-5.108121366279069,15,0.0,-0.10224331
47,47,1.4988406978395004,47.0,1.5375,-4.918749999999999,21760.0,1022720.0,5840.604845762253,1.5375,47,-4.692503720238094,16,0.0,-0.092147686
47,47,1.5788983253759568,47.0,2.1625,-4.415624999999999,23136.0,1087392.0,6201.114132404327,2.1625,47,-4.27804324127907,17,0.0,-0.08438231
47,47,1.7472075935617954,47.0,2.475,-3.774999999999999,24480.0,1150560.0,6564.026176929474,2.475,47,-3.90892857142857,18,0.0,-0.07577962
47,47,1.8079036547891594,47.0,2.475,-3.6249999999999982,25856.0,1215232.0,6925.264203310013,2.475,47,-3.5472111191860463,19,0.0,-0.06957081
47,47,1.6571813419176555,47.0,4.0375,-3.0624999999999987,27232.0,1279904.0,7289.89949631691,4.0375,47,-2.9885265261627905,20,0.0,-0.056602076
47,47,1.9827847959057487,47.0,3.4125,-1.865625,28576.0,1343072.0,7652.896407365799,4.0375,47,-2.4954706101190474,21,0.0,-0.04689885
47,47,1.7432458948754186,47.0,3.725,-2.5374999999999996,29952.0,1407744.0,8019.218017101288,4.0375,47,-2.2908521075581394,22,0.0,-0.04246046
47,47,1.8974283583313494,47.0,4.0375,-1.45,31296.0,1470912.0,8380.634424209595,4.0375,47,-1.8714006696428567,23,0.0,-0.033158127
47,47,1.6458369593841917,47.0,4.35,-1.2406250000000005,32672.0,1535584.0,8745.829722166061,4.35,47,-1.4571402616279068,24,0.0,-0.025517533
47,47,2.0142921950092045,47.0,4.35,-0.415625,34016.0,1598752.0,9111.441844701767,4.35,47,-1.0085379464285713,25,0.0,-0.014992461
47,47,1.955888045588244,47.0,6.5375,-1.0781250000000002,35392.0,1663424.0,9477.791345119476,6.5375,47,-0.8757449127906978,26,0.0,-0.012215363
47,47,1.827748358636932,47.0,6.5375,-0.48125,36736.0,1726592.0,9843.55497765541,6.5375,47,-0.46654575892857153,27,0.0,-0.0031060395
47,47,1.6851835953390955,47.0,5.9125,-0.21249999999999997,38112.0,1791264.0,10205.408377170563,6.5375,47,-0.21963117732558143,28,0.0,-0.0006423081
47,47,1.4986289306813076,47.0,7.1625,-0.05937499999999998,39488.0,1855936.0,10571.300656318665,7.1625,47,-0.05974745639534884,29,0.0,0.005211505
47,47,1.583394667123456,47.0,5.9125,-0.06562500000000002,40832.0,1919104.0,10936.311794996262,7.1625,47,0.0784691220238095,30,0.0,0.007063448
47,47,1.5695932743468928,47.0,6.225,0.490625,42208.0,1983776.0,11302.072741031647,7.1625,47,0.7716933139534883,31,0.0,0.021404972
47,47,1.8052089344103637,47.0,6.85,0.9156249999999997,43552.0,2046944.0,11665.12246799469,7.1625,47,0.832514880952381,32,0.0,0.023842208
47,47,1.842170933979798,47.0,7.1625,0.7124999999999997,44928.0,2111616.0,12028.120549917221,7.1625,47,0.861173691860465,33,0.0,0.022003569
47,47,1.6135413304281983,47.0,6.85,1.6,46272.0,2174784.0,12392.84564781189,7.1625,47,1.2617373511904764,34,0.0,0.032831427
47,47,1.8721436576822836,47.0,8.4125,2.2750000000000004,47648.0,2239456.0,12756.609066009521,8.4125,47,1.609947311046512,35,0.0,0.038970895
47,47,1.5986444453035829,47.0,7.7875,1.1312499999999996,48992.0,2302624.0,13120.402812242508,8.4125,47,1.4554222470238096,36,0.0,0.037584253
47,47,1.5220354124904585,47.0,9.6625,1.721875,50368.0,2367296.0,13481.662447929382,9.6625,47,1.653324854651163,37,0.0,0.038342588
47,47,1.8555133218330715,47.0,7.475,1.73125,51744.0,2431968.0,13844.510499238968,9.6625,47,2.113671875,38,0.0,0.050666176
47,47,1.4316286344143163,47.0,6.85,2.178125,53088.0,2495136.0,14207.55004286766,9.6625,47,2.10483630952381,39,0.0,0.049216475
47,47,1.6692415006523176,47.0,8.1,1.76875,54464.0,2559808.0,14571.501047372818,9.6625,47,1.9453851744186048,40,0.0,0.045739423
47,47,1.5974222398915072,47.0,9.0375,2.31875,55808.0,2622976.0,14935.225396633148,9.6625,47,2.2036551339285717,41,0.0,0.051884055
47,47,1.4201259847281154,47.0,8.725,2.23125,57184.0,2687648.0,15296.942694187164,9.6625,47,2.3625817587209306,42,0.0,0.054140426
47,47,1.462883897264236,47.0,7.475,1.9093750000000003,58528.0,2750816.0,15660.528088092804,9.6625,47,2.1534319196428577,43,0.0,0.051286664
47,47,1.9363378571093937,47.0,7.7875,2.8843750000000012,59904.0,2815488.0,16022.63736820221,9.6625,47,2.757748909883721,44,0.0,0.06330971
47,47,1.47794660657109,47.0,7.475,2.709375000000001,61248.0,2878656.0,16383.38714170456,9.6625,47,2.7565755208333336,45,0.0,0.063793056
47,47,1.4292528369308908,47.0,8.1,2.753125000000001,62624.0,2943328.0,16744.756536245346,9.6625,47,2.542450944767442,46,0.0,0.057652894
