recent_best_ext_ret,total_secs,eplen_std,eplen,recent_best_eplen,rew_mean,best_ext_ret,best_eplen,n_updates,eprew,eprew_recent,tcount,recent_worst_eplen,eprew_std,epcount
-9.85,361.5126441,0,68,68,-0.1594462,-9.85,68,1,-12.85625,-12.92280442,63104,68,0.797677292,928
-9.85,719.6708705,0,68,68,-0.18234214,-9.85,68,2,-12.8625,-12.97971444,126208,68,0.811922872,1856
-9.85,1079.880649,0,68,68,-0.18267803,-9.85,68,3,-12.9625,-12.9375651,191488,68,0.738082397,2816
-9.5375,1440.257955,0,68,68,-0.1815281,-9.5375,68,4,-12.909375,-12.8615167,254592,68,0.76072411,3744
-8.6,1799.300451,0,68,68,-0.17927821,-8.6,68,5,-12.809375,-12.72141927,319872,68,0.848315196,4704
-9.225,2156.239681,0,68,68,-0.17835356,-8.6,68,6,-12.796875,-12.65105065,382976,68,0.777183165,5632
-9.5375,2518.31564,0,68,68,-0.17666261,-8.6,68,7,-12.303125,-12.56753772,446080,68,0.968623984,6560
-9.5375,2878.137446,0,68,68,-0.17510982,-8.6,68,8,-12.478125,-12.45579427,511360,68,0.902573361,7520
-8.2875,3236.721478,0,68,68,-0.17299536,-8.2875,68,9,-12.06875,-12.32878502,574464,68,1.036916251,8448
-7.975,3595.549028,0,68,68,-0.16987795,-7.975,68,10,-12.165625,-12.13613281,639744,68,1.054283487,9408
-8.6,3953.403078,0,68,68,-0.16776402,-7.975,68,11,-11.89375,-11.97890625,702848,68,1.023569886,10336
-8.2875,4312.821004,0,68,68,-0.16424246,-7.975,68,12,-11.753125,-11.79201239,765952,68,1.138027865,11264
-7.35,4667.117869,0,68,68,-0.16308202,-7.35,68,13,-11.7,-11.66315104,831232,68,1.234814004,12224
-7.0375,5027.666609,0,68,68,-0.15963575,-7.0375,68,14,-11.421875,-11.48725754,894336,68,1.201768716,13152
-6.1,5386.214827,0,68,68,-0.15499242,-6.1,68,15,-11.13125,-11.15175781,959616,68,1.149473385,14112
-4.5375,5744.339237,0,68,68,-0.15071441,-4.5375,68,16,-10.690625,-10.86124731,1022720,68,1.244279881,15040
-5.7875,6107.033082,0,68,68,-0.14707899,-4.5375,68,17,-10.625,-10.67367996,1085824,68,1.257384438,15968
-4.85,6463.771878,0,68,68,-0.14300495,-4.5375,68,18,-10.23125,-10.35553385,1151104,68,1.497771783,16928
-4.5375,6828.844362,0,68,68,-0.13642569,-4.5375,68,19,-10.09375,-9.947992996,1214208,68,1.525550618,17856
-3.2875,7187.553489,0,68,68,-0.13092908,-3.2875,68,20,-9.5,-9.546614583,1279488,68,1.855776455,18816
-2.975,7546.091785,0,68,68,-0.12470512,-2.975,68,21,-9.128125,-9.143170797,1342592,68,1.698284405,19744
-2.975,7905.588533,0,68,68,-0.11888419,-2.975,68,22,-8.759375,-8.788802083,1407872,68,1.986524426,20704
-2.0375,8259.533012,0,68,68,-0.109541245,-2.0375,68,23,-7.859375,-8.100269397,1470976,68,1.740855012,21632
-1.1,8620.673148,0,68,68,-0.105136,-1.1,68,24,-7.98125,-7.835587284,1534080,68,2.113470561,22560
-0.1625,8975.893462,0,68,68,-0.09525341,-0.1625,68,25,-7.159375,-7.156640625,1599360,68,1.778723537,23520
-0.475,9332.985762,0,68,68,-0.08902716,-0.1625,68,26,-7.03125,-6.750929418,1662464,68,1.952052205,24448
0.775,9689.233791,0,68,68,-0.079297274,0.775,68,27,-5.875,-6.082747396,1727744,68,2.001503341,25408
2.65,10045.56035,0,68,68,-0.07437429,2.65,68,28,-5.33125,-5.683445582,1790848,68,2.071203228,26336
0.4625,10403.25057,0,68,68,-0.066102594,2.65,68,29,-5.41875,-5.273962823,1853952,68,1.894368711,27264
2.025,10761.22559,0,68,68,-0.062357064,2.65,68,30,-5.03125,-4.844466146,1919232,68,1.931533151,28224
1.7125,11122.58265,0,68,68,-0.05334906,2.65,68,31,-4.2125,-4.308512931,1982336,68,2.123584087,29152
1.7125,11479.78931,0,68,68,-0.05115618,2.65,68,32,-3.784375,-4.154361979,2047616,68,1.532266882,30112
2.9625,11839.84233,0,68,68,-0.041806214,2.9625,68,33,-3.659375,-3.498976293,2110720,68,1.77476616,31040
4.2125,12200.2508,0,68,68,-0.032645028,4.2125,68,34,-2.815625,-2.960856681,2173824,68,1.95380988,31968
3.275,12556.01809,0,68,68,-0.030401962,4.2125,68,35,-2.796875,-2.66640625,2239104,68,1.824451437,32928
3.9,12913.00374,0,68,68,-0.021053951,4.2125,68,36,-2.221875,-2.084644397,2302208,68,1.634643859,33856
3.275,13268.316,0,68,68,-0.018035049,4.2125,68,37,-1.665625,-1.875065104,2367488,68,1.664598652,34816
3.9,13627.16764,0,68,68,-0.012696067,4.2125,68,38,-0.459375,-1.56403556,2430592,68,2.03167063,35744
3.5875,13986.75901,0,68,68,-0.00863423,4.2125,68,39,-1.128125,-1.256575521,2495872,68,1.778284264,36704
4.2125,14343.58583,0,68,68,-0.010130922,4.2125,68,40,-0.91875,-1.230994073,2558976,68,1.75733952,37632
3.9,14703.62255,0,68,68,0.00162444,4.2125,68,41,-1.103125,-0.591850754,2622080,68,1.775756331,38560
4.2125,15058.99157,0,68,68,-0.00267333,4.2125,68,42,-0.55625,-0.801497396,2687360,68,1.816063308,39520
4.2125,15419.02884,0,68,68,0.004938864,4.2125,68,43,-0.478125,-0.314372306,2750464,68,1.485276042,40448
4.2125,15776.5054,0,68,68,0.003296801,4.2125,68,44,0.3,-0.429427083,2815744,68,1.539505805,41408
4.525,16132.54833,0,68,68,0.004542372,4.525,68,45,0.375,-0.269585129,2878848,68,1.514951526,42336
4.8375,16489.76191,0,68,68,0.013376948,4.8375,68,46,0.3,0.172225216,2941952,68,1.707908992,43264
4.8375,16844.34432,0,68,68,0.010095162,4.8375,68,47,-0.3125,0.128190104,3007232,68,1.718170357,44224
4.525,17202.11521,0,68,68,0.012832017,4.8375,68,48,0.603125,0.23048222,3070336,68,1.642558385,45152
4.8375,17557.52988,0,68,68,0.019908214,4.8375,68,49,0.490625,0.742122396,3135616,68,1.579343589,46112
4.8375,17914.15172,0,68,68,0.019604433,4.8375,68,50,1.05625,0.702599677,3198720,68,1.345202703,47040
6.0875,18273.90481,0,68,68,0.02184799,6.0875,68,51,1.390625,0.792510776,3261824,68,1.540758108,47968
4.525,18630.42683,0,68,68,0.019004237,6.0875,68,52,0.515625,0.753190104,3327104,68,1.513645615,48928
6.4,18988.95553,0,68,68,0.023464499,6.4,68,53,1.0375,1.006681034,3390208,68,1.700597322,49856
5.775,19347.22869,0,68,68,0.026230054,6.4,68,54,1.146875,1.162369792,3455488,68,1.612145673,50816
6.0875,19703.89673,0,68,68,0.028428394,6.4,68,55,1.64375,1.230953664,3518592,68,1.391646395,51744
6.4,20061.90447,0,68,68,0.02593382,6.4,68,56,0.95,1.14609375,3583872,68,1.610706367,52704
6.0875,20416.12723,0,68,68,0.026735568,6.4,68,57,1.228125,1.308068427,3646976,68,1.390098215,53632
5.775,20774.93752,0,68,68,0.029803922,6.4,68,58,1.753125,1.350161638,3710080,68,1.320404028,54560
6.0875,21129.82257,0,68,68,0.03201941,6.4,68,59,2.225,1.596614583,3775360,68,1.383863478,55520
6.4,21487.80288,0,68,68,0.03292371,6.4,68,60,1.3125,1.583526401,3838464,68,1.629848536,56448
5.775,21843.01633,0,68,68,0.031002844,6.4,68,61,2.034375,1.509700521,3903744,68,1.57026508,57408
6.4,22199.98265,0,68,68,0.034212798,6.4,68,62,2.115625,1.806452047,3966848,68,1.273448044,58336
6.7125,22557.39445,0,68,68,0.03607132,6.7125,68,63,1.575,1.685560345,4029952,68,1.279587336,59264
6.4,22910.66673,0,68,68,0.03159418,6.7125,68,64,2.028125,1.649674479,4095232,68,1.309143774,60224
6.4,23267.49248,0,68,68,0.039197464,6.7125,68,65,2.3875,2.077195582,4158336,68,1.446115486,61152
6.4,23621.5563,0,68,68,0.035945345,6.7125,68,66,1.534375,1.842382812,4223616,68,1.44309712,62112
6.0875,23975.27205,0,68,68,0.034293186,6.7125,68,67,1.28125,1.745837823,4286720,68,1.151408784,63040
5.775,24334.14698,0,68,68,0.034078233,6.7125,68,68,2.109375,1.612149784,4349824,68,1.577338913,63968
6.7125,24689.10911,0,68,68,0.037714455,6.7125,68,69,1.41875,2.024674479,4415104,68,1.457617384,64928
6.4,25047.88414,0,68,68,0.041328132,6.7125,68,70,2.11875,2.262068966,4478208,68,1.48987468,65856
7.025,25403.93684,0,68,68,0.041031864,7.025,68,71,2.840625,2.203710937,4543488,68,1.783657912,66816
7.65,25761.78982,0,68,68,0.042990234,7.65,68,72,1.98125,2.223006466,4606592,68,1.56875,67744
6.4,26116.90882,0,68,68,0.036600575,7.65,68,73,2.165625,1.904557292,4671872,68,1.200890783,68704
6.4,26471.46917,0,68,68,0.036329597,7.65,68,74,1.590625,1.966742996,4734976,68,1.332360892,69632
5.775,26828.88416,0,68,68,0.043317765,7.65,68,75,2.33125,2.261395474,4798080,68,1.283138852,70560
7.025,27185.44489,0,68,68,0.036855157,7.65,68,76,1.584375,1.962825521,4863360,68,1.471138351,71520
7.025,27543.10219,0,68,68,0.04273487,7.65,68,77,1.859375,2.245568427,4926464,68,1.442555648,72448
7.3375,27901.51291,0,68,68,0.042469453,7.65,68,78,2.978125,2.328059896,4991744,68,1.563983671,73408
6.4,28257.27862,0,68,68,0.044553626,7.65,68,79,2.61875,2.483310884,5054848,68,1.229916791,74336
6.4,28617.28026,0,68,68,0.04420187,7.65,68,80,2.728125,2.286314655,5117952,68,1.203327905,75264
7.025,28970.42365,0,68,68,0.045106232,7.65,68,81,2.715625,2.570247396,5183232,68,1.602789926,76224
7.025,29327.2993,0,68,68,0.04419912,7.65,68,82,2.225,2.373531789,5246336,68,1.154576492,77152
