recent_best_ext_ret,total_secs,eplen_std,eplen,recent_best_eplen,rew_mean,best_ext_ret,best_eplen,n_updates,eprew,eprew_recent,tcount,recent_worst_eplen,eprew_std,epcount
-9.85,361.5126440525055,0.0,68.0,68,-0.1594462,-9.85,68,1,-12.856249999999994,-12.922804418103443,63104.0,68,0.7976772922053129,928.0
-9.85,719.6708705425262,0.0,68.0,68,-0.18234214,-9.85,68,2,-12.862499999999994,-12.979714439655167,126208.0,68,0.8119228719527489,1856.0
-9.85,1079.8806488513947,0.0,68.0,68,-0.18267803,-9.85,68,3,-12.962499999999993,-12.937565104166662,191488.0,68,0.7380823971617262,2816.0
-9.5375,1440.2579548358917,0.0,68.0,68,-0.1815281,-9.5375,68,4,-12.909374999999994,-12.861516702586202,254592.0,68,0.7607241102232795,3744.0
-8.6,1799.3004508018494,0.0,68.0,68,-0.17927821,-8.6,68,5,-12.809374999999994,-12.72141927083333,319872.0,68,0.8483151960651184,4704.0
-9.225,2156.239681482315,0.0,68.0,68,-0.17835356,-8.6,68,6,-12.796874999999993,-12.65105064655172,382976.0,68,0.7771831649456903,5632.0
-9.5375,2518.3156399726868,0.0,68.0,68,-0.17666261,-8.6,68,7,-12.303124999999993,-12.567537715517236,446080.0,68,0.9686239837393043,6560.0
-9.5375,2878.137446165085,0.0,68.0,68,-0.17510982,-8.6,68,8,-12.478124999999993,-12.45579427083333,511360.0,68,0.9025733609380457,7520.0
-8.2875,3236.721477508545,0.0,68.0,68,-0.17299536,-8.2875,68,9,-12.068749999999993,-12.32878502155172,574464.0,68,1.036916251439816,8448.0
-7.975,3595.5490279197693,0.0,68.0,68,-0.16987795,-7.975,68,10,-12.165624999999993,-12.136132812499996,639744.0,68,1.0542834874335272,9408.0
-8.6,3953.403077840805,0.0,68.0,68,-0.16776402,-7.975,68,11,-11.893749999999994,-11.978906249999996,702848.0,68,1.0235698864757599,10336.0
-8.2875,4312.821003675461,0.0,68.0,68,-0.16424246,-7.975,68,12,-11.753124999999994,-11.792012392241375,765952.0,68,1.1380278651575277,11264.0
-7.35,4667.117868900299,0.0,68.0,68,-0.16308202,-7.35,68,13,-11.699999999999994,-11.663151041666662,831232.0,68,1.23481400421278,12224.0
-7.0375,5027.666609287262,0.0,68.0,68,-0.15963575,-7.0375,68,14,-11.421874999999993,-11.487257543103443,894336.0,68,1.2017687160493904,13152.0
-6.1,5386.214826822281,0.0,68.0,68,-0.15499242,-6.1,68,15,-11.131249999999993,-11.151757812499996,959616.0,68,1.1494733848593452,14112.0
-4.5375,5744.339236736298,0.0,68.0,68,-0.15071441,-4.5375,68,16,-10.690624999999995,-10.86124730603448,1022720.0,68,1.24427988084474,15040.0
-5.7875,6107.03308224678,0.0,68.0,68,-0.14707899,-4.5375,68,17,-10.624999999999993,-10.67367995689655,1085824.0,68,1.2573844380299926,15968.0
-4.85,6463.771878004074,0.0,68.0,68,-0.14300495,-4.5375,68,18,-10.231249999999998,-10.355533854166662,1151104.0,68,1.497771782515614,16928.0
-4.5375,6828.844362258911,0.0,68.0,68,-0.13642569,-4.5375,68,19,-10.093749999999998,-9.947992995689654,1214208.0,68,1.525550617809845,17856.0
-3.2875,7187.553488969803,0.0,68.0,68,-0.13092908,-3.2875,68,20,-9.499999999999998,-9.54661458333333,1279488.0,68,1.8557764547487932,18816.0
-2.975,7546.0917847156525,0.0,68.0,68,-0.12470512,-2.975,68,21,-9.128124999999999,-9.143170797413791,1342592.0,68,1.6982844054736532,19744.0
-2.975,7905.588532924652,0.0,68.0,68,-0.11888419,-2.975,68,22,-8.759375,-8.788802083333332,1407872.0,68,1.986524426448112,20704.0
-2.0375,8259.533012151718,0.0,68.0,68,-0.109541245,-2.0375,68,23,-7.859375,-8.100269396551722,1470976.0,68,1.7408550117327406,21632.0
-1.1,8620.673148155212,0.0,68.0,68,-0.105136,-1.1,68,24,-7.98125,-7.835587284482757,1534080.0,68,2.1134705610677424,22560.0
-0.1625,8975.893462181091,0.0,68.0,68,-0.09525341,-0.1625,68,25,-7.159375,-7.156640624999998,1599360.0,68,1.778723537224096,23520.0
-0.475,9332.985762119293,0.0,68.0,68,-0.08902716,-0.1625,68,26,-7.03125,-6.750929418103446,1662464.0,68,1.952052205372592,24448.0
0.775,9689.233791351318,0.0,68.0,68,-0.079297274,0.775,68,27,-5.875,-6.082747395833332,1727744.0,68,2.0015033412412784,25408.0
2.65,10045.560351610184,0.0,68.0,68,-0.07437429,2.65,68,28,-5.33125,-5.683445581896551,1790848.0,68,2.0712032281985264,26336.0
0.4625,10403.250570058823,0.0,68.0,68,-0.066102594,2.65,68,29,-5.418750000000001,-5.273962823275863,1853952.0,68,1.894368710811071,27264.0
2.025,10761.225594520569,0.0,68.0,68,-0.062357064,2.65,68,30,-5.031250000000001,-4.844466145833334,1919232.0,68,1.931533150763921,28224.0
1.7125,11122.582648515701,0.0,68.0,68,-0.05334906,2.65,68,31,-4.212500000000001,-4.308512931034483,1982336.0,68,2.1235840871036866,29152.0
1.7125,11479.789311408997,0.0,68.0,68,-0.05115618,2.65,68,32,-3.784375000000001,-4.154361979166667,2047616.0,68,1.5322668817392744,30112.0
2.9625,11839.842329025269,0.0,68.0,68,-0.041806214,2.9625,68,33,-3.659375000000001,-3.4989762931034494,2110720.0,68,1.7747661597728865,31040.0
4.2125,12200.250804185867,0.0,68.0,68,-0.032645028,4.2125,68,34,-2.815625000000001,-2.960856681034484,2173824.0,68,1.9538098799205106,31968.0
3.275,12556.018094778061,0.0,68.0,68,-0.030401962,4.2125,68,35,-2.7968750000000013,-2.666406250000001,2239104.0,68,1.8244514372476455,32928.0
3.9,12913.003741979599,0.0,68.0,68,-0.021053951,4.2125,68,36,-2.221875,-2.0846443965517247,2302208.0,68,1.6346438593390917,33856.0
3.275,13268.316004276276,0.0,68.0,68,-0.018035049,4.2125,68,37,-1.665625,-1.875065104166667,2367488.0,68,1.6645986518902984,34816.0
3.9,13627.167644262314,0.0,68.0,68,-0.012696067,4.2125,68,38,-0.4593750000000001,-1.5640355603448277,2430592.0,68,2.0316706295251206,35744.0
3.5875,13986.759005784988,0.0,68.0,68,-0.00863423,4.2125,68,39,-1.1281249999999998,-1.2565755208333336,2495872.0,68,1.7782842635177871,36704.0
4.2125,14343.58583164215,0.0,68.0,68,-0.010130922,4.2125,68,40,-0.9187499999999997,-1.2309940732758622,2558976.0,68,1.757339519700163,37632.0
3.9,14703.622553825378,0.0,68.0,68,0.0016244402,4.2125,68,41,-1.103125,-0.5918507543103447,2622080.0,68,1.775756330940425,38560.0
4.2125,15058.991574525833,0.0,68.0,68,-0.00267333,4.2125,68,42,-0.5562499999999999,-0.8014973958333333,2687360.0,68,1.8160633076795534,39520.0
4.2125,15419.02884221077,0.0,68.0,68,0.004938864,4.2125,68,43,-0.478125,-0.3143723060344827,2750464.0,68,1.4852760423150306,40448.0
4.2125,15776.505398988724,0.0,68.0,68,0.003296801,4.2125,68,44,0.29999999999999993,-0.4294270833333333,2815744.0,68,1.539505805445371,41408.0
4.525,16132.548325777054,0.0,68.0,68,0.0045423717,4.525,68,45,0.37499999999999994,-0.2695851293103448,2878848.0,68,1.5149515256271402,42336.0
4.8375,16489.761909723282,0.0,68.0,68,0.0133769475,4.8375,68,46,0.3,0.1722252155172414,2941952.0,68,1.707908992013333,43264.0
4.8375,16844.34431886673,0.0,68.0,68,0.010095162,4.8375,68,47,-0.3125,0.12819010416666674,3007232.0,68,1.718170356804004,44224.0
4.525,17202.115207910538,0.0,68.0,68,0.012832017,4.8375,68,48,0.603125,0.23048221982758627,3070336.0,68,1.6425583846168148,45152.0
4.8375,17557.52987575531,0.0,68.0,68,0.019908214,4.8375,68,49,0.490625,0.7421223958333333,3135616.0,68,1.5793435889238923,46112.0
4.8375,17914.15171813965,0.0,68.0,68,0.019604433,4.8375,68,50,1.0562500000000004,0.702599676724138,3198720.0,68,1.3452027031269302,47040.0
6.0875,18273.904805898666,0.0,68.0,68,0.02184799,6.0875,68,51,1.390625,0.792510775862069,3261824.0,68,1.5407581078400983,47968.0
4.525,18630.42683339119,0.0,68.0,68,0.019004237,6.0875,68,52,0.5156250000000001,0.7531901041666667,3327104.0,68,1.5136456146915631,48928.0
6.4,18988.955528736115,0.0,68.0,68,0.023464499,6.4,68,53,1.0375000000000003,1.0066810344827586,3390208.0,68,1.7005973215314671,49856.0
5.775,19347.228689432144,0.0,68.0,68,0.026230054,6.4,68,54,1.1468750000000003,1.1623697916666667,3455488.0,68,1.6121456732798682,50816.0
6.0875,19703.896731615067,0.0,68.0,68,0.028428394,6.4,68,55,1.64375,1.2309536637931033,3518592.0,68,1.3916463945629292,51744.0
6.4,20061.904474258423,0.0,68.0,68,0.02593382,6.4,68,56,0.9500000000000003,1.14609375,3583872.0,68,1.6107063667844614,52704.0
6.0875,20416.12723493576,0.0,68.0,68,0.026735568,6.4,68,57,1.2281250000000004,1.3080684267241378,3646976.0,68,1.3900982148305205,53632.0
5.775,20774.937520742416,0.0,68.0,68,0.029803922,6.4,68,58,1.753125,1.3501616379310344,3710080.0,68,1.3204040278925993,54560.0
6.0875,21129.82256579399,0.0,68.0,68,0.03201941,6.4,68,59,2.2249999999999996,1.5966145833333334,3775360.0,68,1.3838634777318173,55520.0
6.4,21487.802881002426,0.0,68.0,68,0.03292371,6.4,68,60,1.3125000000000002,1.5835264008620684,3838464.0,68,1.629848535907555,56448.0
5.775,21843.016329050064,0.0,68.0,68,0.031002844,6.4,68,61,2.034375,1.5097005208333332,3903744.0,68,1.5702650801297848,57408.0
6.4,22199.982650756836,0.0,68.0,68,0.034212798,6.4,68,62,2.115625,1.8064520474137928,3966848.0,68,1.2734480444348721,58336.0
6.7125,22557.394452810287,0.0,68.0,68,0.03607132,6.7125,68,63,1.575,1.685560344827586,4029952.0,68,1.2795873358235457,59264.0
6.4,22910.666731357574,0.0,68.0,68,0.03159418,6.7125,68,64,2.028125,1.6496744791666662,4095232.0,68,1.3091437743330565,60224.0
6.4,23267.492483854294,0.0,68.0,68,0.039197464,6.7125,68,65,2.3874999999999997,2.077195581896551,4158336.0,68,1.4461154863979573,61152.0
6.4,23621.55629634857,0.0,68.0,68,0.035945345,6.7125,68,66,1.534375,1.8423828124999992,4223616.0,68,1.4430971196960378,62112.0
6.0875,23975.272047519684,0.0,68.0,68,0.034293186,6.7125,68,67,1.2812500000000002,1.7458378232758618,4286720.0,68,1.151408783838303,63040.0
5.775,24334.14698433876,0.0,68.0,68,0.034078233,6.7125,68,68,2.109375,1.6121497844827584,4349824.0,68,1.5773389131302762,63968.0
