epcount,eprew_recent,tcount,eplen,recent_best_eplen,eprew,eprew_std,n_updates,best_ext_ret,best_eplen,total_secs,eplen_std,rew_mean,recent_worst_eplen,recent_best_ext_ret,,
928,-13.02618534,63104,68,68,-12.946875,0.807792855,1,-10.7875,68,370.7672834,0,-0.16081998,68,-10.7875,,
1856,-13.03830819,126208,68,68,-12.85625,0.720487031,2,-10.7875,68,740.0723591,0,-0.18231893,68,-10.7875,,
2816,-12.92779948,191488,68,68,-13.009375,0.704193632,3,-10.7875,68,1106.764339,0,-0.18211187,68,-10.7875,,
3744,-12.84265894,254592,68,68,-12.79375,0.76569515,4,-9.85,68,1472.842911,0,-0.18078074,68,-9.85,,
4704,-12.86627604,319872,68,68,-12.86875,0.78339705,5,-9.5375,68,1841.613363,0,-0.18097524,68,-9.5375,,
5632,-12.80258621,382976,68,68,-12.75625,0.83443937,6,-9.5375,68,2208.392737,0,-0.18018897,68,-9.85,,
6560,-12.70189925,446080,68,68,-12.759375,0.773959735,7,-9.5375,68,2575.740623,0,-0.17815755,68,-9.85,,
7520,-12.58795573,511360,68,68,-12.46875,0.845230183,8,-9.5375,68,2943.744622,0,-0.17705117,68,-9.85,,
8448,-12.56720097,574464,68,68,-12.80625,0.726748968,9,-9.5375,68,3310.300697,0,-0.17642991,68,-9.5375,,
9408,-12.5671224,639744,68,68,-12.559375,0.805322868,10,-9.5375,68,3675.917723,0,-0.17630903,68,-9.5375,,
10336,-12.50726024,702848,68,68,-12.51875,0.813004651,11,-8.6,68,4041.862389,0,-0.17558652,68,-8.6,,
11264,-12.43115571,765952,68,68,-12.48125,0.866228355,12,-8.6,68,4410.747686,0,-0.17412375,68,-9.85,,
12224,-12.47532552,831232,68,68,-12.559375,0.831573011,13,-8.6,68,4772.932501,0,-0.17500968,68,-9.85,,
13152,-12.32474407,894336,68,68,-12.31875,0.848366998,14,-8.6,68,5141.380601,0,-0.17250498,68,-8.6,,
14112,-12.34414062,959616,68,68,-12.3,0.936165717,15,-8.6,68,5506.936382,0,-0.17287473,68,-9.5375,,
15040,-12.32373384,1022720,68,68,-12.290625,0.922478616,16,-8.6,68,5872.238631,0,-0.17257844,68,-8.6,,
15968,-12.17926994,1085824,68,68,-12.1875,0.895387486,17,-8.6,68,6241.532638,0,-0.17004032,68,-8.6,,
16928,-12.10748698,1151104,68,68,-12.115625,1.015865356,18,-8.6,68,6606.373319,0,-0.16938692,68,-8.6,,
17856,-12.057368,1214208,68,68,-12.05625,0.830121414,19,-8.6,68,6974.331254,0,-0.16807623,68,-8.6,,
18816,-11.99257812,1279488,68,68,-11.7875,0.916429894,20,-8.2875,68,7335.156929,0,-0.1676167,68,-8.2875,,
19744,-11.9240167,1342592,68,68,-11.846875,0.900189867,21,-8.2875,68,7700.023172,0,-0.16628191,68,-8.6,,
20704,-11.78098958,1407872,68,68,-11.721875,0.956571637,22,-8.2875,68,8067.063952,0,-0.1642575,68,-8.6,,
21632,-11.77248114,1470976,68,68,-11.75,0.870165214,23,-8.2875,68,8429.781757,0,-0.16436453,68,-8.6,,
22560,-11.67314116,1534080,68,68,-11.74375,0.895758233,24,-8.2875,68,8798.801809,0,-0.16239765,68,-8.2875,,
23520,-11.61302083,1599360,68,68,-11.475,0.910013736,25,-8.2875,68,9164.990426,0,-0.16193838,68,-8.6,,
24448,-11.48860453,1662464,68,68,-11.484375,0.948739913,26,-8.2875,68,9531.176514,0,-0.15945616,68,-8.2875,,
25408,-11.48476562,1727744,68,68,-11.61875,0.925147792,27,-8.2875,68,9897.435822,0,-0.159908,68,-8.6,,
26336,-11.34077317,1790848,68,68,-11.546875,0.912430434,28,-8.2875,68,10264.73163,0,-0.15765733,68,-8.2875,,
27264,-11.20674838,1853952,68,68,-11.3125,1.037274072,29,-7.35,68,10632.18988,0,-0.15527336,68,-7.35,,
28224,-11.1328776,1919232,68,68,-10.903125,1.183921417,30,-7.35,68,10998.94275,0,-0.1549401,68,-7.35,,
29152,-10.99055765,1982336,68,68,-10.940625,1.042547024,31,-7.0375,68,11366.94402,0,-0.15212274,68,-7.0375,,
30112,-10.92226562,2047616,68,68,-10.9375,0.986708544,32,-7.0375,68,11731.75738,0,-0.15147538,68,-7.975,,
31040,-10.84609375,2110720,68,68,-10.790625,1.093745536,33,-6.725,68,12098.70456,0,-0.15015899,68,-6.725,,
31968,-10.75853987,2173824,68,68,-10.83125,0.973295786,34,-6.1,68,12467.61622,0,-0.14854525,68,-6.1,,
32928,-10.740625,2239104,68,68,-10.765625,1.009964998,35,-6.1,68,12830.09404,0,-0.14895721,68,-6.725,,
33856,-10.65280172,2302208,68,68,-10.6125,1.060033903,36,-6.1,68,13196.05184,0,-0.14663832,68,-7.35,,
34816,-10.50592448,2367488,68,68,-10.584375,1.124457334,37,-6.1,68,13561.31569,0,-0.1454124,68,-7.35,,
35744,-10.54167565,2430592,68,68,-10.390625,1.044755317,38,-6.1,68,13927.35317,0,-0.14529255,68,-7.35,,
36704,-10.4141276,2495872,68,68,-10.296875,1.088159821,39,-5.7875,68,14296.86299,0,-0.1435993,68,-5.7875,,
37632,-10.30730065,2558976,68,68,-10.371875,1.034611,40,-5.7875,68,14660.58507,0,-0.14217429,68,-5.7875,,
38560,-10.17529634,2622080,68,68,-10.128125,1.056873891,41,-5.7875,68,15028.45438,0,-0.14002171,68,-6.4125,,
39520,-10.21458333,2687360,68,68,-10.396875,1.026385306,42,-5.7875,68,15392.4737,0,-0.14098276,68,-6.725,,
40448,-10.20863416,2750464,68,68,-10.3375,1.05078096,43,-5.7875,68,15756.56938,0,-0.14045672,68,-6.725,,
41408,-10.01764323,2815744,68,68,-10.021875,1.127925883,44,-5.7875,68,16121.56278,0,-0.13757624,68,-7.0375,,
42336,-9.807233297,2878848,68,68,-10.053125,1.165398772,45,-5.7875,68,16487.48729,0,-0.13468267,68,-6.4125,,
43264,-9.999178341,2941952,68,68,-9.840625,0.937973839,46,-5.7875,68,16854.0268,0,-0.13716511,68,-6.4125,,
44224,-9.809635417,3007232,68,68,-9.521875,1.246381481,47,-5.7875,68,17217.49492,0,-0.13478447,68,-7.0375,,
45152,-9.779283405,3070336,68,68,-9.334375,1.266589139,48,-4.5375,68,17583.12024,0,-0.13363338,68,-4.5375,,
46112,-9.691145833,3135616,68,68,-9.59375,1.284964129,49,-4.225,68,17948.01545,0,-0.13310644,68,-4.225,,
47040,-9.711260776,3198720,68,68,-9.721875,1.042172273,50,-4.225,68,18310.93415,0,-0.13267902,68,-6.1,,
47968,-9.577909483,3261824,68,68,-9.359375,1.125221332,51,-4.225,68,18677.69795,0,-0.13121194,68,-5.7875,,
48928,-9.605859375,3327104,68,68,-9.834375,1.082869993,52,-4.225,68,19043.90331,0,-0.13165423,68,-5.7875,,
49856,-9.512917565,3390208,68,68,-9.5,1.145030021,53,-4.225,68,19411.04383,0,-0.12936333,68,-6.1,,
50816,-9.415755208,3455488,68,68,-9.25625,1.200179023,54,-4.225,68,19777.3218,0,-0.12941939,68,-6.1,,
51744,-9.479916487,3518592,68,68,-9.6375,1.068804823,55,-4.225,68,20145.85577,0,-0.12870236,68,-4.5375,,
52704,-9.313541667,3583872,68,68,-9.678125,1.168745822,56,-4.225,68,20512.89373,0,-0.12736137,68,-4.85,,
53632,-9.306155711,3646976,68,68,-9.040625,1.124214135,57,-4.225,68,20879.12539,0,-0.12704326,68,-5.475,,
54560,-9.394719828,3710080,68,68,-9.571875,1.066989595,58,-4.225,68,21244.01031,0,-0.12750654,68,-4.5375,,
55520,-9.338606771,3775360,68,68,-9.6125,1.069024088,59,-4.225,68,21610.87619,0,-0.12785815,68,-5.475,,
56448,-9.185264009,3838464,68,68,-9.365625,1.133108797,60,-4.225,68,21977.05369,0,-0.12473842,68,-5.475,,
57408,-9.223372396,3903744,68,68,-9.128125,1.183129292,61,-4.225,68,22347.36488,0,-0.12551796,68,-5.475,,
58336,-9.22028556,3966848,68,68,-9.340625,0.930867161,62,-4.225,68,22712.99668,0,-0.12525633,68,-5.475,,
59264,-9.120945582,4029952,68,68,-9.390625,1.052763291,63,-4.225,68,23081.49605,0,-0.123340435,68,-5.7875,,
60224,-8.98671875,4095232,68,68,-9.325,1.066975867,64,-4.225,68,23447.17057,0,-0.122787535,68,-4.85,,
61152,-9.232745151,4158336,68,68,-9.2875,1.069827673,65,-4.225,68,23813.60644,0,-0.12522873,68,-4.225,,
62112,-9.178125,4223616,68,68,-8.975,1.143083822,66,-4.225,68,24179.29166,0,-0.12486369,68,-5.475,,
63040,-9.026656789,4286720,68,68,-9.209375,1.116613708,67,-4.225,68,24545.53611,0,-0.121974684,68,-4.85,,
63968,-8.933714978,4349824,68,68,-9.409375,1.044044681,68,-4.225,68,24914.0714,0,-0.12124377,68,-4.225,,
64928,-8.929752604,4415104,68,68,-9.028125,1.252852215,69,-4.225,68,25274.38368,0,-0.12110757,68,-4.5375,,
65856,-8.95627694,4478208,68,68,-8.509375,1.154386167,70,-4.225,68,25640.29843,0,-0.12070932,68,-4.5375,,
66816,-8.991927083,4543488,68,68,-9.075,1.063859424,71,-4.225,68,26004.09074,0,-0.12253116,68,-4.5375,,
67744,-8.782179418,4606592,68,68,-9.125,1.150645199,72,-4.225,68,26370.94105,0,-0.11853593,68,-5.475,,
68704,-8.857161458,4671872,68,68,-9.140625,1.00570152,73,-4.225,68,26736.80237,0,-0.11983788,68,-4.85,,
69632,-8.733014547,4734976,68,68,-8.9375,1.232439147,74,-4.225,68,27103.80702,0,-0.11826428,68,-4.5375,,
70560,-8.834711746,4798080,68,68,-8.9375,1.134232946,75,-4.225,68,27474.02121,0,-0.1186679,68,-4.5375,,
71520,-8.703190104,4863360,68,68,-8.4125,0.950945253,76,-4.225,68,27841.58513,0,-0.11798982,68,-4.5375,,
72448,-8.853232759,4926464,68,68,-8.790625,1.154047734,77,-4.225,68,28209.51656,0,-0.119421,68,-4.85,,
73408,-8.733463542,4991744,68,68,-8.759375,0.977775497,78,-4.225,68,28574.67879,0,-0.118182205,68,-4.225,,
74336,-8.687553879,5054848,68,68,-8.796875,1.052948798,79,-4.225,68,28939.58509,0,-0.11677842,68,-5.475,,
75264,-8.651858836,5117952,68,68,-8.434375,1.02264879,80,-4.225,68,29303.31488,0,-0.11641592,68,-4.85,,
76224,-8.641015625,5183232,68,68,-8.734375,1.038567786,81,-4.225,68,29665.50138,0,-0.1171102,68,-4.85,,
77152,-8.637715517,5246336,68,68,-8.725,1.106620701,82,-4.225,68,30032.15655,0,-0.11582864,68,-4.85,,
78112,-8.5765625,5311616,68,68,-8.55,1.114289291,83,-4.225,68,30396.26419,0,-0.11556882,68,-4.5375,,
79040,-8.717860991,5374720,68,68,-8.978125,1.261892645,84,-4.225,68,30759.67311,0,-0.117174834,68,-4.85,,
79968,-8.717860991,5437824,68,68,-8.559375,1.237164569,85,-4.225,68,31127.79899,0,-0.11688475,68,-4.5375,,
80928,-8.718489583,5503104,68,68,-8.890625,1.115633753,86,-4.225,68,31495.65417,0,-0.117603086,68,-5.7875,,
81856,-8.694625539,5566208,68,68,-8.553125,1.147666621,87,-4.225,68,31861.85621,0,-0.11621407,68,-4.85,,
