best_ext_ret,eprew,rew_mean,recent_best_eplen,best_eplen,n_updates,epcount,eplen_std,total_secs,recent_worst_eplen,eprew_std,recent_best_ext_ret,eprew_recent,tcount,eplen
-4.5375,-7.875,-0.087863356,68,68,141,928.0,0.0,250.1518783569336,68,1.1161807089356097,-4.5375,-8.05716594827586,9023104.0,68.0
-3.6,-8.065625,-0.07627196,68,68,142,1856.0,0.0,499.49225783348083,68,1.096242695243622,-3.6,-8.004296874999998,9086208.0,68.0
-3.6,-7.771875,-0.070562676,68,68,143,2816.0,0.0,746.8210892677307,68,1.167909958804616,-4.5375,-7.908593749999998,9151488.0,68.0
-3.6,-8.0875,-0.06442223,68,68,144,3744.0,0.0,995.1570465564728,68,0.9677615925422957,-4.225,-7.934590517241377,9214592.0,68.0
-3.6,-7.965625,-0.06304829,68,68,145,4704.0,0.0,1242.836830854416,68,1.2259044811383144,-4.5375,-8.033268229166664,9279872.0,68.0
-2.6625,-8.034375,-0.06101753,68,68,146,5632.0,0.0,1489.557599067688,68,1.2867223075998178,-2.6625,-8.05783943965517,9342976.0,68.0
-2.6625,-7.475,-0.054703787,68,68,147,6560.0,0.0,1736.4149119853973,68,1.1490485194281397,-4.5375,-7.84164870689655,9406080.0,68.0
-2.6625,-7.821875,-0.05393281,68,68,148,7520.0,0.0,1981.5093824863434,68,1.1158438160759774,-3.2875,-7.761783854166665,9471360.0,68.0
-2.6625,-8.178125,-0.052510235,68,68,149,8448.0,0.0,2229.355089902878,68,1.1637216363353395,-4.85,-7.90933459051724,9534464.0,68.0
-2.6625,-7.83125,-0.05175084,68,68,150,9408.0,0.0,2477.519234418869,68,1.0865117636270671,-3.9125,-7.802473958333332,9599744.0,68.0
-2.6625,-7.990625,-0.05208377,68,68,151,10336.0,0.0,2724.6564331054688,68,0.9482457075436724,-3.9125,-8.019113685344825,9662848.0,68.0
-2.6625,-7.709375,-0.04718686,68,68,152,11264.0,0.0,2971.336035013199,68,1.0637630360540828,-3.2875,-7.789789870689654,9725952.0,68.0
-2.6625,-8.134375,-0.048707213,68,68,153,12224.0,0.0,3216.765549182892,68,1.1228234152684027,-4.5375,-7.871809895833332,9791232.0,68.0
-2.6625,-8.046875,-0.045152985,68,68,154,13152.0,0.0,3466.8608536720276,68,1.1446674940239197,-2.975,-7.807300646551722,9854336.0,68.0
-2.6625,-8.0,-0.04743417,68,68,155,14112.0,0.0,3712.572040081024,68,1.203575402706453,-3.2875,-7.875716145833332,9919616.0,68.0
-2.6625,-8.14375,-0.045381386,68,68,156,15040.0,0.0,3960.72531914711,68,1.1025715679718937,-4.225,-7.914722521551722,9982720.0,68.0
-2.6625,-7.58125,-0.04369672,68,68,157,15968.0,0.0,4211.3565554618835,68,1.1461722983478535,-4.225,-7.857812499999998,10045824.0,68.0
-2.6625,-7.55625,-0.044310503,68,68,158,16928.0,0.0,4461.579166173935,68,1.1225842117631977,-3.6,-7.821679687499998,10111104.0,68.0
-2.6625,-8.159375,-0.042370602,68,68,159,17856.0,0.0,4709.9591274261475,68,1.2295951760132275,-4.225,-7.872966056034481,10174208.0,68.0
-2.6625,-7.43125,-0.042738724,68,68,160,18816.0,0.0,4956.054604291916,68,1.187187458870755,-4.225,-7.767317708333332,10239488.0,68.0
-2.6625,-7.5,-0.03954731,68,68,161,19744.0,0.0,5205.918344974518,68,1.2187339742536107,-2.975,-7.712001616379308,10302592.0,68.0
-2.6625,-7.7375,-0.041942704,68,68,162,20704.0,0.0,5453.939811944962,68,1.243043140844275,-4.5375,-7.862044270833332,10367872.0,68.0
-2.6625,-7.803125,-0.040479198,68,68,163,21632.0,0.0,5699.290020465851,68,1.2098028958780849,-2.6625,-7.827505387931033,10430976.0,68.0
-2.6625,-7.85,-0.038971562,68,68,164,22560.0,0.0,5945.854034662247,68,1.0652537843162069,-4.225,-7.76352370689655,10494080.0,68.0
-2.6625,-7.9125,-0.04212636,68,68,165,23520.0,0.0,6189.449075460434,68,1.015504800579495,-3.9125,-7.847721354166665,10559360.0,68.0
-2.6625,-7.715625,-0.03889651,68,68,166,24448.0,0.0,6434.976609706879,68,1.2279739092810564,-3.9125,-7.809994612068964,10622464.0,68.0
-2.6625,-7.878125,-0.03956144,68,68,167,25408.0,0.0,6680.22746181488,68,1.1589453381738934,-3.2875,-7.764713541666665,10687744.0,68.0
-2.6625,-8.1625,-0.039208673,68,68,168,26336.0,0.0,6928.486880779266,68,1.1800754742812003,-4.225,-7.838954741379308,10750848.0,68.0
-2.6625,-8.228125,-0.03766664,68,68,169,27264.0,0.0,7177.911050796509,68,1.0939240932875554,-4.225,-7.758135775862067,10813952.0,68.0
-2.6625,-7.803125,-0.039658442,68,68,170,28224.0,0.0,7421.492261648178,68,1.2049499146748797,-3.6,-7.797916666666665,10879232.0,68.0
-2.6625,-7.609375,-0.036350094,68,68,171,29152.0,0.0,7666.280199766159,68,1.2351105403464906,-4.5375,-7.702235991379308,10942336.0,68.0
-2.6625,-8.034375,-0.03822075,68,68,172,30112.0,0.0,7915.179095506668,68,1.1290681652916268,-3.9125,-7.748437499999998,11007616.0,68.0
-2.6625,-7.575,-0.0359444,68,68,173,31040.0,0.0,8160.517880439758,68,1.1743349181558043,-3.2875,-7.713685344827584,11070720.0,68.0
-2.6625,-7.93125,-0.0361432,68,68,174,31968.0,0.0,8407.936888694763,68,0.9882315328403561,-4.225,-7.67495959051724,11133824.0,68.0
-2.35,-7.740625,-0.03541191,68,68,175,32928.0,0.0,8650.840508699417,68,1.0452412625202854,-2.35,-7.603255208333332,11199104.0,68.0
-2.35,-7.665625,-0.03565829,68,68,176,33856.0,0.0,8895.987092494965,68,1.1477687253427844,-4.5375,-7.751400862068964,11262208.0,68.0
-2.35,-7.525,-0.03789046,68,68,177,34816.0,0.0,9142.631851196289,68,1.148470450207579,-4.5375,-7.822981770833332,11327488.0,68.0
-2.35,-7.634375,-0.036666468,68,68,178,35744.0,0.0,9387.11419391632,68,1.002043809858132,-4.5375,-7.792483836206895,11390592.0,68.0
-2.35,-8.14375,-0.037818342,68,68,179,36704.0,0.0,9633.492733955383,68,1.1845522624603781,-3.9125,-7.828515624999998,11455872.0,68.0
-2.35,-7.840625,-0.03707686,68,68,180,37632.0,0.0,9877.62365102768,68,1.0553574261239649,-4.225,-7.788779633620688,11518976.0,68.0
-2.35,-7.3875,-0.03227933,68,68,181,38560.0,0.0,10126.731826782227,68,1.358767824170119,-3.2875,-7.532179418103446,11582080.0,68.0
-2.35,-7.778125,-0.036462083,68,68,182,39520.0,0.0,10372.10374045372,68,1.1264357158200375,-3.6,-7.713281249999998,11647360.0,68.0
-2.35,-8.034375,-0.035857115,68,68,183,40448.0,0.0,10617.68134522438,68,1.019051910785216,-3.6,-7.823127693965516,11710464.0,68.0
-2.35,-7.55625,-0.03305634,68,68,184,41408.0,0.0,10864.220601320267,68,1.1381351248863203,-3.2875,-7.567447916666665,11775744.0,68.0
-2.35,-7.628125,-0.03257861,68,68,185,42336.0,0.0,11107.777564525604,68,1.180815892455297,-4.225,-7.552384159482757,11838848.0,68.0
-2.35,-7.43125,-0.033442013,68,68,186,43264.0,0.0,11352.10775256157,68,1.1133248346731512,-3.9125,-7.648693426724136,11901952.0,68.0
-2.35,-7.225,-0.03478503,68,68,187,44224.0,0.0,11596.17235326767,68,1.3287682265918312,-3.2875,-7.635807291666665,11967232.0,68.0
-2.35,-6.98125,-0.0325516,68,68,188,45152.0,0.0,11843.326004266739,68,1.2857238962934459,-2.975,-7.627141702586205,12030336.0,68.0
-2.35,-7.340625,-0.03441775,68,68,189,46112.0,0.0,12087.803585767746,68,1.2635631352943943,-3.2875,-7.661197916666665,12095616.0,68.0
-2.35,-7.590625,-0.032104705,68,68,190,47040.0,0.0,12330.061742305756,68,1.1906660097924189,-3.2875,-7.575956357758619,12158720.0,68.0
-2.35,-7.684375,-0.03393605,68,68,191,47968.0,0.0,12575.826386451721,68,1.0099649978464602,-4.225,-7.6978582974137915,12221824.0,68.0
-2.35,-7.959375,-0.03500238,68,68,192,48928.0,0.0,12815.248841762543,68,1.12965616312,-3.9125,-7.738997395833332,12287104.0,68.0
-1.725,-7.6125,-0.03064735,68,68,193,49856.0,0.0,13061.48945403099,68,1.1325441492498207,-1.725,-7.5695581896551705,12350208.0,68.0
-1.725,-7.678125,-0.033040494,68,68,194,50816.0,0.0,13305.053264856339,68,1.3098000503416543,-1.725,-7.609114583333332,12415488.0,68.0
-1.725,-7.578125,-0.030675737,68,68,195,51744.0,0.0,13550.281744241714,68,1.1791275575080926,-3.6,-7.564507004310343,12478592.0,68.0
-1.725,-7.5875,-0.03133892,68,68,196,52704.0,0.0,13792.252570152283,68,1.1751994511571218,-2.0375,-7.583723958333332,12543872.0,68.0
-1.725,-7.19375,-0.031855848,68,68,197,53632.0,0.0,14034.358124017715,68,1.2179484543690673,-3.2875,-7.625794719827584,12606976.0,68.0
