recent_best_eplen,best_eplen,rew_mean,n_updates,tcount,epcount,eprew_recent,recent_best_ext_ret,eprew,eplen_std,best_ext_ret,eprew_std,recent_worst_eplen,eplen,total_secs
105,105,-0.16737704,1,63840,608,-20.48858964,-16.625,-20.3921875,0,-16.625,0.75483306,105,105,628.7463708
105,105,-0.18401831,2,127680,1216,-20.46520354,-17.5625,-20.4796875,0,-16.625,0.693177903,105,105,1246.908262
105,105,-0.1852675,3,191520,1824,-20.39915707,-17.25,-20.3296875,0,-16.625,0.638638307,105,105,1857.923573
105,105,-0.1852453,4,255360,2432,-20.33131168,-17.40625,-20.3546875,0,-16.625,0.739726182,105,105,2469.920351
105,105,-0.18374228,5,319200,3040,-20.13651316,-16.625,-20.1109375,0,-16.625,0.852298993,105,105,3088.850864
105,105,-0.1835698,6,383040,3648,-20.10464638,-16.625,-20.10625,0,-16.625,0.8626585,105,105,3707.775457
105,105,-0.18191938,7,446880,4256,-19.91704359,-16.46875,-19.93125,0,-16.46875,0.969938787,105,105,4320.586771
105,105,-0.18153773,8,510720,4864,-19.89185855,-16.3125,-19.88125,0,-16.3125,0.907251602,105,105,4935.492044
105,105,-0.17985687,9,574560,5472,-19.68935033,-16,-19.565625,0,-16,1.052429295,105,105,5554.315565
105,105,-0.17889461,10,638400,6080,-19.60659951,-15.53125,-19.6171875,0,-15.53125,0.976124902,105,105,6168.435457
105,105,-0.17663175,11,702240,6688,-19.37042558,-15.0625,-19.1984375,0,-15.0625,1.156346069,105,105,6784.86341
105,105,-0.17530383,12,766080,7296,-19.23422081,-14.90625,-18.98125,0,-14.90625,1.191539183,105,105,7401.586371
105,105,-0.17261212,13,829920,7904,-18.97774465,-13.8125,-18.9921875,0,-13.8125,1.199644926,105,105,8016.085502
105,105,-0.17094785,14,893760,8512,-18.77832031,-14.28125,-18.6203125,0,-13.8125,1.322848895,105,105,8631.479983
105,105,-0.16788724,15,957600,9120,-18.49820107,-13.96875,-18.48125,0,-13.8125,1.39846456,105,105,9249.952063
105,105,-0.16424248,16,1021440,9728,-18.05437911,-12.40625,-18.0078125,0,-12.40625,1.277122735,105,105,9862.833596
105,105,-0.15998513,17,1085280,10336,-17.64936266,-11.625,-17.7546875,0,-11.625,1.4999764,105,105,10479.9639
105,105,-0.15734462,18,1149120,10944,-17.36693051,-11.625,-17.1140625,0,-11.625,1.535652949,105,105,11091.88916
105,105,-0.15450421,19,1212960,11552,-17.0469778,-11.46875,-17.1234375,0,-11.46875,1.546747943,105,105,11705.71156
