recent_best_eplen,best_eplen,rew_mean,n_updates,tcount,epcount,eprew_recent,recent_best_ext_ret,eprew,eplen_std,best_ext_ret,eprew_std,recent_worst_eplen,eplen,total_secs
105,105,-0.16737704,1,63840.0,608.0,-20.488589638157894,-16.625,-20.3921875,0.0,-16.625,0.7548330604966572,105,105.0,628.7463707923889
105,105,-0.18401831,2,127680.0,1216.0,-20.46520353618421,-17.5625,-20.4796875,0.0,-16.625,0.6931779031884601,105,105.0,1246.9082622528076
105,105,-0.1852675,3,191520.0,1824.0,-20.39915707236842,-17.25,-20.3296875,0.0,-16.625,0.6386383066484111,105,105.0,1857.9235730171204
105,105,-0.1852453,4,255360.0,2432.0,-20.33131167763158,-17.40625,-20.3546875,0.0,-16.625,0.7397261819205468,105,105.0,2469.920350551605
105,105,-0.18374228,5,319200.0,3040.0,-20.136513157894736,-16.625,-20.1109375,0.0,-16.625,0.8522989934399487,105,105.0,3088.850864171982
105,105,-0.1835698,6,383040.0,3648.0,-20.10464638157895,-16.625,-20.10625,0.0,-16.625,0.8626584999291436,105,105.0,3707.7754571437836
105,105,-0.18191938,7,446880.0,4256.0,-19.917043585526315,-16.46875,-19.93125,0.0,-16.46875,0.9699387867283171,105,105.0,4320.586770772934
105,105,-0.18153773,8,510720.0,4864.0,-19.89185855263158,-16.3125,-19.88125,0.0,-16.3125,0.90725160167949,105,105.0,4935.492043972015
105,105,-0.17985687,9,574560.0,5472.0,-19.68935032894737,-16.0,-19.565625,0.0,-16.0,1.0524292954279637,105,105.0,5554.3155653476715
105,105,-0.17889461,10,638400.0,6080.0,-19.60659950657895,-15.53125,-19.6171875,0.0,-15.53125,0.9761249019560714,105,105.0,6168.435456752777
105,105,-0.17663175,11,702240.0,6688.0,-19.370425575657894,-15.0625,-19.1984375,0.0,-15.0625,1.1563460686441365,105,105.0,6784.863409757614
105,105,-0.17530383,12,766080.0,7296.0,-19.23422080592105,-14.90625,-18.98125,0.0,-14.90625,1.19153918315765,105,105.0,7401.586370706558
105,105,-0.17261212,13,829920.0,7904.0,-18.977744654605264,-13.8125,-18.9921875,0.0,-13.8125,1.1996449263089266,105,105.0,8016.085502147675
105,105,-0.17094785,14,893760.0,8512.0,-18.7783203125,-14.28125,-18.6203125,0.0,-13.8125,1.3228488950816533,105,105.0,8631.479982852936
