rew_mean,eplen,eprew_recent,recent_best_ext_ret,recent_best_eplen,eprew_std,total_secs,tcount,n_updates,best_ext_ret,eprew,epcount,best_eplen,recent_worst_eplen,eplen_std
-0.16911317,75,-14.8445012,-12.34375,75,0.46015824,668.0412347,62400,1,-12.34375,-14.8234375,832,75,75,0
-0.18653037,75,-14.8171658,-12.65625,75,0.359968939,1326.662621,127200,2,-12.34375,-14.8671875,1696,75,75,0
-0.1877079,75,-14.78083684,-11.71875,75,0.48133877,1986.179629,189600,3,-11.71875,-14.7671875,2528,75,75,0
-0.18813772,75,-14.77593316,-11.71875,75,0.429079115,2640.506688,254400,4,-11.71875,-14.7921875,3392,75,75,0
-0.18808998,75,-14.75947627,-11.71875,75,0.503840233,3295.29295,319200,5,-11.71875,-14.6703125,4256,75,75,0
-0.18669307,75,-14.67228816,-12.5,75,0.496695624,3954.652909,381600,6,-11.71875,-14.6984375,5088,75,75,0
-0.18590453,75,-14.5932798,-11.5625,75,0.558142847,4608.004789,446400,7,-11.5625,-14.65625,5952,75,75,0
-0.18380687,75,-14.44625289,-11.25,75,0.719040363,5262.22006,511200,8,-11.25,-14.4171875,6816,75,75,0
-0.18250227,75,-14.35246394,-11.25,75,0.856238595,5921.607241,573600,9,-11.25,-14.3,7648,75,75,0
-0.1801444,75,-14.16775174,-10.625,75,0.871750383,6568.543183,638400,10,-10.625,-14.0078125,8512,75,75,0
-0.17770456,75,-13.99215133,-9.0625,75,0.937869719,7220.282197,703200,11,-9.0625,-13.834375,9376,75,75,0
-0.17377114,75,-13.7092473,-8.4375,75,1.194608657,7880.56279,765600,12,-8.4375,-13.7625,10208,75,75,0
-0.16962929,75,-13.37004485,-7.8125,75,1.080631145,8528.130032,830400,13,-7.8125,-13.559375,11072,75,75,0
-0.16286218,75,-12.88483796,-6.5625,75,1.492719146,9177.88064,895200,14,-6.5625,-12.6015625,11936,75,75,0
-0.15667816,75,-12.44403546,-6.5625,75,1.45262004,9832.206616,957600,15,-6.5625,-12.5765625,12768,75,75,0
-0.15073836,75,-11.92997685,-4.84375,75,1.639267295,10485.75252,1022400,16,-4.84375,-11.846875,13632,75,75,0
-0.1408565,75,-11.19900174,-5,75,1.840850474,11136.75609,1087200,17,-4.84375,-11.2875,14496,75,75,0
-0.13083231,75,-10.51457332,-4.0625,75,2.169553053,11791.5913,1149600,18,-4.0625,-10.4265625,15328,75,75,0
-0.12210684,75,-9.777560764,-2.65625,75,1.738142726,12449.66543,1214400,19,-2.65625,-9.7203125,16192,75,75,0
-0.109619014,75,-8.763201678,-2.34375,75,2.098508469,13106.82328,1279200,20,-2.34375,-8.7921875,17056,75,75,0
-0.098891094,75,-8.07016226,-1.5625,75,1.809676545,13771.33773,1341600,21,-1.5625,-8.3328125,17888,75,75,0
-0.08897443,75,-7.260380498,-0.3125,75,2.062317108,14424.83871,1406400,22,-0.3125,-7.4171875,18752,75,75,0
-0.07988769,75,-6.46448206,-1.09375,75,1.741241335,15076.39261,1471200,23,-0.3125,-6.7890625,19616,75,75,0
-0.06534463,75,-5.516826923,1.09375,75,1.689801671,15729.81764,1533600,24,1.09375,-4.68125,20448,75,75,0
-0.057899807,75,-4.876302083,1.71875,75,1.903368724,16374.42566,1598400,25,1.71875,-4.94375,21312,75,75,0
-0.050004583,75,-4.133752894,2.34375,75,2.098885377,17023.88812,1663200,26,2.34375,-3.8921875,22176,75,75,0
-0.038473386,75,-3.502666767,3.28125,75,1.69873215,17678.79114,1725600,27,3.28125,-3.7328125,23008,75,75,0
-0.031388976,75,-2.804181134,3.59375,75,1.927783094,18323.83842,1790400,28,3.59375,-3.325,23872,75,75,0
-0.024242813,75,-2.135054977,6.5625,75,2.203111702,18975.30173,1855200,29,6.5625,-2.628125,24736,75,75,0
-0.007546616,75,-1.128493089,5.625,75,2.171333116,19623.40165,1917600,30,6.5625,-0.79375,25568,75,75,0
-0.003943272,75,-0.722475405,5.625,75,2.291647431,20270.46317,1982400,31,6.5625,-0.4921875,26432,75,75,0
0.004285225,75,0.051721644,6.5625,75,2.088222064,20916.19213,2047200,32,6.5625,0.2546875,27296,75,75,0
0.023219822,75,1.197040264,6.71875,75,2.031475949,21570.64764,2109600,33,6.71875,0.73125,28128,75,75,0
0.030077823,75,1.876627604,8.125,75,2.082701141,22217.94557,2174400,34,8.125,2.2671875,28992,75,75,0
0.043201737,75,3.007993345,8.59375,75,2.064797489,22867.9156,2239200,35,8.59375,3.365625,29856,75,75,0
0.053788446,75,3.467548077,9.21875,75,1.67482144,23516.74078,2301600,36,9.21875,3.3109375,30688,75,75,0
0.058612406,75,4.091435185,9.375,75,1.922636409,24164.14191,2366400,37,9.375,4.2203125,31552,75,75,0
0.063604206,75,4.569408275,10.15625,75,1.63892099,24813.23483,2431200,38,10.15625,5.0515625,32416,75,75,0
0.07323695,75,4.903846154,11.09375,75,1.650102832,25465.15342,2493600,39,11.09375,5.3203125,33248,75,75,0
0.06824165,75,4.853877315,9.84375,75,1.573662472,26113.2874,2558400,40,11.09375,4.5609375,34112,75,75,0
0.07357961,75,5.365668403,10.3125,75,1.495477394,26759.01566,2623200,41,11.09375,5.3015625,34976,75,75,0
0.083355576,75,5.654672476,10.78125,75,1.539759519,27412.52856,2685600,42,11.09375,5.36875,35808,75,75,0
0.082417786,75,5.952148438,10.625,75,1.419330656,28055.22103,2750400,43,11.09375,6.2203125,36672,75,75,0
0.08209677,75,6.012731481,10,75,1.455333503,28705.22791,2815200,44,11.09375,6.3078125,37536,75,75,0
0.09301337,75,6.396108774,11.25,75,1.367911415,29357.79922,2877600,45,11.25,6.471875,38368,75,75,0
0.08683122,75,6.313657407,10.78125,75,1.369035358,30001.35002,2942400,46,11.25,6.4875,39232,75,75,0
0.091070205,75,6.662688079,11.25,75,1.333297831,30655.38099,3007200,47,11.25,6.5921875,40096,75,75,0
0.09273568,75,6.384652945,10.46875,75,1.366822273,31311.89734,3069600,48,11.25,6.29375,40928,75,75,0
0.09521656,75,6.93395544,11.40625,75,1.314339299,31959.6124,3134400,49,11.40625,6.7359375,41792,75,75,0
0.09660924,75,7.082971644,11.09375,75,1.261532736,32613.39883,3199200,50,11.40625,7.1,42656,75,75,0
0.10313547,75,7.155010517,10.9375,75,1.433740839,33275.37139,3261600,51,11.40625,8.0296875,43488,75,75,0
0.09875819,75,7.222222222,11.40625,75,1.338539133,33926.29968,3326400,52,11.40625,6.9296875,44352,75,75,0
0.09881565,75,7.260380498,11.09375,75,1.265987602,34572.95226,3391200,53,11.40625,7.059375,45216,75,75,0
0.10575427,75,7.357647236,11.40625,75,1.662796614,35224.71066,3453600,54,11.40625,7.265625,46048,75,75,0
0.10159152,75,7.456958912,11.40625,75,1.168494081,35861.49396,3518400,55,11.40625,7.2203125,46912,75,75,0
0.1045915,75,7.67541956,11.875,75,1.521592633,36512.51891,3583200,56,11.875,7.928125,47776,75,75,0
0.10948876,75,7.674278846,12.03125,75,1.43301866,37169.556,3645600,57,12.03125,7.0109375,48608,75,75,0
0.103617,75,7.580114294,12.03125,75,1.300671213,37811.17825,3710400,58,12.03125,7.1578125,49472,75,75,0
0.106702276,75,7.839988426,12.5,75,1.280453258,38451.84435,3775200,59,12.5,7.978125,50336,75,75,0
0.112395145,75,7.800292969,11.71875,75,1.402160721,39103.14353,3837600,60,12.5,7.89375,51168,75,75,0
0.110639915,75,8.179072627,12.8125,75,1.186491142,39741.52686,3902400,61,12.8125,7.5921875,52032,75,75,0
0.10694215,75,7.882848669,11.5625,75,1.133565483,40384.47,3967200,62,12.8125,8.240625,52896,75,75,0
0.115092956,75,8.016075721,12.03125,75,1.354134114,41034.05134,4029600,63,12.8125,8.5546875,53728,75,75,0
0.11463985,75,8.4765625,12.34375,75,1.231950744,41679.44418,4094400,64,12.8125,8.4265625,54592,75,75,0
0.11443939,75,8.432255498,12.03125,75,1.333284097,42323.24011,4159200,65,12.8125,8.553125,55456,75,75,0
0.113534436,75,7.889873798,12.03125,75,1.513425434,42976.133,4221600,66,12.8125,7.9328125,56288,75,75,0
0.115305305,75,8.498806424,12.65625,75,1.393960186,43620.10124,4286400,67,12.8125,8.18125,57152,75,75,0
0.11724432,75,8.67151331,12.8125,75,1.256905729,44270.52872,4351200,68,12.8125,8.2765625,58016,75,75,0
0.12041766,75,8.469613882,12.65625,75,1.126882106,44921.77882,4413600,69,12.8125,8.89375,58848,75,75,0
0.11378477,75,8.379448785,13.75,75,1.297812161,45563.72796,4478400,70,13.75,7.8875,59712,75,75,0
0.11433132,75,8.413266782,12.1875,75,1.342190228,46213.02256,4543200,71,13.75,8.365625,60576,75,75,0
0.11838534,75,8.271484375,12.34375,75,1.497109031,46860.87572,4605600,72,13.75,8.2140625,61408,75,75,0
0.11235013,75,8.286494502,11.875,75,1.3178796,47505.20962,4670400,73,13.75,7.965625,62272,75,75,0
0.11368869,75,8.392650463,12.34375,75,1.235663884,48150.92605,4735200,74,13.75,8.771875,63136,75,75,0
0.11816396,75,8.257211538,12.03125,75,1.131215469,48797.78628,4797600,75,13.75,7.63125,63968,75,75,0
0.11657974,75,8.610930266,13.59375,75,1.355128965,49445.69093,4862400,76,13.75,8.5328125,64832,75,75,0
0.11422269,75,8.413809317,11.875,75,0.945810819,50090.77637,4927200,77,13.75,8.1515625,65696,75,75,0
0.124474995,75,8.697603666,12.34375,75,1.185725442,50740.11005,4989600,78,13.75,9.0390625,66528,75,75,0
0.11763773,75,8.712022569,13.28125,75,1.258637152,51384.56902,5054400,79,13.75,8.8515625,67392,75,75,0
0.11537674,75,8.530454282,12.1875,75,1.240589578,52030.59463,5119200,80,13.75,9.03125,68256,75,75,0
0.124224305,75,8.72671274,12.03125,75,1.250268526,52678.90361,5181600,81,13.75,8.9296875,69088,75,75,0
0.115109034,75,8.511827257,13.59375,75,1.391642009,53326.64033,5246400,82,13.75,8.1703125,69952,75,75,0
0.118566364,75,8.736255787,13.125,75,1.154491907,53976.79843,5311200,83,13.75,9.3875,70816,75,75,0
0.12379111,75,8.750563401,13.125,75,1.547408368,54630.22829,5373600,84,13.75,8.4875,71648,75,75,0
0.11696194,75,8.62322772,12.8125,75,1.189450495,55281.80854,5438400,85,13.75,7.6578125,72512,75,75,0
0.12246883,75,8.986545139,13.4375,75,1.25284442,55930.67216,5503200,86,13.75,8.784375,73376,75,75,0
0.12478041,75,8.743990385,12.1875,75,1.176606075,56577.63457,5565600,87,13.75,8.8953125,74208,75,75,0
0.1186922,75,8.745840567,12.1875,75,1.293020439,57217.89165,5630400,88,13.75,8.6453125,75072,75,75,0
