rew_mean,eplen,eprew_recent,recent_best_ext_ret,recent_best_eplen,eprew_std,total_secs,tcount,n_updates,best_ext_ret,eprew,epcount,best_eplen,recent_worst_eplen,eplen_std
-0.16911317,75.0,-14.844501201923077,-12.34375,75,0.4601582395967174,668.0412347316742,62400.0,1,-12.34375,-14.8234375,832.0,75,75,0.0
-0.18653037,75.0,-14.81716579861111,-12.65625,75,0.3599689385471335,1326.6626210212708,127200.0,2,-12.34375,-14.8671875,1696.0,75,75,0.0
-0.1877079,75.0,-14.780836838942308,-11.71875,75,0.4813387702219196,1986.1796288490295,189600.0,3,-11.71875,-14.7671875,2528.0,75,75,0.0
-0.18813772,75.0,-14.775933159722221,-11.71875,75,0.42907911475478505,2640.506687641144,254400.0,4,-11.71875,-14.7921875,3392.0,75,75,0.0
-0.18808998,75.0,-14.759476273148149,-11.71875,75,0.5038402330786517,3295.2929499149323,319200.0,5,-11.71875,-14.6703125,4256.0,75,75,0.0
-0.18669307,75.0,-14.672288161057692,-12.5,75,0.496695624068453,3954.652909040451,381600.0,6,-11.71875,-14.6984375,5088.0,75,75,0.0
-0.18590453,75.0,-14.59327980324074,-11.5625,75,0.5581428468591172,4608.004789113998,446400.0,7,-11.5625,-14.65625,5952.0,75,75,0.0
-0.18380687,75.0,-14.446252893518519,-11.25,75,0.719040362544934,5262.220060110092,511200.0,8,-11.25,-14.4171875,6816.0,75,75,0.0
-0.18250227,75.0,-14.352463942307692,-11.25,75,0.8562385948145528,5921.607241153717,573600.0,9,-11.25,-14.3,7648.0,75,75,0.0
-0.1801444,75.0,-14.16775173611111,-10.625,75,0.8717503831193595,6568.543183088303,638400.0,10,-10.625,-14.0078125,8512.0,75,75,0.0
-0.17770456,75.0,-13.992151331018519,-9.0625,75,0.9378697187642856,7220.282196521759,703200.0,11,-9.0625,-13.834375,9376.0,75,75,0.0
-0.17377114,75.0,-13.709247295673077,-8.4375,75,1.194608657155137,7880.562789916992,765600.0,12,-8.4375,-13.7625,10208.0,75,75,0.0
-0.16962929,75.0,-13.370044849537036,-7.8125,75,1.0806311451531463,8528.130031824112,830400.0,13,-7.8125,-13.559375,11072.0,75,75,0.0
-0.16286218,75.0,-12.884837962962964,-6.5625,75,1.492719146128551,9177.880639791489,895200.0,14,-6.5625,-12.6015625,11936.0,75,75,0.0
-0.15667816,75.0,-12.44403545673077,-6.5625,75,1.4526200399515181,9832.206616401672,957600.0,15,-6.5625,-12.5765625,12768.0,75,75,0.0
-0.15073836,75.0,-11.929976851851851,-4.84375,75,1.6392672953563736,10485.752516508102,1022400.0,16,-4.84375,-11.846875,13632.0,75,75,0.0
-0.1408565,75.0,-11.19900173611111,-5.0,75,1.840850474305287,11136.756092786789,1087200.0,17,-4.84375,-11.2875,14496.0,75,75,0.0
-0.13083231,75.0,-10.514573317307692,-4.0625,75,2.1695530528702798,11791.591298818588,1149600.0,18,-4.0625,-10.4265625,15328.0,75,75,0.0
-0.12210684,75.0,-9.77756076388889,-2.65625,75,1.738142726222087,12449.665428638458,1214400.0,19,-2.65625,-9.7203125,16192.0,75,75,0.0
-0.109619014,75.0,-8.76320167824074,-2.34375,75,2.0985084686435624,13106.823284626007,1279200.0,20,-2.34375,-8.7921875,17056.0,75,75,0.0
-0.098891094,75.0,-8.070162259615385,-1.5625,75,1.8096765454684847,13771.337725877762,1341600.0,21,-1.5625,-8.3328125,17888.0,75,75,0.0
-0.08897443,75.0,-7.260380497685185,-0.3125,75,2.06231710836834,14424.83871126175,1406400.0,22,-0.3125,-7.4171875,18752.0,75,75,0.0
-0.07988769,75.0,-6.464482060185185,-1.09375,75,1.741241335001771,15076.392611026764,1471200.0,23,-0.3125,-6.7890625,19616.0,75,75,0.0
-0.06534463,75.0,-5.516826923076923,1.09375,75,1.68980167105492,15729.817640781403,1533600.0,24,1.09375,-4.68125,20448.0,75,75,0.0
-0.057899807,75.0,-4.876302083333333,1.71875,75,1.9033687241309811,16374.425663471222,1598400.0,25,1.71875,-4.94375,21312.0,75,75,0.0
-0.050004583,75.0,-4.133752893518518,2.34375,75,2.0988853766270203,17023.888120412827,1663200.0,26,2.34375,-3.8921875,22176.0,75,75,0.0
-0.038473386,75.0,-3.502666766826923,3.28125,75,1.6987321501545642,17678.79113793373,1725600.0,27,3.28125,-3.7328125,23008.0,75,75,0.0
-0.031388976,75.0,-2.804181134259259,3.59375,75,1.9277830936726261,18323.838424921036,1790400.0,28,3.59375,-3.325,23872.0,75,75,0.0
-0.024242813,75.0,-2.1350549768518516,6.5625,75,2.203111702087527,18975.30173254013,1855200.0,29,6.5625,-2.628125,24736.0,75,75,0.0
-0.0075466163,75.0,-1.1284930889423077,5.625,75,2.171333115853024,19623.401652097702,1917600.0,30,6.5625,-0.79375,25568.0,75,75,0.0
-0.0039432715,75.0,-0.7224754050925926,5.625,75,2.2916474312639696,20270.463171482086,1982400.0,31,6.5625,-0.4921875,26432.0,75,75,0.0
0.004285225,75.0,0.05172164351851852,6.5625,75,2.088222063555203,20916.19212603569,2047200.0,32,6.5625,0.2546875,27296.0,75,75,0.0
0.023219822,75.0,1.1970402644230769,6.71875,75,2.0314759489715843,21570.647639989853,2109600.0,33,6.71875,0.73125,28128.0,75,75,0.0
0.030077823,75.0,1.8766276041666667,8.125,75,2.0827011410590694,22217.945566654205,2174400.0,34,8.125,2.2671875,28992.0,75,75,0.0
0.043201737,75.0,3.0079933449074074,8.59375,75,2.0647974893134196,22867.91559767723,2239200.0,35,8.59375,3.365625,29856.0,75,75,0.0
0.053788446,75.0,3.467548076923077,9.21875,75,1.6748214398761294,23516.74078297615,2301600.0,36,9.21875,3.3109375,30688.0,75,75,0.0
0.058612406,75.0,4.091435185185185,9.375,75,1.9226364091316772,24164.14190888405,2366400.0,37,9.375,4.2203125,31552.0,75,75,0.0
0.063604206,75.0,4.569408275462963,10.15625,75,1.6389209900781516,24813.234832286835,2431200.0,38,10.15625,5.0515625,32416.0,75,75,0.0
0.07323695,75.0,4.903846153846154,11.09375,75,1.650102831786174,25465.153421878815,2493600.0,39,11.09375,5.3203125,33248.0,75,75,0.0
0.06824165,75.0,4.853877314814815,9.84375,75,1.573662471503578,26113.287401676178,2558400.0,40,11.09375,4.5609375,34112.0,75,75,0.0
0.07357961,75.0,5.365668402777778,10.3125,75,1.4954773942519994,26759.015659809113,2623200.0,41,11.09375,5.3015625,34976.0,75,75,0.0
0.083355576,75.0,5.654672475961538,10.78125,75,1.5397595185612587,27412.52855706215,2685600.0,42,11.09375,5.36875,35808.0,75,75,0.0
0.082417786,75.0,5.9521484375,10.625,75,1.4193306562315737,28055.22103047371,2750400.0,43,11.09375,6.2203125,36672.0,75,75,0.0
0.08209677,75.0,6.012731481481482,10.0,75,1.4553335031767631,28705.227910280228,2815200.0,44,11.09375,6.3078125,37536.0,75,75,0.0
0.09301337,75.0,6.396108774038462,11.25,75,1.3679114154889562,29357.79922246933,2877600.0,45,11.25,6.471875,38368.0,75,75,0.0
0.08683122,75.0,6.313657407407407,10.78125,75,1.3690353583819523,30001.350016117096,2942400.0,46,11.25,6.4875,39232.0,75,75,0.0
0.091070205,75.0,6.662688078703703,11.25,75,1.3332978307447854,30655.380991220474,3007200.0,47,11.25,6.5921875,40096.0,75,75,0.0
