eprew_std,total_secs,recent_worst_eplen,eprew_recent,best_eplen,best_ext_ret,eplen_std,recent_best_ext_ret,eprew,n_updates,epcount,eplen,recent_best_eplen,tcount,rew_mean
0.635182675,695.690378,90,-17.67507102,90,-14.40625,0,-14.40625,-17.66875,1,704,90,90,63360,-0.16829956
0.654976443,1384.737989,90,-17.65931286,90,-13.625,0,-13.625,-17.653125,2,1408,90,90,126720,-0.18632884
0.713080561,2066.885179,90,-17.63623047,90,-13.625,0,-14.40625,-17.6015625,3,2112,90,90,190080,-0.18727264
0.691614111,2749.802287,90,-17.64111328,90,-13.625,0,-14.5625,-17.571875,4,2816,90,90,253440,-0.1874355
0.6932906,3429.750286,90,-17.5422894,90,-13.625,0,-14.5625,-17.5703125,5,3552,90,90,319680,-0.1869916
0.7638356,4104.31052,90,-17.4193892,90,-13.15625,0,-13.15625,-17.3140625,6,4256,90,90,383040,-0.18550912
0.826281852,4781.575814,90,-17.15593928,90,-13.15625,0,-14.5625,-17.0734375,7,4960,90,90,446400,-0.18229672
0.987153816,5456.529412,90,-17.04696378,90,-12.21875,0,-12.21875,-17.0375,8,5664,90,90,509760,-0.18076745
1.218513599,6130.672978,90,-16.78417969,90,-12.21875,0,-12.21875,-16.759375,9,6368,90,90,573120,-0.17783225
1.292118537,6804.650042,90,-16.34324049,90,-11.125,0,-11.125,-16.14375,10,7104,90,90,639360,-0.17300375
1.449639637,7476.052,90,-16.08682528,90,-9.875,0,-9.875,-16.028125,11,7808,90,90,702720,-0.17020182
1.49568063,8149.024783,90,-15.34685724,90,-7.84375,0,-7.84375,-15.296875,12,8512,90,90,766080,-0.16152698
1.578557336,8822.283237,90,-14.65305398,90,-7.84375,0,-8.78125,-14.6734375,13,9216,90,90,829440,-0.15334173
2.10834234,9492.595685,90,-13.62308933,90,-7.84375,0,-7.84375,-13.503125,14,9952,90,90,895680,-0.14238091
1.760775974,10165.5099,90,-12.50594815,90,-6.4375,0,-6.4375,-12.925,15,10656,90,90,959040,-0.1308976
1.633794561,10838.41246,90,-11.26305043,90,-3.46875,0,-3.46875,-11.7203125,16,11360,90,90,1022400,-0.11606941
2.408379739,11516.00273,90,-9.760919744,90,-2.21875,0,-2.21875,-9.90625,17,12064,90,90,1085760,-0.099528864
2.367226175,12188.99719,90,-8.541104403,90,-2.21875,0,-2.53125,-8.640625,18,12768,90,90,1149120,-0.08586573
2.387342006,12866.29791,90,-7.210258152,90,0.125,0,0.125,-7.5390625,19,13504,90,90,1215360,-0.073340215
1.787638626,13542.97646,90,-5.931019176,90,1.0625,0,1.0625,-6.0171875,20,14208,90,90,1278720,-0.05834716
2.063973787,14223.07206,90,-5.227006392,90,1.0625,0,1.0625,-5.2609375,21,14912,90,90,1342080,-0.05071112
1.868119537,14902.87683,90,-4.298162287,90,2.15625,0,2.15625,-3.9484375,22,15616,90,90,1405440,-0.039984632
1.939656058,15575.63873,90,-3.187032948,90,2.15625,0,2,-3.35,23,16352,90,90,1471680,-0.028862443
1.782033819,16246.66628,90,-2.448908026,90,2.9375,0,2.9375,-2.19375,24,17056,90,90,1535040,-0.022543103
1.74561672,16925.05363,90,-1.897816051,90,3.875,0,3.875,-1.321875,25,17760,90,90,1598400,-0.013755133
1.697938634,17602.61696,90,-1.530051491,90,3.875,0,3.25,-1.6328125,26,18464,90,90,1661760,-0.009027991
1.597608687,18276.54423,90,-0.604758523,90,4.1875,0,4.1875,-0.553125,27,19168,90,90,1725120,-0.000857977
1.545513921,18947.48718,90,-0.264351223,90,4.34375,0,4.34375,0.01875,28,19904,90,90,1791360,0.001172653
1.611767033,19616.19561,90,0.152077415,90,4.34375,0,4.1875,0.2625,29,20608,90,90,1854720,0.007483474
1.539807085,20296.33862,90,0.522505327,90,4.8125,0,4.8125,0.896875,30,21312,90,90,1918080,0.01214578
1.435361861,20966.34383,90,0.746004972,90,5.59375,0,5.59375,0.678125,31,22016,90,90,1981440,0.013706652
1.364036548,21632.54729,90,0.942977242,90,5.59375,0,5.28125,0.765625,32,22752,90,90,2047680,0.015831582
1.406266493,22299.43367,90,1.153275923,90,6.53125,0,6.53125,0.6859375,33,23456,90,90,2111040,0.01582527
1.492595658,22967.62751,90,1.21542081,90,6.53125,0,5.4375,1.334375,34,24160,90,90,2174400,0.019874226
1.262345288,23645.0808,90,1.548339844,90,6.53125,0,6.375,1.74375,35,24864,90,90,2237760,0.0239579
1.408907212,24320.37087,90,1.625799006,90,6.53125,0,6.21875,1.44375,36,25568,90,90,2301120,0.023405842
1.27684456,24992.62103,90,1.608738111,90,6.53125,0,5.4375,1.5375,37,26304,90,90,2367360,0.020831771
1.257845496,25659.14614,90,1.979137074,90,6.53125,0,6.375,1.4984375,38,27008,90,90,2430720,0.02662708
1.391817431,26332.4858,90,1.878595526,90,7,0,7,2.1890625,39,27712,90,90,2494080,0.02691405
1.353900615,27005.47951,90,1.88503196,90,7,0,5.4375,1.575,40,28416,90,90,2557440,0.0273131
1.079822034,27680.88505,90,2.034179688,90,7,0,6.21875,1.96875,41,29152,90,90,2623680,0.026356716
1.361618121,28353.45404,90,2.049493963,90,7,0,6.84375,2.59375,42,29856,90,90,2687040,0.02539642
1.360114741,29023.80247,90,2.221724077,90,7,0,6.0625,1.959375,43,30560,90,90,2750400,0.031146046
1.15958556,29699.72723,90,2.346679688,90,7,0,6.0625,2.478125,44,31264,90,90,2813760,0.032032136
1.465684967,30497.60969,90,2.532004616,90,7,0,6.84375,2.434375,45,31968,90,90,2877120,0.03362556
1.015264359,31337.79251,90,2.144573709,90,7,0,6.0625,2.25,46,32704,90,90,2943360,0.026076378
0.971743108,32177.50927,90,2.80189098,90,7,0,6.6875,2.8765625,47,33408,90,90,3006720,0.03600874
1.048184815,33019.15699,90,2.36665483,90,7,0,6.6875,2.6625,48,34112,90,90,3070080,0.03140114
1.292264961,33697.65465,90,2.579944957,90,7,0,5.75,2.5203125,49,34816,90,90,3133440,0.033771582
1.484341283,34365.27068,90,2.943231997,90,7,0,6.53125,3.2046875,50,35552,90,90,3199680,0.037532154
1.093181772,35038.57205,90,2.680486506,90,7,0,6.53125,2.7859375,51,36256,90,90,3263040,0.032180734
1.362582423,35712.64468,90,2.418812145,90,7,0,6.84375,2.809375,52,36960,90,90,3326400,0.03288978
1.142420462,36389.32243,90,2.493164063,90,7.625,0,7.625,2.1390625,53,37664,90,90,3389760,0.034130067
1.044978459,37071.34057,90,3.007856889,90,7.625,0,6.375,2.7890625,54,38368,90,90,3453120,0.037863277
1.250035156,37739.31565,90,2.639011549,90,7.625,0,6.84375,2.403125,55,39104,90,90,3519360,0.032295667
1.086326369,38405.71627,90,3.073552912,90,7.625,0,6.6875,2.2703125,56,39808,90,90,3582720,0.038882703
1.183999776,39082.93545,90,2.66184304,90,7.625,0,7.3125,2.5625,57,40512,90,90,3646080,0.034205914
1.126999092,39754.17153,90,3.287730824,90,7.625,0,7.3125,2.728125,58,41216,90,90,3709440,0.042470068
1.217678816,40424.19718,90,3.145974864,90,7.78125,0,7.78125,3.3078125,59,41952,90,90,3775680,0.039291315
1.064859512,41091.65503,90,3.004305753,90,8.09375,0,8.09375,2.91875,60,42656,90,90,3839040,0.03562842
1.276220119,41766.54839,90,2.812988281,90,8.09375,0,6.0625,2.9953125,61,43360,90,90,3902400,0.037213996
1.23711622,42435.27072,90,3.124156605,90,8.09375,0,6.53125,2.8046875,62,44064,90,90,3965760,0.040508308
1.20743546,43107.74562,90,3.375621449,90,8.09375,0,7,3.190625,63,44768,90,90,4029120,0.043485474
1.097176552,43782.36839,90,2.931980299,90,8.09375,0,6.53125,2.8359375,64,45504,90,90,4095360,0.03409418
1.096318413,44453.21857,90,3.219149503,90,8.09375,0,7.15625,3.4625,65,46208,90,90,4158720,0.04059303
1.133793756,45124.0371,90,3.317471591,90,8.25,0,8.25,3.10625,66,46912,90,90,4222080,0.041310906
1.272856463,45797.61897,90,3.011629972,90,8.25,0,7.15625,3.4203125,67,47616,90,90,4285440,0.03939831
1.433332955,46469.88041,90,3.089504076,90,8.25,0,6.375,3.015625,68,48352,90,90,4351680,0.038317256
0.861325911,47140.92556,90,2.853160511,90,8.25,0,6.375,3.0234375,69,49056,90,90,4415040,0.033931825
1.191477713,47815.48333,90,3.372514205,90,8.25,0,6.84375,3.121875,70,49760,90,90,4478400,0.043699127
1.180922367,48489.3161,90,3.017178622,90,8.25,0,6.84375,2.7671875,71,50464,90,90,4541760,0.039071284
0.989253783,49164.60316,90,3.286621094,90,8.25,0,6.21875,3.928125,72,51168,90,90,4605120,0.041963134
1.325865725,49829.97637,90,3.138544497,90,8.25,0,6.84375,3.615625,73,51904,90,90,4671360,0.036914106
1.2351224,50495.2611,90,3.380504261,90,8.25,0,6.6875,3.425,74,52608,90,90,4734720,0.042271983
1.275531254,51163.27014,90,3.356090199,90,8.25,0,7.46875,3.9265625,75,53312,90,90,4798080,0.04150502
1.047108183,51835.26777,90,3.517001065,90,8.25,0,7.625,3.578125,76,54016,90,90,4861440,0.045317426
1.040933466,52505.53927,90,2.927097486,90,8.25,0,5.90625,3.0796875,77,54752,90,90,4927680,0.036563896
0.906056014,53177.55261,90,3.022949219,90,8.25,0,6.84375,2.33125,78,55456,90,90,4991040,0.035800427
1.157654341,53852.62625,90,3.257546165,90,8.25,0,7,3.9328125,79,56160,90,90,5054400,0.04271442
1.723693884,54524.40609,90,3.268865412,90,8.25,0,7.3125,2.8234375,80,56864,90,90,5117760,0.041916125
1.514013318,55194.75666,90,3.178533381,90,8.25,0,7.3125,3.796875,81,57568,90,90,5181120,0.040743187
1.193013516,55858.95679,90,2.923700747,90,8.25,0,6.0625,2.8875,82,58304,90,90,5247360,0.034251392
1.34448018,56528.97642,90,3.291947798,90,8.25,0,7.15625,3.228125,83,59008,90,90,5310720,0.041300412
0.993114724,57199.8036,90,3.314142401,90,8.25,0,7.625,4.0140625,84,59712,90,90,5374080,0.04181689
