tcount,best_eplen,recent_worst_eplen,eplen,eprew_std,recent_best_eplen,eplen_std,eprew_recent,best_ext_ret,rew_mean,total_secs,eprew,epcount,recent_best_ext_ret,n_updates
63360,90,90,90,0.637867541,90,0,-16.92911044,-14.5625,-0.1607876,643.8958113,-16.925,704,-14.5625,1
126720,90,90,90,0.653797501,90,0,-16.99480646,-14.5625,-0.17929654,1292.301713,-16.990625,1408,-14.5625,2
190080,90,90,90,0.668448749,90,0,-17.05317827,-14.5625,-0.18072289,1934.13464,-17.1265625,2112,-14.71875,3
253440,90,90,90,0.811085006,90,0,-16.92067649,-13.46875,-0.17929146,2577.410276,-16.8609375,2816,-13.46875,4
319680,90,90,90,0.761210167,90,0,-16.84659477,-13.46875,-0.17857003,3217.437153,-16.8578125,3552,-14.71875,5
383040,90,90,90,0.730840898,90,0,-16.74200994,-13.46875,-0.17744029,3857.659102,-16.6890625,4256,-13.625,6
446400,90,90,90,0.921986222,90,0,-16.66721413,-13.46875,-0.17620087,4494.338591,-16.6,4960,-14.5625,7
509760,90,90,90,0.627214826,90,0,-16.56622869,-13.46875,-0.17482926,5131.755572,-16.58125,5664,-14.5625,8
573120,90,90,90,0.698650695,90,0,-16.5296076,-13.46875,-0.17407788,5779.619133,-16.6515625,6368,-13.625,9
639360,90,90,90,0.78339705,90,0,-16.37826936,-13.46875,-0.17277057,6417.089689,-16.33125,7104,-13.625,10
702720,90,90,90,0.741255994,90,0,-16.23619496,-13.46875,-0.17116192,7063.088953,-16.2359375,7808,-13.625,11
766080,90,90,90,0.792395498,90,0,-16.02401456,-13.46875,-0.16849455,7709.520699,-16.13125,8512,-13.46875,12
829440,90,90,90,0.844587258,90,0,-15.93124112,-12.53125,-0.16744666,8440.002466,-15.9859375,9216,-12.53125,13
895680,90,90,90,0.874307762,90,0,-15.81377378,-12.53125,-0.16641717,9257.772794,-15.86875,9952,-13.46875,14
959040,90,90,90,0.886778976,90,0,-15.60631214,-12.53125,-0.1644498,10071.55693,-15.796875,10656,-13.3125,15
1022400,90,90,90,0.905542558,90,0,-15.50909979,-12.53125,-0.16303302,10887.90161,-15.4921875,11360,-12.53125,16
1085760,90,90,90,0.781904413,90,0,-15.37016158,-12.375,-0.16139038,11601.59886,-15.2515625,12064,-12.375,17
1149120,90,90,90,0.947832385,90,0,-15.21235795,-12.375,-0.15974042,12251.74072,-15.1265625,12768,-12.375,18
1215360,90,90,90,0.883633468,90,0,-15.05417799,-12.375,-0.15863869,12893.87579,-15.2796875,13504,-12.375,19
1278720,90,90,90,0.86587175,90,0,-14.85058594,-11.4375,-0.15622617,13532.77439,-14.9484375,14208,-11.4375,20
1342080,90,90,90,0.857549197,90,0,-14.76913175,-11.28125,-0.15510502,14175.92482,-14.675,14912,-11.28125,21
1405440,90,90,90,0.88483728,90,0,-14.5962358,-11.28125,-0.15330073,14817.25209,-14.3234375,15616,-11.4375,22
1471680,90,90,90,0.947143114,90,0,-14.4451002,-11.28125,-0.15199974,15451.52961,-14.459375,16352,-11.28125,23
1535040,90,90,90,0.88329771,90,0,-14.31458629,-11.28125,-0.15092646,16085.79273,-14.3,17056,-11.28125,24
1598400,90,90,90,0.950856676,90,0,-14.15767045,-11.28125,-0.14856833,16726.47557,-14.1140625,17760,-11.4375,25
1661760,90,90,90,0.821136491,90,0,-14.0628995,-10.34375,-0.14766242,17371.17718,-14.1109375,18464,-10.34375,26
1725120,90,90,90,0.887191848,90,0,-13.88889382,-10.34375,-0.14582923,18010.45073,-14.03125,19168,-10.96875,27
1791360,90,90,90,0.945118782,90,0,-13.8646824,-10.34375,-0.14610623,18640.92328,-13.9921875,19904,-11.125,28
1854720,90,90,90,0.923186303,90,0,-13.74329723,-10.34375,-0.14443694,19275.14669,-13.6296875,20608,-10.34375,29
1918080,90,90,90,0.946333385,90,0,-13.51713423,-10.1875,-0.14170295,19911.36778,-13.5125,21312,-10.1875,30
1981440,90,90,90,0.95593847,90,0,-13.41925604,-10.1875,-0.1407572,20555.03029,-13.046875,22016,-10.1875,31
2047680,90,90,90,1.046780546,90,0,-13.32162874,-10.1875,-0.14000696,21196.88556,-13.1703125,22752,-10.34375,32
2111040,90,90,90,0.89510387,90,0,-13.2681108,-10.1875,-0.13978788,21834.12672,-13.3625,23456,-10.1875,33
2174400,90,90,90,1.114179736,90,0,-13.32337536,-10.1875,-0.13963597,22468.92264,-13.284375,24160,-10.1875,34
2237760,90,90,90,0.96369143,90,0,-13.05260121,-10.03125,-0.13675067,23108.79553,-13.159375,24864,-10.03125,35
2301120,90,90,90,1.032451951,90,0,-12.92453835,-10.03125,-0.13531925,23745.36799,-12.8,25568,-10.03125,36
2367360,90,90,90,1.08514022,90,0,-12.8997962,-10.03125,-0.13585211,24377.50377,-12.809375,26304,-10.03125,37
2430720,90,90,90,0.918909425,90,0,-12.67995384,-10.03125,-0.13283974,25016.15299,-12.775,27008,-10.03125,38
2494080,90,90,90,0.977310963,90,0,-12.68195135,-9.71875,-0.13268477,25656.11513,-12.56875,27712,-9.71875,39
2557440,90,90,90,1.072221154,90,0,-12.50350675,-8.9375,-0.13055281,26294.3558,-12.640625,28416,-8.9375,40
2623680,90,90,90,1.002500536,90,0,-12.4919752,-8.9375,-0.13146335,26932.5845,-12.1515625,29152,-9.875,41
2687040,90,90,90,0.974542912,90,0,-12.53369141,-8.9375,-0.13183156,27568.13901,-12.5828125,29856,-8.9375,42
2750400,90,90,90,0.926292383,90,0,-12.43292791,-8.9375,-0.1301195,28200.48089,-12.165625,30560,-9.09375,43
2813760,90,90,90,0.884303221,90,0,-12.22607422,-8.9375,-0.12699702,28836.84613,-12.43125,31264,-9.09375,44
2877120,90,90,90,1.030894825,90,0,-12.18035334,-8.9375,-0.12827891,29471.791,-11.921875,31968,-8.9375,45
2943360,90,90,90,1.070989749,90,0,-12.22554348,-8.9375,-0.12851854,30104.64155,-12.3609375,32704,-9.09375,46
3006720,90,90,90,0.829702213,90,0,-12.0846946,-8.9375,-0.1262057,30736.39242,-12.1046875,33408,-8.9375,47
3070080,90,90,90,0.943993139,90,0,-12.12175959,-8.78125,-0.1266223,31371.04143,-12.240625,34112,-8.78125,48
3133440,90,90,90,0.911037998,90,0,-11.95751953,-8.78125,-0.12475496,32004.63828,-11.740625,34816,-8.9375,49
3199680,90,90,90,1.006880625,90,0,-11.96866508,-8.625,-0.12575237,32636.64865,-11.925,35552,-8.625,50
3263040,90,90,90,1.082183259,90,0,-11.97105824,-8.625,-0.12564254,33263.98264,-11.9109375,36256,-8.9375,51
3326400,90,90,90,0.920157298,90,0,-11.85364879,-8.625,-0.123676114,33898.639,-12.040625,36960,-8.625,52
3389760,90,90,90,0.993606269,90,0,-12.00790128,-8.625,-0.12486389,34530.87388,-12.2359375,37664,-8.9375,53
3453120,90,90,90,0.800811356,90,0,-11.90846946,-8.625,-0.124887176,35168.7269,-12.090625,38368,-8.9375,54
3519360,90,90,90,1.157105891,90,0,-11.90582541,-8.625,-0.12501699,35799.35073,-11.7765625,39104,-9.09375,55
3582720,90,90,90,0.923831346,90,0,-11.68386009,-8.625,-0.12192549,36427.43275,-11.8453125,39808,-8.625,56
3646080,90,90,90,0.898235032,90,0,-11.84854403,-8.625,-0.1234129,37061.58201,-11.934375,40512,-9.09375,57
3709440,90,90,90,0.825905043,90,0,-11.66876776,-8.625,-0.12149623,37699.93151,-11.753125,41216,-8.78125,58
3775680,90,90,90,0.940495215,90,0,-11.70923913,-8.625,-0.12261984,38335.74419,-11.85,41952,-8.625,59
3839040,90,90,90,0.981542303,90,0,-11.75621449,-8.625,-0.12307765,38966.96681,-11.4234375,42656,-8.625,60
3902400,90,90,90,1.027640463,90,0,-11.57710405,-8.625,-0.12036918,39599.33627,-11.809375,43360,-8.625,61
3965760,90,90,90,0.940235592,90,0,-11.55690696,-7.53125,-0.12027076,40238.16198,-11.65,44064,-7.53125,62
4029120,90,90,90,0.840903764,90,0,-11.46724077,-7.53125,-0.11899337,40873.92651,-11.659375,44768,-8.625,63
4095360,90,90,90,0.873451476,90,0,-11.5381284,-7.53125,-0.1213006,41502.52175,-11.5109375,45504,-8.625,64
4158720,90,90,90,0.952580531,90,0,-11.61394709,-7.53125,-0.12087982,42136.5563,-11.4921875,46208,-8.78125,65
4222080,90,90,90,0.775118124,90,0,-11.30033736,-7.53125,-0.11737375,42775.55748,-11.2078125,46912,-8.78125,66
4285440,90,90,90,0.986850805,90,0,-11.45525568,-7.53125,-0.118810065,43412.772,-11.4390625,47616,-7.84375,67
4351680,90,90,90,0.950606303,90,0,-11.36043648,-7.53125,-0.118615225,44052.3872,-11.26875,48352,-8.78125,68
4415040,90,90,90,0.940988302,90,0,-11.42041016,-7.53125,-0.118993096,44686.5453,-11.196875,49056,-8.78125,69
4478400,90,90,90,1.002403118,90,0,-11.39865945,-7.53125,-0.11830089,45319.33548,-11.1609375,49760,-8.15625,70
4541760,90,90,90,0.853615644,90,0,-11.38467685,-7.53125,-0.11838806,45953.06042,-11.4046875,50464,-8.625,71
4605120,90,90,90,1.313946376,90,0,-11.21644176,-7.53125,-0.11642781,46589.02669,-11.340625,51168,-8.78125,72
4671360,90,90,90,0.826064654,90,0,-11.35088315,-7.53125,-0.11863068,47224.50031,-11.5375,51904,-8.625,73
